GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRWIC,G18USSDBAR,G18USSLBED,G18USSOOHA,R18USSRHYD,R18USSDESP
28001000101,28,001,000101,342,145,10,0,311,154
28001000102,28,001,000102,179.76,388.47,4.99,3.99,168.77,404.45
28001000103,28,001,000103,854,379,23,1,808,402
28001000201,28,001,000201,425,140,8,0,384,142
28001000202,28,001,000202,357.52,263.61,11.84,3.94,312.27,281.36
28001000203,28,001,000203,402.71,234.91,12.09,0.05,367.43,257.9
28001000204,28,001,000204,393.29,76.09,7.91,3.95,369.57,75.1
28001000301,28,001,000301,28,386,4,1,20,407
28001000302,28,001,000302,115.48,200.39,7.16,2.06,109.73,211.64
28001000303,28,001,000303,20,319,5,3,11,357
28001000304,28,001,000304,274.04,381.16,7.09,2.07,242.41,399.51
28001000401,28,001,000401,39,852,7,4,32,911
28001000403,28,001,000403,54.43,266.8,0,0,50.86,287.32
28001000404,28,001,000404,108,220,5,2,91,242
28001000405,28,001,000405,87,280,1,1,83,291
28001000501,28,001,000501,40.47,662.3,2,3,33.44,705.48
28001000502,28,001,000502,141,333,5,1,143,355
28001000503,28,001,000503,383.96,390.84,4.91,3.93,349.59,409.49
28001000504,28,001,000504,235,148,10,4,220,162
28003000016,28,003,000016,493.98,63.99,8.23,0.04,417.85,88.58
28003000101,28,003,000101,874.72,129.26,15.54,2.96,772.81,127.84
28003000102,28,003,000102,605.65,106.82,13.14,2.06,528.53,123.21
28003000103,28,003,000103,448.9,111.61,9.17,4.03,378.55,123.94
28003000201,28,003,000201,783.28,99.74,16.46,5.04,679.19,119.16
28003000202,28,003,000202,572.27,80.79,11.59,5.44,511.27,78.08
28003000203,28,003,000203,158.73,16.21,3.41,2.56,158.73,17.92
28003000204,28,003,000204,267,81,6,3,241,96
28003000301,28,003,000301,303.59,324.37,12.65,8.13,245.76,369.55
28003000302,28,003,000302,381,76.01,5.77,0.96,352.13,116.42
28003000303,28,003,000303,513,109,16,0,438,144
28003000401,28,003,000401,301.43,160.63,7.35,4.87,247.25,188.45
28003000402,28,003,000402,924,54,19,4,805,66
28003000501,28,003,000501,290.1,76.39,4.83,0.97,250.45,86.06
28003000502,28,003,000502,532,40,7,2,474,57
28003000503,28,003,000503,54,6,0,0,53,3
28003000504,28,003,000504,663.35,244.18,11.86,4.94,566.47,278.79
28005000024,28,005,000024,131,17,4,0,116,20
28005000101,28,005,000101,130.36,51.35,11.12,1.14,109.38,52.43
28005000102,28,005,000102,332,111,8,4,288,124
28005000103,28,005,000103,199,31,9,0,190,32
28005000104,28,005,000104,236,47,4,0,211,51
28005000201,28,005,000201,45.7,164.71,2.86,0,36.18,174.23
28005000202,28,005,000202,71,159,3,4,53,175
28005000203,28,005,000203,173,101,4,0,144,98
28005000205,28,005,000205,99.02,136.05,4,3,90.02,145.05
28005000301,28,005,000301,60.58,64.04,4.96,0,64.63,70.07
28005000302,28,005,000302,86.7,340.15,7.82,8.63,87.18,345.42
28005000303,28,005,000303,61.45,24.44,1.24,0.45,55.86,28.14
28005000304,28,005,000304,182.01,6,9,0,159.01,4
28005000401,28,005,000401,256,59,15,1,245,65
28005000402,28,005,000402,138,53,9,1,129,56
28005000403,28,005,000403,175,105,2,2,157,121
28005000404,28,005,000404,301,36,5,0,274,44
28005000501,28,005,000501,138,93,7,0,122,109
28005000502,28,005,000502,70.98,150.95,5,0,72.98,160.95
28005000503,28,005,000503,87,90,4,0,79,92
28005000504,28,005,000504,280,136,3,3,236,143
28007000101,28,007,000101,291,199,7,3,250,248
28007000102,28,007,000102,548,234,13,8,526,274
28007000201,28,007,000201,110.97,74.6,2.8,0,102.58,73.67
28007000202,28,007,000202,149.91,53.39,0.13,0,134.48,53.32
28007000203,28,007,000203,81.12,8.01,1.08,0,76.94,7.01
28007000204,28,007,000204,210.24,561.96,6.97,1,176.36,654.63
28007000301,28,007,000301,137.41,7.74,2.02,1.08,138.12,9.98
28007000302,28,007,000302,145.12,20.18,1.22,2.01,141.73,23.19
28007000303,28,007,000303,92.34,58.32,1.94,0,90.39,67.07
28007000304,28,007,000304,154.9,23.8,1.84,0.91,158.4,24.13
28007000305,28,007,000305,238.88,131.05,4.15,1.66,218.14,168.38
28007000306,28,007,000306,49.12,26.95,0.85,0.34,44.86,34.62
28007000401,28,007,000401,120.24,121.54,0.54,0.45,102.32,158.21
28007000402,28,007,000402,120.57,102.75,3.15,1.33,125.73,137.81
28007000403,28,007,000403,185.5,312.76,5.17,4.34,163.44,403.81
28007000404,28,007,000404,85,129,1,6,75,171
28007000501,28,007,000501,86.34,4.76,0.94,0.93,85.39,5.72
28007000502,28,007,000502,137.31,44.83,3.98,1.98,130.32,56.79
28007000503,28,007,000503,171.69,13.17,1.02,0.02,168.68,17.21
28007000504,28,007,000504,428.59,99.58,7.81,2.93,389.54,136.68
28007000505,28,007,000505,172.07,68.66,5.25,3.14,161.07,86.6
28009000101,28,009,000101,150,387,5,4,115,420
28009000102,28,009,000102,230.73,287.66,4,4.99,193.77,335.61
28009000103,28,009,000103,353.27,230.34,9,4.01,282.23,246.39
28009000104,28,009,000104,421,116,1,3,362,141
28009000105,28,009,000105,490,70,9,4,434,81
28011000101,28,011,000101,72,122,4,4,56,149
28011000102,28,011,000102,62.65,164.81,3.86,2.89,45.3,213
28011000103,28,011,000103,52.94,161.31,0,2,33.75,181.42
28011000104,28,011,000104,66.85,117.97,0.98,11.8,58,171.06
28011000105,28,011,000105,62.06,51.95,1.02,0.2,59.91,65.84
28011000106,28,011,000106,28,3,0,0,25,6
28011000107,28,011,000107,42.35,303.19,5.14,3.11,24.7,388
28011000108,28,011,000108,13.96,147.32,1.96,1.01,8.92,170.61
28011000109,28,011,000109,25,97,2,0,16,129
28011000110,28,011,000110,47.15,15.4,0,0,37.53,21.17
28011000201,28,011,000201,7.91,180.12,3.65,3.04,0,211.76
28011000202,28,011,000202,523.44,92.01,4.34,1.74,470.48,92.01
28011000203,28,011,000203,511,135,7,6,457,139
28011000204,28,011,000204,969.29,179.79,9.37,1.15,863.81,183.79
28011000301,28,011,000301,54,112,5,3,45,130
28011000302,28,011,000302,79.14,627.1,11.16,11.08,44.74,733.98
28011000303,28,011,000303,67.89,699.57,7.87,5.9,40.34,832.4
28011000401,28,011,000401,126.73,128.64,5.15,3.1,106.87,148.94
28011000402,28,011,000402,53.05,1014.43,9.8,10.36,26.79,1159.18
28011000403,28,011,000403,97.54,260.56,4.14,3.01,78.83,302.26
28011000404,28,011,000404,13,180,2,2,8,206
28011000405,28,011,000405,18.04,186.45,0.55,2.6,11.21,215.06
28011000406,28,011,000406,148,53,4,0,125,60
28011000501,28,011,000501,443.32,301.04,4.73,4.15,402.44,339.21
28011000502,28,011,000502,152.91,8.3,1,3,137.72,10.41
28011000503,28,011,000503,138.01,606.63,8.94,4.96,107.23,715.84
28011000504,28,011,000504,27,105,0,0,23,121
28011000505,28,011,000505,34.67,415.33,4.33,2.89,17.34,457.95
28013000001,28,013,000001,275,27,6,2,254,33
28013000002,28,013,000002,532,138,6,2,472,178
28013000003,28,013,000003,456,57,10,1,424,76
28013000004,28,013,000004,82,275,4,1,66,315
28013000005,28,013,000005,229.01,273,5,3,201.01,311
28013000006,28,013,000006,268,84,4,2,258,106
28013000007,28,013,000007,344.55,114.53,3.88,1.94,342.61,161.11
28013000008,28,013,000008,274,56,1,2,269,74
28013000009,28,013,000009,595.99,156,8,4,533.99,193
28013000010,28,013,000010,229,46,4,2,215,63
28015000101,28,015,000101,546.15,47.33,10,2.02,469.01,60.47
28015000102,28,015,000102,116.71,14.48,1.81,0,110.38,20.81
28015000103,28,015,000103,139.64,3.59,2.2,1,134.95,4.26
28015000104,28,015,000104,271.31,50.02,10,2,253.15,58.05
28015000105,28,015,000105,180.31,95.99,3.59,0,160.57,114.82
28015000106,28,015,000106,237,33,7,0,197,48
28015000107,28,015,000107,257,24,5,0,242,23
