GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREABLA,G20PREOCAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20USSRHYD,G20USSDESP,G20USSLEDW
28001000101,28,001,000101,399,185,4,1,0,1,5,0,0,385,199,12
28001000102,28,001,000102,261.65,520.3,2,2,0,0,2,2,0,247.66,538.27,8.99
28001000103,28,001,000103,988,519,8,2,2,1,5,1,0,947,553,22
28001000201,28,001,000201,521,206,4,0,1,1,0,1,0,503,222,9
28001000202,28,001,000202,458.93,381.81,4.92,0,0.98,0.01,4.93,0.01,0,425.49,404.45,18.71
28001000203,28,001,000203,502.22,319.14,2.05,0.01,1,0,0,1.01,1,477.08,333.24,11.12
28001000204,28,001,000204,518.78,94.86,3.95,0.99,0,0,0,0.99,0,506.92,103.76,9.88
28001000301,28,001,000301,41,522,2,0,0,1,4,2,0,31,534,4
28001000302,28,001,000302,142.07,241.19,1.08,0,0.02,0.99,3.07,0.99,0,138.51,245.55,5.29
28001000303,28,001,000303,26,420,0,0,0,0,2,2,0,16,431,1
28001000304,28,001,000304,380.73,501.92,4.09,2,0.02,0.02,1.11,2,0.02,359.23,517.55,15.16
28001000401,28,001,000401,58,1062,0,2,1,0,6,3,0,55,1069,6
28001000403,28,001,000403,74.95,323.02,2.68,0,0,0,1.78,0,0,71.38,329.26,2.68
28001000404,28,001,000404,128,276,2,0,0,0,5,0,0,125,287,1
28001000405,28,001,000405,106,352,0,0,0,0,4,1,0,99,362,2
28001000501,28,001,000501,50.65,823.78,0.02,0,0,1,2.02,0,0,38.62,833.84,5.02
28001000502,28,001,000502,199,399,1,0,0,0,1,0,0,192,409,3
28001000503,28,001,000503,476.27,541.08,4.91,0,0.98,0.98,5.89,0,0.98,448.77,575.45,8.84
28001000504,28,001,000504,355,192,1,0,0,1,1,0,0,341,205,6
28003000016,28,003,000016,780.5,124.18,8.19,0.04,1.04,2,1,3,0,701.7,179.27,31.72
28003000101,28,003,000101,1303.37,158.53,9.69,1.9,0,0.02,0.05,1.92,0,1180.29,241.63,37.99
28003000102,28,003,000102,870.44,187.23,17.11,0.03,2.01,1,2.03,0.01,1.01,839.57,223,18.27
28003000103,28,003,000103,700.58,159.32,4.3,2,1,0.03,1.07,1,0.03,627.66,212.91,20.43
28003000201,28,003,000201,1244.63,174.47,9.31,0.1,0,0.98,1.95,1.08,0,1126.71,244.37,44.01
28003000202,28,003,000202,931.67,97.37,6.29,0,1,1,1,0.15,0,822.6,163.84,35.47
28003000203,28,003,000203,283.33,19.63,1.71,0,0,0,0,0.85,0,265.4,28.16,8.53
28003000204,28,003,000204,362,110,5,0,0,1,2,0,0,326,138,11
28003000301,28,003,000301,446.35,503.28,7.23,0,0,0,9.94,1.81,0,397.56,552.07,13.55
28003000302,28,003,000302,648.47,131.81,4.81,0.96,0.96,0,0,0,0,577.27,184.73,18.28
28003000303,28,003,000303,814,160,6,0,1,0,2,0,0,748,200,27
28003000401,28,003,000401,512.68,300.73,5.77,1,0,0,5.06,1.19,1,443.47,347.94,18.45
28003000402,28,003,000402,1487,94,10,0,1,0,0,0,0,1367,174,33
28003000501,28,003,000501,456.42,126.68,8.7,0,0,0.97,1.93,0,0.97,400.34,173.09,12.57
28003000502,28,003,000502,987,66,4,0,2,0,1,0,0,889,133,24
28003000503,28,003,000503,84,2,0,0,0,0,0,0,0,73,11,0
28003000504,28,003,000504,905.56,366.77,9.89,2.97,0.99,0,2.97,0.99,0.99,830.43,434,23.73
28005000024,28,005,000024,194,21,1,0,0,0,1,0,0,194,25,0
28005000101,28,005,000101,166.04,85.13,0,2.02,0,0.02,0,0.02,0,156.92,90.04,4.11
28005000102,28,005,000102,419,134,3,2,0,0,0,0,0,403,150,8
28005000103,28,005,000103,289,37,2,0,0,0,0,0,1,275,46,5
28005000104,28,005,000104,345,60,0,0,0,0,0,0,0,335,65,4
28005000201,28,005,000201,70.45,207.55,0,0,0,0,1.9,0,0,65.69,213.26,0
28005000202,28,005,000202,113,208,3,1,1,0,3,2,1,105,224,4
28005000203,28,005,000203,236,146,1,0,0,1,0,0,0,225,154,2
28005000205,28,005,000205,141.03,192.06,1,1,0,0,0,2,1,141.03,195.07,2
28005000301,28,005,000301,92.85,95.08,0.03,0,0.99,1.98,1.01,0,0,92.81,96.1,2.04
28005000302,28,005,000302,130.15,452.6,0,0.96,0,0.96,0.1,0.96,0,122.24,447.13,6.71
28005000303,28,005,000303,72.09,35.05,0.22,0.24,0.01,0.04,0.01,0.24,0,68.23,36.78,1.63
28005000304,28,005,000304,242.01,9,0,0,1,0,0,0,0,234.01,15,1
28005000401,28,005,000401,367,77,1,0,0,1,2,0,0,359,83,7
28005000402,28,005,000402,182,62,0,0,0,1,2,0,0,173,66,4
28005000403,28,005,000403,238,131,1,0,0,1,2,0,0,230,137,5
28005000404,28,005,000404,393,54,4,0,0,0,0,0,0,382,61,5
28005000501,28,005,000501,194,152,0,0,0,1,0,0,0,188,157,0
28005000502,28,005,000502,101.97,192.94,2,1,1,2,2,0,0,98.97,200.93,5
28005000503,28,005,000503,125,115,0,1,1,0,0,0,0,121,120,2
28005000504,28,005,000504,403,169,2,1,0,0,2,2,0,388,184,6
28007000101,28,007,000101,390,326,4,2,4,0,5,0,1,356,364,14
28007000102,28,007,000102,768,332,4,1,3,0,3,1,0,740,365,9
28007000201,28,007,000201,149.21,100.71,0,0.93,0,0,0,0,0,141.75,107.24,2.8
28007000202,28,007,000202,204.95,60.42,2.05,1.03,2,0,0,0,0,193.55,69.75,7.17
28007000203,28,007,000203,122.84,14.86,0.95,0.04,0,0,0,0,0,118.7,18.01,2.03
28007000204,28,007,000204,284.97,841.95,1,1,1,1,4.98,1.99,1.99,263.05,871.84,5.98
28007000301,28,007,000301,205.18,10,0.09,0.02,0,0,0.02,0,0,197.31,15.11,1.04
