state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_mur,uss_16_dem_met,uss_20_rep_sul,uss_20_dem_gro,gov_18_rep_dun,gov_18_dem_beg,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
02,013,37-700,1027,94,178,214,56,437,15,0,33,1010,94,178,214,45,436,15,0,28,25,64,28.1,29,54.9,29,37,19,43.9,56,46.4,56,24,39.9,43.9,32.5,39.4,37.800000000000004
02,013,37-712,143,85,2,5,40,3,0,0,8,112,70,2,2,29,3,0,0,6,28.2,0.8,20,11.2,11.9,3.9000000000000004,17.3,11.2,7.9,10.3,1.8,10.3,11.2,20.1,7.9,18.4,7.4,17.3
02,013,37-720,938,95,8,105,360,337,2,1,30,787,84,8,97,242,333,2,1,20,125,43.1,132,62,143,7.1,137,45.1,73,68.2,25.099999999999998,68.2,53.4,133.9,73,134.6,45.1,122.1
02,013,37-732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,013,37-734,1033,151,24,61,413,336,2,0,46,861,130,23,48,309,321,2,0,28,125,59.8,156.1,73.1,155.2,19,140,76.1,87.9,106.8,39.300000000000004,106.8,74.5,140,87.9,147.8,66.89999999999999,132.7
02,016,37-704,586,211,29,42,88,175,6,0,35,536,202,29,33,73,173,6,0,20,12.4,20.4,14.9,17.8,25.1,8.4,19.5,15.8,12.4,12.4,13.9,12.4,16.9,18.5,12.4,17.099999999999998,15.2,16.9
02,016,37-706,4394,1474,287,666,277,1397,95,5,193,3782,1268,285,582,224,1218,85,5,115,354.2,533.6,505.5,465.7,501.90000000000003,200.3,494.5,426.1,316.8,413.3,366.6,413.3,445.59999999999997,428,316.8,499.8,408,434.40000000000003
02,016,37-738,102,9,0,1,90,0,0,0,2,81,9,0,1,70,0,0,0,1,8.1,17,5.9,10.9,15,2.8000000000000003,10,8.1,5.9,17.900000000000002,9.8,17.900000000000002,9.4,11.7,5.9,8,11,8.7
02,016,37-740,479,51,2,17,386,3,1,0,19,347,43,2,11,273,3,1,0,14,19.9,119.7,24.1,179.1,113.9,9,76.2,91,24.1,109.1,64.5,109.1,135.1,67.2,24.1,49.9,101.5,51.5
02,020,16-145,2426,2017,21,90,135,49,0,1,113,1817,1556,17,54,102,29,0,1,58,753.6,351.3,919.9,541,539,130.8,956.1999999999999,472.9,710.2,383.8,240.6,383.8,507.2,646.3,710.2,937.5,376.2,776
02,020,16-160,3223,2739,35,110,143,23,4,2,167,2315,2038,20,69,89,17,3,1,78,1243.5,410.3,1425.8,617,853.8,109.2,1460.4,569.2,1165.3999999999999,475.6,259.8,475.6,593.1,1048.4,1165.3999999999999,1443.1,436.4,1229.8
02,020,16-165,3383,2781,14,132,183,69,3,5,196,2544,2192,10,79,128,36,1,4,94,1148.7,375.8,1464.7,652.2,671.7,122.2,1473.7,579.3,948.7,384.7,248.6,384.7,615.9,910.1999999999999,948.7,1469.2,423.3,1141.5
02,020,17-200,1611,1352,21,73,32,51,1,6,75,1186,1032,14,35,19,44,1,4,37,772.1,310.9,778,384,536.1,91.2,801.2,351,632.1,304.1,200.9,304.1,367.8,653.9,632.1,789.7,288.2,704
02,020,17-205,3658,2725,103,271,197,93,26,1,242,2650,2084,71,161,124,62,22,1,125,996.5,418.1,1055.8,626,695.6,156.3,1027.2,617.8,769.6,407.2,287.5,407.2,621.6,846.1,769.6,1041.7,444.9,908.9
02,020,17-210,2670,2059,36,191,146,73,11,2,152,1961,1580,28,109,103,54,5,2,80,893.7,426,939.3,622.8,699.8,131.7,959.5,587.3,770.4,442.8,278.9,442.8,605.3,796.8,770.4,949.5,442.09999999999997,852.5
02,020,17-215,1288,1033,33,96,28,45,0,0,53,894,746,24,49,16,36,0,0,23,406.9,213.9,450.9,298,319,69.1,452,301.9,377.1,193.9,141.5,193.9,300,362.8,377.1,451.4,215.5,401.1
02,020,17-220,3308,2688,78,222,78,87,3,10,142,2229,1874,58,119,46,63,3,4,62,1008,537.9,1022.1,701,907,176.1,1101.9,615,798.1,530,357,530,658.4,957.5,798.1,1062.1,512,967.5
02,020,17-225,1630,1328,32,85,79,25,7,0,74,1200,1012,20,54,57,21,6,0,30,612.9,286.9,705.1,471,468,106,750.9,447.2,534.9,311.1,196.7,311.1,459.1,540.7,534.9,727.8,324.6,614.1
02,020,17-230,2184,1866,38,78,71,40,4,2,85,1603,1408,26,45,47,33,4,2,38,944.1,398.7,1074.8,610.1,743.9,115.9,1116.1,574.7,816.7,479,257.3,479,592.4,844.1,816.7,1095.8,435.8,939.1
02,020,18-235,5937,4272,531,663,40,128,24,7,272,3557,2650,329,340,25,96,16,4,97,558.1999999999999,209.1,567.1,287,440.9,133.2,547.2,289.1,201.2,111.8,171.20000000000002,111.8,288.1,499.2,201.2,556.9,206.29999999999998,462.7
02,020,18-240,2552,2072,52,113,100,59,9,2,145,1787,1484,40,74,66,41,8,2,72,1054.9,399.5,1161.1,634.1,718.2,115.4,1233.3999999999999,495,914.3,409.5,257.6,409.5,564.7,886.7,914.3,1197.2,410.8,1016.3000000000001
02,020,18-245,7994,5361,929,1060,93,140,59,19,333,5372,3766,621,632,52,112,35,6,148,554.2,247,948.9,659,448,160.9,921.3,639,394,205.1,203.8,205.1,649.1,500.8,394,934.8,382,653.3
02,020,18-250,1532,632,101,216,108,292,59,8,116,1173,539,89,151,78,205,38,4,69,229.5,348.6,277.2,634.4,261.3,104.7,292.3,594.7,192.9,341.2,226.6,341.2,614.4,245.6,192.9,284.8,404.5,250.7
02,020,18-255,1240,479,134,145,136,154,63,3,126,855,406,95,85,97,73,40,2,57,156.6,125.2,160.4,244.4,128.70000000000002,55.6,162.2,216.4,109.3,151.3,90.3,151.3,230.5,142.7,109.3,161.2,158.6,143.4
02,020,19-300,1376,996,75,44,104,57,7,0,93,1049,804,61,27,70,48,3,0,36,355.3,316.3,372.6,397.2,284.6,117.2,394.2,357.7,337.4,341,217,341,377.59999999999997,319.9,337.4,383.2,306,348.9
02,020,19-305,2920,1477,349,216,298,241,72,2,265,2111,1215,237,143,196,166,45,1,108,702,498,742.8,650,566,201,732,627,591.9,475,349.3,475,638.5,634.1999999999999,591.9,737.3,490.2,667
02,020,19-310,2652,1237,335,262,330,129,84,2,273,1861,1011,230,164,211,85,46,2,112,396.5,390,473.9,583.5,335.6,164,452.7,530.8,295.8,360.3,276.9,360.3,556.9,366,295.8,463,405.5,390.7
02,020,19-315,2634,1004,214,184,212,727,69,2,222,1731,810,166,110,150,349,40,1,105,396.9,352.9,397.9,375.9,345.5,153.4,389.1,358,295.9,327.9,253.2,327.9,366.9,371.3,295.9,393.4,313.6,364.8
02,020,19-320,3255,1653,322,225,383,276,89,6,301,2323,1348,224,129,262,187,40,3,130,671.2,553.8000000000001,696.9,857,545.9,248.2,723.1,855,617.2,557,401.3,557,855.9,608.6,617.2,709.6,614,650.9
