state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_boo,uss_16_dem_eld,uss_20_rep_cot,uss_20_dem_har,gov_18_rep_hut,gov_18_dem_hen,atg_18_rep_rut,atg_18_dem_lee,sos_18_rep_thu,sos_18_dem_inm,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
05,001,01,400,296,85,6,4,0,0,0,9,293,230,51,4,4,0,0,0,4,118.2,25.8,131,27.7,110.2,39.5,138.3,21.7,86.7,18.8,85.9,21.7,84.8,23.8,32.1,21.3,24.8,114,86,133.7,25.8,108.7
05,001,010,1209,1158,11,29,0,4,0,0,7,940,908,6,17,0,4,0,0,5,326.5,64.7,410,51.2,321.3,91,416.2,44.4,295.7,37.8,282,43.7,265.4,60,78,46.2,46.9,324,281.4,413.9,56.7,330.59999999999997
05,001,011,379,346,28,4,0,0,0,0,1,311,282,26,2,0,0,0,0,1,114.1,26.7,137.5,21.6,103.9,41.4,145,17.9,105.6,20.6,110.1,19.8,106.4,21.6,33.6,20.6,19.8,108.7,106.6,141.3,23.6,117.8
05,001,012,50,50,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,12.2,1.8,23.9,0.8,10.8,4.1,22,3.1,8.2,3.1,7.1,3.1,5.8999999999999995,4.1,2.8,3.3000000000000003,1.6,11.5,7.1,22.9,3,13
05,001,013,187,177,5,4,0,0,0,0,1,144,136,4,4,0,0,0,0,0,60,14.200000000000001,67.2,8.7,57.4,22.1,69.1,7.9,50.9,7.9,51.7,4.8,50.9,7.9,18.4,7.3,8.2,58.2,51,67.6,10.4,57.800000000000004
05,001,014,29,26,0,2,0,1,0,0,0,27,24,0,2,0,1,0,0,0,1.9000000000000001,5.2,7.1000000000000005,3.7,1.9000000000000001,7.1000000000000005,7.1000000000000005,3.7,2.8000000000000003,3.7,2.8000000000000003,3.7,2.8000000000000003,3.7,5.9,3.7,3.7,1.9000000000000001,2.8000000000000003,7.1000000000000005,4.3,3.9
05,001,015,171,156,4,11,0,0,0,0,0,133,125,1,7,0,0,0,0,0,82.3,11.1,87.1,5.9,74.8,21.8,87.1,7.2,67.6,8.5,72.2,7.2,68.9,8.5,15.8,8.2,6.3,78,69.10000000000001,87.1,9.5,76.6
05,001,016,93,85,8,0,0,0,0,0,0,77,73,4,0,0,0,0,0,0,23,14.4,32.1,10.5,16.8,19,32.1,7.7,19.900000000000002,12.200000000000001,18.1,14.4,19,14.4,16.2,14.1,8.6,19.7,19,32.1,13.6,23.099999999999998
05,001,017,278,269,0,0,0,0,0,0,9,224,218,0,0,0,0,0,0,6,71.7,14.7,77.3,15.700000000000001,66.2,23.8,80.8,11,67.2,6.1,65.1,8.1,63.099999999999994,11,19.3,8.2,13.299999999999999,69,65.1,79.1,12.600000000000001,70.1
05,001,018,1000,487,466,33,0,2,0,1,11,737,364,349,19,0,2,0,1,2,63.9,132.7,62.2,123,69.9,138.2,86.2,90,57.3,90.9,49.9,97.9,46,101.9,135.4,97.3,106.2,66.7,51.1,74.2,110.7,62.3
05,001,02,102,82,16,0,0,0,0,0,4,80,66,13,0,0,0,0,0,1,23.4,8.6,38.5,7.4,19.9,11.299999999999999,40,7.4,20.7,9.6,23.4,8.6,22.4,9.6,9.4,9.5,7.4,22,22.4,39.4,9,26.7
05,001,020,1170,925,160,57,3,8,0,1,16,856,724,87,31,2,6,0,0,6,223.6,73.4,226,70.7,199.1,100.5,241.79999999999998,47.9,171.4,54.8,166.5,54.2,154.1,60.7,86.5,55.5,59.1,211.3,164.8,234,65.5,197.8
05,001,021,1122,1013,76,16,2,2,0,0,13,903,811,69,10,2,2,0,0,9,280.6,81.9,300.4,66.9,270.5,113.9,304.1,56.8,266.3,54.3,261.9,60.8,247.7,72,98.3,62,61.8,276,258.3,302,72.39999999999999,276.3
05,001,022,2748,703,1894,84,5,2,0,6,54,2033,566,1374,61,5,1,0,6,20,138.8,451.7,168.8,437.1,176.7,449.2,229.6,351.3,188.1,308.5,149.7,340.1,131.4,362.5,450.8,337.8,394.7,157.2,154.9,198.9,385.9,168.8
05,001,026,3146,2139,816,99,9,46,0,1,36,2342,1692,516,77,8,35,0,0,14,666,358.1,716.9,351.5,650.3,417.1,775.8,289.9,636.2,249,587.5,289.9,568.1,310.3,387.6,284.3,320.9,658.2,596.1,745.9,323.6,658
05,001,029,3434,2544,684,146,2,21,0,1,36,2626,2018,453,112,2,17,0,0,24,707.7,363.9,789.4,354.9,676.9,427.7,842.5,291.8,699,256.4,651.5,300.5,607.5,332.3,397.2,296.8,323.4,691.1,652.4,815.7,332.9,710.6
05,001,03,892,746,130,7,1,0,0,1,7,711,587,115,3,1,0,0,1,4,189.1,86.5,241,82.8,173,113.7,244.1,75.3,156.7,54.7,152.9,60.2,143.3,69.4,99.8,60.8,78.6,180.9,151.1,242.2,76.9,185.5
05,001,032,185,77,106,2,0,0,0,0,0,150,58,91,1,0,0,0,0,0,18.9,42.9,18,36,24,53.1,26.1,30,18,33.9,15.9,38.1,14.1,39.9,47.800000000000004,37.2,33,21.400000000000002,15.9,22.2,39.1,19
05,001,033,64,60,4,0,0,0,0,0,0,56,52,4,0,0,0,0,0,0,9,7,14.9,9.9,11.1,9.9,14.9,9.9,9.9,7.8999999999999995,9,9,9,7.8999999999999995,8.4,8.299999999999999,9.9,10.2,9.2,14.9,8.799999999999999,11.200000000000001
