state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
09,001,01-001,2510,1887,69,275,5,196,0,26,52,1935,1522,55,185,3,137,0,15,18,734.1,501.90000000000003,920,519.8000000000001,754.2,479.2,717.1,413.09999999999997,649,493.00000000000006,651.8,468.90000000000003,664.8000000000001,448.2,744.1,670.7,920,490.4,455.90000000000003,519.8000000000001
09,001,01-002,4823,4196,52,286,5,196,5,21,62,3633,3216,38,177,3,151,3,14,31,1221.8,1304.1,1613.1,1424.7,1337.9,1238.5,1219.9,1091,1029.8,1271,1039.6,1243.2,1077.8,1187.8,1280,1091.8,1613.1,1271.2,1198,1424.7
09,001,01-003,5223,4664,71,232,2,154,0,40,60,3999,3620,55,147,2,113,0,31,31,1303.1,1449.4,1773.1,1422.9,1347,1468.7,1338.5,1169.5,1122.8,1369,1168.4,1308.5,1199.1,1266,1324.3,1207.1,1773.1,1459,1278,1422.9
09,001,01-004,5144,4035,116,583,3,262,0,55,90,3985,3230,85,377,3,199,0,44,47,1304,1082.1,1672.7,1132.6,1311.6,1087,1290.9,861.8,1110,1018.8,1126.9,989.6,1171.2,929.2,1307.6,1174.6,1672.7,1084.4,949.4,1132.6
09,001,01-005,884,816,7,43,0,12,0,0,6,656,606,5,31,0,9,0,0,5,213.9,237.8,290.90000000000003,233.2,221.10000000000002,240.9,219.6,191.7,184.3,224.6,191.6,214.6,196.7,207.6,217.7,198.1,290.90000000000003,239.4,209.3,233.2
09,001,01-006,7379,1742,2752,2463,22,256,2,25,117,5831,1589,2065,1859,18,205,1,18,76,1829.5,277,1854,421.9,1734.2,185.4,1293.8,160,1281.3,206.5,1218,182.2,1233,174.8,1781.8999999999999,1256.8,1854,231.1,181.2,421.9
09,001,01-007,5270,622,2147,2310,17,53,1,24,96,3832,559,1533,1613,17,42,0,15,53,1238.9,142.4,1228.1,236.8,1168.9,100.6,832.9,94.6,836.2,108.8,795.1,100.89999999999999,801.7,101.7,1203.9,816.5,1228.1,121.39999999999999,101.3,236.8
09,001,01-008,7843,280,4384,2915,30,56,4,31,143,5470,242,3230,1835,14,41,3,25,80,2010.4,116.8,1961.1,232.7,1906.2,70.1,1395.2,73.5,1402.3,94.7,1330.7,90.7,1340.8,88.7,1958.1,1367.3,1961.1,93.6,87.3,232.7
09,001,01-009,3168,437,1146,1446,2,56,1,31,49,2278,386,791,1012,1,41,0,20,27,695.9,117.7,716.5,174.9,665.3,80.8,506.09999999999997,67.5,495.5,91.4,473.7,75.2,479.1,74.4,680.8,488.3,716.5,99.10000000000001,77.1,174.9
09,001,01-010,299,9,80,188,0,10,5,7,0,223,7,63,134,0,9,4,6,0,65.6,12.5,69,18.099999999999998,63.599999999999994,8.9,49.300000000000004,7.300000000000001,47.5,10.2,45.9,7.7,46.4,8.1,64.60000000000001,47.3,69,10.7,8.3,18.099999999999998
09,001,01-011,2999,736,1045,1062,7,57,4,20,68,2280,657,773,748,6,43,2,15,36,812.3,235,902.8000000000001,284.3,835.1,151.6,671.2,146.5,646.4,178.4,629.1,162.3,638.3,159.1,823.5,646.2,902.8000000000001,193.4,161.6,284.3
09,001,01-012,3798,1175,1121,1312,2,63,0,45,80,2846,1031,762,912,2,53,0,35,51,1009.9,262.2,1137.9,331.5,1024.1,177.2,852.1,173.7,820.2,207.9,801.5,191.3,811,189.3,1016.8,821.2,1137.9,219.2,190.8,331.5
09,001,01-013,2799,446,1286,901,4,52,0,58,52,2035,386,953,588,3,46,0,33,26,857.5,123,927.3,157.2,840.7,79.2,666.5,77.3,651.3,98.5,639.1,87.5,639.4,86.4,849.1,649.2,927.3,101.1,87,157.2
09,001,01-014,5453,374,3111,1720,16,73,0,31,128,3829,331,2262,1071,10,51,0,23,81,1783.7,169.8,1869.4,266.8,1737.6000000000001,123.3,1377.3,99,1315.8,147.4,1320.6000000000001,126.7,1330.3,123.4,1760.8,1335.8999999999999,1869.4,146.5,123.9,266.8
09,001,01-015,3577,1253,1061,1024,14,72,1,69,83,2773,1102,756,748,12,52,1,52,50,1052.2,272,1171.8,296.4,1077.9,197.1,886.9,173,839,229,840.6,196.6,840.6,203.8,1064.8,852.2,1171.8,234.4,200.7,296.4
09,001,01-016,5952,1173,2398,1981,18,171,0,101,110,4365,1020,1679,1393,14,121,0,69,69,1595.4,271.8,1709.3,339.3,1579.7,177.6,1243.9,165.1,1221,210.8,1187.9,182.8,1195.2,183.3,1588.2,1211.9,1709.3,224.5,185.3,339.3
09,001,01-017,9657,5683,1420,1887,25,338,5,103,196,8183,5216,1070,1410,14,262,5,81,125,2104.9,937.2,2259.8,985.2,2266,623.1,1765.1,603,1639.9,762.1,1625.5,677.8,1641,666.6,2186.1,1667.6,2259.8,781,676.9,985.2
09,001,01-018,13422,5526,2937,3846,22,441,10,394,246,10443,4833,2100,2688,16,336,9,299,162,2957.5,1020.1,3074.9,1093.9,3067,730.2,2305.3,673.9,2199,830.1,2151.9,758,2208,718.1,3012.1,2216.1,3074.9,874.6,744.4,1093.9
09,001,01-019,1647,401,519,561,2,41,0,79,44,1236,340,379,386,2,32,0,65,32,294.1,54.7,301.5,74,283.1,40.4,208.4,41.199999999999996,205.6,47.5,200.20000000000002,43.3,197.9,44.6,288.5,203,301.5,47.4,44,74
09,001,01-020,9319,409,2574,6011,4,145,4,41,131,6394,357,1778,4011,4,124,4,30,86,1838,202.7,1603.8,390,1724.8,139.3,1093.3,110.1,1074.4,148.2,1028.2,128.6,1049,127.4,1781.3,1061.5,1603.8,171.3,128.3,390
09,001,01-021,13519,1570,4105,6799,36,396,9,337,267,9526,1325,2864,4541,27,312,7,260,190,1972,207.5,1955.3,317.4,1858.4,161,1261.3,107.4,1246.6,146.5,1208.6,122.5,1211.3,123.8,1915.1,1231.3,1955.3,183.9,124.3,317.4
09,001,01-022,5598,1043,1853,2136,5,135,0,213,213,4341,913,1424,1543,4,100,0,184,173,749.1,130.9,791.9,157.8,715.1,79.1,530.1,60,512.9,82.1,490.1,85,498.9,81,732,508.1,791.9,105.1,77,157.8
09,001,01-023,8393,2658,2314,2670,3,367,8,184,189,6405,2309,1631,1892,3,276,8,158,128,1930.1,557.4,2171.2,638.8,1951.8,417.1,1536.3,373.2,1461.3,466.6,1443.1,428.3,1463.1,411.7,1940.8,1475.8,2171.2,487.1,420,638.8
09,001,01-024,4164,564,1472,2011,6,39,3,8,61,2897,515,997,1301,6,37,3,7,31,922.8,124.5,891.6,179.8,876,104.1,676.7,86.7,651.9,123.8,637.1,106.4,653.6,101.5,899.3,654.5,891.6,114.3,104.6,179.8
09,001,01-025,6206,3917,558,1368,10,247,0,35,71,5250,3514,440,998,6,220,0,24,48,1665,798.1,2151.9,777.9,1781.6,629.9,1742.5,524.8,1555.1,718.6,1621.1,613.4,1622.7,584.1,1723.3999999999999,1635.5,2151.9,714.6,610.4,777.9
09,001,01-026,7490,769,2804,3302,5,416,3,31,160,5394,661,1999,2326,4,286,0,27,91,1406.2,159.2,1402.6,242.7,1294.3,130.1,1092.4,104.1,983.7,139.4,956.1,117.3,955.8,121.5,1350,996.7,1402.6,144.2,120.4,242.7
09,001,01-027,4044,356,1442,1895,4,251,0,29,67,2807,273,1017,1255,1,200,0,19,42,646.9,71,646.9,121.1,589,57.9,444,45,453,57,424.2,57,426,53.1,617.6999999999999,436.9,646.9,64.60000000000001,53,121.1
09,001,01-028,6976,1192,2209,2429,21,945,4,26,150,5516,1124,1712,1648,16,882,3,25,106,1110.3,178.1,1147.1,257.7,1045.6,145.9,792.1,106.5,773.6,128.4,757.6,123.7,759.9,117,1077.9,770.9,1147.1,161.7,118.5,257.7
09,001,01-029,1381,295,464,527,7,59,0,3,26,1236,293,416,439,7,58,0,2,21,528.8,78.4,558.1,106.5,477,66.1,397.90000000000003,38.4,389.5,49.5,375.7,43.2,371.90000000000003,46.6,503,383.7,558.1,72.3,44.4,106.5
09,001,01-030,3876,164,1270,2336,4,42,2,5,53,2792,136,916,1671,2,35,2,3,27,957.9,75,1009,167.2,882.6,51.8,678.1,35.9,678.8,55.9,655,37.2,655,38.3,920.4,666.5,1009,63.4,42.1,167.2
