state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_car,uss_18_rep_arl,uss_20_dem_coo,uss_20_rep_wit,gov_16_dem_car,gov_16_rep_bon,gov_20_dem_car,gov_20_rep_mur,atg_18_dem_jen,atg_18_rep_pep,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
10,001,01-28,2191,876,1046,145,5,16,0,13,90,1401,638,635,88,5,8,0,2,25,486.6,219.4,564.9,256.9,395.8,124.8,547.7,233.2,507.3,175.7,552.8,237.4,391.5,137.9,496.90000000000003,393.8,555.1,197.6,131.20000000000002,242.39999999999998,492.4,198
10,001,01-29,8339,6063,1586,376,60,112,2,8,132,6027,4534,1087,215,43,78,2,3,65,2014.7,2406.3,2864.3,2933.8,2089.3,1763.6,2859.8,2725.8,2356.1,2047.4,2885.1,2784.6,2067.1,1804,2184.9,2078.2,2869.5,2227.1,1782.9,2814.8,2448.5,2352.3
10,001,01-30,5252,4044,770,209,26,53,0,10,140,3942,3117,563,125,20,40,0,6,71,859.6,1471.3,1163.2,1678.1,771.5,1058.2,1168.7,1583.7,981.3,1365.1,1182.8,1606.9,839.8,992.6,921.2,804.9,1170.9,1417.7,1024.7,1622.6,995.2,1394.1
10,001,01-31,531,405,82,22,3,4,0,3,12,414,325,66,13,1,4,0,2,3,87.8,139.1,115.9,158,85.39999999999999,106,113.60000000000001,151.9,97.7,129.8,116.8,153.4,89.5,102.7,92.8,87.4,115.5,134.5,104.2,154.5,101,134.4
10,001,01-32,5239,2273,1973,655,19,124,9,8,178,3886,1908,1342,440,17,101,4,3,71,1130.7,565.3,1558.2,633.9,980,389.6,1446.6000000000001,606.8,1105.7,559.3,1484.6000000000001,597.4,980.8,404,1118.5,981,1496.1,562.7,397.2,613,1241.4,536.4
10,001,01-33,661,457,139,31,4,11,0,4,15,499,346,107,22,2,11,0,3,8,184.1,182,228,234.9,171,152,230,223,186.9,188,229.1,228,177.1,144.1,185.4,173.9,229.1,185.20000000000002,148,228.5,201,193.1
10,001,01-34,316,204,59,15,0,29,0,2,7,255,171,51,10,0,19,0,0,4,91.39999999999999,93,110.7,92,90.5,81.2,113.7,87.60000000000001,92.3,97.5,108.3,95.6,90.2,79.1,91.7,90.3,110.9,95.39999999999999,80.2,91.7,99.5,89.5
10,001,02-28,4241,2922,902,244,10,50,1,10,102,3156,2271,636,151,9,38,1,6,44,878.2,866,1131.1,888.1,808,559.9,1103.7,843.1,1022.9,703.9,1118,846.1,810.9,569.7,950.5,809.2,1118.5,784.1,564.5,859.2,981.8,752.8
10,001,02-29,7093,4297,1835,330,173,179,2,21,256,5097,3232,1278,187,153,127,1,11,108,2084.6,1576.7,2949.8,1872.4,2008.2,1199.1,2878,1745.8,2155.9,1468.9,2911.9,1784.5,2010.6,1226.4,2120.2,2009.7,2912.6,1523,1212.9,1800.4,2428.7,1553.8
10,001,02-30,706,568,88,23,4,4,0,2,17,538,439,63,17,4,4,0,1,10,103,156.2,145.8,175.8,100.5,110.6,146.4,163.9,120.8,142.7,148.3,165.29999999999998,104.6,108.2,111.5,102.4,147,149.2,109.6,168.3,124.3,146
10,001,02-31,3448,1931,1022,138,20,178,0,10,149,2671,1571,767,109,16,139,0,4,65,943.3,559.5,1155.3,531.8,818.5,404.3,1129.8,496.2,970.4,560.7,1130.2,526.1,792,433.59999999999997,957,805.1,1138.5,559.8000000000001,418.8,518.4,991.8000000000001,501.7
10,001,02-32,3281,1626,1230,256,21,42,3,9,94,2404,1368,791,148,16,38,3,0,40,697.8,484.3,846.3,513.1,577.4,369.6,802.6,475.3,694.3,499,817.1,505,594.2,359.4,696,586.2,821.7,491.3,363.8,498,718.5,457.90000000000003
10,001,02-33,4334,2886,912,240,11,122,1,11,151,3030,2087,630,133,5,97,1,2,75,1093.8,1260,1672.9,1505.5,1157.4,1026.2,1649.9,1433.8,1121.4,1284,1680.2,1460.6,1167.8,1034.6,1107.5,1162.7,1667.6,1271.9,1030.5,1466.5,1363.4,1286.6000000000001
10,001,02-34,457,391,34,18,0,4,0,0,10,340,296,28,7,0,4,0,0,5,49.4,137.79999999999998,66.9,149.3,52.1,101.9,67.1,142.20000000000002,65.7,127.3,69.5,142.4,56.6,99.8,57.4,54.4,68,132.5,100.8,144.6,61.1,128.7
10,001,03-28,598,395,136,42,2,3,0,1,19,434,299,101,25,0,3,0,0,6,133.7,130.7,172.8,140.3,124.9,83.6,172.4,132,154.1,109.2,172.3,133.3,125,86.6,144,124.89999999999999,172.29999999999998,119.8,85.2,135.2,150.6,116.6
10,001,03-29,3296,2744,294,106,54,19,1,9,69,2433,2051,220,64,48,19,1,4,26,535.9,846.3,792.1,975.3,557.2,625.1,792,926.6,608.3,774.2,814.6,929.1999999999999,568,611.7,572,562.8,799.7,810,618.3,943.7,667.1,813.1
10,001,03-30,3522,3058,226,94,12,20,0,9,103,2771,2474,164,51,10,17,0,6,49,335.8,1269.4,476.6,1423.9,379.6,900.4,490.9,1358.9,475.8,1130.9,504.1,1373.2,429.7,851.4,405.9,403.2,489.9,1200,876.9,1385,441.8,1186.3
10,001,03-31,4149,2303,1395,166,27,140,0,7,111,3162,1941,932,91,20,118,0,6,54,1249.1,834.1,1602.1,868.2,1136,642.8,1602,795.9,1276.3,845.9,1605.1,828,1105.1,678.9,1262.7,1120.4,1603.2,840.1,660.8000000000001,831,1368.2,784.6
10,001,03-32,2897,1609,924,151,2,89,1,8,113,2196,1325,658,82,2,73,1,8,47,764.3,566.1,917.8,539.5,675.3,451,889.9,533.6,758.7,581.5,887.4,540.7,684.1,459.4,761.7,679.8,898.1999999999999,574,455,538.1,796.8,524.5
10,001,03-33,2615,1963,391,141,14,47,0,0,59,2011,1546,307,90,14,28,0,0,26,518,849.1,710.1,869.1,528.9,662,705.3,821,556.5,857.3,707.9,834,572.7,617.1,537.5,551,707.9,853.2,639.6999999999999,841.4,614.2,786.5
10,001,03-34,4850,3222,1120,231,19,90,3,9,156,3500,2473,750,124,15,72,2,4,60,935.3000000000001,1237.7,1222.2,1395.8,869.7,937.9,1222.2,1315.5,1002.1,1207.2,1237.3,1327.9,901.6,927.2,968.3,884.8,1227.1,1222.2,933.2,1346,1055.5,1192.9
10,001,04-28,178,76,57,35,0,1,0,1,8,112,52,40,17,0,1,0,0,2,22,31.8,34.5,42.6,21.2,28.3,34.5,38,27.900000000000002,25.6,37,38.9,21.4,28.3,25.099999999999998,21.3,35.3,28.5,28.3,39.8,28.4,33.5
10,001,04-29,809,488,209,31,18,37,1,2,23,601,366,159,19,15,32,1,2,7,127.5,202.1,167.9,229.4,124.10000000000001,153.9,165,220.5,141.8,188.2,169.7,222.79999999999998,129.9,149,134.6,127.1,167.5,195.1,151.5,224.20000000000002,146.6,195.20000000000002
