state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_isa,uss_16_dem_bar,uss_20_rep_per,uss_20_dem_oss,gov_18_rep_kem,gov_18_dem_abr,atg_18_rep_car,atg_18_dem_bai,sos_18_rep_raf,sos_18_dem_bar,sos_r18_rep_raf,sos_r18_dem_bar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
13,001,1A,355,332,11,6,0,6,0,0,0,270,251,10,5,0,4,0,0,0,157.5,10.5,180.8,9.1,145.8,11.4,174.9,11.1,157.3,6.8,151.5,9.3,144.2,18.3,63.3,8,10.8,11.6,9.9,151.29999999999998,151.20000000000002,177.7,10.5,146.9
13,001,1A1,395,368,0,23,0,0,0,0,4,303,287,0,12,0,0,0,0,4,185.5,10,208.9,7.2,171.7,12,202.5,8.7,184.2,5.8,178.2,8.3,171,18.3,73.4,8.7,11.3,10.6,7.7,178.20000000000002,178.1,205.7,9.8,171.9
13,001,1B,1953,1765,101,65,2,5,0,0,15,1429,1320,63,34,1,5,0,0,6,661.6,88.2,839,112.1,613.5,78.3,798.5,130,676.5,75.5,639.5,90.1,592.5,134.9,282.3,38.3,83.1,99.6,120.6,637.8,636,818.7,93.1,638
13,001,1C,1404,1139,49,184,4,13,0,0,15,1010,851,33,108,3,7,0,0,8,391.5,36.3,468.5,38.6,359.3,38,457.2,38.4,393.1,34.6,367.8,41,336.1,80.2,152.9,20.8,36.8,51.7,38.5,375.7,365.6,463.2,40.4,365.7
13,001,1D,454,224,164,66,0,0,0,0,0,396,189,164,43,0,0,0,0,0,155,20.6,193.4,21.7,143.4,18.3,187.3,21.9,160,17.2,150.5,19.8,138.8,34.5,59.4,9.8,19.4,23.6,21.9,149.3,149.9,190.3,20.4,148.7
13,001,2,3007,984,1786,217,2,0,0,3,15,2136,750,1272,108,1,0,0,2,3,351.1,602.3,432.9,737,363.8,472.1,422.2,702.2,328,619.2,328.5,577.2,293.6,621.5,122.8,245.9,536.3,607.8,719,357.7,318,428.1,572.2,329.8
13,001,3A,417,410,3,3,1,0,0,0,0,331,326,1,3,1,0,0,0,0,209.3,3.9,228.2,7.3,194.2,5.8,221.2,9.8,201.4,6,194.7,9.3,186.3,20.1,80,9.8,4.8,12.200000000000001,7.9,201.20000000000002,194.6,224.7,8.6,188.8
13,001,3B,481,246,200,22,2,3,0,1,7,365,191,151,14,2,3,0,1,3,101.8,97.5,158.6,53.4,93.1,89.1,153.4,52.7,138.3,37.4,130.4,38.1,121.5,49.3,53.4,16.7,92.9,41,53,98.2,130.1,156.5,53.8,119.2
13,001,3C,2742,1788,608,286,3,35,0,0,22,2049,1443,400,177,3,21,0,0,5,746.3,291.7,777.6,398.8,729.5,220.6,755.5,386,662.2,304.5,634.1,296.8,585.4,353.2,259.7,128.8,255.2,318.3,392.2,738,627.8,767.9,297.2,642.5
13,001,4A,605,539,47,6,0,5,0,0,8,472,430,35,4,0,3,0,0,0,262.2,13.9,310.4,10.1,244.4,9.4,304.3,12.9,274,6.1000000000000005,264.4,9.1,249.9,26.1,113.2,2.4,11,13.6,11.200000000000001,252.9,263.8,306.9,10.200000000000001,253
13,001,4B,647,568,12,59,1,3,0,0,4,513,465,12,31,1,3,0,0,1,306.1,6.5,336.7,10.5,289.9,2,331.6,14.8,298.8,6.1000000000000005,286.6,9,272.40000000000003,27.6,123.8,2.9000000000000004,3.3000000000000003,13.4,11.4,296.2,285.7,333.9,9.4,280.1
13,001,4C,691,607,24,53,4,0,1,0,2,529,479,13,32,4,0,1,0,0,283.9,10,322.6,40.2,259.3,11.700000000000001,314.7,40.2,273.6,24.400000000000002,261.3,29.3,252.29999999999998,42.4,117.4,16.3,10.6,32,40.2,271.3,262.2,318.1,26.9,261
13,001,4D,1585,1174,88,257,11,40,0,3,12,1188,913,48,183,6,33,0,0,5,625.1,82.4,725,90.6,573.6999999999999,79.1,707.2,90.5,614.4,54.9,587.1,65.5,566.7,95.5,264,36.6,81,71.7,90.6,598.3,589.3000000000001,714.9,73.6,584
13,001,5A,1868,1369,116,345,5,13,0,3,17,1354,1058,70,203,5,8,0,2,8,530.6,70.5,697.4,117.8,492.7,54.5,659.5,114.8,553.9,76.7,516,88.6,487,131.1,187.5,29.5,61.2,98,116,512.8,518.5,679,85,515.8
13,001,5B,772,676,16,62,0,1,10,0,7,559,506,13,31,0,1,5,0,3,220,52,300.1,55.9,208,39.8,286.4,57.3,241.5,38,229.1,43.4,215.6,60.6,80.5,20.6,45.5,47.300000000000004,56.7,213.8,228.7,293.4,46,222.9
13,001,5B1,248,99,123,26,0,0,0,0,0,172,73,86,13,0,0,0,0,0,67.8,16.1,92.3,17.2,63.7,12.1,88,17.5,74.2,11.9,70.4,13.4,66.4,18.6,24.7,6.3,14,14.5,17.4,65.7,70.3,90,14.1,68.6
13,001,5C,612,566,12,24,5,1,0,0,4,466,436,8,15,4,1,0,0,2,247.3,24.4,250.1,46.6,223.2,31,238.4,47.6,201.20000000000002,31.900000000000002,190.6,36.2,180,50.3,66.9,17.1,27.6,39.5,47,235.1,190.4,244,36.3,199.9
13,003,0001,2963,2096,187,634,16,3,3,2,22,2115,1579,141,366,15,2,3,0,9,848.7,136.3,1026.6,160.5,758.8,117.1,1008.3,164.2,834.6,115.4,790.2,128.4,767.7,147,289.9,32,125.3,129.4,162,803.6,796.1,1014.9,125.7,790.8
13,003,0002,1122,877,41,198,0,3,0,0,3,819,669,28,119,0,2,0,0,1,375.4,29,478.9,44.8,321.6,34.1,461.2,45.9,392.2,26.2,366.2,32.5,363.9,37.1,134.8,4.4,31.8,32.5,45.6,348.6,373.8,469.7,32.4,361.7
13,003,0003,2173,1212,542,389,10,1,0,0,19,1553,935,382,222,8,1,0,0,5,488.5,257.5,566.7,290.5,444.7,225.5,565,269.5,487.1,245.5,463,246.8,447.7,251.5,189.3,96.3,241.6,247.5,279.2,466.3,465.9,565.7,235.9,457.3
13,003,0004,2117,591,658,818,5,10,11,2,22,1458,459,462,502,2,10,8,1,14,163.3,275.1,229,330.1,153.4,220.7,237.6,292.2,163.3,250.3,149,235.8,144.7,243.6,46.5,57.6,247.7,243.5,309.8,158.6,151.8,232.7,237.6,161
13,005,DOUGL,6269,4192,1492,463,5,24,5,6,82,4634,3261,1022,295,4,20,5,1,26,1579.2,474.2,2252.3,352.7,1426.3,357,2205.6,330.2,1857.9,274,1786.1,287.8,1743.5,330.6,748.5,111.2,413.1,295.3,340.7,1500.6,1793.2,2224.6,318,1700.8
13,005,NEWL,1978,1626,140,189,3,2,5,0,13,1488,1237,109,130,3,1,1,0,7,695.4,58.5,723.3,114,646.1,47.4,709.1,105.8,596.3,88.5,573.3,92.3,560.5,105.9,240.3,34.9,52.7,94.5,110,669.4,575.6,714.8,81.4,593.7
