state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_you,uss_16_dem_bay,uss_18_rep_bra,uss_18_dem_don,gov_16_rep_hol,gov_16_dem_gre,gov_20_rep_hol,gov_20_dem_mye,atg_16_rep_hil,atg_16_dem_arr,atg_20_rep_rok,atg_20_dem_wei,sos_18_rep_law,sos_18_dem_har,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
18,001,00010,1476,1364,9,81,2,9,0,1,10,1084,1022,4,47,2,6,0,0,3,573.8,123.8,581.7,136.9,523.1999999999999,168.8,410.8,146,531.8000000000001,180.2,497.2,106.2,598.4,116.7,577.6,151.9,445,116.7,147.6,131.2,131.6,556.7,427.3,552.3,139.3,526.1999999999999
18,001,00020,1461,1359,12,69,1,9,0,0,11,1022,976,6,30,1,4,0,0,5,529.8000000000001,101.2,605.2,131.8,492.2,142.9,438.4,107.2,501.2,141.2,518,97.8,557.8,91,591.2,142.9,464.2,86.1,119.4,96.7,123.9,520.1,451,571.8,115.8,522.1
18,001,00030,1062,1041,0,10,2,4,0,1,4,928,914,0,6,2,4,0,1,1,515.9,106,560.8,128,492,134.9,457.9,115.3,492,153.1,536.4,78.9,548.9,83.9,540,131.7,492,88,119.5,101.7,112.8,512.2,474.9,546,113.10000000000001,515.2
18,001,00060,1440,1438,0,0,1,0,1,0,0,735,733,0,0,1,0,1,0,0,187.4,28.2,212.20000000000002,24,160.6,39.3,151.7,25,157,49.8,171,15.5,184.8,24,197.7,34.9,160.6,13.6,35.3,19.3,24.3,171.8,155.8,193.7,28.3,176
18,001,00070,2422,2214,22,162,2,8,0,1,13,1777,1652,16,99,2,3,0,0,5,672.2,332.5,738.3,372.3,570.8,428.3,475.2,334.3,582.6,451.6,689.7,234.6,738,298.4,727.9,384.3,529.7,270.7,377.8,301.8,330.6,640.9,502.6,718.6,345.4,636
18,001,00090,2167,1923,4,212,6,9,0,0,13,1631,1491,1,128,4,4,0,0,3,517.5,301.7,606.7,343.3,466.3,330,393.1,300.7,451.5,372.7,550,219.7,543.2,288.5,593.9,355.9,440.1,249.1,324.7,274.8,306,494.4,416.1,583.6,306.4,506.7
18,001,00110,1548,1369,7,143,8,10,0,1,10,1212,1099,7,87,6,7,0,1,5,298.7,164.3,365.6,203.8,243.6,195.1,215.70000000000002,161.1,247.6,215.1,304.5,152.3,327.7,147.3,339.9,219.7,245.5,135,180.9,147.5,191.7,279.1,230.7,336.8,177.3,287.7
18,001,00120,807,773,4,22,2,4,0,0,2,647,626,3,12,2,3,0,0,1,384.2,155.1,459.2,185.9,316.8,216,306,182.8,326.8,216,430,123,397.9,133.8,452.3,181.2,350,148,180.29999999999998,165.2,163.4,356.4,327.8,447.3,171.3,380.5
18,001,00130,2466,2158,10,253,10,4,2,0,29,1827,1645,3,157,5,2,2,0,13,608.3,292.2,727.4,356.5,497.6,381.4,432.7,339.6,488.3,430.6,629.5,241.5,624.9,289.8,705.2,389,488.3,295.3,348.7,317.4,328.8,554.9,460.5,687.2,335.4,578.2
18,001,00150,1660,1560,0,79,8,5,0,0,8,1270,1210,0,49,5,3,0,0,3,548.9,192.2,617.8,226.6,477.5,256,430.2,228.6,463.6,304.7,566.1,139.5,578.3,195,612.9,223.8,453.5,196.8,237.1,212.3,196.4,516.6,441.3,599.3,218.6,527.3
18,001,00160,1083,1062,5,6,1,3,0,0,6,635,626,0,3,1,1,0,0,4,315.3,32.9,337,36.5,306.2,57.4,282.3,44,309.09999999999997,57.4,298,26.2,332.6,33.9,336.5,37.8,287.9,36.5,45.5,39.9,33.8,315.5,285,323.3,40.3,311.6
18,001,00170,1293,1193,8,70,2,2,0,6,12,984,934,2,36,1,2,0,3,6,368.8,108.4,413,137.7,305.5,147.5,278,123.9,307.7,170.6,354.2,96.5,381.4,104.3,396.9,158,304.5,101.6,132.6,112.3,130.9,341.5,291,388.2,127.2,345.7
18,001,00180,872,846,4,13,1,0,0,0,8,578,566,1,3,1,0,0,0,7,289.3,45.3,304.8,57,264.9,71.1,228.6,50.2,262.3,68.2,236.7,38.7,290.2,45.3,309.6,53.7,238.8,40.9,57.800000000000004,45.4,50.4,276.2,233.20000000000002,284,52.6,269.9
18,001,00190,1089,1084,0,1,1,1,0,0,2,528,524,0,1,1,1,0,0,1,134.2,24,142.6,21.1,111.3,46.4,117.1,27.4,123.4,38.6,115,17.9,139.1,22.900000000000002,134.2,28.8,123.9,17.9,32.4,23.1,22.5,126.89999999999999,120.2,131.4,27.2,126.5
18,001,00200,929,897,0,28,0,0,0,3,1,624,611,0,13,0,0,0,0,0,417,52.7,414,74.1,368.9,94.7,331.1,72.1,351.9,129.7,374.4,43.1,417,50.1,412.6,71.3,351.9,48.2,81.7,60.1,62.4,388.6,341.1,400.9,71.1,382.3
18,001,00210,163,154,0,9,0,0,0,0,0,115,111,0,4,0,0,0,0,0,57,14.200000000000001,64.7,18.099999999999998,47.5,19.8,45.6,17,50.3,18.099999999999998,51.300000000000004,13.3,56,16.3,58,23.7,43.8,16.3,17,16.6,18.3,52.6,44.699999999999996,58,17.5,52.6
18,001,00220,677,662,0,10,0,2,0,0,3,469,462,0,5,0,1,0,0,1,256,78.2,303.7,81.1,223.3,116.10000000000001,188.6,108.1,228.9,119.8,250.1,57,275.9,68,309.09999999999997,76,218.9,68.9,95.3,88.3,71.5,245.8,203.8,287.5,86,250.5
18,001,00230,849,808,0,38,0,0,0,0,3,701,677,0,23,0,0,0,0,1,224.9,51.6,282.3,59.5,196.6,71.5,194.2,62,189.79999999999998,92,255.5,32.5,231.5,51.3,269,72.1,204.5,60.7,67.4,61.2,55,210.2,199.6,269.1,61.4,228.1
18,001,00240,1069,1019,0,41,0,1,2,0,6,813,785,0,22,0,1,2,0,3,446.1,100.5,490.5,115.8,394,158.4,339.7,124.3,388.3,176.9,449.1,77.5,463.8,98.9,480.8,126.8,357.4,106.1,133.7,115.4,106.3,422.8,348.6,473.4,121.2,423.2
18,001,00250,2705,2664,4,30,1,2,0,0,4,1396,1378,1,14,1,1,0,0,1,381.7,31.7,394.3,30.5,341.6,64.5,312.4,38.6,338.4,82.7,325.9,21.2,380.4,33.2,375.3,42.8,317,28.2,52.4,31.900000000000002,30.7,361.5,313.9,364,40.8,351.5
18,001,00260,1330,1289,3,32,0,1,2,1,2,888,867,0,17,0,1,1,1,1,420.8,118.1,472.9,117.3,355.3,180,328.3,135.5,354,203.8,402.1,71.6,446.7,102.1,459.8,127.9,353.7,104.5,151.4,119.7,105.5,393.8,341.7,444.2,129.1,400
18,001,00270,1308,1285,0,17,0,0,0,0,6,923,906,0,13,0,0,0,0,4,452.1,104.1,474.1,110,359.3,170.4,310,121.9,350.7,200.9,422,64.7,448.9,110.7,443.2,127.9,326.6,106.6,146.7,114.4,100.7,402.7,318.4,446.5,123.9,398.3
18,001,00280,922,883,1,31,2,0,0,0,5,703,684,1,14,2,0,0,0,2,364.2,93.6,403.6,85.8,308.1,138.2,264.7,109.9,311,161,360,53.7,379.5,99.8,393,92.9,293.4,89,123.5,99,77.2,341.09999999999997,279.2,385.9,102.6,342.3
18,001,00290,2407,2347,5,27,6,3,0,0,19,1294,1260,3,16,5,2,0,0,8,253.70000000000002,45.6,259.5,56.1,212.8,72.8,207.1,52.1,230.6,63.1,233.3,35.5,251.7,43.2,256.8,55.1,212.1,43.2,55.7,47.7,49.3,237.4,208.7,250.6,52.1,235.1
18,001,00300,1182,1129,4,28,4,1,0,1,15,889,862,2,14,1,1,0,1,8,429.2,107.7,452.9,127,394.1,138.9,369.7,120.7,370.9,173.3,420.7,83.5,456.90000000000003,98.8,459.8,128.9,392.1,102.1,130.20000000000002,111,113.3,412.4,381.5,444.5,120.1,415.9
18,003,00010,77,74,3,0,0,0,0,0,0,48,46,2,0,0,0,0,0,0,22.9,11.399999999999999,25.4,15.1,21.6,13.6,18.9,13.3,22.200000000000003,13.5,28.5,9.3,26.6,8.8,27.299999999999997,13.5,21.1,11.100000000000001,11.8,12.299999999999999,12.600000000000001,23.4,20,27,12.1,23.8
18,003,00020,888,778,51,36,0,11,0,1,11,657,601,30,15,0,6,0,0,5,163,206.8,174.1,240.8,145.9,218.1,147.2,190.2,151,228.1,214.4,170.7,200,182.1,190.6,222.2,162.4,173.2,208.6,181.9,211.2,165,154.8,193.2,203.7,172
18,003,00030,1365,714,405,50,1,142,0,5,48,953,620,201,27,1,87,0,0,17,128.1,190.1,123,209.9,125,187.9,112,156.9,131.9,185.1,155,171.9,150.1,174,129.9,206.1,118.9,144.9,184.20000000000002,150.9,196,133.79999999999998,115.6,135.8,180.8,130.3
18,003,00040,1131,768,225,48,2,23,3,3,59,876,663,137,29,2,15,3,0,27,113.9,149.9,125,184.1,124.10000000000001,143,77.10000000000001,134,125,149.9,134.9,158.9,137,146,132,179,82,130.9,147.1,132.4,173.9,125,79.4,130.6,152.9,116.8
18,003,00050,1600,1405,79,55,1,9,1,2,48,1178,1067,57,29,1,6,1,0,17,365.1,249,374.8,321,346,273.09999999999997,246.1,256,351,288.9,415.8,208.1,430.9,206.9,382.1,309.8,279.2,225.1,254.3,240.5,279.7,373.4,262.4,390.9,259.6,354.5
