state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
21,001,NA,18656,17558,501,319,36,43,4,9,186,14450,13680,413,194,25,34,3,3,98,6637.4,1322.4,5896.3,2070.4,1696.4,NA,NA,6265.1,NA,NA
21,003,NA,19956,19203,159,297,55,31,0,7,204,15069,14603,120,162,47,17,0,1,119,6471.7,1350.7,5980.2,1948.9,1647.5,NA,NA,6225,NA,NA
21,005,NA,21421,20314,427,288,29,104,3,14,242,15975,15277,336,158,22,74,1,9,98,8267.5,2649.4,6929.2,4496.9,3573.6,NA,NA,7597.6,NA,NA
21,007,NA,8249,7762,238,90,11,13,1,0,134,6421,6100,180,55,7,11,1,0,67,3160.9,815.7,2724,1366.1,1089.8,NA,NA,2942.2,NA,NA
21,009,NA,42173,38597,1617,1110,62,181,5,40,561,31957,29663,1230,661,56,130,2,10,205,13435.5,4264.8,10838.6,7438.8,5852,NA,NA,12133.2,NA,NA
21,011,NA,11591,11130,152,157,18,17,2,3,112,8725,8429,124,88,13,13,2,0,56,3085.5,1357.9,2325.9,2153,1755.8,NA,NA,2705,NA,NA
21,013,NA,28691,27297,633,198,48,77,3,13,422,22462,21483,499,126,43,59,3,4,245,7759.6,1717.7,6635.5,2634.2,2174.2,NA,NA,7197.1,NA,NA
21,015,NA,118811,106955,2928,4205,192,2514,76,146,1795,85232,78008,1991,2549,147,1748,49,59,681,39082.5,15027,42029.7,15302.2,15165.3,NA,NA,40558.2,NA,NA
21,017,NA,19985,17027,1187,1368,26,59,0,24,294,15172,13262,907,825,25,40,0,8,105,5555.4,2783.2,4398.2,4338.5,3560.1,NA,NA,4976.4,NA,NA
21,019,NA,49542,46463,1374,714,99,222,3,55,612,38949,36725,1148,499,85,176,3,14,299,13589.1,6020.8,10729.9,9532.2,7774.9,NA,NA,12157.4,NA,NA
21,021,NA,28432,24704,2106,796,47,211,7,49,512,22274,19726,1656,492,39,142,6,9,204,7878.1,4222.3,6840,5850.9,5034.9,NA,NA,7359.3,NA,NA
21,023,NA,8488,8251,29,96,17,5,0,3,87,6336,6199,19,54,12,5,0,3,44,2710.2,703.3,2486.6,962.8,831.4,NA,NA,2597.7,NA,NA
21,025,NA,13878,13575,43,89,12,67,12,9,71,10658,10492,12,50,8,40,6,1,49,4008.7,1541.1,2868.8,2680.5,2111.7,NA,NA,3436.8,NA,NA
21,027,NA,20059,19134,404,175,58,42,2,9,235,15209,14609,321,99,46,25,2,5,102,6504.9,1963.3,5434.7,3239.7,2601.7,NA,NA,5969.5,NA,NA
21,029,NA,74319,71368,472,1038,223,369,19,45,785,55536,53687,315,608,182,272,18,20,434,26211.1,8254.3,23023.7,12617.8,10435.2,NA,NA,24615.9,NA,NA
21,031,NA,12690,12182,47,322,20,19,0,2,98,9764,9420,28,224,18,12,0,1,61,4398.5,940.8,4027.8,1435.8,1186.5,NA,NA,4211.9,NA,NA
21,033,NA,12984,11952,664,129,15,33,2,18,171,10099,9425,476,74,13,24,2,9,76,4480.6,1255.2,3863.3,2028,1641.2,NA,NA,4174.1,NA,NA
21,035,NA,37191,33672,1375,890,67,650,7,31,499,30479,27864,1086,601,54,573,7,16,278,10367.3,4748.4,9844,6152,5447.1,NA,NA,10100.2,NA,NA
21,037,NA,90336,84406,2253,1495,99,720,15,99,1249,69736,65894,1635,988,91,543,10,36,539,25001.3,14634.7,27367.1,14902,14764.4,NA,NA,26181.7,NA,NA
21,039,NA,5104,4906,35,83,23,14,0,2,41,3950,3822,27,51,15,11,0,2,22,2093.7,431.7,1814.3,767.9,600.3,NA,NA,1954.2,NA,NA
21,041,NA,10811,9575,160,789,25,58,2,8,194,8093,7305,135,507,21,44,2,1,78,2595.6,1107.1,2199.4,1627.9,1366,NA,NA,2397.4,NA,NA
21,043,NA,27720,26930,145,321,65,46,2,6,205,21216,20703,111,189,50,33,2,1,127,7588.5,2274.5,5642.9,4428.7,3350.2,NA,NA,6614.2,NA,NA
21,045,NA,15955,15326,80,378,27,27,0,2,115,12190,11802,66,220,17,23,0,1,61,5480.9,768.6,4789,1516.7,1141.6,NA,NA,5134.2,NA,NA
21,047,NA,73955,50709,15445,4541,331,728,271,79,1851,52880,37955,10536,2600,255,566,176,35,757,14106.2,7189,14076.2,7677.3,7430.7,NA,NA,14087.1,NA,NA
21,049,NA,35613,32407,1693,891,48,125,4,25,420,27244,25181,1255,487,40,85,3,8,185,10690.1,4699.1,9004.5,7109.1,5904.9,NA,NA,9846.5,NA,NA
21,051,NA,21730,20189,900,402,32,26,3,5,173,16958,15642,821,340,29,17,2,1,106,5875.6,753.9,4929.3,1509.9,1130.7,NA,NA,5400.1,NA,NA
21,053,NA,10272,9865,39,231,18,13,7,3,96,7821,7572,20,142,14,10,2,1,60,3809.3,546,3513.4,678.1,611.2,NA,NA,3660.5,NA,NA
21,055,NA,9315,9065,76,48,32,17,7,5,65,7205,7020,65,37,22,10,2,4,45,3291.3,617.4,2877.6,1091.6,852.8,NA,NA,3085.2,NA,NA
21,057,NA,6856,6508,177,63,6,8,0,7,87,5332,5099,151,34,6,6,0,1,35,2500.2,458.7,2258.9,630.2,544.5,NA,NA,2376.6,NA,NA
21,059,NA,96656,87005,4583,2525,112,670,47,177,1537,73051,67263,3244,1433,96,463,32,51,469,28896.9,14158.8,26644.3,18763.2,16457.1,NA,NA,27768.2,NA,NA
21,061,NA,12161,11733,166,100,37,25,1,0,99,9504,9185,137,71,34,17,1,0,59,4134.8,978.5,3554.4,1648.9,1312.9,NA,NA,3843.8,NA,NA
21,063,NA,7852,7473,262,62,9,4,7,2,33,6252,5906,261,40,9,4,3,2,27,2001.2,739.9,1158.3,1477.7,1107.2,NA,NA,1581.1000000000001,NA,NA
21,065,NA,14672,14407,28,101,30,14,0,7,85,11333,11162,16,63,21,12,0,1,58,4218.6,1102.9,3515.3,1912.8,1508.3,NA,NA,3867,NA,NA
21,067,NA,295803,216072,42336,20474,599,9506,107,546,6163,233170,178038,30820,13394,473,7279,75,243,2848,56889.7,69775.5,54063.5,82399.6,76089.3,NA,NA,55477.9,NA,NA
