state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_dem_bid,pre_20_rep_tru,uss_18_rep_new,uss_18_dem_klo,uss_20_dem_smi,uss_20_rep_lew,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
27,001,0005,2165,2048,17,27,33,7,1,0,32,1684,1620,15,9,25,5,1,0,9,590.2,374,464.6,665.4,360.8,475.6,437.4,582.9,427.6,399,447.2,339.6,427.7,378.9,374,398.1,451.4,590.2,415.59999999999997,623.7
27,001,0010,856,828,0,12,4,0,0,0,12,666,648,0,9,2,0,0,0,7,320.8,138.9,170.3,342.8,229.3,200.2,155.8,328.3,265.9,154.7,280.6,124,267.1,138.2,138.9,154.2,162.4,320.8,261.4,335.5
27,001,0015,278,274,0,1,1,0,1,0,1,246,242,0,1,1,0,1,0,1,95.1,56.6,73.8,106,65.2,83.8,77.9,94.3,78.5,69.7,77.9,65.2,78.5,70.5,56.6,72.3,76.1,95.1,75.1,100.6
27,001,0020,42,41,0,0,0,0,0,0,1,35,34,0,0,0,0,0,0,1,8.9,8.1,11,12.1,7,14,11,12.9,8.9,11,10,10,8.9,10,8.1,11.3,11,8.9,8.7,12.5
27,001,0025,53,50,0,0,0,0,0,0,3,52,49,0,0,0,0,0,0,3,16.1,19.1,19.9,17.099999999999998,11.9,23.9,19.9,16.1,13.1,18,11.9,20.9,11.9,23,19.1,21.5,19.9,16.1,12.3,16.5
27,001,0030,169,152,0,2,13,1,0,1,0,129,119,0,0,8,1,0,1,0,47.1,30,40,41,28.1,40,35,38.3,35,33.2,33.2,30.9,35,31.6,30,33.7,37.800000000000004,47.1,33.1,39.7
27,001,0035,28,27,1,0,0,0,0,0,0,25,24,1,0,0,0,0,0,0,11,9,15,12,8,14,15,14,8,13,10,9,8,14,9,12.5,15,11,8.4,12.8
27,001,0038,42,42,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,15.1,9,13,15.1,9,11.9,11.9,17.9,8,13.9,11,8,11,10,9,11.2,12.2,15.1,9.8,16.5
27,001,0040,1099,1080,5,6,0,3,0,0,5,907,899,2,1,0,2,0,0,3,432.6,267.1,284.9,482.1,290.7,344.5,276.8,462.8,350,278.5,362.8,241.3,352.3,262.9,267.1,281,281.2,432.6,339.5,472.3
27,001,0045,312,308,0,2,0,0,0,0,2,279,276,0,1,0,0,0,0,2,143.9,78.1,77.3,152.8,105.3,93.1,74.7,148.9,123.10000000000001,74.7,124.9,57.7,122.1,77.3,78.1,75.9,76.2,143.9,118.7,150.9
27,001,0050,450,444,0,1,0,0,0,0,5,395,392,0,1,0,0,0,0,2,174,105,136.7,197.3,127,142,132,183.1,144.9,118.7,153.2,102.8,146.7,113.2,105,118.8,134.29999999999998,174,142.70000000000002,190
27,001,0055,178,174,2,1,0,0,0,0,1,166,164,1,1,0,0,0,0,0,63,39.3,47.6,58,45.2,52.5,45.3,56,48.699999999999996,48.5,53.4,38.1,52.5,38.1,39.3,44.4,46.7,63,49.8,57.1
27,001,0060,844,833,1,1,5,1,0,0,3,728,719,1,1,5,1,0,0,1,329.3,189.1,219.6,381.5,213.3,232.7,199.4,343.9,266,177.8,268.8,162.6,257.8,173.9,189.1,186.6,209.4,329.3,251.6,362.3
27,001,0065,633,587,1,14,15,0,0,0,16,468,449,0,7,8,0,0,0,4,213.8,102.5,111.8,188.4,109.4,128.6,114,158.4,120.1,113.7,127.4,101.10000000000001,119.1,112,102.5,113.7,113.1,213.8,119.39999999999999,174.1
27,001,0070,430,419,4,2,1,1,0,0,3,336,326,4,1,1,1,0,0,3,116.6,71.7,82.1,154.5,85.9,101.1,84.2,144.4,94.4,90.3,96.3,82.1,89.7,84.7,71.7,89.3,83.8,116.6,91.8,149.20000000000002
