state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_ros,uss_18_dem_tes,uss_20_rep_dai,uss_20_dem_bul,gov_16_rep_gia,gov_16_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_16_rep_fox,atg_16_dem_jen,atg_20_rep_knu,atg_20_dem_gra,sos_16_rep_sta,sos_16_dem_lin,sos_20_rep_jac,sos_20_dem_ben,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
30,001,1,1257,1122,10,54,22,7,14,2,26,1024,929,7,32,12,7,13,2,22,268.7,212.3,280.1,224,213.2,307.2,269.1,254.8,225.5,329,272.7,227.2,356,190.6,285.9,231.70000000000002,294.4,237.5,295.5,216.8,241.70000000000002,307.2,230.4,285.90000000000003,213.2,280.9
30,001,12,852,814,1,15,7,5,0,0,10,699,672,1,9,6,5,0,0,6,232.1,133.1,308.5,208.4,212.9,199.6,287.8,233.1,181.1,218,286.4,216.2,302.3,93.7,310.8,209.5,238.5,156,314.6,200,149.9,199.6,212.7,238.6,212.9,300.9
30,001,14,816,754,0,18,9,7,11,2,15,654,613,0,12,5,5,9,1,9,161,89.6,217.5,134.3,106.60000000000001,134.3,196.7,171.6,115.39999999999999,150.4,207.3,138.5,178.70000000000002,96.5,216.29999999999998,150.9,152.5,106.60000000000001,227.4,136.8,110.7,134.3,146.7,151.7,106.60000000000001,213.7
30,001,17,138,115,1,16,5,0,0,0,1,114,99,1,11,2,0,0,0,1,81.6,18,96,34.2,78.6,29.4,97.6,39,75,33.3,101.4,32.4,86.39999999999999,22.4,103.5,33.3,78.6,26.4,101.4,32.4,24.6,29.4,34.2,79.9,78.6,100.4
30,001,19,134,129,0,3,2,0,0,0,0,118,113,0,3,2,0,0,0,0,92.6,13.4,110.2,31.7,81.5,31.2,107.4,34.699999999999996,82.7,27.3,110.89999999999999,33.6,94.3,18.4,111.5,33.6,87.6,19,118,27.3,19.5,31.2,33,89.2,81.5,111.4
30,001,2,1161,1085,0,40,16,2,3,0,15,925,869,0,30,11,2,3,0,10,552.1,126.60000000000001,672.2,181.9,452.8,234,646.1,221.7,481.40000000000003,248.79999999999998,628.7,200.6,599.3,123.9,667.5,190.4,541,160.3,681.4,169.7,163.9,234,192,544.1,452.8,658.5
30,001,20,166,150,0,15,0,0,0,0,1,123,114,0,8,0,0,0,0,1,73.8,1.7000000000000002,87.8,7,72.2,12.2,86.5,10,66,12.2,86.1,10,78,1.7000000000000002,90.3,8.1,74.4,1.7000000000000002,87.8,10,4.1000000000000005,12.2,9.5,73.7,72.2,87.8
30,001,21,226,204,0,10,5,2,4,0,1,196,180,0,10,2,2,1,0,1,117.6,25.3,119.1,43.2,96.7,54.800000000000004,114.1,52.7,108.8,52.7,114.1,45.3,128.4,21.1,118.5,45.8,118.5,32.5,119.1,45.8,33,54.800000000000004,45.9,117.7,96.7,117.6
30,001,23,223,217,0,2,3,1,0,0,0,187,182,0,2,2,1,0,0,0,103.8,34.5,116.5,62.7,91.10000000000001,53.1,109.7,70.8,83.6,59.3,114.8,59.5,103.6,36.3,124.4,58.3,100.3,40.4,115.9,63.7,42.5,53.1,62.9,97.9,91.10000000000001,116.3
30,001,3,1070,1017,0,32,4,6,0,0,11,816,777,0,26,3,4,0,0,6,503.4,158.3,621.4,227.4,468.3,245.1,622.9,245.5,467.59999999999997,251.1,617.1,226,583.5,124.9,622.5,227.4,520.5,184.3,634.2,210.8,179.2,245.1,227.5,518.7,468.3,623.3
