state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_bur,uss_16_dem_ros,uss_20_rep_til,uss_20_dem_cun,gov_16_rep_mcc,gov_16_dem_coo,gov_20_rep_for,gov_20_dem_coo,atg_16_rep_new,atg_16_dem_ste,atg_20_rep_one,atg_20_dem_ste,sos_16_rep_lap,sos_16_dem_mar,sos_20_rep_syk,sos_20_dem_mar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
37,001,01,4869,4332,309,138,10,20,1,5,54,3686,3309,257,79,8,8,1,5,19,1865.2,410.3,2298.7,566.3,1829.8,417.4,2205.2,564.1,1806.2,499.1,2210,661.5,1784.7,519.5,2265.4,617.7,1718.2,555.2,2250.8,616.5,480.8,NA,605.3,1801.4,NA,2246.9
37,001,02,4491,4250,103,66,19,12,0,1,40,3483,3321,81,40,17,9,0,0,15,2004.5,403.1,2386.7,558.8,1972.9,396,2289.5,570,1926.7,497.4,2265.7,677.6,1908.5,497.4,2322.4,614.2,1819.7,548.9,2270.6,663.3,469.1,NA,616.5,1926.5,NA,2306.8
37,001,035,6446,5522,503,233,24,66,0,11,87,5660,4927,421,166,16,62,0,10,58,1461,978.8,1740,1486.9,1507.7,911.3,1701,1440.4,1422.9,1042.9,1625.6,1586.1,1419.4,1025.4,1700.3,1517.6,1359.3,1058.1000000000001,1698,1506.2,1003.8,NA,1507.2,1433.9,NA,1694.1
37,001,03C,2814,2399,207,74,1,90,0,5,38,2153,1884,148,44,1,57,0,3,16,1058.9,678.9,1127,853.6,1193.9,597.4,1155.9,779.8,1072,748.1,1063.9,926.6,1094.1,719.5,1135.7,848.1,1024.8,766.7,1106.9,867.9,702.6,NA,855.4,1088.6,NA,1117.8
37,001,03N,5712,4983,424,128,3,101,3,5,65,4955,4378,350,96,1,77,3,4,46,1372.8,1345,1499,1733.8,1481.5,1243.3,1506.3,1639.9,1384.6,1395.7,1360.4,1850.5,1410.2,1314.9,1490.6,1702.8,1340.3,1351.2,1439,1739.6,1330.6,NA,1733.2,1398.1,NA,1459.3
37,001,03S,7024,5173,926,402,8,346,3,16,150,5580,4240,729,260,8,265,3,10,65,2045.8,1781.9,2623.8,2710.3,2165.9,1698.1,2547.7,2629.3,1996.7,1908.5,2400.9,2950.3,2052.2,1842.9,2602.4,2731.8,1933.9,1907.9,2506.3,2804.8,1828.7,NA,2765.7000000000003,2039.6,NA,2536.6
37,001,03W,3231,2755,262,130,9,35,2,3,35,2408,2080,198,72,8,28,2,3,17,1225.6,682.3,1481.3,959.1999999999999,1259.1,648.2,1462.1,950.1,1166.2,779.5,1383.1,1075.1,1196.4,738.6,1459.7,985.8,1161.3,746.4,1427.8,1001.5,719.1,NA,994.5,1201.4,NA,1442.4
37,001,04,5414,4702,497,142,11,19,1,3,39,4194,3642,420,88,9,11,1,0,23,2042.3,577.9,2448.7,709.9,2034.5,569.9,2358,710.9,1979,688.7,2329.4,827.3,1934.7,713.7,2352.8,797.7,1853.3,757.1,2322,824.9,660.4,NA,774.2,1968.8,NA,2361.4
37,001,05,3339,3039,185,74,6,10,0,5,20,2681,2455,152,48,6,6,0,2,12,1448.1,326.6,1706.1000000000001,435.1,1429.7,319.9,1615.5,456.5,1378.7,420.7,1611.3,528.9,1357.4,420.7,1656.9,484.2,1275.4,474.9,1628.3,506.1,393.4,NA,482.6,1378,NA,1643.5
37,001,063,4940,1695,1503,1629,18,45,1,10,39,3498,1449,1037,940,15,35,1,4,17,527.9,996.1,566.1,1188.1,529.7,964.4,523,1188.1,549.1,980.1,502.9,1243.8,529.7,994.6,542.8,1211.8,484.1,1030.6,526.4,1231.5,993.5,NA,1212.2,524.5,NA,531.8
