state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_fis,uss_18_dem_ray,uss_20_rep_sas,uss_20_dem_jan,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
31,001,10P,392,389,1,0,0,1,0,0,1,307,306,1,0,0,0,0,0,0,135.5,20.900000000000002,170.6,25.400000000000002,93.6,30.8,153.4,9.9,97.4,30.7,92.1,91.6,25.900000000000002,20.900000000000002,30.3,18.7,135.5,93.4,159.9,25.400000000000002,120.4
31,001,10W,1350,1170,18,122,6,19,0,0,15,1057,936,10,89,3,13,0,0,6,301.7,196.4,288.2,232.7,188.5,189.1,303.1,115.2,209.8,183.4,259.8,197.9,174.3,196.4,182.2,173.8,301.7,213.3,296,182,249.9
31,001,11W,1558,1347,8,168,6,20,0,0,9,1196,1070,5,105,3,9,0,0,4,399.9,186.5,423.6,245,248,187.3,431.3,158.3,282.5,188.2,342.2,256.1,193.2,186.5,189.1,201.3,399.9,282.4,427.5,193,340.6
31,001,12W,299,282,0,7,0,6,0,0,4,226,219,0,3,0,3,0,0,1,108.2,52.7,106,70.9,87.9,57.8,120.5,28.2,95.9,52.3,112.8,94.5,46.4,52.7,52.2,49.5,108.2,97.89999999999999,113.3,51.3,103.60000000000001
31,001,13W,1723,1652,2,22,9,36,0,1,1,1312,1259,0,19,6,26,0,1,1,824,288.9,964.8,433.6,653.2,312.4,991.2,244.5,705.6,295.5,813.8,703.9,257.8,288.9,288.8,338.8,824,718.9,977.9,305.3,808.3
31,001,14W,1324,1108,10,158,1,26,0,0,21,988,868,5,87,1,17,0,0,10,287,182.1,275.8,192.9,170.6,173.5,282.8,112.2,193.9,161.1,261.7,180.4,157.8,182.1,164.2,153.3,287,201.5,279.7,163,235.6
31,001,15W,1328,1249,0,39,1,22,0,1,16,1023,978,0,23,1,14,0,1,6,419.9,211.3,503.1,281,317.1,221.2,515,175.1,345.2,210.8,419.7,338.9,195.5,211.3,209.29999999999998,228,419.9,355.1,509.3,215.8,408.2
31,001,16W,958,876,7,42,4,7,0,4,18,770,704,6,35,3,7,0,2,13,168.8,112.8,168.8,155.9,106.1,105,167.2,84,116.7,105,150.6,111.8,102.60000000000001,112.8,104.9,120.2,168.8,120.9,168,110.7,141.4
31,001,17W,2687,2403,35,193,1,21,2,1,31,2232,2033,31,128,1,17,1,1,20,573.9,245.7,625.7,284.2,376.3,246.6,602.9,196,411.2,234.8,520.9,399.4,223.2,245.7,234.8,239.8,573.9,427.2,614,238.79999999999998,501.4
31,001,1P,1155,1119,2,20,5,5,0,0,4,833,822,1,6,2,1,0,0,1,535,60.4,555.7,84.2,351,83.3,506,55.8,381.2,72.7,412.40000000000003,365.9,72.4,60.4,74.9,70.2,535,376.5,528.1,72.4,444.8
31,001,1W,2587,1825,40,613,13,64,1,1,30,1807,1368,19,352,6,46,1,0,15,505.9,180.9,589.7,257,349.1,177.4,570,195.5,386.5,168.8,436.4,378.2,167.1,180.9,169.4,225.5,505.9,386.9,580,191.5,459.2
