state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lan,uss_16_dem_wor,uss_20_rep_inh,uss_20_dem_bro,gov_18_rep_sti,gov_18_dem_edm,atg_18_rep_hun,atg_18_dem_myl,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
40,001,1,1353,291,2,49,907,1,0,4,99,993,252,1,25,649,1,0,4,61,246.1,77.4,275.5,64.4,245.5,78.7,254,72.8,163.4,98.4,189.9,82.2,78.2,90.2,68.4,245.5,176.3,265.4
40,001,2,980,337,4,22,511,0,1,0,105,699,298,0,11,325,0,1,0,64,225.8,62.3,245.8,56,214.9,63.5,232,66.1,163.9,72.4,177.29999999999998,61.3,62.8,66.5,60.800000000000004,219.9,170.3,238.79999999999998
40,001,3,288,108,0,8,126,0,0,0,46,222,94,0,6,87,0,0,0,35,95.3,31.8,111.89999999999999,22.6,92.10000000000001,38.4,105,30.9,82.3,36.9,89,36.9,34.9,36.9,26.5,93.7,86,108.3
40,001,4,1148,365,6,196,485,0,0,1,95,821,315,4,110,330,0,0,1,61,198.1,70.9,195.5,84.3,198.1,74.5,175,91,138.8,73.2,152.2,68,72.2,69.7,87.5,198.1,145.2,184.5
40,001,5,582,204,0,7,332,0,0,0,39,436,180,0,6,218,0,0,0,32,174.8,44.9,171,45.7,187.6,35,156.2,53.1,129.2,56.800000000000004,142.2,50.9,39.7,54,49.2,181.1,135.6,163.6
40,001,6,1749,611,3,88,805,1,0,0,241,1271,531,2,43,557,1,0,0,137,345.2,92,425.7,112.2,321.8,109.2,390.3,137.8,236.3,155.4,297,109.2,100.9,131.8,124.3,333.4,265.1,406.7
40,001,7,1602,623,0,69,750,13,0,0,147,1193,532,0,32,530,5,0,0,94,361.59999999999997,154.9,434,135.8,357.9,157,390.9,162.8,225.4,187.6,265.9,162.8,155.4,175.8,148.3,359.7,246.4,412.2
40,001,8,1053,395,5,41,507,8,0,0,97,771,324,3,22,354,5,0,0,63,254.9,87.10000000000001,306.3,80,249.4,90.3,281.1,93.1,195.6,100.8,231.9,76.9,88,87.60000000000001,85.8,251.7,214.4,294.1
40,001,10,483,241,1,26,148,0,0,0,67,383,216,1,20,107,0,0,0,39,75.8,26.7,119.9,26.6,71.89999999999999,31.7,116.60000000000001,26.7,55.1,38.1,64.8,37.9,29.3,38,26.7,73.9,60,118.39999999999999
40,001,11,1126,232,1,60,770,0,0,0,63,772,181,1,30,519,0,0,0,41,130.70000000000002,41.5,187.4,36,138,47,162.5,40.8,86.8,37.1,99.7,32.1,44.1,34,38.2,134.4,92.8,174.9
40,001,12,1246,612,1,19,488,0,0,0,126,900,512,1,9,305,0,0,0,73,320,62,378,50,289.8,84.9,352.8,61,212,92.5,235.6,77.8,73.2,84.8,55.2,304.9,223.3,364.6
40,001,13,1028,497,2,27,434,2,0,2,64,761,408,0,16,290,1,0,2,44,210.8,82,249.5,91.1,218.4,80.8,232.70000000000002,99.6,137.2,101.2,167,82.9,81.6,91.8,95.2,214.8,152.2,240.79999999999998
40,001,14,2511,776,8,307,1185,6,0,0,229,1700,637,6,146,765,5,0,0,141,355.7,133.6,386.6,157.2,339.7,169.7,355.7,175.3,180,192.4,237.2,150.1,150.6,170.5,166.6,346.7,207,372.6
40,001,16,1017,595,3,23,317,2,0,0,77,719,438,3,11,217,2,0,0,48,285.5,51.1,358.6,71.9,290.9,48.9,348.4,73.5,215.3,76.8,247.79999999999998,55.3,49.8,65.7,72.7,288,230.2,354.2
