state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_wyd,uss_16_rep_cal,uss_20_dem_mer,uss_20_rep_per,gov_16_dem_bro,gov_16_rep_pie,gov_18_dem_bro,gov_18_rep_bue,atg_16_dem_ros,atg_16_rep_cro,atg_20_dem_ros,atg_20_rep_cro,sos_16_dem_ava,sos_16_rep_ric,sos_20_dem_fag,sos_20_rep_tha,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
41,001,NA,16134,14944,52,528,170,78,9,7,346,12854,12079,43,315,128,55,8,7,219,1793.1,6218.5,2347.9,7350.1,3349.1,4651.7,2639.2,6863.3,2046.7,6067.2,1568.2,6018.5,2335.1,5577.4,2312.3,6698.6,1681.6,6041.8,2046.5,7206.5,2242.4,1568.2,2336.3,5710.3,6018.5,7026.2
41,003,NA,85579,71552,715,5467,493,4404,199,156,2593,70330,59915,534,3719,403,3733,157,117,1752,29196.5,13447.9,35831.3,14882,29008.1,12999,35022.3,14812.8,28046.3,16546.4,26593.8,14991.7,28234.9,15390.5,33950.8,15452.6,24106,17157.6,30120.1,16888.4,27717.7,26593.8,33732.6,15107,14991.7,15508.6
41,005,NA,375992,317648,2761,29138,2340,13575,815,438,9277,286761,249846,1980,17240,1775,10167,598,301,4854,102082.2,88363.4,139034.3,110493.6,113142.2,78077.9,134798.4,106832,96722.7,100849.9,91083,98448.5,102061.1,89572.3,127381.8,108953.5,79605.6,105777.4,116273.7,114856.3,98712.1,91083,129368.3,92528.1,98448.5,110280.8
41,007,NA,37039,32295,163,2838,308,445,84,48,858,29438,26363,124,1693,248,362,65,36,547,9252.9,8143,12918.4,10220.9,11143.8,6203.2,13054.1,9621.6,9666.8,8428.3,8909.9,8299.4,10283.6,7371.7,12514,9819.2,7809.3,9039.6,11256.3,10357,9627.6,8909.9,12434.9,7836,8299.4,10003.5
41,009,NA,49351,44563,195,1987,590,446,95,43,1432,37732,34749,129,1180,440,352,66,32,784,10162.8,13219.3,13834.8,17148.9,13060.7,10124.8,14374.2,15946.9,11018.7,12924.4,9515.9,12949.9,11696,11408,13596.8,16163.9,9261.3,13155.3,12205.4,16848.5,11042.1,9515.9,13500.5,12166.2,12949.9,16524
41,011,NA,63043,54820,234,3391,1467,644,104,75,2308,51113,45688,179,2036,1034,514,80,64,1518,10449.2,17864.6,14239.2,21826.4,13464.6,14080.6,14884.5,20047.5,11501.4,16890.4,9621,16513.9,12270.1,16009.1,13817.2,20406.7,9765.8,17089.4,12288.7,21198.4,11490.8,9621,13809.2,16384,16513.9,20862.6
41,013,NA,20978,18758,30,1463,273,96,11,12,335,16378,15017,20,833,210,71,8,11,208,2639.4,8510.9,3803.9,11285.1,4842.2,6253.1,4131.7,10626.8,2987.5,8230.6,2285.2,8513.9,3342.3,7509.5,3710.6,10774.1,2463,8181.3,3369.1,11018,3252.5,2285.2,3754.9,7736.4,8513.9,10926.1
41,015,NA,22364,19837,62,1201,391,157,21,16,679,18853,17134,32,753,303,129,17,13,472,4302.1,7212.1,6057.2,8482.7,5396.6,5634.5,6171.7,7991.7,4947.4,6412,4138.4,6472.8,4859.2,6508.8,5824.8,8148.1,3985.3,6688.8,5308.1,8375.5,4697.7,4138.4,5840.7,6492,6472.8,8245.9
41,017,NA,157733,139470,524,11718,1197,1412,183,141,3088,121512,110207,342,6993,884,1101,144,100,1741,42447.9,45696,65964.5,55652,52099.6,36043.4,65264.8,53291.2,42301.8,47825.8,40677.9,49989,42818.7,44169.1,61607.7,55445.8,33416.6,50176.8,54843.1,58620.5,42612.7,40677.9,61920.5,44783.2,49989,55754.6
41,019,NA,107667,96343,279,5055,1799,1008,110,154,2919,85573,78147,193,3089,1328,776,86,107,1847,14089.9,34585.4,19166.8,43293.4,19830.2,27623.6,20704.4,40045.9,15889.8,32644.1,11804.4,32409.7,16615.6,30704.1,19105.9,40725,12897.9,33092.7,16688.9,42475.5,15866,11804.4,18913.9,31727.5,32409.7,41631.4
