GEOID,state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_whi,uss_18_rep_fla,uss_20_dem_ree,uss_20_rep_wat,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
440010301001000,44,001,NA,23,19,0,4,0,0,0,0,0,12,8,0,4,0,0,0,0,0,6,3.1,7.4,3.2,5.4,2.9,7.6,2.8,5,2.5,6.4,5.7,2.3,6,5.6,7.5,3.1,2.6,3,6.2,2.8
440010301001001,44,001,NA,17,17,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,7,3.6,8.6,3.8,6.3,3.3,8.9,3.3,5.9,2.9,7.4,6.7,2.7,7,6.6,8.8,3.6,3,3.5,7.3,3.3
440010301001002,44,001,NA,8,6,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,1,2,1,2.5,1.1,1.8,1,2.5,0.9,1.7,0.8,2.1,1.9,0.8,2,1.9,2.5,1,0.9,1,2.1,0.9
440010301001003,44,001,NA,28,28,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,11.6,5.9,14.1,6.2,10.3,5.5,14.7,5.4,9.6,4.8,12.2,11,4.5,11.6,10.8,14.4,5.9,4.9,5.8,11.9,5.4
440010301001004,44,001,NA,18,14,0,0,0,0,0,0,4,9,8,0,0,0,0,0,0,1,4.5,2.3,5.5,2.4,4,2.1,5.7,2.1,3.8,1.9,4.8,4.3,1.8,4.5,4.2,5.6,2.3,1.9,2.2,4.7,2.1
440010301001005,44,001,NA,13,13,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,5,2.6,6.1,2.7,4.5,2.4,6.4,2.4,4.2,2.1,5.3,4.8,1.9,5,4.7,6.2,2.6,2.1,2.5,5.2,2.4
440010301001006,44,001,NA,28,28,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,10.1,5.1,12.3,5.4,9,4.8,12.7,4.7,8.4,4.2,10.6,9.6,3.9,10.1,9.4,12.5,5.1,4.3,5.1,10.4,4.7
440010301001007,44,001,NA,23,23,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,9.6,4.8,11.6,5.1,8.5,4.5,12.1,4.5,7.9,4,10.1,9.1,3.7,9.6,8.9,11.8,4.8,4.1,4.8,9.8,4.4
440010301001008,44,001,NA,161,146,0,2,0,10,0,0,3,108,100,0,2,0,5,0,0,1,54.3,27.6,66.2,29.2,48.4,25.7,68.8,25.4,45.2,22.5,57.3,51.7,21,54.3,50.6,67.5,27.6,23.1,27.3,56,25.2
440010301001009,44,001,NA,15,15,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,5.5,2.8,6.7,3,4.9,2.6,7,2.6,4.6,2.3,5.8,5.3,2.1,5.5,5.2,6.8,2.8,2.3,2.8,5.7,2.6
