state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_sco,uss_16_dem_dix,uss_20_rep_gra,uss_20_dem_har,gov_18_dem_smi,gov_18_rep_mcm,atg_18_dem_ana,atg_18_rep_wil,sos_18_dem_whi,sos_18_rep_ham,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
45,001,001,3012,2061,834,65,9,16,0,2,25,2371,1663,630,39,6,13,0,2,18,778.6,374.7,1139.4,528.6,811.2,335,1121.4,531.2,356.3,722.7,316.6,753.7,320.7,754.1,355.4,331.1,529.8,795.2,744.2,1130
45,001,002,2937,1136,1735,25,3,9,0,2,27,2166,888,1234,19,3,6,0,2,14,387.1,571.1,612.5,817.6,401.5,519,587.9,837.3,469.7,383.6,457.5,386.6,455.9,400.3,544.5,460.40000000000003,827.1,394.6,389.7,599.9
45,001,003,2283,1257,959,21,7,8,0,3,28,1755,1015,702,15,6,6,0,0,11,361.8,327.9,484.3,443.6,367.4,303.8,466.4,450.90000000000003,301.3,278.2,261.1,289,281.6,292.5,314.7,281.7,446.7,363.8,287.1,476.1
45,001,004,1400,860,504,9,3,4,0,1,19,1076,666,395,6,3,2,0,0,4,356.3,201,445.7,208.2,341.8,184.1,429.2,215.20000000000002,127.9,298.3,116.7,300.9,128.9,300.2,192.20000000000002,124.8,211.8,348.8,299.9,437.2
45,001,005,1753,1513,201,9,4,3,5,0,18,1410,1213,167,8,3,3,2,0,14,632.1,160.8,764,182.4,618.3,156.6,745.5,188.2,153.3,482,130.1,495.5,133.4,501.4,158.1,139.9,184.9,625.4,493.7,754.9
45,001,006,817,720,86,3,3,0,0,0,5,625,544,72,1,3,0,0,0,5,274.1,95.4,304.4,85.2,256.59999999999997,103.9,298.3,88.2,76.7,184.3,69.8,182.4,73.3,187.3,99.4,73.4,86.8,265.5,184.3,300.7
45,001,007,2720,1374,1254,30,10,1,0,3,48,2110,1119,943,21,8,1,0,1,17,519.1,787.8,524.1,663,506.5,748.2,503.2,681.6,572.6,371.6,558.8,380.2,567.9,380.2,768,567.2,671.3,513.4,378.6,514.6
45,001,008,1342,1144,173,10,0,0,0,1,14,981,847,121,3,0,0,0,0,10,505.1,135.4,622.7,144.9,499,134.1,616.2,160,130.9,428.9,104.6,442.3,109.5,448.9,134.7,114.9,151.9,502.2,440.3,619.5
45,001,009,799,701,67,14,4,3,0,1,9,598,537,43,8,2,3,0,1,4,323.8,66.9,344.2,71.1,300.6,78.2,333.3,76.8,60.6,251.1,57.300000000000004,255.1,59.6,252.8,72.2,59.6,73.7,312.1,252.8,338.6
45,001,010,2647,2027,523,42,2,17,0,2,34,2132,1647,423,28,2,7,0,2,23,662.9,357,759.3,359.9,689.7,348.1,751.9,375.6,309.4,503,297.3,503,287.5,521,353,297.6,367.7,675.7,508.59999999999997,755.1
45,001,011,1125,879,216,16,2,1,0,0,11,889,690,180,10,2,1,0,0,6,325,208.1,316,152.2,334.1,175.3,321.9,149.7,148.2,275,142.7,273.9,139.1,280.2,192,143.1,150.7,329.5,276.2,318.8
45,001,012,2004,1711,257,2,4,8,0,1,21,1504,1267,217,0,4,4,0,0,12,627,166.6,718.6,179,573.1,199.5,705,190.7,140.2,469.5,120.3,478.4,122,484.5,182.9,126.8,185,599.9,477.8,711.5
45,001,013,1540,1364,145,7,7,4,0,1,12,1208,1074,112,4,6,4,0,1,7,615.6,123.4,712.9,120.8,591.7,127.5,689.8,137,123.6,464.9,114.5,466.2,110.4,474.9,125.2,115.4,128,603.4,467.9,700.6
45,001,014,1038,817,206,2,1,1,0,6,5,805,634,164,2,1,0,0,2,2,394.2,163.7,459,144.3,377,157.2,447.3,148.1,137,333,122.2,341.6,125.3,344.8,160.4,128,146,385.2,339.8,453.2
45,003,001,1482,1392,60,16,7,5,0,0,2,1259,1188,47,12,5,5,0,0,2,506.1,218.2,615.8000000000001,369.8,579.2,176.7,629.5,364.8,261.1,474.4,233.2,485.5,222.6,510,197.3,238.5,367.1,542.5,489.6,622.6
45,003,002,1849,531,1231,48,3,5,0,5,26,1451,468,934,25,3,4,0,1,16,156.8,534.7,184.9,589.1,171.9,503.59999999999997,186.4,598.5,396.90000000000003,113.9,382.9,110.4,392.7,119.8,518.4,391.3,593.8,162.9,114.3,185.4
45,003,003,2937,647,2128,81,9,5,9,10,48,2011,552,1378,51,7,5,5,1,12,149.6,746.8,149.1,847.9,156.6,715.9,133.4,866.9,554.9,96.7,541.2,101.4,555.7,100.1,731.2,550.8,858,152.7,99.8,141.1
45,003,004,1144,170,915,35,3,2,0,1,18,859,148,666,27,2,2,0,1,13,46.4,339.2,68.7,366.2,61.4,320.9,66.4,372.1,261,36.3,252.2,39.6,255,44.4,330.2,256.5,369.40000000000003,53.6,39.6,67.8
45,003,005,1709,877,742,59,4,11,0,2,14,1354,737,555,40,3,9,0,1,9,275.8,365.1,333,549.2,320.3,328.4,347.6,548.6,376.9,214.8,353.9,229.2,353.9,234.8,346.6,361.1,549,297.7,226.6,340.6
45,003,006,1528,1426,44,24,8,8,0,1,17,1289,1212,36,17,4,7,0,0,13,554.9,258.5,595.7,404.9,628.2,190.8,618.7,397,289,439,239.3,460.3,241.3,477.3,224.9,257,401.4,591.5,459.5,607.5
45,003,007,1712,1053,416,174,5,14,0,0,50,1284,817,328,106,5,10,0,0,18,310.8,260.9,299.2,239.1,277.5,268.3,282.6,252.2,189.7,205.2,185,208.1,187,210.2,264.4,187,245.6,293.7,207.9,291
45,003,008,2583,1148,1223,149,6,10,0,2,45,1967,916,920,94,5,8,0,1,23,531.8,611,512,595.8,513.9,585.1,505.9,598.7,458.8,371.2,441.7,364.2,447.1,380.8,598.3000000000001,449.3,597.1,523.3,371.9,509
45,003,009,2771,1440,1130,103,12,15,0,4,67,2021,1132,761,70,10,15,0,0,33,575,524.9,540.2,491.2,553.8,530,521.8,511.1,390.3,367.9,367.1,369.90000000000003,380.2,369.90000000000003,527.3,379.4,501.5,564.6,369.7,530.9
45,003,010,2222,719,1008,432,4,15,0,8,36,1618,571,731,274,4,13,0,6,19,216.70000000000002,516,277.4,477.3,233.7,489.40000000000003,272.09999999999997,482.5,406.3,168.9,394.8,172,397,172.5,502.5,398.8,480,225.5,171.5,274.9
45,003,011,2832,892,1781,92,18,4,0,7,38,2058,706,1269,50,14,3,0,0,16,270.1,618.6,355.1,671.2,255.3,603.3,343.7,680.2,476.8,203.6,464.2,204.5,473.1,205.8,611,471.2,675.6,262.2,204.5,349.5
45,003,012,1450,726,437,220,11,3,1,0,52,1044,573,295,129,9,3,1,0,34,221.8,196.1,238.7,208.8,222.7,186.1,223.7,230,139.7,173.2,143.9,163.2,141.79999999999998,176,191.4,141.79999999999998,218.8,222,170.9,231.3
45,003,013,2420,1911,250,140,16,51,1,11,40,1920,1560,184,98,11,42,0,6,19,769.2,324.9,853.4,444.2,807.1,298.5,841.1,472.4,296.9,622,258.6,631.3,275.7,638.5,311.5,276.8,458.1,788,630.9,847.5
45,003,014,2418,1726,427,183,21,2,0,7,52,1846,1339,337,121,18,2,0,6,23,760.5,232.1,803.3,330.3,731.5,251.1,787.5,339.9,187.6,514.6,161.7,527.7,168.1,534.6,240.9,172.1,334.7,745.9,526,796
