state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_bar,uss_18_dem_tra,uss_20_rep_lum,uss_20_dem_dav,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
56,001,0103,389,375,0,8,3,1,0,0,2,346,334,0,7,3,1,0,0,1,177.7,92.9,177.7,119.7,154.6,98.1,189.6,119.7,161,88.9,152.3,88.1,92.9,91.3,119.7,177.7,155.7,183.5,101.3,169.2
56,001,0104,295,261,0,23,2,0,0,0,9,218,198,0,14,2,0,0,0,4,123,12.1,130.7,20.9,94.3,19.2,129.9,20.9,95,19.2,94.3,19.2,12.1,19.2,20.9,123,94.4,130.5,18.7,110.9
56,001,0111,29,29,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,11.4,4.1,14,5.8,11,5.300000000000001,14.2,5.6000000000000005,10.9,4.5,11.200000000000001,4.3999999999999995,4.1,4.5,5.7,11.4,11,14.1,4.7,12.3
56,001,0112,40,32,0,8,0,0,0,0,0,35,30,0,5,0,0,0,0,0,14.2,5,17.5,7.2,13.8,6.3,17.9,7,13.3,5.9,14,5.7,5,5.9,7,14.2,13.8,17.5,6.1,15.1
56,001,0113,55,53,0,0,2,0,0,0,0,48,46,0,0,2,0,0,0,0,19.5,6.8999999999999995,24,9.9,18.900000000000002,8.9,24.5,9.6,18.3,8.2,19.2,7.7,6.8999999999999995,8.2,9.6,19.5,18.900000000000002,24,8.2,20.8
56,001,0114,60,60,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,23.2,8.2,28.5,11.8,22.5,10.5,29.3,11.4,21.900000000000002,9.7,22.8,8.9,8.2,9.7,11.5,23.2,22.5,28.6,9.8,24.6
56,001,0115,778,704,5,50,5,2,0,0,12,562,531,1,21,1,2,0,0,6,229.9,82.8,280.4,118.3,220.1,102.1,287.9,111.9,213.3,96.2,226.7,89.5,82.8,95.89999999999999,114.6,229.9,220.3,283.7,99.60000000000001,243.2
56,001,0121,2986,2667,8,226,27,15,1,4,38,2378,2170,5,146,18,12,1,4,22,1056.9,473,1314.4,587.6,938.1,515.3,1349.5,600.9,917.2,493.1,961,450.8,473,484.6,594.3,1056.9,940.5,1330.1,519,1088.9
56,001,0122,624,589,0,22,1,3,0,0,9,505,484,0,11,1,3,0,0,6,285.7,86.3,343.8,110.4,243.3,93.9,352.8,109.5,241.79999999999998,89.9,235.7,83.1,86.3,89.6,110.2,285.7,241.29999999999998,348.7,96.6,283.2
56,001,0301,194,168,0,22,1,0,0,0,3,178,155,0,19,1,0,0,0,3,29.7,44.2,33.7,56.1,23.3,47.7,37.3,56.4,24.6,44.9,25,42.4,44.2,45.1,56.3,29.7,24.4,35.5,48.8,29.1
56,001,0312,4366,3627,64,480,30,71,1,3,90,3626,3082,51,354,26,58,1,2,52,738.1,714.8,827.7,970.4,585.6,810.4,907.7,970.2,603.9,758.2,623,701.7,714.8,757.5,970.3,738.1,604.1,867.7,821.4,713.7
56,001,0313,2521,2181,31,164,5,87,3,4,46,2314,2034,27,118,4,83,3,2,43,368.8,645.2,395,775.2,277.3,690.1,432.9,786.6,306,640.5,302.5,613.6,645.2,647.8,781.6,368.8,294.8,413.5,691.6,347
56,001,0314,1227,1105,12,68,6,22,0,0,14,972,890,8,40,6,22,0,0,6,172,275.8,181.6,323.1,125.7,286.9,198.5,325.6,133.8,269.6,132.6,259,275.8,271.6,324.3,172,130.6,189.8,290.7,157.3
56,001,0402,1651,1497,4,59,3,66,1,5,16,1271,1164,3,38,3,51,1,3,8,268.1,258.9,277.4,367.3,240.2,292.2,313.1,352.6,247.29999999999998,275,249.70000000000002,250.5,258.9,272.7,359.6,268.1,245.9,295.3,299.5,266.1
56,001,04131,904,481,30,41,11,297,0,1,43,802,428,30,31,9,272,0,1,31,168.9,163.1,175,231.6,151.5,184.2,197.7,222.6,156.1,173.5,157.7,158.2,163.1,172,227,168.9,155.4,186.3,188.8,167.9
56,001,0501,2033,1713,16,194,20,51,1,7,31,1724,1481,12,149,17,42,1,5,17,271.9,479.5,302.6,584.6,206.2,506.4,331.9,588.2,220.1,475.8,221.1,454.3,479.5,478.5,586.4,271.9,216,317.4,515.3,258.7
56,001,0511,281,233,12,23,5,6,0,0,2,276,231,12,21,4,6,0,0,2,40.9,76.2,47.1,94.6,31.8,81.2,51.6,95,33.9,76.2,34.1,72.4,76.2,76.5,94.7,40.9,33.5,49.199999999999996,82.6,39.9
56,001,0512,1349,1156,22,81,5,48,2,5,30,1248,1075,20,69,4,45,2,5,28,178,341.8,203.2,426.9,139.4,368.8,223.5,431.4,152.4,343.5,153.7,326.5,341.8,346.2,429,178,148.5,213.4,372.8,175
56,001,0514,234,208,0,25,1,0,0,0,0,182,171,0,11,0,0,0,0,0,80.2,35.9,99.2,45,70.8,39.2,102.1,45.6,69.4,37.7,72.7,34.300000000000004,35.9,36.9,45.3,80.2,71,100.6,39.6,82.3
56,001,0515,4491,3656,27,681,23,14,4,6,80,3453,2915,22,430,13,14,2,5,52,999.2,521.2,1150.7,741.1,818.8,617.6,1191.8,750.7,807,594,844.1,547.2,521.2,586,746.5,999.2,822.7,1170.4,627.8,968.5
56,001,0516,1077,740,13,282,13,12,0,5,12,842,595,7,213,7,12,0,2,6,124.9,232.4,143.8,288,96.9,246.9,157.8,290.1,103.7,232.4,104.4,220.8,232.4,232.8,288.6,124.9,102.3,150.4,252.1,121.7
56,001,0601,1934,1696,21,119,14,39,0,1,44,1581,1414,17,80,12,35,0,1,22,469.3,542.3,554.9,750.3,388.2,580.7,606.7,751.1,402.6,549.7,419.3,512.2,542.3,548.2,750.5,469.3,402.7,580.7,614.7,473.5
56,001,0602,2518,2083,26,263,7,83,1,4,51,2009,1718,19,161,7,62,1,3,38,467.4,572,493.4,715.2,360,599.8,547.2,711.5,375.90000000000003,561.3,396.2,515.5,572,558.8,713.3,467.4,377.1,520,612.5,440
56,001,0614,742,650,4,55,3,22,0,0,8,603,536,4,38,3,19,0,0,3,183.1,211.3,218.9,295.8,152.4,227.2,239,296.1,158.1,215.3,164,201.1,211.3,214.5,295.9,183.1,158.1,228.9,241.20000000000002,186
56,001,41-1,2958,2569,56,191,4,95,1,1,41,2604,2291,42,152,4,81,1,1,32,588.5,519.4,624.4,737.3,532,588.5,694.3000000000001,706.6,542.8,554.5,552.6,505.8,519.4,549.6,721.8000000000001,588.5,542.9,659.3,602.1,589
56,001,41-2,549,470,8,26,3,31,0,1,10,399,350,4,19,1,21,0,1,3,84.10000000000001,81.3,87.1,115.39999999999999,75.5,91.60000000000001,98.3,110.8,77.60000000000001,86.2,78.4,78.7,81.3,85.39999999999999,113.2,84.10000000000001,77.2,92.7,93.9,83.6
56,001,41-4,2014,1793,31,91,4,40,2,1,52,2001,1784,28,91,4,39,2,1,52,421.9,407.4,436.8,578.1,378.1,459.4,492.9,555.1,389.2,433,393.2,394.5,407.4,429,566.6,421.9,386.90000000000003,464.8,471.09999999999997,418.8
56,003,0101,1690,1543,5,96,28,5,0,0,13,1367,1266,3,57,28,4,0,0,9,623.9,99.4,708,134.3,546.2,110.4,709.9,135.4,515.3,98.7,538.2,96.8,99.4,99.8,134.6,623.9,536,709.7,112.9,608.5
56,003,0201,640,565,1,64,1,1,0,4,4,397,354,1,37,1,1,0,1,2,210.1,13.4,291.8,17,222.6,8,293.90000000000003,15.9,212,7.5,210.1,7.5,13.4,7.5,16,210.1,214.4,293.8,10.5,238.7
56,003,0301,214,195,1,16,1,0,0,0,1,158,146,1,10,1,0,0,0,0,69,2,100.1,6.9,72.5,2,100.1,6.5,56.2,6.9,64.4,4.5,2,4.6000000000000005,6.6000000000000005,69,64.3,100.1,5.6000000000000005,77.2
56,003,0501,178,108,1,50,4,1,1,0,13,131,87,1,35,3,0,1,0,4,51.1,2.6,57.6,2.6,52.5,2.6,56.3,2.6,47.8,1.6,51.1,1.6,2.6,1.6,2.6,51.1,51.1,57,2.6,52.4
56,003,0601,152,148,0,4,0,0,0,0,0,132,129,0,3,0,0,0,0,0,81.3,13.200000000000001,91.39999999999999,13.200000000000001,71.8,7.8,93.39999999999999,11.200000000000001,60.6,8.4,71.8,7.8,13.200000000000001,7.8,11.6,81.3,67.6,92.4,11.1,79.2
56,003,0801,384,312,0,68,0,1,0,0,3,284,246,0,35,0,1,0,0,2,131.79999999999998,15.700000000000001,170.4,12.700000000000001,102.8,15.700000000000001,173.5,11.3,91,16.8,101.3,12.1,15.700000000000001,15.700000000000001,11.6,131.79999999999998,99.3,171.5,13.700000000000001,129.4
56,003,1101,2362,2096,8,215,17,5,1,0,20,1790,1619,7,127,16,5,0,0,16,778.7,182.4,861,255.7,663.6,214.8,871.3,249.3,656.5,199.3,660.7,197.5,182.4,201.7,254.3,778.7,660.7,863.1999999999999,214.1,747.8
56,003,1601,472,424,1,30,6,2,0,0,9,387,351,1,19,5,2,0,0,9,207.4,38.6,219.1,55.7,189.7,41.6,228.6,50.2,181.9,35.7,185.5,39.3,38.6,38.7,53,207.4,185.5,223.1,42.8,201.1
56,003,2001,3427,3070,7,298,21,13,0,0,18,2472,2254,6,177,14,9,0,0,12,1117.5,156.6,1345.5,188.7,960.6,144.9,1376.2,171.5,923.3,135.9,960.9,128.8,156.6,135.9,179.9,1117.5,950.2,1360.4,154,1114.2
56,003,2201,900,851,0,37,3,8,0,0,1,639,609,0,22,2,5,0,0,1,379.4,25.3,493.1,36.6,334.2,29,508.3,34,319.7,29,329.1,21.4,25.3,27.3,35,379.4,328.4,502,29,393.6
56,003,2301,747,660,0,77,2,1,0,0,7,522,467,0,47,2,1,0,0,5,260.1,29.2,276.1,33,220.2,31.2,282.8,34.9,198.8,35.7,208.8,28.1,29.2,31.2,33.4,260.1,208.8,279.8,32,241.3
56,003,2501,271,255,0,14,1,0,0,0,1,196,186,0,9,1,0,0,0,0,82.1,13.7,87,19.6,56.300000000000004,15.9,85.9,23.5,55,15.9,58.8,12.1,13.7,15.4,20.5,82.1,56.5,86.60000000000001,16.5,69.7
56,003,2601,231,208,1,15,5,0,0,0,2,180,164,1,10,3,0,0,0,2,79.4,9.9,103,14.2,73.7,13,106.3,13,70.3,14.2,72,14.2,9.9,14.2,14,79.4,72,104.2,13.7,83.8
56,005,0101,930,791,3,106,14,5,0,0,11,694,596,3,76,7,5,0,0,7,221.7,31,251.4,41.5,163.6,36,254.6,44.5,154.9,38.1,165.2,25.1,31,33.2,42.7,221.7,161.1,253.2,36.1,201.8
56,005,0102,693,619,7,47,9,1,0,0,10,624,561,7,39,6,1,0,0,10,254.6,39.2,264.5,48.2,185.7,41.1,272.2,43.800000000000004,169.8,49.4,182.8,36.2,39.2,42.3,46.1,254.6,179.6,268.1,43.1,221.5
