GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_mur,uss_16_dem_met,gov_18_rep_dun,gov_18_dem_beg,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sul,uss_20_dem_gro,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
01001000001,AL,Autauga County,000001,795,11,460,284,0,0,0,3,37,603,8,366,214,0,0,0,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000002,AL,Autauga County,000002,4857,182,3657,652,23,93,2,5,243,3797,115,3007,433,15,65,2,5,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000003,AL,Autauga County,000003,1008,15,897,67,2,0,0,1,26,784,10,702,54,2,0,0,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000004,AL,Autauga County,000004,10255,465,6397,2270,31,578,5,65,444,7434,303,4825,1550,23,416,5,43,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000005,AL,Autauga County,000005,1192,26,876,242,7,4,0,3,34,913,14,683,190,4,4,0,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000006,AL,Autauga County,000006,1988,71,1715,91,7,5,0,1,98,1509,49,1321,66,7,5,0,0,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000007,AL,Autauga County,000007,4440,112,3772,366,18,13,0,5,154,3305,64,2844,274,18,13,0,4,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000008,AL,Autauga County,000008,860,21,461,341,3,0,0,6,28,641,13,351,254,3,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000009,AL,Autauga County,000009,1705,43,1233,345,12,6,1,0,65,1282,34,944,246,11,6,1,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000010,AL,Autauga County,000010,4766,166,3830,474,17,63,1,12,203,3734,104,3063,355,14,46,1,12,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000011,AL,Autauga County,000011,602,26,221,332,4,3,0,0,16,506,25,177,283,4,3,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000012,AL,Autauga County,000012,1969,73,1206,579,5,1,0,4,101,1554,55,955,471,5,1,0,1,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000013,AL,Autauga County,000013,2269,88,1679,352,7,12,1,17,113,1655,40,1252,260,7,8,1,11,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000014,AL,Autauga County,000014,1571,32,668,804,6,5,0,3,53,1291,24,567,646,6,5,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000015,AL,Autauga County,000015,2340,85,1633,470,4,19,3,13,113,1768,43,1286,334,4,14,2,8,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000016,AL,Autauga County,000016,12213,531,8338,2733,27,52,4,32,496,9213,347,6508,1989,20,35,1,19,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000017,AL,Autauga County,000017,3213,99,2220,714,7,14,5,14,140,2483,59,1779,537,7,11,4,3,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001000018,AL,Autauga County,000018,2762,71,2319,236,4,5,0,1,126,2051,32,1778,160,4,1,0,1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000001,AL,Baldwin County,000001,357,2,256,59,18,0,0,0,22,313,2,227,50,18,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000002,AL,Baldwin County,000002,251,5,98,137,5,0,0,0,6,214,4,86,116,4,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000003,AL,Baldwin County,000003,558,2,259,269,3,1,1,3,20,456,1,228,215,3,0,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000004,AL,Baldwin County,000004,1175,11,816,274,14,3,0,4,53,965,4,695,212,14,2,0,4,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000005,AL,Baldwin County,000005,1632,35,389,1146,12,2,0,1,47,1316,30,357,893,8,2,0,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000006,AL,Baldwin County,000006,2002,59,1517,244,7,46,0,9,120,1458,45,1113,194,7,26,0,3,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000007,AL,Baldwin County,000007,11405,543,8849,1060,53,303,17,52,528,8256,348,6518,789,43,226,10,28,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000008,AL,Baldwin County,000008,2305,114,1479,557,6,23,1,13,112,1939,94,1227,518,3,15,1,8,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000009,AL,Baldwin County,000009,2668,133,2060,300,4,11,0,6,154,1986,73,1610,203,3,10,0,4,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01003000010,AL,Baldwin County,000010,3036,89,2534,319,7,10,2,2,73,2467,55,2080,272,4,9,1,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
