GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_ben,uss_16_rep_gle,gov_18_dem_pol,gov_18_rep_sta,atg_18_dem_wei,atg_18_rep_bra,sos_18_dem_gri,sos_18_rep_wil,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_hic,uss_20_rep_gar,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
08001001001,CO,Adams County,001001,3990,2234,1450,53,48,55,7,20,123,3041,1512,1289,41,37,50,6,12,94,736.5,250.7,681.8,247.3,693.5,175.2,674.6,194.4,696.8,180.9,940.2,280.8,922.2,276.3,249,709.1,183.5,688.3,278.5,931.2,229.4,763.7
08001001002,CO,Adams County,001002,3023,1819,985,24,29,68,5,32,61,2349,1318,861,21,22,63,4,16,44,738.7,278.5,695,267.9,740.2,241,716.5,245.8,722.4,233.4,1043.3,334.6,1017.8,345.9,273.2,716.8,240.1,726.4,340.3,1030.5,278.1,810.6
08001001003,CO,Adams County,001003,2966,792,1793,48,19,184,8,2,120,2415,573,1543,37,12,157,7,0,86,531.4,203.1,513.8,208.5,311.5,153.5,312.7,159.2,327.2,146.1,874,268.5,829,293.9,205.8,522.6,152.9,317.1,281.2,851.5,204.7,528.5
08001001004,CO,Adams County,001004,2062,1235,623,43,15,56,9,5,76,1586,887,540,42,10,48,9,5,45,376.1,225,385.1,189,352.1,162,353.1,172,369.1,159,531.1,243,510.1,250,207,380.6,164.4,358.1,246.5,520.6,200,411
08001001005,CO,Adams County,001005,3242,2014,970,35,15,123,0,8,77,2499,1454,851,27,15,95,0,5,52,795.5,312.4,781.9,285.2,675.2,230.9,684.9,233.8,694.6,225.1,939.1,349.2,923.6,343.4,298.8,788.7,229.9,684.9,346.3,931.3,282.9,785
08001001006,CO,Adams County,001006,2848,1901,713,65,31,59,2,8,69,2001,1247,590,35,22,48,0,5,54,465,180,462,167,433,143,441,138,448,128,671,237.8,671.8,223.9,173.5,463.6,136.3,440.7,230.9,671.4,174,513.2
08001001007,CO,Adams County,001007,2699,1341,999,30,16,247,0,8,58,2059,950,834,26,10,200,0,7,32,576.3,382.3,555.3,355,528,309.5,519.2,313.9,536.1,308,708.7,412.8,703.4,413.1,368.6,565.8,310.5,527.8,413,706.1,356.4,589.6
08001001008,CO,Adams County,001008,1570,511,781,21,13,186,0,4,54,1247,363,669,14,12,146,0,1,42,453.4,258.3,451.4,265.2,440.4,208.2,424.4,221.2,448.4,202.2,615.5,292.3,595.5,302.3,261.8,452.4,210.5,437.7,297.3,605.5,250,489.8
08001001009,CO,Adams County,001009,1322,394,820,10,9,33,0,5,51,1100,304,716,9,6,26,0,3,36,438,256,424,244,428,207,419,211,446,197,565,278,540,288,250,431,205,431,283,552.5,240.1,465.7
08001001010,CO,Adams County,001010,3418,1432,1468,78,29,274,2,11,124,2674,1033,1237,70,28,210,2,9,85,627,339,585,329,542,263,523,268,535,267,808,376,790,371,334,606,266,533.3,373.5,799,316.1,630
08001001011,CO,Adams County,001011,3647,2172,1131,60,23,162,0,20,79,2754,1515,965,53,14,136,0,12,59,671.5,347.5,658.1,329.7,623.7,304.3,603.9,308.2,639.1,281.6,1436.9,526.8,1389.8,547.1,338.6,664.8,298,622.2,537,1413.3,377.9,860.4
08001001012,CO,Adams County,001012,2261,938,1087,30,15,85,1,11,94,1807,684,939,21,15,80,1,8,59,600.6,306.6,601.9,286.5,544,261,556.8,269.3,565.9,263.7,708.4,398.9,707.9,395.2,296.5,601.2,264.7,555.6,397,708.2,311.6,612.2
08001001013,CO,Adams County,001013,3197,1222,1601,96,18,118,0,16,126,2441,793,1384,57,16,96,0,10,85,713,402,708,383,677,360,661,377,668,362,940,465,913,482,392.5,710.5,366.3,668.7,473.5,926.5,404.4,754.3
08001001014,CO,Adams County,001014,1968,639,1136,25,20,64,3,9,72,1559,436,977,23,20,51,3,9,40,474,315,482,291,492,236,479,240,482,237,653,366,641,370,303,478,237.7,484.3,368,647,293.6,529
08001001015,CO,Adams County,001015,3544,1445,1640,90,15,164,2,20,168,2632,995,1302,71,15,125,1,14,109,508.6,263,488.6,251.7,399.2,191.8,400.1,206.6,422.6,189.2,669.1,344.5,663.9,338.5,257.3,498.6,195.8,407.3,341.5,666.5,255,507.5
08001001016,CO,Adams County,001016,1844,675,927,15,8,120,0,4,95,1474,471,806,11,8,99,0,4,75,488.2,312.8,515.5,286.5,477.5,282.6,468.7,295.3,480.4,289.4,649,348.9,644.1,353.7,299.7,501.9,289.1,475.6,351.3,646.6,309.9,531.9
08001001017,CO,Adams County,001017,1809,809,863,11,12,49,0,10,55,1390,537,743,10,11,43,0,9,37,487.8,346,515.8,318.8,471.6,300.5,472.8,306.5,497.8,290.8,689,387.4,673.3,398.6,332.4,501.8,299.3,480.8,393,681.2,335.5,544
08001001018,CO,Adams County,001018,2174,1047,917,35,8,81,3,4,79,1646,700,783,30,7,64,3,4,55,558.1,343.4,554.4,325.4,501.5,271.5,470,294.8,503.1,285.6,743.1,387.9,735.1,397.3,334.4,556.3,284,491.5,392.6,739.1,329.4,580.8
08001001019,CO,Adams County,001019,1528,807,595,18,8,27,2,19,52,1144,555,505,11,5,25,2,5,36,341,211,327,207,308,164,309,179,314,168,453,228,466,208,209,334,170.3,310.3,218,459.5,195,359.7
08001001020,CO,Adams County,001020,3355,2266,863,58,12,67,1,20,68,2427,1551,703,44,12,49,1,15,52,543,218,537,185,509,161,497,176,509,155,735,272,733,275,201.5,540,164,505,273.5,734,206,580.4
08001001021,CO,Adams County,001021,3893,2568,1115,35,21,42,9,12,91,2908,1771,973,30,14,32,6,12,70,654.5,304.6,665.1,278.8,623.8,222.1,594.1,247.2,621.4,236.9,848.9,380.8,851.4,362.6,291.7,659.8,235.4,613.1,371.7,850.2,290.4,694.2
08001001022,CO,Adams County,001022,2924,1796,915,39,14,41,5,24,90,2215,1272,778,32,11,35,5,18,64,677.6,360.9,670.1,339.5,1087.2,364.9,1032.8,371.9,1054.3,377.3,805.8,391.1,789.1,380.7,350.2,673.8,371.4,1058.1,385.9,797.4,369.5,873.8
08001001023,CO,Adams County,001023,2271,1414,711,24,7,41,7,14,53,1726,971,625,23,5,33,7,13,49,457.4,240.1,466.9,196.5,399.8,166.1,391.2,185.1,401.7,174.7,591.2,243.9,595.9,237.3,218.3,462.2,175.3,397.6,240.6,593.6,206.2,472
08001001024,CO,Adams County,001024,2406,1432,775,29,12,91,5,19,43,1821,1001,665,27,11,70,5,11,31,708.7,312.6,721.5,269.5,617.3,251.2,601.6,260.4,623.8,243.9,858.1,390.3,863.4,387,291.1,715.1,251.8,614.3,388.6,860.8,302.1,713.5
08001001025,CO,Adams County,001025,2851,1594,930,46,23,165,1,9,83,2147,1093,799,29,22,139,1,7,57,597,307,577,297,560,232,532,264,543,243,759,356,763,351,302,587,246.3,545,353.5,761,292.9,618.7
08001001026,CO,Adams County,001026,3905,1873,1415,80,28,369,12,3,125,2989,1239,1251,66,24,300,12,2,95,682.9,338.6,663.7,319.1,616.6,279.1,597.9,306.2,618.2,287.1,981.4,448.6,969.2,439.8,328.9,673.3,290.8,610.9,444.2,975.3,345.5,732.8
08001001027,CO,Adams County,001027,2577,1474,684,90,21,223,4,21,60,1871,989,551,71,16,181,4,19,40,388.5,157.3,369.1,147.7,306.1,101.4,294.3,111.2,301.7,107.2,493.2,215.1,491.7,207.6,152.5,378.8,106.6,300.7,211.4,492.5,149.6,377.8
08001001028,CO,Adams County,001028,2452,1335,898,59,31,70,0,18,41,1741,861,724,38,20,56,0,12,30,311.2,164.3,311.2,157.1,274.1,117.8,262.5,130.9,266.9,125.8,388.3,192,395.6,184.7,160.7,311.2,124.8,267.8,188.3,391.9,153.2,315.7
08001001029,CO,Adams County,001029,4361,2835,1103,165,25,105,7,17,104,3006,1771,938,105,16,86,7,12,71,632.4,297.4,627.2,259.5,515.6,202.8,494.6,221,510.5,214.4,805.6,345.2,803.3,348.6,278.4,629.8,212.7,506.9,346.9,804.4,269.9,627
08001001030,CO,Adams County,001030,3268,2161,910,26,29,49,3,16,74,2361,1425,796,20,19,28,3,12,58,401,280.9,410.3,245.8,339.2,208.5,336,212.5,346.9,195.9,518.1,310.2,503.5,312.5,263.3,405.6,205.6,340.7,311.3,510.8,252.3,407.8
08001001031,CO,Adams County,001031,2619,975,1301,37,21,171,2,12,100,2027,676,1116,30,14,127,2,6,56,528,433,554,373,562,360,543,364,577,352,787,494,768,516,403,541,358.7,560.7,505,777.5,413.1,617
08001001032,CO,Adams County,001032,1966,782,981,31,9,89,0,7,67,1520,543,828,17,7,79,0,3,43,490,316,496,279,466,271,448,281,446,284,618,367,609,373,297.5,493,278.7,453.3,370,613.5,310.1,510.4
08001001033,CO,Adams County,001033,2442,623,1537,40,8,130,3,7,94,2051,461,1356,37,6,112,3,7,69,684.6,447.6,711.6,409.5,654.7,395.5,609.6,419.5,630.6,415.5,957.8,514.5,902.8,548.6,428.6,698.1,410.2,631.6,531.6,930.3,450.1,736
08001001034,CO,Adams County,001034,2089,844,1002,26,13,85,0,12,107,1637,592,865,23,8,77,0,11,61,480,367,510,336,503,314,490,325,509,317,674,416,649,434,351.5,495,318.7,500.7,425,661.5,358.4,545
08001001035,CO,Adams County,001035,5293,4161,968,14,13,46,1,6,84,3468,2513,831,9,11,35,1,6,62,425,278,436,240,320,183,301,194,317,175,528,307,512,304,259,430.5,184,312.7,305.5,520,240.1,405.6
08001001036,CO,Adams County,001036,1176,282,831,8,11,5,0,2,37,1097,221,818,6,11,5,0,1,35,276.4,277.9,286.8,260.7,293.7,240.9,276.5,272.1,313.7,237,384.4,329.9,385.4,322,269.3,281.6,250,294.6,325.9,384.9,277.2,316.7
08001001037,CO,Adams County,001037,4672,3688,786,16,21,41,5,5,110,3047,2252,665,9,14,28,3,2,74,401,288.1,404.6,246.8,360.9,207.9,359.3,223.2,370.9,200.7,571.5,309.6,574.8,291.8,267.4,402.8,210.6,363.7,300.7,573.1,252.6,434.7
08001001038,CO,Adams County,001038,3507,1969,1285,54,21,66,3,10,99,2563,1304,1078,38,16,64,2,8,53,519,354.2,519.2,311.7,494.6,265.5,462.4,285.1,494.6,276.4,660.7,419.4,662.8,411.2,333,519.1,275.6,483.9,415.3,661.7,331.9,544.8
08001001039,CO,Adams County,001039,1741,615,931,46,13,53,0,10,73,1341,437,768,27,13,46,0,5,45,271.6,194.7,278.2,181,246,155.2,237.2,161.9,245.5,153.6,335.6,208.3,321.2,215.3,187.8,274.9,156.9,242.9,211.8,328.4,181.4,276.5
