GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_blu,uss_16_rep_car,uss_18_dem_mur,uss_18_rep_cor,gov_18_dem_lam,gov_18_rep_ste,atg_18_dem_ton,atg_18_rep_hat,sos_18_dem_mer,sos_18_rep_cha,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
0900101-001,CT,Fairfield County,01-001,3077,508,1855,106,3,315,0,72,218,2411,327,1577,78,3,234,0,47,145,714.5,488.7,734,466.3,698,402,631.8,479.9,634.7,456.6,647.4,436.1,895.6,506.2,477.5,724.2,443.7,652.9,506.2,895.6,462.2,708
0900101-002,CT,Fairfield County,01-002,4429,513,3264,135,4,270,0,60,183,3463,357,2663,99,4,198,0,42,100,1041,1075,1131,1009,1056,873,883,1033,890,1010,922,968,1370,1170,1042,1086,971,937.8,1170,1370,1019.7,1041.9
0900101-003,CT,Fairfield County,01-003,6293,703,4835,129,6,245,1,100,274,4870,432,3884,103,3,188,0,82,178,1517,1687,1568,1710,1558,1361,1307,1594,1360,1523,1395,1474,2064,1656,1698.5,1542.5,1488,1405,1656,2064,1572.1,1538.4
0900101-004,CT,Fairfield County,01-004,5767,836,3796,182,6,356,0,167,424,4539,568,3144,121,5,271,0,121,309,1323.5,1095.3,1332,1099.7,1310,873,1127.2,1032.1,1144.3,1002.5,1188.7,940.9,1697.4,1146.8,1097.5,1327.8,962.1,1192.6,1146.8,1697.4,1027.2,1303.3
0900101-005,CT,Fairfield County,01-005,708,46,598,10,0,24,0,7,23,556,26,483,8,0,19,0,7,13,177.7,224.8,203.2,224.8,161,214,144.3,233.7,147.3,228.8,153.2,216,238.6,250.4,224.8,190.5,223.1,151.4,250.4,238.6,227.5,175
0900101-006,CT,Fairfield County,01-006,84,16,61,3,0,3,0,0,1,62,5,50,3,0,3,0,0,1,3.3,4.1,3.7,4.1,3,3.9,2.7,4.3,2.7,4.2,2.8,4,4.4,4.6,4.1,3.5,4.1,2.8,4.6,4.4,4.2,3.2
0900101-007,CT,Fairfield County,01-007,1580,732,126,592,0,67,0,29,34,1184,514,111,454,0,52,0,27,26,316,60,306,43,237,35,229,49,221,37,223,39,332,87,51.5,311,40,227.5,87,332,50,266.3
0900101-008,CT,Fairfield County,01-008,7971,3309,1130,2886,7,363,2,58,216,6294,2532,1027,2260,7,291,2,35,140,1991,315,1889,209,1421,178,1404,234,1334,205,1352,195,2026,474,262,1940,203,1377.8,474,2026,258.6,1631
0900101-009,CT,Fairfield County,01-009,8191,3738,296,3777,18,88,0,59,215,5842,2500,238,2839,15,65,0,34,151,2039.3,120.1,1933.9,72,1414.7,75.3,1422,98,1349.2,93.1,1360,91.2,1990,238.3,96,1986.6,89.4,1386.4,238.3,1990,112.6,1644.1
0900101-010,CT,Fairfield County,01-010,7472,3415,559,3206,11,52,1,70,158,5638,2486,487,2458,11,44,1,40,111,1491.4,171.6,1406.9,121,1002.2,113.8,1005.8,130.7,956.9,121.8,964.9,122.7,1478,284.6,146.3,1449.1,122.3,982.5,284.6,1478,152.3,1186.6
0900101-011,CT,Fairfield County,01-011,954,387,120,369,0,17,1,15,45,764,315,106,287,0,12,0,11,33,616.2,146.6,618.6,102.3,526.5,102,506.8,120.1,496.6,111.4,501.9,111,701.1,191.9,124.5,617.4,111.1,508,191.9,701.1,126.4,566.8
0900101-012,CT,Fairfield County,01-012,5089,1733,522,2480,16,115,0,84,139,3866,1256,433,1904,14,96,0,63,100,1457.3,225.1,1432,143.7,1136.2,142.6,1113.7,178.1,1088.5,158.8,1087.7,157.8,1584.6,279.9,184.4,1444.6,159.3,1106.5,279.9,1584.6,183.7,1271.4
0900101-013,CT,Fairfield County,01-013,4667,1694,921,1540,9,148,0,121,234,3611,1237,796,1191,3,117,0,94,173,1323,342,1355,248,1115,217,1055,288,1057,247,1057,256,1473,373,295,1339,252,1071,373,1473,281.6,1205
0900101-014,CT,Fairfield County,01-014,2377,958,350,792,3,83,0,72,119,1841,690,311,617,3,64,0,59,97,582,117,586,74,464,68,463,85,442,73,449,73,625,142,95.5,584,74.8,454.5,142,625,90.3,515.9
0900101-015,CT,Fairfield County,01-015,6090,2469,1055,2131,8,123,2,103,199,4718,1832,967,1624,8,86,2,59,140,1200.5,347.3,1234.3,224,992.3,216.5,955.5,263.9,929.9,239.8,943.4,235.3,1334.3,420.2,285.7,1217.4,238.9,955.3,420.2,1334.3,278.1,1084.3
0900101-016,CT,Fairfield County,01-016,5836,2339,295,2846,11,74,2,66,203,4189,1505,256,2187,5,56,0,46,134,1877.3,155.1,1821.5,112.9,1439.2,88.9,1376,136.1,1381,117,1392.1,112,1957.6,262.1,134,1849.4,113.5,1397.1,262.1,1957.6,140.6,1606.4
0900101-017,CT,Fairfield County,01-017,13586,4726,3725,3283,15,417,2,655,763,10671,3366,3340,2571,7,327,2,476,582,2958,1020,3067,730,2305,674,2199,830,2152,758,2209,718,3075,1094,875,3012.5,745,2216.2,1094,3075,832,2566.4
0900101-018,CT,Fairfield County,01-018,970,404,140,252,0,12,0,63,99,692,270,102,202,0,9,0,40,69,156,36,150,27,113,31,111,34,109,32,106,33,161,48,31.5,153,32.5,109.8,48,161,34.4,129.4
