GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_bro,atg_18_dem_rac,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_str,uss_20_rep_wei,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
1100102-001,DC,District of Columbia,02-001,9944,840,4185,3418,12,1020,11,39,419,8803,778,4122,2509,11,979,11,32,361,3710,195,2240,2478,6901,349,3355,411,195,3710,NA,2359,380,5128,318.3,3736.8
1100102-002,DC,District of Columbia,02-002,6908,715,4090,644,16,1076,14,31,322,6804,701,4045,630,16,1059,11,30,312,745.6,58,308.9,341.3,358,32.5,267.6,45.2,58,745.6,NA,325.1,38.9,312.8,45.2,404.3
1100102-003,DC,District of Columbia,02-003,6354,595,3855,367,16,1251,0,44,226,6170,572,3766,365,14,1220,0,35,198,1391,217.1,790.1,978.5,1447.5,233,1033,254.8,217.1,1391,NA,884.3,243.9,1240.3,235,1128
1100102-004,DC,District of Columbia,02-004,6532,602,4375,286,3,954,2,27,283,6225,566,4202,263,3,918,2,20,251,1793.4,194.5,1061.2,1236.8,2003.4,259.8,1515.6,343.1,194.5,1793.4,NA,1149,301.4,1759.5,265.8,1522.1
1100102-005,DC,District of Columbia,02-005,4823,456,3765,103,4,266,2,25,202,4217,371,3342,92,2,249,1,23,137,2206.3,276.2,1229.3,1499.8,2282.3,356.7,1659.2,444.7,276.2,2206.3,NA,1364.6,400.7,1970.8,359.2,1775.4
1100102-006,DC,District of Columbia,02-006,10853,1023,7405,579,10,1191,9,60,576,10004,929,6818,556,10,1156,9,49,477,2215,309,1190,1410,2185,350,1553,458,309,2215,NA,1300,404,1869,372.3,1710.6
1100102-007,DC,District of Columbia,02-007,3327,330,2178,208,0,386,3,25,197,2669,237,1790,176,0,321,3,24,118,1227,166,736,884,1334,218,987,285,166,1227,NA,810,251.5,1160.5,223,1033.6
1100102-008,DC,District of Columbia,02-008,6178,434,4662,275,6,407,3,55,336,4780,322,3616,228,6,378,3,39,188,2384,300,1449,1779,2757,372,1998,546,300,2384,NA,1614,459,2377.5,406,2073.4
1100102-009,DC,District of Columbia,02-009,5809,684,3692,489,2,739,0,15,188,5216,624,3247,480,2,718,0,13,132,1519,286.8,852.9,1019.1,1509.8,318.9,1037,401,286.8,1519,NA,936,360,1273.4,335.6,1187.6
1100102-010,DC,District of Columbia,02-010,5795,608,3952,391,1,527,0,21,295,5018,509,3455,351,0,475,0,19,209,1728.3,208.8,1004,1238.9,1819.7,230.2,1385.2,304.8,208.8,1728.3,NA,1121.4,267.5,1602.5,248,1435.2
1100102-011,DC,District of Columbia,02-011,7794,836,5275,473,12,732,3,53,410,6749,689,4634,418,12,664,2,35,295,3188,363,1931,2353,3407,326,2575,459,363,3188,NA,2142,392.5,2991,382.7,2690.8
1100102-012,DC,District of Columbia,02-012,1520,159,1124,71,0,108,0,9,49,1266,134,935,63,0,97,0,5,32,512.8,95.1,307.4,388.5,646.8,104.1,479.6,156.2,95.1,512.8,NA,348,130.1,563.2,118.5,467
1100102-013,DC,District of Columbia,02-013,2708,226,1982,111,0,264,0,18,107,2487,194,1861,100,0,237,0,13,82,1403.5,112.1,795.8,1010.4,1467.4,156.7,1078.4,216.9,112.1,1403.5,NA,903.1,186.8,1272.9,161.9,1151.1
1100102-014,DC,District of Columbia,02-014,6533,664,4350,595,7,576,4,33,304,6227,611,4189,589,6,545,4,27,256,2764,210,1587,1922,2719,258,2089,325,210,2764,NA,1754.5,291.5,2404,264.3,2216.2
1100102-015,DC,District of Columbia,02-015,5932,586,4210,260,6,585,2,31,252,5604,533,4017,251,6,557,2,26,212,2918.4,157.1,1767.8,2145.8,2979.5,174.2,2290.5,251.2,157.1,2918.4,NA,1956.8,212.7,2635,194.2,2420.4
1100102-016,DC,District of Columbia,02-016,6252,623,4223,597,14,502,10,22,261,5850,529,4081,503,14,483,8,21,211,3298,150,1933,2277,3273,211,2558,311,150,3298,NA,2105,261,2915.5,224,2667.8
1100102-017,DC,District of Columbia,02-017,10361,1875,5299,1611,14,1069,1,61,431,9810,1610,5186,1528,12,1044,1,54,375,4232.6,230.9,2571.2,2939.2,4093.5,311.8,3207.5,456.8,230.9,4232.6,NA,2755.2,384.3,3650.5,333.1,3408.8
1100102-018,DC,District of Columbia,02-018,7723,625,3291,2857,12,633,2,40,263,6795,536,3141,2281,11,574,2,35,215,3874,98,2503,2810,4028,171,3318,259,98,3874,NA,2656.5,215,3673,176,3306.6
