GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
10001001-28,DE,Kent County,001-28,2203,209,749,1080,14,16,0,35,100,1525,128,589,700,6,16,0,17,69,515.1,202,534.4,203.1,419.6,142.7,591.1,260.3
10001001-29,DE,Kent County,001-29,11966,651,7465,2933,46,188,8,62,613,8726,380,5574,2185,43,154,5,44,341,2548.3,2643.3,2438.1,2533,2162.1,2114.8,3044.8,3282.1
10001001-30,DE,Kent County,001-30,5543,300,3878,911,15,71,2,41,325,4251,196,3065,689,14,53,1,24,209,1011.2,1453.3,991.9,1476.1,832.1,1119.5,1209.8,1764.4
10001001-31,DE,Kent County,001-31,537,20,417,76,2,8,0,0,14,443,16,347,60,1,5,0,0,14,54.1,73.5,52.6,73.3,46.6,59.8,63.2,87.4
10001001-32,DE,Kent County,001-32,6420,958,2182,2570,42,218,6,31,413,4850,598,1919,1834,37,178,6,23,255,1200.1,554.9,1134,578.1,986.4,416.7,1479.8,669.9
10001001-33,DE,Kent County,001-33,866,68,510,204,7,9,0,4,64,676,40,420,160,5,9,0,2,40,194.4,188.7,190.4,181.8,167,154.2,225.8,230.2
10001001-34,DE,Kent County,001-34,464,53,195,130,1,52,0,5,28,359,38,166,97,1,38,0,3,16,217.9,179,210,188.5,197.5,158.3,246.2,190.1
10001002-28,DE,Kent County,002-28,4366,322,2697,1007,5,45,1,17,272,3331,192,2138,769,5,43,0,14,170,875.2,645.2,891.8,670.7,715.2,509.2,1018.7,755.5
10001002-29,DE,Kent County,002-29,8882,647,4801,2561,121,209,2,50,491,6949,423,3976,1954,109,183,2,24,278,2424.8,1593.1,2181.8,1559.1,2073.5,1295.9,3019.2,1924.4
10001002-30,DE,Kent County,002-30,604,27,446,85,6,3,0,0,37,483,18,370,65,5,3,0,0,22,130.9,159,122.4,163.2,112.1,122,158.1,192
10001002-31,DE,Kent County,002-31,3690,268,1524,1430,6,131,2,75,254,2915,165,1300,1093,4,112,2,69,170,938.3,541.4,941.5,600.8,784.2,451.9,1089.2,571.5
10001002-32,DE,Kent County,002-32,3102,260,1425,1111,16,42,0,23,225,2272,176,1212,681,11,38,0,13,141,752,486.9,759.7,517.4,619.8,399,876.5,544.4
10001002-33,DE,Kent County,002-33,6839,555,3993,1561,22,236,7,47,418,5110,341,3130,1201,21,180,4,26,207,1033.2,1032.3,912.7,1028.1,904,853.1,1282.9,1215.6
10001002-34,DE,Kent County,002-34,472,22,359,40,8,9,0,4,30,358,19,283,26,7,8,0,2,13,88.5,206.6,89,205,76,173.6,100.6,241.2
10001003-28,DE,Kent County,003-28,833,47,429,282,4,15,0,2,54,584,19,311,205,4,15,0,2,28,260.7,209,262.7,213.5,217.4,165,302.1,248.6
10001003-29,DE,Kent County,003-29,3350,188,2667,224,40,33,3,10,185,2468,116,2011,177,34,30,3,1,96,346.3,449.4,325.7,449.7,293.6,357.9,419.8,540.6
10001003-30,DE,Kent County,003-30,3692,134,3053,259,9,22,1,15,199,2965,73,2521,186,9,21,0,12,143,436.2,1128,447.8,1127.9,373.8,885.2,486.9,1371
10001003-31,DE,Kent County,003-31,4580,275,2129,1590,26,226,0,25,309,3584,179,1839,1152,19,178,0,17,200,1301.6,801.5,1251,854,1089.4,681.2,1564.3,869.2
10001003-32,DE,Kent County,003-32,3294,251,1487,1257,8,59,0,17,215,2433,167,1190,880,6,51,0,8,131,570.8,395,564.3,425.3,494.4,344.4,653.6,415.2
10001003-33,DE,Kent County,003-33,2870,222,1908,487,22,39,2,15,175,2229,138,1559,350,16,37,2,10,117,577.6,759.5,547.5,803.5,517.4,636.9,667.8,838
10001003-34,DE,Kent County,003-34,5193,445,3098,1155,35,80,0,18,362,3902,278,2471,858,27,67,0,13,188,1171.1,1361,1127.5,1390.8,994.2,1106.6,1391.6,1585.6
10001004-28,DE,Kent County,004-28,209,31,106,49,0,6,0,4,13,135,17,68,38,0,6,0,1,5,29.8,34.2,27.4,29.2,23,30.3,38.9,43
10001004-29,DE,Kent County,004-29,750,36,422,215,7,19,0,5,46,608,30,364,156,6,19,0,5,28,298.6,405.6,289.9,404.7,257.2,329.8,348.7,482.3
10001004-30,DE,Kent County,004-30,1667,55,1192,341,4,3,0,8,64,1267,39,973,198,3,3,0,3,48,218.4,473.1,228.9,488.1,185.7,361.9,240.6,569.2
10001004-31,DE,Kent County,004-31,4005,240,1604,1791,18,118,5,29,200,3485,180,1466,1561,13,109,1,22,133,660.4,339.6,622,359.6,554.6,275,804.7,384.1
10001004-32,DE,Kent County,004-32,1094,127,356,479,6,56,0,3,67,806,75,294,341,6,45,0,2,43,202.2,86.8,204.1,92.4,155,65.7,247.5,102.3
10001004-33,DE,Kent County,004-33,5460,526,3543,945,28,79,1,22,316,4192,337,2838,729,25,65,1,10,187,777.9,1064.5,748,1077,640.8,858.3,944.9,1258.2
10001004-34,DE,Kent County,004-34,6645,458,3897,1491,25,250,5,50,469,5166,279,3181,1167,21,199,5,34,280,1544.5,1326.4,1413.2,1442.2,1383.9,1095.6,1836.5,1441.4
10001005-28,DE,Kent County,005-28,8622,600,4598,2660,26,230,1,39,468,6691,382,3810,2005,21,178,1,20,274,1777.1,1081.3,1655.9,1108.5,1481.2,830.8,2194.1,1304.5
10001005-29,DE,Kent County,005-29,2485,140,2080,94,15,13,2,10,131,1940,89,1652,82,15,8,2,7,85,219.8,493.2,241.1,505.1,177.3,384.2,240.8,590.3
