GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_isa,uss_16_dem_bar,gov_18_rep_kem,gov_18_dem_abr,atg_18_rep_car,atg_18_dem_bai,sos_18_rep_raf,sos_18_dem_bar,sos_r18_rep_raf,sos_r18_dem_bar,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_per,uss_20_dem_oss,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
13001000002,GA,Appling County,000002,3563,403,1215,1838,7,10,0,9,81,2633,261,954,1358,7,8,0,2,43,419.2,721.2,436.4,564.8,392.1,739.6,392.8,691.1,352.6,744,147.4,295.6,521.2,882.5,504.5,839.8,427.8,643,379.1,724.9,512.8,861.1,395.8,684.8
1300100001B,GA,Appling County,00001B,1834,76,1575,109,3,3,0,5,63,1415,46,1251,71,3,3,0,2,39,684.9,92,635.9,81,701,78,663,93,614,139,292,40,869.9,115.9,827.9,133.9,660.4,86.5,659.3,103.3,848.9,124.9,661.1,96.6
1300100001C,GA,Appling County,00001C,1538,116,1242,150,0,5,0,0,25,1216,68,1008,120,0,4,0,0,16,497.4,51.7,457,52.5,499,50,467.3,57.2,427.1,107.5,194.3,28.9,595.9,55.9,580.8,55.3,477.2,52.1,464.4,71.6,588.3,55.6,464.8,57.4
1300100003C,GA,Appling County,00003C,2515,263,1528,608,3,39,0,5,69,1920,144,1247,457,3,27,0,5,37,777.4,263.1,750.7,211.7,733,214.4,700,215.6,648.4,273.4,292.2,95.6,851,301.6,826.7,293.9,764,237.4,693.8,234.5,838.8,297.8,697.4,233.7
1300100004B,GA,Appling County,00004B,1321,62,1147,59,2,5,1,2,43,990,32,904,31,2,5,1,1,14,567,21,535.9,13,572.1,13.1,551.1,19.1,523,51.2,238.5,8.1,648.3,23.2,640.3,25.2,551.5,17,548.7,27.8,644.3,24.2,534.5,21.7
1300100004D,GA,Appling County,00004D,2455,323,1895,158,3,45,0,0,31,1880,227,1496,99,3,42,0,0,13,905.5,92.9,830.7,90.9,885.2,79.8,844.3,94.7,815.4,136.6,380.8,51.8,1044.7,129.6,1017.8,128.6,868.1,91.9,848.3,103.7,1031.2,129.1,840.6,100.6
1300100005A,GA,Appling County,00005A,2229,395,1521,226,0,12,0,9,66,1624,244,1197,140,0,12,0,3,28,530,68,492,54,555,77,516,88,487,130,187,30,697,118,660,115,511,61,519.3,98.3,678.5,116.5,515.5,85
1300100005B,GA,Appling County,00005B,1843,163,1478,166,8,2,0,2,24,1415,84,1174,132,8,2,0,1,14,583,103,541,92,570,90,541,102,509,143,190,49,709,132,676,136,562,97.5,540,111.7,692.5,134,539.9,105.9
130010003A1,GA,Appling County,0003A1,1146,24,1073,25,7,2,0,0,15,865,12,817,17,5,2,0,0,12,473.6,19.5,439,24.4,472.5,15.7,455.8,22.3,436,49.3,187.2,23,534.5,20.1,519.2,24.4,456.3,22,454.7,29.1,526.8,22.2,439.7,24.8
13003000001,GA,Atkinson County,000001,3121,748,2106,174,12,1,0,11,69,2289,454,1652,128,10,1,0,0,44,850,136,758,117,833,115,791,129,768,147,290,33,1026,160,1008,164,804,126.5,797.4,130.3,1017,162,790.5,125.1
13003000002,GA,Atkinson County,000002,1322,239,1033,19,8,3,0,0,20,973,133,796,14,8,3,0,0,19,380.2,29.4,325.7,34.3,397.1,26.4,371,32.4,369,37.4,137,5.1,485.5,45.3,467.4,46.3,353,31.9,379,32.1,476.4,45.8,366.6,32.1
13003000003,GA,Atkinson County,000003,2022,380,1129,462,6,0,2,2,41,1551,249,916,348,6,0,1,0,31,489,257,445,226,487,245,462,246,447,252,190,97,566,291,565,270,467,241.5,465.3,247.7,565.5,280.5,456.4,235.5
13003000004,GA,Atkinson County,000004,1821,681,533,553,4,8,2,3,37,1316,446,423,416,3,8,2,0,18,164,275,154,219,164,251,150,236,144,244,46,57,229,329,238,293,159,247,152.7,243.7,233.5,311,161.1,238
130050DOUGL,GA,Bacon County,0DOUGL,11140,875,8103,1747,4,40,4,32,335,8310,547,6374,1158,4,33,4,16,174,3365.5,608,3047.4,474.1,3322.7,489.1,3186.6,515.2,3109.5,593.3,1336.7,204.1,4020,625.2,3930.9,591.2,3206.4,541.1,3206.3,532.5,3975.5,608.2,3164.9,512.5
1300700000A,GA,Baker County,00000A,204,9,139,43,0,0,0,0,13,186,9,128,37,0,0,0,0,12,62.1,27.2,60.5,14.5,63.9,17.9,55.3,18.7,53.6,19.6,21.3,6.8,79.2,26.4,80,23.8,61.3,20.9,57.6,18.7,79.6,25.1,59.5,19.4
1300700000E,GA,Baker County,00000E,485,34,199,229,0,6,0,0,17,388,21,165,192,0,6,0,0,4,134.8,137.8,129.6,109.5,130.1,121.1,123.7,121.3,121.4,119.4,52.7,54.2,154.8,152.6,150,151.2,132.2,123.6,125.1,120.6,152.4,151.9,124.6,120.9
1300700000H,GA,Baker County,00000H,423,20,197,199,0,0,0,0,7,327,10,147,165,0,0,0,0,5,92.2,105.9,93.2,88.8,84.2,89.9,81.2,85.8,75.2,89.8,21.1,26.3,120.2,112,114.3,115.9,92.7,97.3,80.2,88.5,117.2,114,85.2,89.3
1300700000M,GA,Baker County,00000M,340,4,231,98,0,4,0,0,3,286,2,193,85,0,4,0,0,2,133,74,130,64,112,60,102,66,106,60,52,27,137,69,135,65,131.5,69,106.7,62,136,67,113.4,60.6
1300700000N,GA,Baker County,00000N,1424,76,748,559,1,8,0,2,30,1088,35,602,426,0,8,0,2,15,360.4,313.1,357.5,261,370.6,254,345.5,250.9,339.2,258,130.5,118.8,414.7,301,402.6,300.8,359,287.1,351.7,254.3,408.7,300.9,340.1,257.2
13009000318,GA,Baldwin County,000318,4892,164,3288,1131,5,168,0,8,128,3929,106,2784,816,1,135,0,7,80,1535.9,585.9,1529.4,486,1626.1,577.4,1578,593.2,1511.5,641.7,767.6,297.2,1787.8,771.2,1779.4,741.7,1532.7,536,1571.9,604.1,1783.6,756.4,1514.5,586.8
13009000319,GA,Baldwin County,000319,2631,42,1415,1101,4,14,4,4,47,2208,31,1189,934,3,14,2,1,34,608.4,540.7,619.5,454.5,626.5,539.6,605.6,534.5,589.5,554.6,263.2,278.7,731.6,605.9,735.6,580.9,614,497.6,607.2,542.9,733.6,593.4,597.5,511.2
13009000322,GA,Baldwin County,000322,2191,21,1617,492,0,5,1,8,47,1682,10,1273,370,0,5,1,1,22,682,273,627,243,678,264,651,276,630,293,311,143,784,320,768,307,654.5,258,653,277.7,776,313.5,641.4,264.9
13009001714,GA,Baldwin County,001714,1772,37,1126,532,4,11,0,6,56,1354,30,911,374,2,8,0,2,27,384.4,218.1,355.6,200.2,354.6,223.1,334.6,231.1,326.7,237,149.4,92.6,424.3,273.9,405.4,269.9,370,209.2,338.6,230.4,414.8,271.9,341.9,218.2
1300900321E,GA,Baldwin County,00321E,2056,59,400,1507,4,13,1,9,63,1545,46,339,1100,4,12,0,8,36,110.5,529.8,119.5,464.1,101.6,459.1,117.5,415.3,100.6,431.2,50.8,152.4,139.4,517.9,138.4,494,115,496.9,106.6,435.2,138.9,505.9,109.8,433
1300900321W,GA,Baldwin County,00321W,4369,77,1180,2983,7,9,0,15,98,3420,53,982,2304,7,7,0,11,56,365.3,1334.4,410.2,1124.8,337.3,1255.5,355.3,1169.7,301.4,1240.6,142.7,587.8,399.2,1418.2,410.2,1354.3,387.7,1229.6,331.3,1221.9,404.7,1386.3,340.2,1185.7
1300900CTY1,GA,Baldwin County,00CTY1,3706,156,1635,1689,4,76,4,38,104,3058,110,1511,1272,3,59,3,32,68,138.4,528.9,168.4,460.1,165.9,506.2,177.8,476,157.1,482.7,53.7,205.7,188.3,589.4,191.3,577,153.4,494.5,166.9,488.3,189.8,583.2,155.1,478.3
1300900CTY2,GA,Baldwin County,00CTY2,3520,74,1330,2063,0,18,1,3,31,3295,58,1286,1918,0,15,1,1,16,179.1,307.7,192.3,247,132.9,306.4,147,279.2,133.9,292.2,41.4,108.7,154.2,335.8,154.2,316.6,185.7,277.3,137.9,292.6,154.2,326.2,141.9,274.2
1300900CTY3,GA,Baldwin County,00CTY3,1697,87,612,910,4,12,2,15,55,1325,53,555,652,2,10,2,11,40,122.9,529.3,146.7,453,107,499.6,111,476.8,102.1,477.8,41.6,193.3,132.8,542.2,140.8,522.4,134.8,491.2,106.7,484.7,136.8,532.3,113.1,461.8
1300900CTY4,GA,Baldwin County,00CTY4,3136,149,2361,458,5,39,3,54,67,2953,141,2287,370,5,39,1,51,59,127.5,169.2,146.5,136.9,97.4,157.9,102.5,148.7,88.4,147.8,33.2,67.6,113.6,171.1,113.6,168,137,153.1,96.1,151.5,113.6,169.6,102.8,145.9
1300900CTY5,GA,Baldwin County,00CTY5,1643,26,631,892,3,52,5,0,34,1383,24,577,709,3,36,5,0,29,227.7,643.6,255.7,551.5,158.7,655.6,174.6,624.6,152.6,634.6,63.3,312.3,212.7,711.8,218.7,681.7,241.7,597.5,162,638.3,215.7,696.7,183,602
1300900CTY6,GA,Baldwin County,00CTY6,3364,61,1485,1668,9,83,1,9,48,2567,41,1230,1176,7,75,1,6,31,846,698.7,857.5,591.5,828.1,689.3,817.1,676.4,745.6,725,394.8,358,897.7,898.3,907,858.9,851.8,645.1,796.9,696.9,902.4,878.6,786.7,687
1300900MERI,GA,Baldwin County,00MERI,3664,133,2363,957,4,82,1,7,117,2926,99,1974,711,4,63,1,4,70,1046.4,594.6,1049.3,499.1,1136,647.7,1130.1,634.9,1036.6,711.7,529.6,329.8,1344.7,818,1337.8,776.7,1047.9,546.8,1100.9,664.8,1341.2,797.3,1076.3,626.6
1300900MONT,GA,Baldwin County,00MONT,5158,53,2989,1935,11,17,4,17,132,4087,33,2479,1467,11,8,2,15,72,1319.6,1018.2,1315.4,877.4,1381.6,1013.3,1368.5,993.1,1282.2,1072.4,600.7,463.9,1590.6,1168.6,1570.4,1136.1,1317.5,947.8,1344.1,1026.3,1580.5,1152.3,1303.6,967.9
13011000001,GA,Banks County,000001,2159,84,1956,38,4,17,1,0,59,1636,42,1503,31,4,15,1,0,40,759.7,87.4,731.1,70.4,753.5,88.3,726.9,90.6,723.4,93.7,281.9,31.1,940.3,109.5,920.7,107,745.4,78.9,734.6,90.9,930.5,108.2,729.7,84.8
13011000002,GA,Banks County,000002,1209,173,965,9,0,26,1,1,34,951,104,795,8,0,20,0,1,23,433,67,417,59,429,76,422,71,418,74,219,31,528,103,504,111,425,63,423,73.7,516,107,421.2,74
13011000003,GA,Banks County,000003,545,10,482,12,2,20,0,0,19,425,9,378,9,2,16,0,0,11,188,17,177,12,196,15,184,17,194,11,109,9,266,29,263,27,182.5,14.5,191.3,14.3,264.5,28,197.1,17.1
13011000004,GA,Banks County,000004,1220,91,1014,56,4,11,0,1,43,908,66,767,43,2,8,0,1,21,375.9,29.6,346.8,35.5,375.8,32.6,365.7,36.6,361.7,33.6,196,15.2,471.7,42.9,454.7,41.9,361.3,32.6,367.7,34.3,463.2,42.4,368.5,33.5
13011000005,GA,Banks County,000005,495,29,436,9,0,0,1,1,19,399,18,363,1,0,0,1,1,15,226.3,23.7,204,21.2,229.3,18.7,222.4,21.6,223,21.6,117.7,7.6,261.9,24,261.8,20.8,215.2,22.5,224.9,20.6,261.8,22.4,218.3,19.9
13011000006,GA,Banks County,000006,2685,97,2292,97,13,46,0,2,138,2052,69,1782,76,13,38,0,2,72,821,103,759,109,829,100,800,119,798,110,367,37,1107,166,1089,153,790,106,809,109.7,1098,159.5,821.3,112.1
