GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
150010201001000,HI,Hawaii County,59,5,12,0,0,17,3,0,22,44,1,11,0,0,16,0,0,16,58.9,19.7,65.4,13.8,64,15.4,56.5,19.6,83.1,26.1,16.8,62.2,17.5,60.2,26.1,83.1,18.9,65.6
150010201001001,HI,Hawaii County,36,1,3,0,0,21,1,0,10,32,1,2,0,0,19,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001002,HI,Hawaii County,112,13,12,0,0,70,5,6,6,92,9,12,0,0,54,5,6,6,0.6,0.2,0.7,0.1,0.7,0.2,0.6,0.2,0.9,0.3,0.2,0.6,0.2,0.6,0.3,0.9,0.2,0.7
150010201001003,HI,Hawaii County,17,5,6,0,0,0,0,0,6,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001004,HI,Hawaii County,32,6,2,0,0,5,7,0,12,19,6,0,0,0,3,1,0,9,2.6,0.9,2.9,0.6,2.9,0.7,2.5,0.9,3.7,1.2,0.8,2.8,0.8,2.7,1.2,3.7,0.9,2.9
150010201001005,HI,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.6,0.1,0.5,0.1,0.5,0.2,0.7,0.2,0.2,0.6,0.2,0.5,0.2,0.7,0.2,0.6
150010201001006,HI,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0.1
150010201001007,HI,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,1.1,0.2,1.1,0.3,1,0.3,1.4,0.4,0.2,1,0.3,1,0.4,1.4,0.3,1.1
150010201001008,HI,Hawaii County,34,2,4,0,0,14,2,1,11,21,2,4,0,0,8,0,1,6,5.4,1.8,5.9,1.3,5.8,1.4,5.1,1.8,7.6,2.4,1.6,5.7,1.6,5.4,2.4,7.6,1.7,6
150010201001009,HI,Hawaii County,41,6,11,0,0,7,10,0,7,28,4,7,0,0,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001010,HI,Hawaii County,86,6,21,0,0,41,0,0,18,71,5,17,0,0,35,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001011,HI,Hawaii County,64,3,7,0,0,36,7,0,11,52,2,7,0,0,31,5,0,7,4.6,1.5,5.1,1.1,4.9,1.2,4.4,1.5,6.4,2,1.3,4.8,1.4,4.7,2,6.4,1.5,5.1
150010201001012,HI,Hawaii County,46,6,0,0,0,37,0,0,3,32,1,0,0,0,28,0,0,3,10.4,3.5,11.6,2.4,11.3,2.7,10,3.5,14.7,4.6,3,11,3.1,10.7,4.6,14.7,3.3,11.6
150010201001013,HI,Hawaii County,52,12,1,0,0,26,0,0,13,46,8,1,0,0,24,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201001014,HI,Hawaii County,29,3,1,0,0,20,1,0,4,27,3,0,0,0,20,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
