GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_gra,uss_16_dem_jud,gov_18_rep_rey,gov_18_dem_hub,atg_18_dem_mil,sos_18_rep_pat,sos_18_dem_dej,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ern,uss_20_dem_gre,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
18001000010,IN,Adams County,000010,1536,98,1357,2,2,14,0,13,50,1100,46,1004,0,2,8,0,8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000020,IN,Adams County,000020,1473,98,1310,2,3,19,0,2,39,1110,64,1005,0,3,11,0,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000030,IN,Adams County,000030,1158,28,1100,2,0,11,0,1,16,962,21,919,1,0,8,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000040,IN,Adams County,000040,1540,5,1514,0,6,1,1,2,11,834,1,816,0,6,1,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000050,IN,Adams County,000050,2281,205,1949,48,4,5,0,3,67,1722,130,1519,20,4,2,0,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000060,IN,Adams County,000060,2606,214,2263,29,12,11,2,1,74,2064,149,1826,21,12,8,1,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000070,IN,Adams County,000070,1532,146,1310,21,2,14,1,4,34,1219,115,1051,18,2,11,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000080,IN,Adams County,000080,1043,39,949,14,0,6,0,1,34,863,27,795,12,0,5,0,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000090,IN,Adams County,000090,2451,260,2058,23,11,21,0,4,74,1882,186,1610,12,7,17,0,3,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000100,IN,Adams County,000100,1517,48,1431,3,8,0,0,0,27,1217,31,1156,2,7,0,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000110,IN,Adams County,000110,1244,15,1206,6,2,3,0,1,11,682,7,667,0,2,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000120,IN,Adams County,000120,1257,107,1127,5,2,3,0,0,13,997,69,914,2,2,2,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000130,IN,Adams County,000130,981,14,959,1,2,0,0,0,5,609,5,598,0,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000140,IN,Adams County,000140,1363,7,1355,0,1,0,0,0,0,632,4,627,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000150,IN,Adams County,000150,951,27,895,2,1,1,0,1,24,625,17,601,0,0,1,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000160,IN,Adams County,000160,181,6,174,0,0,0,0,0,1,129,6,123,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000170,IN,Adams County,000170,704,31,635,2,7,5,0,6,18,487,16,446,0,6,3,0,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000180,IN,Adams County,000180,632,37,570,1,3,0,0,0,21,454,24,407,0,3,0,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000190,IN,Adams County,000190,1037,34,973,0,3,3,0,4,20,791,16,753,0,0,3,0,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000200,IN,Adams County,000200,3047,40,2994,2,1,1,0,0,9,1598,16,1574,0,1,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000210,IN,Adams County,000210,1422,38,1350,5,1,2,0,3,23,929,29,884,1,1,0,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000220,IN,Adams County,000220,1269,28,1200,0,0,3,0,4,34,904,12,878,0,0,1,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000230,IN,Adams County,000230,905,33,855,0,0,1,0,0,16,692,16,666,0,0,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000240,IN,Adams County,000240,2657,35,2600,0,4,5,0,0,13,1343,9,1323,0,2,3,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18001000250,IN,Adams County,000250,1022,44,946,3,5,6,0,0,18,796,22,753,1,3,6,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000010,IN,Allen County,000010,1190,51,539,451,2,86,0,8,53,875,29,487,272,2,60,0,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000020,IN,Allen County,000020,1155,92,708,242,1,52,0,6,54,885,52,614,152,1,41,0,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000030,IN,Allen County,000030,1543,88,1211,111,4,46,0,14,69,1151,44,939,81,4,32,0,7,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000040,IN,Allen County,000040,1036,34,809,86,0,35,0,13,59,772,19,639,62,0,20,0,11,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000050,IN,Allen County,000050,1374,67,1105,119,3,9,0,6,65,982,33,833,85,3,6,0,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000060,IN,Allen County,000060,1260,79,799,274,0,8,1,5,94,992,52,684,195,0,4,1,4,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000070,IN,Allen County,000070,734,56,525,68,2,20,0,4,59,561,28,433,48,2,16,0,4,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000080,IN,Allen County,000080,1009,57,811,90,0,18,1,2,30,783,29,671,52,0,14,1,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000090,IN,Allen County,000090,1625,69,1341,122,0,12,0,8,73,1264,50,1071,85,0,7,0,8,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000100,IN,Allen County,000100,354,18,247,39,1,10,0,2,37,301,12,231,35,1,6,0,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000110,IN,Allen County,000110,1609,57,1311,115,1,22,0,6,97,1241,29,1064,86,0,9,0,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18003000120,IN,Allen County,000120,1414,90,1077,112,0,50,0,10,75,974,50,794,67,0,27,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
