GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
16001011401,ID,Ada County,011401,2581,201,2204,5,8,19,7,18,119,1954,135,1701,5,3,17,0,14,79,857.8,206.2,817.9,208.2,817.9,295.2,867.9,231.2,830.9,280.2,1191.9,386.2,1208.9,381.2,837.8,207.2,838.9,268.9,1200.4,383.7,941.9,284.1
16001011402,ID,Ada County,011402,2264,88,2051,8,4,19,3,9,82,1676,61,1544,6,3,15,2,9,36,804.1,294.4,890.6,267.2,688,295.2,733.1,241,696.7,285.2,926.5,374.7,943.4,360.1,847.3,280.8,705.9,273.8,935,367.4,811.8,302.5
16001011403,ID,Ada County,011403,945,44,827,1,0,16,1,3,53,673,34,604,1,0,6,1,1,26,281.6,115.5,328.1,104.2,383.6,163.7,408.6,133.9,388.2,158.4,515.4,207.8,524.7,199.8,304.9,109.9,393.5,152,520.1,203.8,404.3,154.7
16001011404,ID,Ada County,011404,5400,383,4600,20,22,57,8,44,266,3790,218,3320,14,17,52,5,28,136,1292.2,317.7,1308.4,319.7,1129,404.5,1167.1,362.9,1163.5,372.6,2174.7,582.1,2134.4,582.3,1300.3,318.7,1153.2,380,2154.6,582.2,1481.3,420.3
16001011405,ID,Ada County,011405,3481,241,2995,16,16,23,10,17,163,2595,158,2256,13,15,15,6,8,124,996.3,331.8,996.6,322.8,1019.1,431.7,1074.3,355.5,1047.2,397.6,1442.9,512.3,1419.9,499.3,996.5,327.3,1046.9,394.9,1431.4,505.8,1142.3,407.3
16001011406,ID,Ada County,011406,8118,555,6904,39,19,149,20,28,404,5959,344,5187,26,15,117,12,19,239,1726,564.1,1789.8,474.2,2304.8,760,2375.3,653.7,2296.2,747.3,3881.3,1292.2,3979.4,1163.4,1757.9,519.2,2325.4,720.3,3930.3,1227.8,2621.8,807.9
16001011407,ID,Ada County,011407,2240,152,2003,1,7,23,0,5,49,1780,107,1614,1,7,18,0,4,29,651,302.7,648.1,273.9,609.4,360.3,644.1,296.7,600.4,340.4,859.5,505.2,856.5,495.2,649.6,288.3,618,332.5,858,500.2,695.6,367.8
16001011408,ID,Ada County,011408,2531,160,2237,4,8,17,3,6,96,1836,94,1647,2,8,14,3,4,64,740.8,480.2,837.4,432.6,732.5,528.8,798.8,435.2,725.7,513.5,891.6,703.2,927,644.8,789.1,456.4,752.3,492.5,909.3,674,807.7,534
16001011409,ID,Ada County,011409,2126,107,1884,8,4,29,1,10,83,1610,63,1466,0,4,25,1,5,46,713,394,784,354,736,444,760,381,737,421,834,561,863,530,748.5,374,744.3,415.3,848.5,545.5,775.3,440.7
16001011410,ID,Ada County,011410,2900,283,2375,11,14,44,7,25,141,2319,173,1967,9,11,40,7,16,96,650.6,471.1,708.9,474,584,588.3,624.1,525.2,591.9,572.3,894.9,726.2,885.1,696.9,679.8,472.6,600,561.9,890,711.6,705.6,579.1
16001011411,ID,Ada County,011411,3461,322,2902,5,7,35,2,9,179,2703,198,2331,4,7,34,2,9,118,807.2,453,843.5,423.5,810,547.9,857,472.9,822.6,517.2,1253,772.6,1244.1,751.4,825.4,438.3,829.9,512.6,1248.6,762,948.2,562.6
16001011412,ID,Ada County,011412,2107,191,1769,13,19,18,4,9,84,1570,101,1383,4,17,15,0,7,43,377.3,131.1,422.6,125.4,664.6,271.5,690.1,237,673.6,257.3,1113.2,374.3,1108.7,371.3,399.9,128.3,676.1,255.3,1110.9,372.8,721.4,252.6
16001011413,ID,Ada County,011413,11233,706,9669,59,17,280,16,67,419,7821,420,6856,26,10,227,13,34,235,1664.7,718.6,1889.9,628.3,2257.8,1131.4,2359.2,956.9,2252.8,1088.9,3760,1875.6,3818,1739.1,1777.3,673.5,2289.9,1059.1,3789,1807.3,2571.8,1162.7
16001011414,ID,Ada County,011414,5606,501,4624,46,30,111,25,23,246,3689,279,3095,34,22,89,18,16,136,1280,456,1395,455,994.6,513,1059.5,409.8,1005.6,475.6,1931.9,819.1,1934,796.9,1337.5,455.5,1019.9,466.1,1933,808,1371.5,560.8
16001011415,ID,Ada County,011415,2421,119,2115,17,5,66,3,16,80,1868,80,1638,6,5,55,3,10,71,790.8,251.8,857.1,224.5,879.9,265.4,882.6,238.1,875.3,262.7,1058,389,1112.6,336.3,824,238.1,879.3,255.4,1085.3,362.7,922.3,281.1
16001011416,ID,Ada County,011416,3532,188,3030,26,4,101,1,12,170,2762,109,2445,16,4,74,1,9,104,1098.3,484.7,1233.7,426.2,1248,537.5,1285.8,486.5,1229.9,545.5,1631,916,1716,795.2,1166,455.5,1254.6,523.2,1673.5,855.6,1349,598.8
16001011417,ID,Ada County,011417,4259,394,3475,33,15,75,9,28,230,2992,231,2499,31,11,55,6,22,137,903.6,293.2,977.6,302.2,920.6,485.3,961.6,409.2,934.6,450.3,1528.8,646.4,1494.8,659.3,940.6,297.7,938.9,448.3,1511.8,652.9,1103.1,463.7
16001011418,ID,Ada County,011418,3428,202,2989,25,15,54,6,21,116,2775,121,2484,13,11,46,4,12,84,1212.4,463.8,1228.4,462.8,1131.4,554.7,1194.4,491.8,1148.4,540.7,1448.2,691.6,1446.2,656.7,1220.4,463.3,1158.1,529.1,1447.2,674.1,1258.5,551.7
