GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_duc,uss_16_rep_kir,gov_18_dem_pri,gov_18_rep_rau,atg_18_dem_rao,atg_18_rep_har,sos_18_dem_whi,sos_18_rep_hel,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_dur,uss_20_rep_cur,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
17001001001,IL,Adams County,001001,958,13,887,10,0,4,0,3,41,773,9,724,10,0,2,0,1,27,76,359,175,260,74,210,58,278,147,192,91,383,98,361,309.5,125.5,226.7,93,372,94.5,291.9,102.7
17001002001,IL,Adams County,002001,836,14,783,1,2,7,0,1,28,647,6,616,1,2,3,0,0,19,72,350,138,283,53,234,47,286,141,194,69,381,75,376,316.5,105,238,80.3,378.5,72,300.6,85
17001003001,IL,Adams County,003001,756,8,716,2,0,1,0,2,27,562,8,536,2,0,1,0,2,13,69.1,331.6,118.2,267.5,42,202,37,245,100,182,59,349,65,344,299.5,93.6,209.7,59.7,346.5,62,274.4,70
17001003002,IL,Adams County,003002,898,12,848,2,2,7,0,5,22,666,6,636,2,1,4,0,1,16,46.9,375.4,117.8,295.5,41,250,34,297,111,225,49,403,56,395,335.5,82.4,257.3,62,399,52.5,320.1,65.1
17001004001,IL,Adams County,004001,186,3,178,0,1,0,0,1,3,136,2,132,0,0,0,0,1,1,16,112,30,97,12,84,13,92,36,69,18,117,23,112,104.5,23,81.7,20.3,114.5,20.5,97.6,21.1
17001005001,IL,Adams County,005001,747,13,704,2,0,1,0,2,25,564,4,541,0,0,0,0,2,17,68.8,329.3,142.6,258.6,46.4,234.3,45.3,268.4,123,196.7,63.5,341.4,66.5,335.2,294,105.7,233.1,71.5,338.3,65,280.6,79.4
17001006001,IL,Adams County,006001,595,5,554,2,0,0,0,1,33,471,4,446,2,0,0,0,1,18,53,232.3,106.8,167.3,44.9,171.6,46.9,186.5,113.7,123.7,62.8,266.3,65.8,253.4,199.8,79.9,160.6,68.5,259.9,64.3,200.2,70.6
17001007001,IL,Adams County,007001,573,11,542,7,0,0,0,1,12,453,8,435,2,0,0,0,0,8,48.7,339.8,118.6,264.1,37.1,237.3,29.3,258.5,101,189.4,50.6,346.7,52.8,336.2,301.9,83.6,228.4,55.8,341.5,51.7,281.7,62.6
17001007002,IL,Adams County,007002,872,5,831,0,0,0,0,5,31,633,2,613,0,0,0,0,3,15,66.1,290,135.9,205.7,53.7,190.9,54.7,214.9,117,159.2,57.5,323.3,71.9,301.2,247.9,101,188.3,75.1,312.2,64.7,240.7,79.6
17001008001,IL,Adams County,008001,514,12,482,0,1,0,0,2,17,394,6,376,0,0,0,0,2,10,42.1,213.6,85.6,160.6,28.9,163.1,27.8,173.9,78.9,131.3,42.3,242.1,51.7,226.9,187.1,63.9,156.1,45.2,234.5,47,187.4,51
17001009001,IL,Adams County,009001,1102,10,1023,1,2,3,0,12,51,880,5,826,1,2,1,0,10,35,89.2,464.2,179.5,376.9,87.2,348.9,71.2,381,177.4,284.7,96.2,504.4,106.3,488.3,420.5,134.4,338.2,111.9,496.3,101.3,406.9,115.3
17001010001,IL,Adams County,010001,279,1,274,0,0,0,0,0,4,191,0,189,0,0,0,0,0,2,19,83,45,58,15,57,13,63,36,43,19,102,25,94,70.5,32,54.3,21.3,98,22,71.4,24.6
17001011001,IL,Adams County,011001,192,11,177,2,2,0,0,0,0,151,6,142,1,2,0,0,0,0,13.2,94.9,33.8,71.1,11.5,74.1,11.2,78.7,29.1,62.9,9.3,105.3,16.7,94,83,23.5,71.9,17.3,99.6,13,83,17.8
17001012001,IL,Adams County,012001,354,5,338,2,1,0,0,1,7,274,5,262,1,1,0,0,1,4,18,150,53,111,20,102,21,123,42,102,21,147,21,144,130.5,35.5,109,27.7,145.5,21,125.6,28
17001013001,IL,Adams County,013001,579,2,571,1,0,1,0,0,4,429,0,425,1,0,1,0,0,2,35,283.7,104.9,217.8,34,212.8,28,244.7,93.9,179.8,36,333.6,38,327.6,250.7,69.9,212.4,51.9,330.6,37,257.2,52.8
17001014001,IL,Adams County,014001,1379,15,1310,6,1,1,0,5,41,1030,14,985,1,0,1,0,5,24,103.6,614.2,228.6,458,74,400,68,454,206,324,98,674,127,635,536.1,166.1,392.6,116,654.5,112.5,508.4,129.3
17001015001,IL,Adams County,015001,407,3,392,0,1,0,0,0,11,298,1,292,0,0,0,0,0,5,23.7,187.7,63.2,141.3,24.7,131.4,20.8,155.1,61.3,115.6,22.7,201.6,30.6,188.7,164.5,43.5,134,35.6,195.1,26.7,160.2,35.3
17001016001,IL,Adams County,016001,1168,22,1084,13,3,4,0,1,41,889,12,832,5,3,4,0,0,33,75.5,519.6,201.3,395.8,82.1,356.4,65.1,407.4,192.2,287.3,99.1,545.5,117.1,521.5,457.7,138.4,350.4,113.1,533.5,108.1,433.4,118.9
17001017001,IL,Adams County,017001,929,4,902,2,0,1,1,1,18,697,2,681,2,0,1,1,1,9,58.4,442.7,165.4,326.9,51,309,42,356,147,261,67,494,80,477,384.8,111.9,308.7,80,485.5,73.5,381,87.3
17001018001,IL,Adams County,018001,1207,16,1122,5,5,1,0,1,57,858,10,814,5,2,1,0,1,25,110.2,418.9,217,305.1,84.2,282.9,76.2,324.2,183.1,227.5,90.2,483.7,107.6,458.1,362,163.6,278.2,114.5,470.9,98.9,357.2,124.1
17001018002,IL,Adams County,018002,536,8,501,0,0,1,3,0,23,407,2,391,0,0,0,2,0,12,41,228.3,97.8,168.6,39.1,162.7,41,172.7,68.7,148.9,41,252.8,52.8,236.1,198.5,69.4,161.4,49.6,244.5,46.9,195.7,54.5
17001019001,IL,Adams County,019001,1021,23,946,13,2,7,0,1,29,803,16,752,8,2,7,0,0,18,89.6,452.7,198.8,348.4,83,348.9,71,377.8,188.9,270.9,105,510.8,105,500.8,400.5,144.2,332.5,114.3,505.8,105,401.5,120.2
17001019002,IL,Adams County,019002,1055,15,985,4,1,9,0,4,37,798,5,767,2,1,7,0,0,16,118.3,450.8,220.4,361.6,94.2,307.6,91.2,353.7,203.4,254.5,142.3,463.8,146.3,447.8,406.2,169.3,305.3,129.6,455.8,144.3,377.1,145.2
17001019003,IL,Adams County,019003,744,10,707,14,1,2,0,1,9,581,7,553,12,1,2,0,0,6,80.2,284.6,155.8,216.2,98.2,265.4,87.2,300,174.9,215.8,113.9,396.3,127.1,384.5,250.4,118,260.4,120.1,390.4,120.5,294.7,119.6
17001020001,IL,Adams County,020001,971,20,874,18,0,9,0,2,48,740,15,686,13,0,6,0,2,18,86.1,377.8,161.1,302.4,59.1,340.5,67,361.8,144,284.9,112.2,474.6,109,475.4,340.1,123.6,329,90,475,110.7,373.9,105.5
17001020002,IL,Adams County,020002,1109,6,1067,4,0,8,0,2,22,861,1,845,4,0,3,0,1,7,158.2,560.2,238.4,490.9,110,433,101,485,237,353,158,593,166,578,525.6,198.3,423.7,149.3,585.5,162,499,166.9
17001020003,IL,Adams County,020003,1156,13,1053,11,0,6,1,11,61,880,8,814,8,0,6,1,7,36,106.8,377.9,194.9,280.4,89.6,234.1,88.6,272.9,159.8,203.7,131.2,364.7,129.5,356.3,329.1,150.8,236.9,112.7,360.5,130.4,298.6,128.6
17001020004,IL,Adams County,020004,656,0,641,3,0,3,0,1,8,511,0,501,2,0,3,0,0,5,116.8,430.4,172,375.3,56.1,254.7,56.6,265.8,124.1,204,83.5,345.1,90,333.1,402.9,144.4,241.5,78.9,339.1,86.7,315.5,99.9
17001020005,IL,Adams County,020005,772,29,714,13,0,1,0,2,13,594,15,565,8,0,1,0,0,5,101.7,319.9,152.5,274.2,85.7,287,71,324,161.5,234.9,131.6,425.2,127.8,423.7,297,127.1,282,106.1,424.5,129.7,327,118.8
