GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18
18001000010,IN,Adams County,000010,1536,98,1357,2,2,14,0,13,50,1100,46,1004,0,2,8,0,8,32,145.6,493.2,165.4,546.7,125.8,439.7
18001000020,IN,Adams County,000020,1473,98,1310,2,3,19,0,2,39,1110,64,1005,0,3,11,0,2,25,115.5,485.4,136.5,510.1,94.5,460.7
18001000030,IN,Adams County,000030,1158,28,1100,2,0,11,0,1,16,962,21,919,1,0,8,0,1,12,116.7,490.9,137.5,498.9,95.8,483
18001000040,IN,Adams County,000040,1540,5,1514,0,6,1,1,2,11,834,1,816,0,6,1,1,1,8,30.3,161.2,42.6,165.8,18,156.5
18001000050,IN,Adams County,000050,2281,205,1949,48,4,5,0,3,67,1722,130,1519,20,4,2,0,2,45,329.8,539.6,380.3,592.2,279.4,487
18001000060,IN,Adams County,000060,2606,214,2263,29,12,11,2,1,74,2064,149,1826,21,12,8,1,1,46,334,502.5,371.2,535.6,296.7,469.4
18001000070,IN,Adams County,000070,1532,146,1310,21,2,14,1,4,34,1219,115,1051,18,2,11,1,0,21,166.7,257.1,188.3,276.2,145.2,238
18001000080,IN,Adams County,000080,1043,39,949,14,0,6,0,1,34,863,27,795,12,0,5,0,1,23,179.4,357.9,195.8,365.6,163.1,350.2
18001000090,IN,Adams County,000090,2451,260,2058,23,11,21,0,4,74,1882,186,1610,12,7,17,0,3,47,350.5,528.5,380.2,565.5,320.8,491.5
18001000100,IN,Adams County,000100,1517,48,1431,3,8,0,0,0,27,1217,31,1156,2,7,0,0,0,21,222,453.8,248.3,477.7,195.6,429.9
18001000110,IN,Adams County,000110,1244,15,1206,6,2,3,0,1,11,682,7,667,0,2,2,0,0,4,47.3,297.3,54.8,307.4,39.8,287.2
18001000120,IN,Adams County,000120,1257,107,1127,5,2,3,0,0,13,997,69,914,2,2,2,0,0,8,123.8,309.6,138.5,329.7,109.1,289.5
18001000130,IN,Adams County,000130,981,14,959,1,2,0,0,0,5,609,5,598,0,1,0,0,0,5,54.7,253.1,66.4,269.4,43,236.8
18001000140,IN,Adams County,000140,1363,7,1355,0,1,0,0,0,0,632,4,627,0,1,0,0,0,0,30,121.6,37.4,123.6,22.5,119.5
18001000150,IN,Adams County,000150,951,27,895,2,1,1,0,1,24,625,17,601,0,0,1,0,1,5,75.8,360.6,94.8,377,56.8,344.2
18001000160,IN,Adams County,000160,181,6,174,0,0,0,0,0,1,129,6,123,0,0,0,0,0,0,17.6,49.1,19.6,52,15.7,46.2
18001000170,IN,Adams County,000170,704,31,635,2,7,5,0,6,18,487,16,446,0,6,3,0,4,12,94.1,225.4,109,236.3,79.2,214.6
18001000180,IN,Adams County,000180,632,37,570,1,3,0,0,0,21,454,24,407,0,3,0,0,0,20,60.2,182,66.9,184.3,53.5,179.7
18001000190,IN,Adams County,000190,1037,34,973,0,3,3,0,4,20,791,16,753,0,0,3,0,4,15,128,383.6,146.2,414.4,109.8,352.8
18001000200,IN,Adams County,000200,3047,40,2994,2,1,1,0,0,9,1598,16,1574,0,1,1,0,0,6,49.8,327.9,68.6,344,31,311.7
18001000210,IN,Adams County,000210,1422,38,1350,5,1,2,0,3,23,929,29,884,1,1,0,0,1,13,142.4,360.3,170.2,377,114.6,343.6
18001000220,IN,Adams County,000220,1269,28,1200,0,0,3,0,4,34,904,12,878,0,0,1,0,1,12,133.1,357.6,157,394.4,109.2,320.8
18001000230,IN,Adams County,000230,905,33,855,0,0,1,0,0,16,692,16,666,0,0,1,0,0,9,115.2,308.4,135.4,331.2,95,285.5
18001000240,IN,Adams County,000240,2657,35,2600,0,4,5,0,0,13,1343,9,1323,0,2,3,0,0,6,55.3,223,63,235.9,47.6,210.1
18001000250,IN,Adams County,000250,1022,44,946,3,5,6,0,0,18,796,22,753,1,3,6,0,0,11,121,376.3,138.8,384.6,103.2,368
18003000010,IN,Allen County,000010,1190,51,539,451,2,86,0,8,53,875,29,487,272,2,60,0,4,21,167.8,126,187.6,132.8,148,119.2
18003000020,IN,Allen County,000020,1155,92,708,242,1,52,0,6,54,885,52,614,152,1,41,0,1,24,140,103.3,150.8,123.2,129.2,83.5
18003000030,IN,Allen County,000030,1543,88,1211,111,4,46,0,14,69,1151,44,939,81,4,32,0,7,44,246.8,322.4,265.8,366.6,227.8,278.2
18003000040,IN,Allen County,000040,1036,34,809,86,0,35,0,13,59,772,19,639,62,0,20,0,11,21,159.7,231.8,169.2,256.6,150.3,207.1
18003000050,IN,Allen County,000050,1374,67,1105,119,3,9,0,6,65,982,33,833,85,3,6,0,2,20,230.4,305.2,238.6,339.2,222.2,271.2
18003000060,IN,Allen County,000060,1260,79,799,274,0,8,1,5,94,992,52,684,195,0,4,1,4,52,230.6,260.5,242.2,279,218.9,241.9
