GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
20001000010,KS,Allen County,000010,300,5,279,1,2,0,0,2,11,243,0,234,1,2,0,0,1,5,33,122.9,30,120,35.6,115.2,33.5,133.5
20001000020,KS,Allen County,000020,232,11,210,1,1,1,0,2,6,165,7,154,1,1,0,0,2,0,22,90.7,16.4,109.1,28.2,68.6,21.4,94.2
20001000030,KS,Allen County,000030,117,2,103,0,4,0,0,0,8,94,0,86,0,4,0,0,0,4,10.2,46.1,8.5,46,11.2,34.4,11,58
20001000040,KS,Allen County,000040,665,15,613,1,8,3,1,3,21,517,6,491,1,7,3,1,3,5,50.7,185.3,56,198,48.6,137.4,47.5,220.5
20001000050,KS,Allen County,000050,147,3,127,0,4,0,0,0,13,110,1,96,0,4,0,0,0,9,11.1,49.3,10,43.5,10.8,41.4,12.5,63
2000100006A,KS,Allen County,00006A,232,7,214,0,0,0,0,1,10,182,5,173,0,0,0,0,1,3,29.8,114.1,26.9,114.8,31.3,89.1,31.2,138.3
2000100006B,KS,Allen County,00006B,5,1,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000100006C,KS,Allen County,00006C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,11.8,3.5,12.5,3.5,9.8,4.2,13.2
2000100006D,KS,Allen County,00006D,9,0,7,0,1,0,0,0,1,8,0,7,0,1,0,0,0,0,0,0.2,0,0.2,0,0.1,0,0.2
20001000070,KS,Allen County,000070,952,71,807,21,15,0,0,1,37,718,52,615,19,10,0,0,1,21,120.4,210.7,104.3,211.8,114.4,162.5,142.4,257.8
20001000080,KS,Allen County,000080,890,40,784,4,9,2,0,0,51,698,24,637,2,5,0,0,0,30,118.1,256,107,274.9,112.5,221.2,134.9,272
20001000130,KS,Allen County,000130,216,9,194,0,0,0,0,1,12,173,5,158,0,0,0,0,1,9,21.3,66.8,19.9,70.9,20.2,55.2,23.9,74.2
20001000140,KS,Allen County,000140,752,22,672,2,10,7,1,3,35,577,12,526,2,7,3,1,1,25,87.5,246.4,76,267.5,92.6,200.2,94,271.5
20001000150,KS,Allen County,000150,197,2,189,0,0,0,0,0,6,159,2,152,0,0,0,0,0,5,16,66.2,16.5,70,15,54,16.5,74.5
2000100016A,KS,Allen County,00016A,170,2,159,0,0,4,0,0,5,134,2,125,0,0,4,0,0,3,29.1,94.4,26.6,97.8,28.1,81.8,32.5,103.8
2000100016C,KS,Allen County,00016C,37,1,30,1,0,1,0,0,4,29,0,23,1,0,1,0,0,4,4,10.3,3.4,11.1,4.1,8.5,4.6,11.4
20001000170,KS,Allen County,000170,254,3,236,0,0,1,0,0,14,217,3,203,0,0,1,0,0,10,30,87,25.5,93.5,27,65,37.5,102.5
20001000180,KS,Allen County,000180,244,4,232,0,0,1,0,2,5,179,0,175,0,0,1,0,1,2,37,89.2,31.5,88,34.4,76.6,45,103
20001000190,KS,Allen County,000190,166,2,157,1,0,0,0,3,3,134,0,128,1,0,0,0,2,3,18.3,53.4,16,51.5,19.4,40.6,19.5,68
2000100020A,KS,Allen County,00020A,534,11,485,4,3,5,0,0,26,418,8,385,4,1,4,0,0,16,61.9,202,60.5,200.9,56.2,169.4,69.1,235.9
2000100020B,KS,Allen County,00020B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0.6,1.1,0.6,0.8,0.6,1.1
2000100020C,KS,Allen County,00020C,7,0,3,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001000210,KS,Allen County,000210,996,21,907,6,13,6,0,3,40,760,9,710,6,7,5,0,1,22,127,326.4,107.6,348,129.9,270.1,143.4,361
20001170010,KS,Allen County,170010,1150,39,994,28,3,7,0,7,72,927,27,811,27,3,7,0,7,45,142.1,276.2,127.2,303.9,125.7,225.9,173.4,298.8
20001170020,KS,Allen County,170020,1488,99,1227,65,21,11,0,9,56,1192,70,994,61,15,11,0,9,32,147.7,385.2,134.8,394.8,130,331.9,178.3,429
20001170030,KS,Allen County,170030,1434,79,1222,13,26,11,0,1,82,1094,48,964,10,20,11,0,0,41,166.5,277.2,158.8,304,161.7,215.7,179.1,311.9
2000117003B,KS,Allen County,17003B,8,0,8,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000117003C,KS,Allen County,17003C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,3.2,0.9,3.3,0.9,2.8,1,3.5
20001170040,KS,Allen County,170040,1324,53,1128,25,15,7,0,1,95,1052,40,915,23,10,6,0,0,58,158.1,299.4,144.1,332.8,152.1,229.1,178.2,336.1
20001190010,KS,Allen County,190010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1
20001190020,KS,Allen County,190020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20003000010,KS,Anderson County,000010,381,8,350,0,2,1,0,1,19,288,6,261,0,2,1,0,1,17,24.1,101.3,21.6,107.8,23.1,82.2,27.6,113.8
2000300002A,KS,Anderson County,00002A,1097,34,1008,4,10,0,0,3,38,849,17,784,4,10,0,0,2,32,119.9,322.8,100.2,334.2,119.7,264.3,139.8,369.8
2000300002B,KS,Anderson County,00002B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0.2,1.1,0.3,0.8,0.3,1.2
2000300002C,KS,Anderson County,00002C,7,0,6,0,0,1,0,0,0,6,0,5,0,0,1,0,0,0,0.1,0.3,0.1,0.3,0.1,0.2,0.1,0.3
20003000030,KS,Anderson County,000030,919,34,831,2,2,11,0,2,37,675,16,627,2,2,5,0,2,21,102.3,295.3,94.4,306,97.8,222.6,114.6,357.3
20003000040,KS,Anderson County,000040,937,24,826,5,12,12,0,4,54,700,21,629,5,8,7,0,0,30,82.8,222.3,77.5,234.5,80.8,179.8,90,252.5
20003000050,KS,Anderson County,000050,282,9,245,0,3,5,0,1,19,215,8,185,0,3,5,0,0,14,19,45.3,20.4,38.8,18.3,31.2,18.4,66
20003000060,KS,Anderson County,000060,273,4,257,0,1,2,0,0,9,205,4,195,0,1,1,0,0,4,18.1,45,19.3,45.8,17.8,34.7,17.4,54.7
20003000080,KS,Anderson County,000080,114,3,105,0,0,0,0,2,4,78,3,71,0,0,0,0,2,2,10.2,48.6,10.4,53.3,9.3,39.7,10.9,52.8
20003000100,KS,Anderson County,000100,103,0,94,3,1,0,0,0,5,78,0,70,3,1,0,0,0,4,7.1,30.3,5.8,32.3,7.7,23.4,7.8,35.1
20003000110,KS,Anderson County,000110,178,0,174,0,1,0,0,1,2,135,0,133,0,0,0,0,0,2,18,78.4,14.9,78.4,19.5,67.7,19.5,89.1
20003000120,KS,Anderson County,000120,27,0,24,0,0,0,0,1,2,19,0,17,0,0,0,0,0,2,8.5,39,7.5,40.1,8.2,31.2,9.8,45.5
20003000130,KS,Anderson County,000130,178,1,167,1,0,1,0,3,5,127,1,120,1,0,1,0,1,3,10.2,47,9,48.4,9.8,37.6,11.8,55
2000300014A,KS,Anderson County,00014A,367,5,350,1,2,4,0,0,5,269,2,260,1,2,3,0,0,1,35,116.7,28.1,125.1,39.4,88.8,37.5,136.1
20003000160,KS,Anderson County,000160,169,0,160,2,0,0,0,0,7,130,0,124,2,0,0,0,0,4,22.3,93.8,20,99.8,21.4,76.1,25.6,105.3
20003000170,KS,Anderson County,000170,268,5,253,1,1,1,0,1,6,205,5,193,1,1,0,0,0,5,45.4,98.6,41,97,46.2,77.8,49,121
20003000180,KS,Anderson County,000180,431,0,414,2,0,1,0,0,14,292,0,287,2,0,1,0,0,2,17.8,82.9,18.5,75,15,64.2,20,109.5
20003000190,KS,Anderson County,000190,235,2,216,3,4,0,0,2,8,184,2,168,3,4,0,0,1,6,21.6,92.1,17.7,98.2,23.3,71.2,23.7,106.9
20003000200,KS,Anderson County,000200,421,4,398,0,2,7,0,4,6,321,3,308,0,1,2,0,2,5,61.3,151.8,65.2,154.2,60,116.9,58.6,184.3
20003000210,KS,Anderson County,000210,311,5,292,0,2,1,0,0,11,225,2,216,0,1,1,0,0,5,26.4,100.9,27.2,99.7,23.5,84.4,28.5,118.6
20003000220,KS,Anderson County,000220,295,8,277,1,0,0,0,0,9,233,8,219,1,0,0,0,0,5,36.3,91.6,31.5,97,39.4,75.8,38,102
20003000230,KS,Anderson County,000230,128,3,122,0,0,0,0,0,3,91,2,88,0,0,0,0,0,1,4.1,15,4,15.6,4.5,12,3.8,17.5
20003000240,KS,Anderson County,000240,227,2,217,0,2,0,0,0,6,161,2,152,0,2,0,0,0,5,23.8,87.2,23.4,90.4,26.3,69.6,21.8,101.5
20003200010,KS,Anderson County,200010,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
