GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_ken,uss_16_rep_bou,uss_16_rep_fle,uss_16_rep_man,uss_16_rep_duk,uss_16_rep_cra,uss_16_rep_cao,uss_16_rep_mar,uss_16_rep_pat,uss_16_dem_cam,uss_16_dem_fay,uss_16_dem_edw,uss_16_dem_lan,uss_16_dem_pel,uss_16_dem_wil,uss_16_dem_men,uss_r16_rep_ken,uss_r16_dem_cam,sos_18_rep_ard,sos_18_rep_edm,sos_18_rep_sto,sos_18_rep_ken,sos_18_rep_cro,sos_18_rep_clo,sos_18_dem_col,sos_18_dem_fre,sos_r18_rep_ard,sos_r18_dem_col,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_cas,uss_20_rep_mur,uss_20_dem_per,uss_20_dem_edw,uss_20_dem_pie,uss_20_dem_kni,uss_20_dem_wen,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
220010001-1,LA,Acadia Parish,0001-1,2118,87,1873,95,0,4,0,4,55,1541,60,1385,52,0,4,0,4,36,916.2,98.6,206.1,483,31.9,101.6,43.8,9,7,1,3,48.8,29.9,4,4,0,1,0,388.4,66.7,320.7,83.7,57.8,80.7,33.9,54.8,22.9,50.8,203.2,10.9,1045.7,80.7,987.9,28.9,27.9,24.9,4,5,0,180.3,23.3,105.2,36.8,687.5,23.7,242.3,26.7
220010001-2,LA,Acadia Parish,0001-2,1780,26,1240,453,5,9,1,1,45,1349,14,1003,305,3,3,1,0,20,689.2,240.1,140.1,439.1,41,59.8,14.8,14.1,5.7,0.1,2,73.9,69.8,10.2,14.3,0,6.6,2,315.3,78.5,232.6,100.8,80.6,105.7,29.6,35.9,95.1,81.4,157.3,43.9,683.7,238.3,657,18.9,73.8,67.4,12.6,17.1,2,140.6,52.1,97.5,88.3,453.2,68.5,182.1,62.6
220010001-3,LA,Acadia Parish,0001-3,1719,29,1308,320,2,13,0,4,43,1361,17,1066,246,0,7,0,0,25,684.6,126.8,159.1,399.2,29,54.4,16.4,11.1,5.7,0.2,0,57.7,41.4,7.9,4.3,5,1.7,0,330.1,68,220.2,87.9,51.7,103.3,18.1,44.2,46.3,49.7,145.7,25.5,617.1,130.2,590.7,15.3,42.4,44.3,19.5,0.9,2.9,136,30.6,87.6,48,407.7,40,170.7,37.5
220010001-4,LA,Acadia Parish,0001-4,1917,14,1470,395,3,1,1,7,26,1407,8,1160,223,3,1,1,4,7,681.6,134.9,152.5,456,24.8,45.6,25.3,7,9,1,0,37.4,29.4,5,4,5,4,2,331.7,55.6,241.1,97.5,49.7,103.1,30.6,42.4,38.2,65.3,154.2,11.2,676.1,136.9,656.8,14.4,29.2,64.3,8.1,7,0,140.3,27.7,94.1,51.8,449.1,40.9,181,35.4
220010001-5,LA,Acadia Parish,0001-5,1155,21,706,370,2,3,0,4,49,906,13,594,271,2,2,0,3,21,339.7,220.8,91.6,219.9,13.7,32.5,7.9,1,2.9,3.9,0,75.7,40.9,14.9,11.9,5,2,1,142.7,113.1,111.3,38.4,20.7,58.2,10.8,29.6,91.6,79.4,53.9,43.8,343.9,245.4,312.4,13.7,120.4,54.6,9.9,5.9,2,71.3,46.5,44.8,85.5,223.3,73,88,63.2
220010001-6,LA,Acadia Parish,0001-6,1286,30,260,929,10,4,0,2,51,996,23,193,743,6,3,0,0,28,87.9,657.5,26.7,188.4,7.9,7.9,10.9,4.9,1,0,2,207.3,109,27.7,27.7,9.9,6.9,8,48.3,190.3,61.3,31.7,20.8,31.6,5,17.8,256.4,228.2,26.6,96.1,106.7,683.7,111.6,2,302.7,175.7,39.6,30.7,3.9,33.8,131.7,28,242.3,73.4,206.1,38.1,170.1
220010001-8,LA,Acadia Parish,0001-8,1360,50,917,329,9,1,0,3,51,963,26,707,203,9,0,0,1,17,385.4,114.5,77.8,201.5,24.2,37.6,15.1,5.8,1.7,0.8,0,47.6,36.8,10.9,2.5,5,1.7,0,183.9,43.5,111.2,36.8,25.9,47.6,13.4,28.4,36,33.4,61,16.7,456.9,124.7,421,12.8,46.1,31.6,14.5,5.1,5.1,75,27.4,43.9,34.7,296.9,37.9,102.3,32
220010001-9,LA,Acadia Parish,0001-9,1322,18,1180,90,2,0,0,3,29,1011,11,909,71,2,0,0,0,18,500.5,44.8,151.9,260.3,32.9,28.4,13.8,1.9,1,0,0,20.2,20.3,2.2,1.3,1.9,0.1,0,246.1,28.2,136.8,64.2,29.6,48,25.6,16.6,13.6,14.7,96.4,11,488.6,47.1,473.4,16.7,11,14.4,4.4,0.3,1.9,99.1,11.3,53.5,14.2,326.3,13.2,125.4,13.2
220010002-1,LA,Acadia Parish,0002-1,1687,41,1510,96,1,5,0,0,34,1263,26,1141,70,1,5,0,0,20,816,94,160,435,41,90,36,13,6,1,1,35,26,6,1,3,0,1,384,64,261,95,39,106,24,47,23,38,167,16,990,62,932,24,25,13,2,15,0,159.9,20.8,95.3,30.5,648.7,19.5,222.3,23.6
220010002-2,LA,Acadia Parish,0002-2,1110,26,1043,19,4,3,0,1,14,871,14,825,14,3,3,0,0,12,621.6,35.2,172.7,310.8,23.4,68.8,33.9,1.9,1,2.9,0,10.3,17.6,1,0,2,0,1,350.2,36.2,217.7,81.4,21.6,77.5,37.5,28.1,8.2,17.9,168.2,6.2,711.8,28.5,685.5,10.8,7.4,14.9,0,2,0,123.7,8.4,77.3,13,469.4,8.8,172.7,10.5
