GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_war,uss_18_rep_die,gov_18_rep_bak,gov_18_dem_gon,atg_18_dem_hea,atg_18_rep_mcm,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_mar,uss_20_rep_oco,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
25001000107,MA,Barnstable County,000107,4081,133,3445,120,29,55,0,41,258,3425,92,2973,76,26,52,0,26,180,1286.5,1023.1,1138.3,952.6,1606.6,516.3,1341.6,820.6,1703.5,1033.2,1626.2,1116.7,1023.1,1286.5,1126.6,998.7,1075,1664.8,1092.1,1268.7
25001000108,MA,Barnstable County,000108,3503,114,3029,69,15,40,3,59,174,2915,73,2567,60,15,36,2,52,110,928,929,741,859,1263,365,900,754,1197,985,1189,995,929,928,958.7,668.7,990,1193,964.2,886.7
25001000109,MA,Barnstable County,000109,3704,64,3361,28,17,19,0,26,189,3059,47,2842,14,6,13,0,21,116,1103,1080.5,937.2,1014.7,1526,427.9,1119.7,883.2,1361.1,1103,1319.9,1159.9,1080.5,1103,1141.3,828.2,1131.5,1340.5,1127.9,1044.8
25001000110,MA,Barnstable County,000110,3555,90,3129,56,15,42,2,33,188,2984,71,2658,39,13,35,0,27,141,1050,1032,888,956,1433,414,1022,861,1402,1082,1377,1110,1032,1050,1083.3,774.7,1096,1389.5,1079,1025.5
25001000111,MA,Barnstable County,000111,3917,288,2491,238,26,64,5,212,593,3274,173,2230,174,26,50,5,173,443,893.3,637.4,734.1,553.6,938.4,374,837.4,487.3,1065.1,605.9,1042.5,617.5,637.4,893.3,659.8,648.5,611.7,1053.8,640,824.4
25001000112,MA,Barnstable County,000112,3946,177,3102,132,16,97,1,84,337,3295,120,2683,97,12,76,0,57,250,1022,946,905,914,1435,413,1076,806,1338,1000,1321,1030,946,1022,1051.7,798,1015,1329.5,1021.8,1012.5
25001000113,MA,Barnstable County,000113,3774,308,2290,328,7,92,2,240,507,3077,228,1940,245,3,79,2,194,386,890.9,628.1,698.5,560.7,891.9,390.8,812.8,480.6,1085.3,654.5,1105.9,629.1,628.1,890.9,644.4,634,641.8,1095.6,640.9,830.7
25001000114,MA,Barnstable County,000114,3477,110,2966,80,5,41,0,60,215,3047,83,2645,65,5,34,0,51,164,995.9,881.1,849.4,866.1,1317,404.6,1007.7,746.8,1302.3,816.3,1264.2,884.5,881.1,995.9,976.6,753.9,850.4,1283.2,918.6,970.7
25001000115,MA,Barnstable County,000115,3409,78,3072,34,3,40,0,41,141,3038,63,2764,31,2,29,0,26,123,1049.8,1111.3,838.6,1099.2,1618.3,359,1032.4,958,1356.7,1113.4,1262.4,1209.9,1111.3,1049.8,1225.1,743.3,1161.6,1309.5,1185,983.1
25001000116,MA,Barnstable County,000116,3731,123,3063,104,9,49,3,69,311,3044,79,2550,81,9,38,3,63,221,1033,1006,908,927,1453,391,1075,792,1318,1040,1314,1037,1006,1033,1057.3,791.3,1038.5,1316,1042.5,1006.5
25001000117,MA,Barnstable County,000117,3696,105,3265,45,18,58,0,32,173,3173,82,2863,35,10,33,0,24,126,1204.3,957.5,1029.8,1002.7,1578.8,464.2,1233,839.1,1536,967.1,1486.7,1035.6,957.5,1204.3,1140.2,909,1001.4,1511.3,1063.5,1159
25001000118,MA,Barnstable County,000118,3986,397,2177,385,30,166,7,242,582,3195,262,1873,299,23,131,7,202,398,873.6,572.7,704.9,459.4,802.8,379.5,779.9,416.5,1025.5,603.1,1023.6,581.5,572.7,873.6,559.6,621.4,592.3,1024.6,572.7,797.9
25001000119,MA,Barnstable County,000119,4137,639,1906,538,36,86,1,249,682,3304,423,1656,422,31,65,1,190,516,620.5,342.8,455.5,285.2,483.5,273.1,513.4,256.2,733.5,385.4,737.3,384,342.8,620.5,341.6,414,384.7,735.4,356.2,555.5
25001000430,MA,Barnstable County,000430,3024,66,2666,39,16,33,3,41,160,2484,38,2237,32,15,29,3,30,100,581.6,705,465.5,614.9,874.4,209.9,516.9,591.5,747.6,700.4,758.2,712,705,581.6,693.6,397.4,706.2,752.9,699.7,546.6
