GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_sze,uss_16_dem_van,uss_18_rep_cam,uss_18_dem_car,gov_18_rep_hog,gov_18_dem_jea,atg_18_rep_wol,atg_18_dem_fro,pre_20_dem_bid,pre_20_rep_tru,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2400101-000,MD,Allegany County,01-000,820,9,775,4,0,1,2,0,29,678,7,649,2,0,1,0,0,19,417.8,62.8,365.1,83.7,287.3,72.7,344,33.8,306.2,64.7,75.6,414.6,391.4,73.2,312.5,57,414.6,75.6,355.8,65.5
2400102-000,MD,Allegany County,02-000,996,4,956,7,1,0,1,0,27,844,2,810,7,1,0,0,0,24,458.9,78.3,401.7,117.4,280.3,96.3,358.6,33.2,324.4,72.3,81.3,430.9,430.3,97.8,321.1,67.3,430.9,81.3,375.8,79.8
2400103-000,MD,Allegany County,03-000,1042,0,994,7,0,3,1,4,33,843,0,807,7,0,3,1,3,22,442.7,80.8,387.9,105.7,289.1,66.8,354,23.9,317.1,54.8,79.8,458.6,415.3,93.2,320.1,48.5,458.6,79.8,374.9,68.6
2400104-002,MD,Allegany County,04-002,1363,28,1099,123,4,4,0,3,102,1008,16,867,67,4,1,0,0,53,200,126,151,158,121,106,182,62,146,101,133,210,175.5,142,149.7,89.7,210,133,168.3,114.3
2400104-003,MD,Allegany County,04-003,1781,33,1450,111,9,9,0,2,167,1334,26,1151,72,8,7,0,2,68,366,209,282,273,209,198,322,99,240,190,238,375,324,241,257,162.3,375,238,299,201.2
2400104-004,MD,Allegany County,04-004,1887,28,1682,69,4,8,0,12,84,1564,22,1413,62,3,6,0,6,52,559,247,445,327,355,321,563,136,433,249,374,563,502,287,450.3,235.3,563,374,486.3,275.7
2400104-005,MD,Allegany County,04-005,1105,10,951,37,2,3,0,13,89,884,5,793,30,2,3,0,5,46,330,162.5,259.6,205.3,207.2,143.9,293,62.3,226.1,133.1,158.8,324.9,294.8,183.9,242.1,113.1,324.9,158.8,273.5,144.3
2400104-008,MD,Allegany County,04-008,2091,29,1823,98,5,13,0,3,120,1635,21,1464,71,5,8,0,3,63,419.9,189.4,332.5,266.5,244.2,218.5,381.4,86.6,282,182.5,235.7,438.8,376.2,228,302.5,162.5,438.8,235.7,349.8,196.5
2400105-004,MD,Allegany County,05-004,1735,39,1496,95,0,9,0,19,77,1377,22,1214,81,0,7,0,9,44,408.8,214.9,335.8,260.9,253.9,264.9,399.8,144.9,309.8,231.9,274.9,414.8,372.3,237.9,321.2,213.9,414.8,274.9,353.8,232
2400105-006,MD,Allegany County,05-006,779,12,726,9,1,3,0,1,27,635,9,594,8,1,2,0,1,20,278.2,67.1,211.2,114.1,162.1,88.1,208.2,46.1,180.2,77.1,72.2,281.2,244.7,90.6,183.5,70.4,281.2,72.2,220.2,77.5
