GEOID20,state,county,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
230010101001000,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,2,5,5,4,5,3,2,2,1,5,4.5,3.4,2.6
230010101001001,ME,Androscoggin County,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,3,15,16,16,35,33,28,38,19,17,15.5,9.5,35.5,31.5,24.2,19.8
230010101001002,ME,Androscoggin County,99,1,96,2,0,0,0,0,0,97,1,96,0,0,0,0,0,0,3,3,0,3,3,3,6,6,5,7,3,3,3,1.5,6.5,5.5,4.4,3.4
230010101001003,ME,Androscoggin County,42,1,25,13,0,0,0,0,3,34,0,25,8,0,0,0,0,1,68,80,10,56,60,68,39,36,31,41,80,68,62,35,38.5,35,56.2,41.6
230010101001004,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010101001005,ME,Androscoggin County,20,4,15,1,0,0,0,0,0,15,4,11,0,0,0,0,0,0,9,11,1,8,8,9,5,5,4,6,11,9,8.5,4.5,5.5,4.5,7.8,5.4
230010101001006,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0.5,0.4,0.2
230010101001007,ME,Androscoggin County,107,0,87,12,0,5,0,0,3,83,0,70,6,0,5,0,0,2,2,2,0,2,2,2,4,4,3,4,2,2,2,1,4,3.5,2.8,2.2
230010101001008,ME,Androscoggin County,96,0,90,4,0,1,0,0,1,89,0,89,0,0,0,0,0,0,4,5,1,4,4,4,9,8,7,10,5,4,4,2.5,9,8,6.2,5
230010101001009,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010101001010,ME,Androscoggin County,44,0,42,0,0,2,0,0,0,39,0,37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010101001011,ME,Androscoggin County,137,11,95,17,7,2,0,0,5,135,9,95,17,7,2,0,0,5,4,4,1,3,3,4,8,7,6,8,4,4,3.5,2,7.5,7,5.2,4.4
230010101001012,ME,Androscoggin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,4,4,8,8,6,9,4,4,3.5,2.5,8.5,7,5.6,4.6
