GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_rin,uss_18_rep_bra,gov_18_dem_mil,gov_18_rep_moo,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_gid,uss_20_rep_col,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
23001019105,ME,Androscoggin County,019105,4173,44,3931,8,3,22,4,16,145,3241,29,3087,8,2,16,1,9,89,1106.2,1273.9,174.3,927.1,944.7,1145.8,1392.9,1341.8,1056.6,1583.3,1273.9,1106.2,1036.5,559.5,1462.6,1224.7,1254.4,934.9
23001020601,ME,Androscoggin County,020601,5040,126,4214,365,15,57,3,32,228,4100,84,3552,228,12,49,3,23,149,1091.9,1027.9,200.7,727.9,896.1,811.5,1912.6,1368.9,1570.2,1601.2,1027.9,1091.9,769.7,548.4,1485,1741.4,1107.5,1134.3
23001020602,ME,Androscoggin County,020602,4665,135,4064,164,13,36,2,17,234,3653,80,3260,106,12,27,2,13,153,1371,1089.7,221.7,771.6,1226.2,833.9,1083.7,777,889.5,908.7,1089.7,1371,802.8,723.9,842.9,986.6,876.2,958.4
23001020603,ME,Androscoggin County,020603,5023,104,4388,227,20,67,0,6,211,4027,75,3640,127,16,48,0,3,118,934.9,1109.8,136.4,772,829.9,931.3,900.2,847.8,712,971.5,1109.8,934.9,851.7,483.1,909.7,806.1,926.5,702.7
23001020604,ME,Androscoggin County,020604,4615,100,4075,161,12,40,2,9,216,3736,77,3384,112,12,30,0,4,117,863.5,953.1,140.1,727.8,775,789.5,1334.9,1248.2,1056.4,1430.1,953.1,863.5,758.7,457.5,1339.2,1195.7,1029.8,834
23001020605,ME,Androscoggin County,020605,4718,117,4162,136,18,37,2,12,234,3691,59,3370,81,18,19,2,8,134,1065.1,1143.7,169.4,811.5,868.3,866.1,1292.2,1165.2,1024,1329.8,1143.7,1065.1,838.8,518.9,1247.5,1158.1,1063.3,883.8
23001029255,ME,Androscoggin County,029255,4376,41,4134,18,11,12,1,5,154,3494,32,3313,16,10,9,0,5,109,817,1545,114,1048,624,1250,924,1667,691,1834,1545,817,1149,369,1750.5,807.5,1468.8,634
23001038565,ME,Androscoggin County,038565,2262,41,2081,15,10,3,0,4,108,1793,18,1668,12,9,3,0,4,79,418,752,77,488,374,566,510,820,397,898,752,418,527,225.5,859,453.5,704.8,355.2
23001040035,ME,Androscoggin County,040035,9711,170,8865,92,38,59,7,37,443,7730,117,7159,70,30,45,5,31,273,1780.4,2805.7,323.5,1781.1,1609.8,2103.7,2301.3,2913.1,1833.4,3208.3,2805.7,1780.4,1942.4,966.6,3060.7,2067.3,2562.4,1569.7
23001040665,ME,Androscoggin County,040665,2127,21,2003,15,3,8,2,1,74,1758,19,1657,5,2,6,2,1,66,466,691.6,75.5,477.8,429.7,571,568,770.1,445.4,868.2,691.6,466,524.4,252.6,819.2,506.7,675.7,396.9
23001040770,ME,Androscoggin County,040770,3060,50,2801,8,9,13,0,7,172,2334,30,2155,2,8,13,0,6,120,561.1,738,118,416.2,500.6,474.4,553.4,821,469.8,852.3,738,561.1,445.3,309.3,836.7,511.6,660.4,440.6
23001044585,ME,Androscoggin County,044585,3107,28,2852,17,10,13,0,7,180,2431,13,2271,13,6,12,0,2,114,527.9,890.5,75.5,651.3,459.8,687.3,668.1,1008.1,520.2,1079.7,890.5,527.9,669.3,267.6,1043.9,594.1,863.4,450.3
23001046160,ME,Androscoggin County,046160,2766,35,2604,10,1,12,0,7,97,2156,20,2047,7,1,12,0,7,62,533.6,952.3,58.7,685.2,440.9,804.6,669.2,1013.1,510.8,1144.1,952.3,533.6,744.9,249.8,1078.6,590,919.9,442.6
23001060020,ME,Androscoggin County,060020,5906,77,5515,18,29,22,0,16,229,4725,57,4449,17,25,22,0,12,143,1247.3,1688.8,209.2,1268.2,1078.4,1430.7,1520.6,1907.8,1161.5,2162.4,1688.8,1247.3,1349.4,643.8,2035.1,1341.1,1691.6,1043.4
23001064570,ME,Androscoggin County,064570,5044,60,4678,40,15,26,0,6,219,4074,36,3817,23,15,21,0,6,156,867.1,1694.5,146.2,1045.1,728.9,1192.3,1039.2,1759.1,839.3,1878.4,1694.5,867.1,1118.7,437.5,1818.8,939.2,1513.9,724.1
23001077800,ME,Androscoggin County,077800,5817,137,5373,32,30,26,0,19,200,4546,70,4269,17,27,18,0,14,131,1092,2014,139,1317,897,1528,1302,2057,1015,2255,2014,1092,1422.5,518,2156,1158.5,1834.2,889
23001079585,ME,Androscoggin County,079585,1608,18,1514,2,2,11,0,2,59,1223,12,1158,0,2,10,0,2,39,225.9,588.5,25.8,413.9,198.1,463.7,283.8,626.9,199.7,694.6,588.5,225.9,438.8,112,660.7,241.8,557.5,186.7
23001387401,ME,Androscoggin County,387401,5138,133,3890,745,21,60,2,25,262,4047,86,3264,437,17,55,2,25,161,1547.1,822.1,467.3,501.1,1396.9,576.5,1228.7,574.1,1073.7,662.9,822.1,1547.1,538.8,932.1,618.5,1151.2,627.3,1142.7
