GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_new,uss_18_dem_klo,gov_18_rep_joh,gov_18_dem_wal,atg_18_rep_war,atg_18_dem_ell,sos_18_rep_how,sos_18_dem_sim,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_smi,uss_20_rep_lew,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
27001000005,MN,Aitkin County,000005,2168,30,2014,20,40,9,0,5,50,1754,18,1647,12,35,8,0,5,29,544.4,347.3,332.4,440.6,393.6,370.2,411.7,316,393.7,351,431.7,614.8,407.2,537.7,544.4,347.3,382.9,369.5,576.2,419.5,461.2,380.6
27001000010,MN,Aitkin County,000010,910,27,842,2,0,6,0,2,31,698,15,656,1,0,4,0,1,21,361.6,163.8,255.2,232.2,296.8,180.8,312.6,146.2,297.7,163.1,200.1,388.2,183.8,368.4,361.6,163.8,290.6,180.6,378.3,192,325.8,181.4
27001000015,MN,Aitkin County,000015,272,2,264,1,2,0,0,0,3,237,2,231,0,2,0,0,0,2,95.7,56.8,65.8,84.7,79.8,69.8,78.8,65.8,79.8,70.8,74.8,106.7,78.8,94.7,95.7,56.8,76,72.8,100.7,76.8,85.9,71.6
27001000020,MN,Aitkin County,000020,32,0,27,0,0,0,0,0,5,25,0,22,0,0,0,0,0,3,9,8,7,14,9,11,10,10,9,10,11,12,11,13,9,8,8.8,11.2,12.5,11,9.9,10.7
27001000025,MN,Aitkin County,000025,62,0,59,0,0,0,0,1,2,55,0,52,0,0,0,0,1,2,16,19,12,24,13,18,12,21,12,23,20,17,20,16,16,19,12.2,21.5,16.5,20,14,20.7
27001000030,MN,Aitkin County,000030,116,1,113,0,0,0,0,2,0,95,0,94,0,0,0,0,1,0,44.4,28.3,26.4,37.8,33,31.2,31.2,29.3,33,30.2,37.8,38.7,33,35.9,44.4,28.3,30.9,32.1,37.3,35.4,34.7,32.5
27001000035,MN,Aitkin County,000035,45,2,37,0,0,0,0,0,6,38,1,31,0,0,0,0,0,6,11,9,8,14,8,13,10,9,8,14,15,12,15,14,11,9,8.5,12.5,13,15,10.1,12.7
27001000038,MN,Aitkin County,000038,42,0,39,0,0,0,0,0,3,34,0,31,0,0,0,0,0,3,15,9,9,12,8,14,11,8,11,10,13,15,12,18,15,9,9.8,11,16.5,12.5,12.4,11.1
27001000040,MN,Aitkin County,000040,995,15,949,0,0,0,0,0,31,879,7,852,0,0,0,0,0,20,432,267,291,344,350,279,363,241,352,263,285,482,277,463,432,267,339,281.8,472.5,281,390.4,279.4
27001000045,MN,Aitkin County,000045,329,3,309,0,0,4,0,0,13,294,2,279,0,0,4,0,0,9,145.1,78.4,105.8,93.5,123.8,75.4,125.9,58.4,122.8,77.4,77.6,154.1,75.6,149.9,145.1,78.4,119.6,76.2,152,76.6,132.5,76.6
27001000050,MN,Aitkin County,000050,432,2,409,4,4,1,0,4,8,370,1,355,1,4,1,0,3,5,174,105,127,142,145,119,153,103,147,113,137,197,132,183,174,105,143,119.2,190,134.5,160.9,121.6
27001000055,MN,Aitkin County,000055,153,5,146,1,0,0,0,0,1,138,3,134,0,0,0,0,0,1,60.8,38,43.9,50.9,47,46.8,51.9,36.9,50.9,36.9,46,56.3,43.9,54.2,60.8,38,48.4,42.9,55.3,45,52.1,42.8
27001000060,MN,Aitkin County,000060,792,6,745,1,5,0,0,0,35,695,5,662,1,4,0,0,0,23,329,189,213,233,266,178,269,163,258,174,220,382,200,344,329,189,251.5,187,363,210,294.4,193.9
27001000065,MN,Aitkin County,000065,613,5,563,2,5,1,0,1,36,488,1,457,1,5,1,0,1,22,204,97,102,120,112,106,119,94,111,105,105,175.1,107,146.1,204,97,111,106.3,160.6,106,138.5,104.9
27001000070,MN,Aitkin County,000070,435,2,406,0,6,0,0,0,21,337,0,321,0,0,0,0,0,16,126,78,93,110,102,98,104,89,97,92,89,166.9,91,155.9,126,78,99,97.2,161.4,90,120.7,92.4
27001000075,MN,Aitkin County,000075,222,2,216,0,0,1,0,0,3,176,2,172,0,0,1,0,0,1,79,27,48,47,62,32,62,25,55,37,35,90,40,82,79,27,56.8,35.2,86,37.5,68.3,34.7
27001000080,MN,Aitkin County,000080,334,3,315,1,9,0,0,0,6,268,2,255,0,6,0,0,0,5,120.2,42.7,84.4,67.6,97.4,53.6,99.3,46.7,94.4,48.7,63.6,151,65.6,133.1,120.2,42.7,93.9,54.1,142.1,64.6,111.4,55.5
27001000082,MN,Aitkin County,000082,45,0,39,0,3,0,0,0,3,41,0,35,0,3,0,0,0,3,18,4,9,7,13,6,9,3,14,5,9,18,9,13,18,4,11.2,5.2,15.5,9,13.4,6.1
27001000085,MN,Aitkin County,000085,188,3,175,0,1,0,0,0,9,163,2,152,0,1,0,0,0,8,71,44,51,67,69,48,68,44,65,49,42,78,43,73,71,44,63.2,52,75.5,42.5,67.9,48.1
27001000090,MN,Aitkin County,000090,504,5,474,1,14,1,0,1,8,445,5,422,1,8,1,0,0,8,175,87,137,126,162,94,165,85,161,90,124,217,111,201,175,87,156.2,98.8,209,117.5,174,102.4
27001000095,MN,Aitkin County,000095,38,1,37,0,0,0,0,0,0,35,1,34,0,0,0,0,0,0,22,7,23,4,22,6,25,6,24,6,2,34,3,28,22,7,23.5,5.5,31,2.5,25.4,4.9
27001000100,MN,Aitkin County,000100,20,0,20,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,15,5,9,4,9,4,9,4,9,4,5,12,5,12,15,5,9,4,12,5,10.7,4.4
27001000105,MN,Aitkin County,000105,23,0,21,0,1,0,0,0,1,23,0,21,0,1,0,0,0,1,6,8,3,12,6,10,8,4,7,10,12,9,10,10,6,8,6,9,9.5,11,7,9.4
27001000110,MN,Aitkin County,000110,185,0,180,0,0,0,0,0,5,152,0,149,0,0,0,0,0,3,73,37.3,55.8,58,63.9,48,66.8,40.9,60.1,50.7,46.1,81.9,45.6,75.8,73,37.3,61.6,49.4,78.8,45.9,68.2,46.7
27001000115,MN,Aitkin County,000115,41,0,39,0,0,0,0,0,2,40,0,38,0,0,0,0,0,2,16,4,15,4,15,6,16,5,17,3,4,23,5,21,16,4,15.8,4.5,22,4.5,17.6,4.4
27001000120,MN,Aitkin County,000120,384,9,337,7,9,0,0,3,19,289,3,265,7,7,0,0,0,7,76.4,62.7,54.1,73.8,66.2,62.9,70.2,57.9,70.3,57.8,54,83,60,67.6,76.4,62.7,65.2,63.1,75.3,57,69.7,61.3
27001000125,MN,Aitkin County,000125,96,1,94,0,1,0,0,0,0,87,0,86,0,1,0,0,0,0,37,11.2,34,10.8,34.4,12.3,34.3,13.2,37.3,12.3,15.6,43.3,14.4,38.4,37,11.2,35,12.2,40.9,15,37,12.8
27001000130,MN,Aitkin County,000130,170,4,155,1,2,0,0,0,8,139,4,132,0,0,0,0,0,3,53.9,35,31.2,41.6,33.1,37.9,37.9,28.4,33.1,32.2,30.3,57.7,29.3,50.2,53.9,35,33.8,35,53.9,29.8,42.4,33.5
27001000132,MN,Aitkin County,000132,60,0,57,0,0,0,0,2,1,47,0,44,0,0,0,0,2,1,12,13,12,13,12,12,14,9,13,12,17,17,16,17,12,13,12.8,11.5,17,16.5,13.9,13.1
27001000135,MN,Aitkin County,000135,353,0,322,4,0,1,0,0,26,305,0,286,0,0,1,0,0,18,127,77,86,97,103,81,103,68,102,73,83,166,72,152,127,77,98.5,79.8,159,77.5,119.9,78.7
27001000140,MN,Aitkin County,000140,180,2,167,0,4,0,0,1,6,145,1,136,0,3,0,0,1,4,60.9,24.6,43.2,25.5,47.1,24.6,49.1,20.6,45.2,22.6,30.4,61.9,30.4,52.1,60.9,24.6,46.2,23.3,57,30.4,51.4,25.5
27001000145,MN,Aitkin County,000145,983,16,936,0,1,6,0,0,24,826,5,800,0,1,2,0,0,18,406,230,301,320,360,247,365,215,353,239,255,460,255,428,406,230,344.8,255.2,444,255,381.9,251.6
27001000150,MN,Aitkin County,000150,162,2,137,1,14,0,0,0,8,133,0,120,0,10,0,0,0,3,37.5,29,29.1,31.9,32.8,29,31.9,25.3,33.7,25.3,29,51.5,23.4,47.7,37.5,29,31.9,27.9,49.6,26.2,37.8,27.6
27001000155,MN,Aitkin County,000155,116,0,115,0,0,0,0,0,1,97,0,96,0,0,0,0,0,1,37,9,30,14,32,12,33,7,33,11,9,41,10,42,37,9,32,11,41.5,9.5,35.4,10.3
27001000160,MN,Aitkin County,000160,120,0,119,0,0,0,0,0,1,100,0,100,0,0,0,0,0,0,52,20,36,36,43,29,45,25,42,28,25,51,24,47,52,20,41.5,29.5,49,24.5,45.1,26.7
27001000165,MN,Aitkin County,000165,85,1,77,0,0,0,0,1,6,68,0,66,0,0,0,0,1,1,27,24,25,30,28,27,28,26,28,27,22,35,24,27,27,24,27.2,27.5,31,23,28.3,25.7
27001000170,MN,Aitkin County,000170,64,1,59,2,1,0,0,0,1,58,0,54,2,1,0,0,0,1,31,4,23,13,25,12,25,9,25,10,12,34,12,32,31,4,24.5,11,33,12,27.9,10.3
27001000175,MN,Aitkin County,000175,1216,15,1090,2,75,0,1,0,33,1039,9,963,0,44,0,0,0,23,404.8,292.2,296.2,358.6,351.5,288.3,365.6,247,358.5,261.1,340.3,497.3,314.4,464.1,404.8,292.2,343,288.7,480.7,327.3,391.2,300.3
27001000180,MN,Aitkin County,000180,320,24,140,0,142,0,0,0,14,195,14,94,0,82,0,0,0,5,52,43,34,48,40,40,41,36,42,39,64,43,50,41,52,43,39.2,40.8,42,57,41.9,45.7
27001000185,MN,Aitkin County,000185,522,3,501,2,3,3,0,0,10,407,1,394,1,2,1,0,0,8,204.1,107.5,138.7,140.7,158.9,120.5,167.9,100.4,158.9,115.5,93.7,240.1,108.6,216.1,204.1,107.5,156.1,119.3,228.1,101.1,183.5,112.4
27001000190,MN,Aitkin County,000190,62,5,47,1,0,0,0,2,7,55,3,42,1,0,0,0,2,7,13,16,6,15,9,11,9,11,7,12,7,18,8,18,13,16,7.8,12.2,18,7.5,11.4,11.4
27001000195,MN,Aitkin County,000195,137,3,116,0,14,0,0,0,4,122,2,107,0,10,0,0,0,3,60,39,42,50,51,42,54,33,52,40,42,68,43,68,60,39,49.8,41.2,68,42.5,56.4,41.3
27001000200,MN,Aitkin County,000200,40,4,35,0,0,0,0,0,1,36,3,32,0,0,0,0,0,1,18,9,16,10,17,9,17,7,17,9,9,19,6,19,18,9,16.8,8.8,19,7.5,17.6,8.4
27001000205,MN,Aitkin County,000205,335,4,310,0,9,1,0,0,11,273,3,261,0,2,1,0,0,6,120,55,82,83,103,58,109,50,98,54,74,135,66,132,120,55,98,61.2,133.5,70,111.3,62.9
27001000210,MN,Aitkin County,000210,312,1,307,0,0,0,0,0,4,271,1,267,0,0,0,0,0,3,126,65,79,85,90,75,95,63,91,65,67,134,62,127,126,65,88.8,72,130.5,64.5,106,68.9
27001000215,MN,Aitkin County,000215,251,5,234,1,4,2,0,0,5,232,3,219,1,4,2,0,0,3,121,82,84,102,105,78,107,67,106,73,78,130,75,121,121,82,100.5,80,125.5,76.5,110.6,79.3
27001000220,MN,Aitkin County,000220,38,2,31,2,0,0,0,0,3,27,0,26,1,0,0,0,0,0,11,5,10,9,14,6,13,6,11,6,7,23,7,19,11,5,12,6.8,21,7,14.4,6.6
27001000225,MN,Aitkin County,000225,120,2,112,1,0,0,0,0,5,112,0,106,1,0,0,0,0,5,44,19,42,21,45,16,47,12,45,15,25,59,26,55,44,19,44.8,16,57,25.5,48.1,19.1
27001000230,MN,Aitkin County,000230,212,2,202,0,3,0,0,0,5,174,0,167,0,2,0,0,0,5,74.8,36.5,60,42.7,69.8,29.9,72.8,24.9,68.8,30,36.6,103,37.6,95.2,74.8,36.5,67.8,31.9,99.1,37.1,77.8,34
27001000240,MN,Aitkin County,000240,48,0,41,0,2,1,0,0,4,36,0,32,0,2,1,0,0,1,21.3,5.2,14.2,5.3,15.2,4.2,14.2,4.2,16.2,3.2,2.2,20.3,1.3,22.3,21.3,5.2,15,4.2,21.3,1.8,17.7,3.7
27001000255,MN,Aitkin County,000255,27,0,27,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,9.9,8.4,8.7,8.6,8.8,8.4,8.8,7.3,8.8,8.4,10.5,19,11.4,16.9,9.9,8.4,8.7,8.2,18,11,11.5,9
27001000260,MN,Aitkin County,000260,124,0,118,1,1,1,0,0,3,115,0,110,0,1,1,0,0,3,55.9,31.1,28.1,50.7,41.3,37.5,41.8,35,41.5,36.3,36.3,56,34.6,55.7,55.9,31.1,38.1,39.9,55.8,35.4,45.7,37.4
27001000285,MN,Aitkin County,000285,71,0,64,0,1,0,0,0,6,57,0,53,0,1,0,0,0,3,24.1,14,16.8,19.4,16.9,20.1,17.1,16.6,18.9,15.8,17.7,29.3,18.7,26.8,24.1,14,17.4,18,28.1,18.2,21.4,17.5
27001000290,MN,Aitkin County,000290,93,0,91,0,0,0,0,0,2,63,0,61,0,0,0,0,0,2,38,8,21,15,24,13,26,11,24,8,11,34,12,23,38,8,23.8,11.8,28.5,11.5,27.2,11.1
27003000005,MN,Anoka County,000005,3221,78,2851,37,9,62,0,13,171,2481,37,2261,20,9,43,0,10,101,1265.6,556.1,900.9,717,1034.7,576.1,1057.3,504.2,1027.9,537.8,760.6,1384.8,691.9,1313.7,1265.6,556.1,1005.2,583.8,1349.2,726.3,1140.7,620.5
27003000010,MN,Anoka County,000010,2946,72,2587,59,8,84,0,9,127,2302,28,2087,40,5,50,0,8,84,941.6,549.1,669.3,666.9,773.3,545.5,802.3,467.2,771.5,505.9,714.8,967.8,640.8,900.8,941.6,549.1,754.1,546.4,934.3,677.8,832.4,584.3
27003000015,MN,Anoka County,000015,3585,100,3021,163,15,137,0,11,138,2756,66,2415,89,14,93,0,6,73,1078.2,687.5,840.5,824.6,937.3,722.2,980.5,619.8,936.3,666.8,865.9,1185.2,772.9,1126,1078.2,687.5,923.7,708.4,1155.6,819.4,1012,737.1
27003000020,MN,Anoka County,000020,3094,124,2545,142,20,102,0,9,152,2330,73,2002,86,20,64,0,9,76,784.1,569.4,550.2,655.3,632.4,566.6,664.4,493.5,635.2,527.3,743.9,901.1,664.4,830.8,784.1,569.4,620.6,560.7,865.9,704.2,714,602.9
27003000025,MN,Anoka County,000025,3833,83,3432,58,12,59,1,20,168,2804,41,2579,35,6,38,1,15,89,1246,757,929,973,1074,817,1135,697,1083,764,1053,1374,933,1361,1246,757,1055.2,812.8,1367.5,993,1171.7,856.3
27003000030,MN,Anoka County,000030,3070,65,2723,54,0,99,0,16,113,2219,45,2010,25,0,67,0,14,58,1015.2,441.1,786.1,620.1,892.2,492.1,953.2,404.1,893.2,473.1,663.1,1210.2,590.1,1172.2,1015.2,441.1,881.2,497.4,1191.2,626.6,988.9,526.3
27003000035,MN,Anoka County,000035,3025,70,2648,112,6,74,0,0,115,2017,42,1794,73,5,48,0,0,55,859,495,621,643,745,515,781,433,740,496,743,1004,672,954,859,495,721.8,521.8,979,707.5,814.9,571
27003000040,MN,Anoka County,000040,3056,99,2595,106,6,100,0,5,145,2238,58,1943,70,2,74,0,4,87,997,592,708,700,823,566,861,505,836,517,756,1115,691,1047,997,592,807,572,1081,723.5,912.4,618.1
27003000045,MN,Anoka County,000045,3146,87,2778,64,7,95,1,7,107,2239,51,2019,32,7,70,1,7,52,964,623,722,820,851,680,910,557,857,627,906,1147,817,1111,964,623,835,671,1129,861.5,937.4,718.6
