GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_blu,uss_16_dem_kan,gov_16_rep_gre,gov_16_dem_kos,atg_16_rep_haw,atg_16_dem_hen,sos_16_rep_ash,sos_16_dem_smi,uss_18_rep_haw,uss_18_dem_mcc,pre_20_rep_tru,pre_20_dem_bid,gov_20_rep_par,gov_20_dem_gal,atg_20_rep_sch,atg_20_dem_fin,sos_20_rep_ash,sos_20_dem_fal,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
29001000002,MO,Adair County,000002,2132,18,2038,2,3,12,2,0,57,1577,13,1514,2,3,11,2,0,32,738,167,639,273,635,284,727,202,705,190,577,194,818,158,836,139,825,134,873,87,688.8,223.2,577,194,838,129.5,737.3,182.8
29001000003,MO,Adair County,000003,2768,103,2159,306,8,42,3,2,145,2282,89,1811,226,6,38,3,1,108,463,451,442,517,458,495,486,482,484,440,351,443,467,464,469,468,481,417,531,373,466.6,477,351,443,487,430.5,463.2,455
29001000004,MO,Adair County,000004,1966,57,1575,211,1,35,1,3,83,1468,30,1226,133,0,26,0,2,51,503,299,476,357,493,353,530,302,515,295,427,316,514,323,553,303,542,286,584,250,503.4,321.2,427,316,548.2,290.5,513.7,308.4
29001000005,MO,Adair County,000005,2343,66,1927,174,1,66,0,4,105,1828,46,1547,108,1,49,0,3,74,643,371,620,440,645,430,716,353,680,349,588,416,656,444,700,417,688,383,749,342,660.8,388.6,588,416,698.2,396.5,668.5,394.5
29001000006,MO,Adair County,000006,2055,36,1953,2,3,13,0,6,42,1614,23,1548,2,3,13,0,2,23,875.3,221.2,754.9,311.6,770.7,323.9,848,254.8,804.8,248.7,705.9,228.9,1148.7,213.5,1170.5,187.9,1160.4,167.7,1210.3,127.5,810.7,272,705.9,228.9,1172.5,174.1,944.9,228.6
29001000007,MO,Adair County,000007,3597,46,3380,2,6,23,1,10,129,2741,31,2579,2,6,21,0,6,96,1246.8,407.4,1131.3,551,1159.4,531.7,1270.1,425.9,1227.4,423,1031.4,461.8,1173.4,381.3,1198.7,362.8,1196.7,321.1,1260.8,283.2,1207,467.8,1031.4,461.8,1207.4,337.1,1189.6,414.9
29001000008,MO,Adair County,000008,3493,101,2965,170,6,93,1,3,154,2766,77,2380,113,6,84,1,2,103,768.1,534.8,775,593.8,798,579.8,849.1,537.8,865,471.8,699,532.8,853,606.7,881,575.7,915.9,513.7,969.9,467.7,811.1,543.6,699,532.8,905,540.9,837.4,541.5
29001000009,MO,Adair County,000009,2336,83,1797,156,4,188,0,8,100,2040,60,1601,129,4,174,0,7,65,270,457,265,492,279,492,315,458,330,408,198,393,268,551,275,531,296,497,309,482,291.8,461.4,198,393,287,515.2,280.5,476.1
29001000010,MO,Adair County,000010,2494,76,2055,112,9,91,2,11,138,2024,57,1689,82,6,78,1,7,104,412,262,363,314,386,314,431,290,418,265,297,265,484,340,480,337,478,323,520,286,402,289,297,265,490.5,321.5,426.9,299.6
29001000011,MO,Adair County,000011,2130,75,1741,130,0,122,3,3,56,2120,73,1739,125,0,122,3,3,55,110.8,329.5,136.8,348.6,137.8,341.6,150.9,328.5,153.9,308.5,64.7,243.5,30.9,228.6,33.9,224.6,42.9,208.5,38,213.5,138,331.4,64.7,243.5,36.4,218.8,90,277.5
29003000002,MO,Andrew County,000002,45,2,42,0,0,0,0,0,1,28,1,27,0,0,0,0,0,0,4.5,1.6,3.8,2.2,4,2.1,4.1,2,4.2,1.7,3.2,1.8,4.6,1.8,4.5,1.8,4.6,1.5,4.8,1.3,4.1,1.9,3.2,1.8,4.6,1.6,4.2,1.8
