GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_wic,uss_18_dem_bar,uss_r18_rep_hyd,uss_r18_dem_esp,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_hyd,uss_20_dem_esp,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
28001000101,MS,Adams County,000101,1157,26,867,227,0,3,0,0,34,1018,24,776,189,0,3,0,0,26,402,171,342,145,311,154,399,185,385,199,402,171,342,145,392,192,367.8,170.8
28001000102,MS,Adams County,000102,1679,24,461,1146,2,5,0,2,39,1269,22,390,828,2,5,0,2,20,240.7,503.3,179.8,388.5,168.8,404.4,261.6,520.3,247.7,538.3,240.7,503.3,179.8,388.5,254.7,529.3,219.7,471
28001000103,MS,Adams County,000103,3082,56,1849,1048,3,55,0,2,69,2548,45,1599,813,1,45,0,2,43,1090,442,854,379,808,402,988,519,947,553,1090,442,854,379,967.5,536,937.4,459
28001000201,MS,Adams County,000201,1393,28,882,436,1,5,0,1,40,1066,22,723,292,0,4,0,0,25,572,161,425,140,384,142,521,206,503,222,572,161,425,140,512,214,481,174.2
28001000202,MS,Adams County,000202,1971,31,918,979,0,5,0,0,38,1520,26,781,681,0,5,0,0,27,454.1,333.7,357.5,263.6,312.3,281.4,458.9,381.8,425.5,404.4,454.1,333.7,357.5,263.6,442.2,393.1,401.7,333
28001000203,MS,Adams County,000203,1636,19,909,643,6,4,0,7,48,1263,12,725,481,5,4,0,7,29,474.5,286.2,402.7,234.9,367.4,257.9,502.2,319.1,477.1,333.2,474.5,286.2,402.7,234.9,489.6,326.2,444.8,286.3
28001000204,MS,Adams County,000204,1196,15,977,174,6,2,0,0,22,1004,12,834,141,4,0,0,0,13,541.5,97.8,393.3,76.1,369.6,75.1,518.8,94.9,506.9,103.8,541.5,97.8,393.3,76.1,512.9,99.3,466,89.5
28001000301,MS,Adams County,000301,1084,5,67,978,1,0,0,3,30,866,4,49,786,1,0,0,2,24,29,523,28,386,20,407,41,522,31,534,29,523,28,386,36,528,29.8,474.4
28001000302,MS,Adams County,000302,847,14,249,555,4,7,1,0,17,616,9,206,381,2,6,1,0,11,166.8,255.3,115.5,200.4,109.7,211.6,142.1,241.2,138.5,245.6,166.8,255.3,115.5,200.4,140.3,243.4,134.5,230.8
28001000303,MS,Adams County,000303,1402,13,80,1281,2,4,0,2,20,965,9,70,869,2,4,0,0,11,26,504,20,319,11,357,26,420,16,431,26,504,20,319,21,425.5,19.8,406.2
