GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
30001000001,MT,Beaverhead County,000001,859,52,710,6,45,5,3,6,32,643,39,561,3,16,3,3,3,15,200,191.2,207.3,214.8,224.4,169.5,168.4,189.3
30001000002,MT,Beaverhead County,000002,1282,53,1120,2,23,8,0,9,67,992,42,884,0,14,1,0,8,43,193.2,549.3,185.3,529.4,199.9,469.8,194.4,648.8
30001000003,MT,Beaverhead County,000003,1366,68,1239,1,1,13,0,4,40,1091,46,1004,0,1,7,0,4,29,219.4,542.3,203.6,509.6,221,494.2,233.6,623.1
30001000004,MT,Beaverhead County,000004,300,22,263,0,0,0,0,2,13,254,11,228,0,0,0,0,2,13,41.2,138,43,124.7,41.7,114.7,39,174.5
30001000005,MT,Beaverhead County,000005,211,7,200,0,0,1,0,0,3,171,6,162,0,0,0,0,0,3,22.2,107.3,15.7,98.4,25.1,104.3,26,119.1
30001000006,MT,Beaverhead County,000006,899,47,781,1,13,0,0,3,54,708,30,630,0,12,0,0,3,33,167,263.3,169.1,286.3,175.8,239.7,156.2,263.9
30001000007,MT,Beaverhead County,000007,531,11,477,0,14,2,0,1,26,410,8,370,0,7,2,0,1,22,85.7,238.9,81.7,237.6,84.6,227.1,90.8,252.1
30001000008,MT,Beaverhead County,000008,103,5,91,0,0,0,0,1,6,89,2,80,0,0,0,0,1,6,14,56.7,13.2,58.1,12.9,53.7,15.8,58.5
30001000009,MT,Beaverhead County,000009,724,28,663,1,8,1,0,0,23,576,20,535,0,8,1,0,0,12,126.3,303.2,114.7,286.7,136,277,128.1,346
30001000012,MT,Beaverhead County,000012,1019,26,958,3,3,2,0,3,24,862,19,824,0,3,1,0,1,14,217.1,287.9,189.2,264.3,213.3,256.5,248.8,342.8
30001000014,MT,Beaverhead County,000014,1095,48,972,5,8,4,0,1,57,907,37,811,5,6,4,0,1,43,181,222.6,167.8,208.9,167,166.3,208.3,292.6
30001000017,MT,Beaverhead County,000017,185,20,144,3,4,1,0,1,12,149,14,122,1,4,1,0,1,6,30.7,86,29.8,77.2,27.6,80.7,34.7,100.1
30001000019,MT,Beaverhead County,000019,213,10,191,2,1,0,0,3,6,172,7,156,2,1,0,0,2,4,27,93.7,22,87.9,25.5,82.9,33.3,110.3
30001000020,MT,Beaverhead County,000020,144,11,124,0,0,0,0,3,6,121,10,106,0,0,0,0,3,2,8.7,77,6,71.6,11,72.6,9,86.9
30001000021,MT,Beaverhead County,000021,237,15,206,0,0,0,0,3,13,198,8,177,0,0,0,0,3,10,43.5,110,37.3,114.6,47,99,46.3,116.4
30001000023,MT,Beaverhead County,000023,203,8,191,0,0,0,0,0,4,181,4,174,0,0,0,0,0,3,41.7,86.6,36.5,81.8,37,80.1,51.8,98.1
30003000001,MT,Big Horn County,000001,407,5,204,1,175,3,0,0,19,279,3,167,1,93,3,0,0,12,51.2,79.1,48.7,76.8,54.9,71.9,50,88.5
30003000002,MT,Big Horn County,000002,265,4,160,0,87,1,1,1,11,214,2,150,0,54,1,0,0,7,57.7,53.6,49.7,50.3,61.6,45,61.8,65.6
30003000003,MT,Big Horn County,000003,214,11,182,1,13,0,0,0,7,170,7,146,1,12,0,0,0,4,26.4,110.3,26.4,108.6,27.3,100.3,25.4,122.1
30003000004,MT,Big Horn County,000004,171,14,94,0,45,1,0,0,17,133,10,81,0,32,1,0,0,9,29.6,68.9,29.7,61.9,29.4,66.3,29.7,78.3
30003000005,MT,Big Horn County,000005,768,12,99,2,626,2,0,0,27,476,7,71,2,372,2,0,0,22,149.7,45.4,134.3,43.4,159.5,41.4,155.2,51.3
30003000006,MT,Big Horn County,000006,108,10,90,0,3,0,2,0,3,86,7,75,0,1,0,0,0,3,15.3,43.3,17.7,47.6,14.8,41.8,13.5,40.4
30003000007,MT,Big Horn County,000007,2026,29,86,1,1866,2,1,0,41,1277,21,72,1,1150,2,1,0,30,642.1,127.2,588.9,115.5,719.2,105.9,618.2,160.3
30003000008,MT,Big Horn County,000008,341,20,128,0,172,1,0,0,20,242,16,110,0,106,1,0,0,9,62.2,86.6,53.8,92.6,71,74.7,61.9,92.6
30003000009,MT,Big Horn County,000009,441,4,25,0,400,0,0,0,12,279,3,19,0,247,0,0,0,10,124.1,33.6,109.3,28.9,140.6,32.5,122.4,39.5
30003000010,MT,Big Horn County,000010,134,3,107,0,14,1,0,0,9,114,2,93,0,9,1,0,0,9,17.9,48.7,17.3,48,20.3,45.3,16,52.9
30003000014,MT,Big Horn County,000014,406,9,70,0,313,1,1,0,12,259,4,55,0,191,0,1,0,8,103.6,52.8,86.1,46.7,129,47.2,95.7,64.4
30003000015,MT,Big Horn County,000015,727,5,137,0,574,0,0,0,11,470,5,105,0,353,0,0,0,7,174.6,102.1,172.3,96.9,195.6,86.7,155.9,122.6
30003000017,MT,Big Horn County,000017,1202,65,395,0,688,11,0,2,41,777,41,324,0,378,8,0,1,25,184.2,215.6,164.9,210,200.2,185.9,187.4,250.9
30003000018,MT,Big Horn County,000018,1011,82,445,0,428,7,0,0,49,724,51,386,0,251,5,0,0,31,129,190.3,109.6,193.3,134,167.7,143.4,210
30003000019,MT,Big Horn County,000019,1607,147,626,1,717,11,2,0,103,1139,98,537,1,418,10,0,0,75,211.9,239.1,193.1,244.3,212.5,196.7,230.1,276.3
30003000021,MT,Big Horn County,000021,796,4,97,0,677,1,1,0,16,479,1,76,0,387,1,1,0,13,262,97.2,238,100.9,312,85.8,236,104.8
30003000025,MT,Big Horn County,000025,476,7,119,0,326,1,0,0,23,317,5,81,0,211,0,0,0,20,76,52.4,67.6,50.2,96.4,51.2,64,55.9
30003000026,MT,Big Horn County,000026,1734,68,101,5,1482,1,0,0,77,1077,35,85,1,903,1,0,0,52,269.7,73.4,244.9,82.4,267.2,53.1,297.1,84.7
3000300004N,MT,Big Horn County,00004N,290,16,242,0,21,0,1,0,10,235,11,204,0,11,0,0,0,9,27.7,122.8,28.2,114.3,26.7,117.4,28.2,136.6
30005000001,MT,Blaine County,000001,659,15,596,0,19,1,0,0,28,526,11,490,0,9,1,0,0,15,54.7,212.3,49.9,207.6,57.6,200.6,56.6,228.7
30005000003,MT,Blaine County,000003,1157,31,55,1,1054,0,0,2,14,754,13,49,0,685,0,0,2,5,355.3,35.7,306.8,41.1,395.9,24.9,363.3,41
30005000008,MT,Blaine County,000008,787,37,229,0,451,4,0,11,55,534,24,193,0,263,2,0,11,41,222.7,101.3,191,104.4,239.3,88.3,237.8,111.2
30005000009,MT,Blaine County,000009,542,16,10,2,505,0,0,0,9,342,9,4,2,322,0,0,0,5,171.8,17.4,151.6,20,187.4,10.5,176.4,21.7
30005000010,MT,Blaine County,000010,805,15,733,2,12,0,0,7,36,619,13,566,2,11,0,0,5,22,110.3,340.6,105.3,337,127.7,303.1,98,381.8
30005000011,MT,Blaine County,000011,1185,19,963,0,118,2,0,11,72,916,13,764,0,79,0,0,9,51,236.4,373.6,222.5,371,259.8,314.4,226.7,435.3
30005000013,MT,Blaine County,000013,323,2,303,0,7,2,0,2,7,231,2,219,0,5,0,0,2,3,23.8,101.2,22.4,101.9,26.1,92.2,22.9,109.4
30005000015,MT,Blaine County,000015,1586,23,53,5,1455,4,0,2,44,1043,11,47,5,946,4,0,2,28,457,44.2,384.4,47.8,497.9,29.7,488.7,55.1
30007000001,MT,Broadwater County,000001,1658,41,1497,2,15,4,0,9,90,1324,33,1222,1,10,4,0,5,49,209.7,527.1,200.7,454.1,208.2,470.5,220.1,656.6
30007000007,MT,Broadwater County,000007,1113,40,1016,2,9,0,0,2,44,898,30,821,2,9,0,0,2,34,154.2,364.2,147.1,324.9,159.7,317,155.9,450.6
30007000011,MT,Broadwater County,000011,1336,37,1209,3,8,0,0,1,78,1093,15,1012,3,8,0,0,0,55,157,537.4,155.2,491,154.6,481.2,161.1,640.1
30007000012,MT,Broadwater County,000012,959,46,853,3,3,0,0,2,52,738,30,673,0,3,0,0,0,32,196,460.9,201.3,455.3,204.2,408.3,182.6,519.2
30007000013,MT,Broadwater County,000013,1708,36,1574,7,9,1,0,10,71,1256,17,1166,6,8,1,0,7,51,158.5,597.4,139.2,494.3,161.5,491.8,174.9,806.1
30009000001,MT,Carbon County,000001,971,15,917,3,12,0,0,2,22,734,11,698,3,3,0,0,1,18,123.7,350.3,125.4,328,125.5,305.3,120.3,417.6
30009000002,MT,Carbon County,000002,591,22,517,2,4,0,0,2,44,460,9,417,2,3,0,0,1,28,91.4,173.3,89.5,168.2,95.8,149.8,89,201.8
30009000003,MT,Carbon County,000003,913,22,829,0,8,1,0,4,49,723,15,678,0,2,0,0,4,24,141.6,469.9,146.5,442,143.8,433.7,134.5,534.1
30009000004,MT,Carbon County,000004,659,9,606,0,5,0,0,7,32,517,7,476,0,1,0,0,7,26,88.6,216.2,92.1,204.3,101,181.1,72.8,263.3
30009000005,MT,Carbon County,000005,661,16,622,0,6,0,0,2,15,528,12,495,0,5,0,0,2,14,96.4,293.8,91.2,276,97.1,260.9,100.9,344.5
30009000006,MT,Carbon County,000006,583,12,545,0,3,0,0,0,23,472,8,450,0,1,0,0,0,13,97.6,217.1,101.6,207.6,99.3,181.3,92,262.2
30009000007,MT,Carbon County,000007,916,31,829,0,5,0,0,3,48,703,8,653,0,5,0,0,3,34,158.4,394.1,151.7,371.4,160.8,349.7,162.8,461
