GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
38001003901,ND,Adams County,003901,2200,36,2028,12,14,39,1,0,70,1767,25,1650,8,12,23,0,0,49,241.4,982.9,171.1,958.4,311.2,1012.8,241.8,977.6
38003002401,ND,Barnes County,002401,667,5,620,11,0,8,0,0,23,539,5,505,7,0,8,0,0,14,145.2,250.8,110.3,275.6,176,244.2,149.3,232.7
38003002402,ND,Barnes County,002402,1637,43,1415,64,33,22,2,4,54,1343,24,1189,56,25,22,2,4,21,270.9,396.6,194.6,398.9,362.5,370.5,255.6,420.3
38003002403,ND,Barnes County,002403,1085,38,956,46,10,6,0,1,28,940,30,835,40,9,6,0,1,19,156.7,245.3,132.9,272.9,190.8,237.5,146.5,225.7
38003002404,ND,Barnes County,002404,1423,41,1257,30,20,18,0,3,54,1154,34,1025,22,20,16,0,1,36,246.6,412.2,175.7,414.7,324.8,396,239.4,425.9
38003002405,ND,Barnes County,002405,1763,19,1642,22,8,13,0,7,52,1373,12,1305,19,2,9,0,7,19,293.7,513.2,218.5,518.8,371.9,504.3,290.8,516.5
38003002406,ND,Barnes County,002406,600,7,577,0,1,0,0,0,15,489,5,469,0,1,0,0,0,14,112.8,217.6,80.4,208,153.8,212.8,104,232
38003002407,ND,Barnes County,002407,282,4,266,1,0,0,0,0,11,209,2,199,1,0,0,0,0,7,42.6,98.3,28.6,91,56.3,94.8,43,109.2
38003002408,ND,Barnes County,002408,262,3,250,2,0,0,0,2,5,206,0,199,2,0,0,0,2,3,37.4,113.4,23.9,118.1,51,111.3,37.3,110.7
38003002409,ND,Barnes County,002409,477,3,450,0,3,1,0,2,18,377,1,361,0,3,0,0,2,10,54.5,165.6,37.4,154,75.5,169.5,50.5,173.2
38003002410,ND,Barnes County,002410,118,1,114,0,1,0,0,0,2,101,1,98,0,1,0,0,0,1,27.7,54.6,21.9,54.7,33,54.3,28.3,54.8
38003002411,ND,Barnes County,002411,1007,7,981,0,2,1,0,2,14,807,4,785,0,2,1,0,2,13,179.1,434.3,130.8,419.7,226.7,419.6,179.8,463.4
38003002412,ND,Barnes County,002412,448,3,427,0,5,0,0,0,13,341,0,331,0,5,0,0,0,5,68.3,172.2,50.3,183.1,98.7,156.5,55.8,176.8
38003002413,ND,Barnes County,002413,543,3,506,1,5,0,0,0,28,419,3,398,1,4,0,0,0,13,88.7,167.9,62.7,168,119,154.3,84.3,181.5
38003002414,ND,Barnes County,002414,171,1,162,0,1,0,0,2,5,144,0,140,0,0,0,0,2,2,32.1,63.4,24.4,63.6,43.8,61.8,28,64.8
38003002415,ND,Barnes County,002415,370,7,341,0,3,0,0,1,18,298,2,278,0,3,0,0,1,14,49,151.5,38.1,150.7,64.5,150,44.3,153.7
38005001401,ND,Benson County,001401,1963,32,1862,0,27,0,0,0,42,1557,23,1496,0,17,0,0,0,21,359.7,708.4,296.9,685.8,445.7,720.8,336.6,718.5
38005002301,ND,Benson County,002301,616,16,331,1,231,0,0,1,36,452,10,285,1,138,0,0,0,18,86,159.3,70.2,162.9,112.6,159.9,75.1,155.2
38005002302,ND,Benson County,002302,2689,25,161,0,2460,2,0,0,41,1491,8,118,0,1342,2,0,0,21,473.2,113.6,368.2,109.4,734.5,131.2,316.9,100.1
