GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_fis,uss_18_dem_ray,gov_18_rep_ric,gov_18_dem_kri,atg_18_rep_pet,sos_18_rep_evn,sos_18_dem_dan,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_sas,uss_20_dem_jan,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
3100100001P,NE,Adams County,00001P,1169,27,1110,1,2,10,0,1,18,883,15,846,1,2,8,0,1,10,535,62,352,83,381,72,411,365,71,556,86,507,56,535,62,377.2,75.3,531.5,71,443.9,71.7
3100100001W,NE,Adams County,00001W,2435,582,1691,35,12,45,0,5,65,1890,388,1380,27,9,34,0,5,47,491,180,338,174,375,167,424,367,165,570,253,552,193,491,180,376,168.7,561,223,445.3,188.7
3100100002E,NE,Adams County,00002E,1286,147,1040,4,4,45,0,1,45,948,87,793,4,4,37,0,0,23,247.7,94.3,153.9,82.6,171.3,81.4,202.2,162.3,79.2,257.8,102.2,255.5,72.4,247.7,94.3,172.4,81.1,256.6,87.3,207.2,85.4
3100100002P,NE,Adams County,00002P,254,29,213,0,0,1,0,1,10,195,15,175,0,0,0,0,1,4,121,19,92,21,103,14,102,94,15,131,24,119,13,121,19,97.8,16.7,125,18.5,108.9,17.7
3100100002W,NE,Adams County,00002W,1913,335,1407,33,19,22,0,6,91,1398,192,1105,22,13,18,0,4,44,393.2,144.2,240.2,150.1,272.8,140.6,335.7,279.2,123.6,415.2,186.3,409.1,128.8,393.2,144.2,282,138.1,412.1,157.5,335.1,145.6
3100100003P,NE,Adams County,00003P,987,38,902,3,5,3,0,1,35,755,21,706,3,2,0,0,1,22,388,71,290,91,332,64,344,319,61,422,97,406,55,388,71,321.2,72,414,76,357.3,73.2
3100100003W,NE,Adams County,00003W,1452,427,953,13,0,15,0,0,44,1194,269,873,10,0,15,0,0,27,300.6,179.1,197.6,142,223.4,127.7,276.7,214.7,127.7,283.9,211.6,324.7,137.3,300.6,179.1,228.1,132.5,304.3,174.4,260.2,154.2
3100100004P,NE,Adams County,00004P,804,38,733,4,6,4,1,4,14,605,24,556,1,6,4,1,4,9,375.2,65.4,282.7,70,299.7,66.2,305,290.3,54.9,426.9,93.4,408.1,61.9,375.2,65.4,294.4,63.7,417.5,77.6,341.1,68.6
3100100005P,NE,Adams County,00005P,1079,33,1004,1,2,4,0,1,34,827,21,776,1,2,4,0,1,22,341.6,75.8,246.6,78.7,262.4,69.2,281.7,253.2,67.2,346.4,101.2,342.9,56.2,341.6,75.8,261,71.7,344.7,78.7,296.4,74.7
3100100005W,NE,Adams County,00005W,309,88,197,3,6,4,0,0,11,235,62,151,3,6,4,0,0,9,319.1,99.2,212.4,91.2,231.3,86.7,261.1,220.5,84.7,327.9,114.4,324.9,74.8,319.1,99.2,231.3,87.5,326.4,94.6,271,91.8
3100100006P,NE,Adams County,00006P,363,42,294,3,3,1,0,1,19,323,35,264,3,2,1,0,1,17,127.7,30.8,98.3,29.2,103.9,29.2,116.6,99,26.3,177.5,51.6,166.4,36.4,127.7,30.8,104.5,28.2,171.9,44,127.1,33.9
3100100006W,NE,Adams County,00006W,1649,79,1465,9,5,35,1,4,51,1249,43,1124,6,5,29,1,2,39,669.3,222.8,497.7,215.9,526.3,210.5,601.9,513.9,186.5,729.4,256.7,746.3,148,669.3,222.8,535,204.3,737.8,202.3,612.1,206.7
3100100007P,NE,Adams County,00007P,339,4,329,0,0,1,0,1,4,258,1,253,0,0,1,0,0,3,158,25,111,14,115,15,108,103,16,160,18,158,9,158,25,109.2,15,159,13.5,130.4,16.2
3100100007W,NE,Adams County,00007W,1316,143,1123,5,0,7,0,4,34,969,72,871,4,0,7,0,0,15,379,140,259,135,271,140,321,260,131,388,170,381,109,379,140,277.8,135.3,384.5,139.5,322.7,137.5
3100100008P,NE,Adams County,00008P,520,12,498,1,2,0,0,1,6,382,6,369,0,2,0,0,0,5,221,18,150,35,174,18,156,145,25,258,29,240,18,221,18,156.2,26,249,23.5,192,23.8
3100100008W,NE,Adams County,00008W,1548,73,1393,3,2,39,3,4,31,1172,53,1068,0,2,27,3,0,19,587.5,233,475.9,234,497.6,224.1,581.5,487.7,203.4,650.6,303.1,661.5,154,587.5,233,510.7,220.5,656.1,228.6,563.2,225.3
3100100009P,NE,Adams County,00009P,633,5,623,0,0,1,0,0,4,487,5,478,0,0,1,0,0,3,271,41,193,58,204,57,232,194,53,325,77,305,55,271,41,205.8,56,315,66,246.3,56.8
3100100009W,NE,Adams County,00009W,1341,220,1028,6,2,29,0,2,54,994,130,805,4,0,28,0,0,27,288.3,148.8,178.6,153.5,192.7,154.3,256.1,190.3,150.4,307.1,194.3,297.7,126.9,288.3,148.8,204.4,152.8,302.4,160.6,244.4,154.7
3100100010P,NE,Adams County,00010P,353,5,343,1,0,0,0,0,4,288,4,281,0,0,0,0,0,3,135,23,95,32,99,31,92,90,25,170,24,152,9,135,23,94,29.3,161,16.5,119,24
3100100010W,NE,Adams County,00010W,1207,164,924,19,10,43,0,10,37,940,100,773,11,5,31,0,3,17,274.6,178.8,171.2,172,190.7,166.9,237.3,180.5,159.3,262.7,211.8,276.2,105.1,274.6,178.8,194.9,166.1,269.5,158.5,227.6,165.7
3100100011W,NE,Adams County,00011W,1589,231,1264,5,16,15,2,5,51,1186,140,982,4,14,12,2,4,28,376.7,175.7,233.6,176.6,266.2,177.5,322.4,241.8,182,399.3,230.9,406.6,149.4,376.7,175.7,266,178.7,402.9,190.2,320.9,182
3100100012W,NE,Adams County,00012W,315,16,272,1,0,6,0,2,18,252,10,221,0,0,6,0,2,13,88.6,45,72.1,50,79.4,44.9,93.5,78.3,39.6,84.4,60.9,98.5,23,88.6,45,80.8,44.8,91.4,41.9,85,43.9
3100100013W,NE,Adams County,00013W,2212,102,2012,5,7,24,0,4,58,1656,63,1531,5,5,16,0,3,33,804.7,296.9,624,317.3,675.5,301.7,784,670.9,268,929.6,434.4,953.8,246.8,804.7,296.9,688.6,295.7,941.7,340.6,777.5,310.9
