GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_men,uss_18_rep_hug,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_boo,uss_20_rep_meh,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
34001005101,NJ,Atlantic County,005101,1240,128,946,63,3,48,0,4,48,977,75,789,45,2,42,0,2,22,282,383,213,352,473.5,533.4,475.3,511.1,383,282,352,213,522.3,474.4,444.9,360.9
34001005102,NJ,Atlantic County,005102,1913,211,1331,223,2,66,0,8,72,1639,161,1173,181,2,60,0,7,55,256,283,302,320,470.9,530.5,472.7,508.3,283,256,320,302,519.4,471.8,410.5,375.4
34001005103,NJ,Atlantic County,005103,1760,177,1375,59,0,85,0,11,53,1441,126,1140,45,0,82,0,10,38,383.7,562.7,271.7,486.6,414.8,467.2,416.3,447.7,562.7,383.7,486.6,271.7,457.4,415.5,491.1,371.6
34001005201,NJ,Atlantic County,005201,1311,168,906,114,4,48,2,8,61,1080,106,786,101,3,36,0,2,46,301,378,206,335,241.1,222.9,236,214.1,378,301,335,206,218.5,238.5,287.5,246
34001005202,NJ,Atlantic County,005202,1892,336,537,521,3,429,0,18,48,1489,227,478,394,0,351,0,10,29,460.3,229.1,354.4,187.4,539.7,499.1,528.4,479.5,229.1,460.3,187.4,354.4,489.3,534,348.8,470.7
34001005203,NJ,Atlantic County,005203,1021,66,836,55,1,15,1,4,43,802,36,681,40,0,11,0,4,30,253,321,194,275,439.4,406.3,430.1,390.3,321,253,275,194,398.3,434.8,348.2,329.1
34001010101,NJ,Atlantic County,010101,1649,245,389,824,4,115,0,6,66,1464,209,374,712,4,105,0,6,54,653,126,467,127,383.3,119.5,373.4,101.7,126,653,127,467,110.6,378.3,118.6,469.2
34001010102,NJ,Atlantic County,010102,1750,400,293,906,1,62,0,15,73,1493,308,283,775,1,53,0,12,61,412,57.8,262.9,41.6,379.8,118.4,369.9,100.7,57.8,412,41.6,262.9,109.6,374.9,79.6,356.2
34001010103,NJ,Atlantic County,010103,1606,354,334,671,10,141,1,14,81,1220,231,312,476,8,116,1,14,62,390.5,65.8,276,41.3,799.7,249.4,778.9,212.1,65.8,390.5,41.3,276,230.8,789.3,142.1,561.3
34001010104,NJ,Atlantic County,010104,1191,298,144,653,4,38,0,8,46,832,177,130,466,4,31,0,0,24,370,33.1,263.9,44.1,441.3,137.1,429.6,116.6,33.1,370,44.1,263.9,126.8,435.5,82.7,376.2
