GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
32001000001,NV,Churchill County,000001,1741,235,1205,53,32,85,8,5,118,1334,142,973,47,21,73,5,0,73,198.5,517,168.8,519.8,165.8,442.5,260.8,588.7
32001000002,NV,Churchill County,000002,2057,266,1436,98,50,62,17,0,128,1571,176,1134,85,39,56,15,0,66,222,447.9,189.9,425,186.8,361.8,289.2,557
32001000003,NV,Churchill County,000003,1179,195,752,36,28,77,6,5,80,911,122,605,23,24,73,6,5,53,92.2,231.4,85.3,234.2,77.2,194.1,114,265.9
32001000004,NV,Churchill County,000004,1765,253,1199,52,41,56,10,8,146,1380,163,975,47,32,47,6,5,105,153.6,321.6,131.4,323,119.8,263.3,209.4,378.4
32001000005,NV,Churchill County,000005,1473,265,912,35,58,69,7,11,116,1124,166,750,28,48,55,7,9,61,97.8,233.7,93.8,213.6,85.3,193.7,114.3,293.7
32001000006,NV,Churchill County,000006,1100,148,752,28,24,48,8,1,91,789,78,583,20,12,30,8,0,58,110.5,325.3,109,324.1,91.8,280.4,130.8,371.3
32001000007,NV,Churchill County,000007,1289,175,983,4,17,31,0,15,64,1018,113,807,4,17,21,0,10,46,142,521.1,117.8,515.6,120.9,444.3,187.2,603.4
32001000008,NV,Churchill County,000008,531,49,438,0,6,8,1,0,29,412,36,340,0,4,8,1,0,23,57.1,197.7,60.2,181.8,42.3,178.6,68.9,232.7
32001000009,NV,Churchill County,000009,852,83,621,5,86,3,1,3,50,674,64,499,3,68,0,1,1,38,99.2,318.8,88.8,304,78.4,286.9,130.4,365.6
32001000010,NV,Churchill County,000010,1537,208,1141,5,5,37,1,12,128,1149,127,888,4,5,31,1,8,85,110.1,481.2,103,451.4,96.3,437.1,130.9,555.2
32001000011,NV,Churchill County,000011,1538,186,1197,8,13,34,9,12,79,1197,122,945,8,13,33,8,10,58,148.6,615.2,140.9,607.9,128.5,534.6,176.4,703.1
32001000012,NV,Churchill County,000012,865,126,578,57,10,25,4,11,54,678,88,461,53,8,25,4,8,31,53.2,200.2,46.7,194.8,36.9,162.1,76.1,243.8
32001000013,NV,Churchill County,000013,776,93,608,4,6,2,3,4,56,623,58,509,3,4,2,3,4,40,58.2,352.2,56,352,50.7,308.7,68,396
32001000014,NV,Churchill County,000014,975,120,771,6,14,7,0,3,54,792,79,649,1,13,7,0,3,40,86.7,422.8,88,400.1,73.7,376.7,98.3,491.6
32001000015,NV,Churchill County,000015,1089,159,822,4,12,11,4,10,67,871,107,698,3,8,8,0,7,40,83.4,418,83.2,420.8,68.9,371,98.1,462.3
32001000016,NV,Churchill County,000016,1161,119,431,1,505,7,1,3,94,866,59,349,1,385,6,1,3,62,156.8,260.3,136.7,258,127.8,228.2,205.9,294.6
32001000017,NV,Churchill County,000017,2059,326,1494,9,50,26,2,16,136,1654,222,1253,6,42,24,2,16,89,218,861.5,193.3,816.7,186.6,727.5,274,1040.2
32001000018,NV,Churchill County,000018,2074,352,1495,12,18,31,1,15,150,1583,201,1221,12,16,27,1,11,94,220.3,772.3,206.1,728.5,188.5,699,266.2,889.6
32001000019,NV,Churchill County,000019,1098,128,828,9,21,13,4,6,89,876,90,694,9,17,11,2,3,50,103.6,433.6,99.2,404,90.7,374.1,120.8,522.6
32001007-01,NV,Churchill County,007-01,12,1,6,0,0,5,0,0,0,11,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0
32001008-01,NV,Churchill County,008-01,206,68,123,0,5,0,0,0,10,165,46,107,0,5,0,0,0,7,16.8,58.4,17.6,53.9,12.3,52.8,20.4,68.6
32001008-02,NV,Churchill County,008-02,70,13,43,1,2,1,0,0,10,51,5,41,0,0,0,0,0,5,1.1,2.3,0.9,2.3,0.9,1.9,1.5,2.7
32001008-03,NV,Churchill County,008-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32001012-01,NV,Churchill County,012-01,10,3,5,0,2,0,0,0,0,7,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
32001012-02,NV,Churchill County,012-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32001012-03,NV,Churchill County,012-03,3,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32001015-01,NV,Churchill County,015-01,6,2,3,0,0,0,0,0,1,4,0,3,0,0,0,0,0,1,0.7,3.3,0.6,3.3,0.5,2.9,0.8,3.6
