GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_mcg,uss_16_rep_too,atg_16_dem_sha,atg_16_rep_raf,uss_18_dem_cas,uss_18_rep_bar,gov_18_dem_wol,gov_18_rep_wag,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
42001000010,PA,Adams County,000010,1022,132,853,7,1,2,1,4,22,744,83,639,0,1,1,1,3,16,121.7,283.3,130.8,265.2,148.2,276.3,123,190.3,123.2,192.1,274.9,133.6,191.2,123.1,NA,NA,241.4,129.4
42001000020,PA,Adams County,000020,867,175,670,9,0,5,0,0,8,634,97,521,8,0,4,0,0,4,142.1,233.5,140.1,230.5,152,236.5,150.1,176.9,159,170.9,233.5,144.8,173.9,154.5,NA,NA,209.7,148.7
42001000030,PA,Adams County,000030,736,265,428,8,1,0,0,1,33,519,163,333,7,1,0,0,1,14,83,153,83,159,96,158,74,103,76,98,156.7,87.3,100.5,75,NA,NA,134.2,82.4
42001000040,PA,Adams County,000040,2403,118,2118,34,7,34,0,10,82,1971,70,1781,28,2,26,0,4,60,256.6,814.7,288.6,743.8,303.5,786.8,288.6,574.1,317.5,553.1,781.8,282.9,563.6,303,NA,NA,694.5,290.9
42001000050,PA,Adams County,000050,1225,231,930,13,3,4,1,3,40,926,141,741,13,3,0,1,3,24,148,314,150,306,164,320,152,231,168,215,313.3,154,223,160,NA,NA,277.2,156.4
42001000060,PA,Adams County,000060,1758,76,1552,35,0,11,1,3,80,1334,50,1201,23,0,10,1,3,46,191,519,216,480,233,503,222,375,231,368,500.7,213.3,371.5,226.5,NA,NA,449,218.6
42001000070,PA,Adams County,000070,2550,246,2197,8,3,10,2,9,75,2084,145,1866,8,3,8,2,9,43,305.6,874.9,298.7,862,310.7,899.7,327.5,690.3,359.2,651.7,878.9,305,671,343.3,NA,NA,795.7,320.3
42001000078,PA,Adams County,000078,2129,43,1949,5,4,10,0,25,93,1698,32,1580,5,3,7,0,12,59,339,783.3,357.7,739.2,366.4,785.3,327.3,581.9,325.4,581.9,769.3,354.4,581.9,326.4,NA,NA,694.3,343.2
42001000082,PA,Adams County,000082,1811,38,1666,6,6,8,1,8,78,1456,30,1363,4,1,7,0,1,50,322.4,720.2,318.2,721.1,340.8,737.8,336.5,553.7,349.3,534.1,726.4,327.1,543.9,342.9,NA,NA,653.4,333.4
42001000090,PA,Adams County,000090,3555,191,3197,37,1,20,2,14,93,2928,110,2706,31,1,18,2,6,54,410.4,964.5,427.4,928.5,461.6,933.5,472.7,686.2,501.5,647,942.2,433.1,666.6,487.1,NA,NA,831.9,454.7
42001000100,PA,Adams County,000100,4320,130,3965,71,3,32,1,11,107,3264,73,3047,46,3,26,1,8,60,415,1097,435,1063,467,1073,477,863,506,827,1077.7,439,845,491.5,NA,NA,984.6,460
42001000110,PA,Adams County,000110,2147,170,1756,89,2,26,0,4,100,1701,113,1445,60,2,21,0,4,56,493.6,568.6,481.9,583.2,483.9,602.6,481.9,443.9,518.9,410.8,584.8,486.5,427.4,500.4,NA,NA,521.8,492
42001000120,PA,Adams County,000120,1417,26,1295,26,0,26,0,2,42,1171,10,1090,24,0,21,0,0,26,212.1,594.5,225,564.5,237.9,574,213.8,454.4,240.8,430.5,577.7,225,442.4,227.3,NA,NA,523.6,225.9
42001000130,PA,Adams County,000130,1898,132,1608,36,0,48,0,2,72,1609,80,1408,31,0,37,0,2,51,410.4,578.4,397.1,604.8,398.1,624.4,434.1,448.1,466.1,420.2,602.6,401.9,434.1,450.1,NA,NA,535.2,421.2
42001000140,PA,Adams County,000140,1571,52,1383,31,0,44,0,5,56,1319,33,1194,26,0,36,0,2,28,415.6,523.9,411.9,548,409,566.8,487.6,437.3,508.5,417.9,546.2,412.2,427.6,498.1,NA,NA,498.8,446.5
42001000150,PA,Adams County,000150,1542,85,1381,14,2,11,1,8,40,1181,34,1095,14,2,11,0,7,18,191.4,461.4,201.2,435.8,214.4,456.1,204.7,343.2,217,334.4,451.1,202.3,338.8,210.9,NA,NA,406.2,205.7
42001000160,PA,Adams County,000160,526,12,493,6,0,2,0,0,13,429,7,410,6,0,2,0,0,4,102,175,100,173,105,172,109,134,112,132,173.3,102.3,133,110.5,NA,NA,157.2,105.6
42001000170,PA,Adams County,000170,2358,113,2133,22,3,22,0,1,64,1910,78,1756,18,3,15,0,1,39,297.7,766.6,308.1,754.3,312.9,782.6,319.5,583.2,330.8,571.9,767.8,306.2,577.5,325.1,NA,NA,691.7,313.8
42001000180,PA,Adams County,000180,2318,142,2045,32,4,11,0,8,76,1917,95,1726,20,4,9,0,3,60,274.6,794.3,294.8,750.3,308.9,776.3,311.1,603.3,345.3,574.1,773.7,292.8,588.7,328.2,NA,NA,699.7,306.9
42001000190,PA,Adams County,000190,825,6,788,9,0,5,0,0,17,702,6,675,8,0,5,0,0,8,158.9,347.2,158.9,349.8,164.1,359.7,168.3,274.3,179.4,266.8,352.2,160.6,270.5,173.9,NA,NA,319.6,165.9
42001000200,PA,Adams County,000200,2844,57,2675,17,0,11,0,10,74,2290,35,2177,12,0,11,0,6,49,255,1028,268,956,297,999,302,798,336,771,994.3,273.3,784.5,319,NA,NA,910.4,291.6
42001000210,PA,Adams County,000210,2225,256,1658,124,1,68,0,11,107,1854,174,1451,106,1,49,0,7,66,491,325,494,322,518,327,470,208,478,206,324.7,501,207,474,NA,NA,277.6,490.2
42001000230,PA,Adams County,000230,3192,292,2434,165,25,171,2,14,89,2993,261,2321,150,25,166,2,10,58,855,327,772,409,770,432,672,193,689,174,389.3,799,183.5,680.5,NA,NA,307,751.6
42001000240,PA,Adams County,000240,1689,326,1157,93,3,30,1,10,69,1339,186,996,79,3,25,1,8,41,435,320,422,356,446,355,386,255,392,250,343.7,434.3,252.5,389,NA,NA,307.2,416.2
42001000260,PA,Adams County,000260,2714,127,2510,10,3,18,0,0,46,2114,91,1983,9,3,13,0,0,15,286,1020.7,304,980.5,351.9,972.6,321.1,732.7,367.8,697.6,991.3,314,715.2,344.4,NA,NA,880.8,326.1
42001000270,PA,Adams County,000270,2300,50,2157,8,5,11,5,1,63,1891,34,1786,7,5,11,0,1,47,277.3,815,294.4,768.8,309.5,784.2,294.6,574.4,305.8,559.2,789.4,293.7,566.8,300.2,NA,NA,700.3,296.3
42001000280,PA,Adams County,000280,997,15,920,7,4,5,0,9,37,809,11,759,3,4,3,0,8,21,155.9,393.4,153.8,387.1,158.7,390.6,187.4,282.6,196.9,274.2,390.4,156.1,278.4,192.2,NA,NA,345.6,170.5
42001000290,PA,Adams County,000290,2395,204,2087,8,4,19,0,7,66,1849,124,1661,5,1,16,0,7,35,213.4,857.4,218.4,826.7,219.4,863.4,214.4,682.7,224.3,668.8,849.1,217.1,675.7,219.4,NA,NA,779.8,218
