GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_whi,uss_18_rep_fla,gov_18_dem_rai,gov_18_rep_fun,atg_18_dem_ner,sos_18_dem_gor,sos_18_rep_cor,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_ree,uss_20_rep_wat,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
44001440101,RI,Bristol County,440101,3104,133,2570,42,4,187,0,18,150,2281,69,1970,29,4,126,0,15,68,985.3,499.8,877,466.5,819.1,408.6,1039.5,936.9,381,1200.1,529.2,1247.6,460.8,499.8,985.3,418.7,918.1,495,1223.8,457.7,1015.1
44001440102,RI,Bristol County,440102,3824,138,3326,47,0,146,0,7,160,2934,87,2629,34,0,99,0,3,82,1364.4,695.3,1272.5,574.5,1182.6,507.2,1438.7,1330.8,477.8,1761.3,635.7,1772.4,594.1,695.3,1364.4,519.8,1306.1,614.9,1766.8,580.7,1446.1
44001440103,RI,Bristol County,440103,2885,95,2507,7,1,122,0,12,141,2065,57,1835,5,1,84,0,11,72,1108.9,458.1,967.9,465.4,1012,349.6,1147.7,1026.9,378.4,1352.1,442.5,1333.8,461.6,458.1,1108.9,397.8,1038.6,452.1,1343,426,1135.6
44001440104,RI,Bristol County,440104,3741,134,3169,27,0,246,0,11,154,2713,72,2399,12,0,155,0,6,69,1228.4,564.6,1092.9,517.1,1030.6,459.2,1278,1146.1,429,1507.8,599.4,1531.8,548.9,564.6,1228.4,468.4,1136.9,574.1,1519.8,519.7,1259.4
44001440105,RI,Bristol County,440105,3599,123,3064,27,0,223,0,6,156,2671,86,2340,11,0,161,0,3,70,1349.2,616.2,1242.1,613.4,1218.7,493.3,1429,1307,507.1,1764.6,615.6,1755.5,609.6,616.2,1349.2,537.9,1299.2,612.6,1760.1,575.9,1438
44001440201,RI,Bristol County,440201,1985,57,1830,5,2,13,0,14,64,1604,36,1500,3,2,11,0,10,42,497.6,468.7,461,391.7,404.2,340.7,600.6,510.1,322.4,609.3,540,684.3,441.8,468.7,497.6,351.6,494,490.9,646.8,417.6,538.2
44001440202,RI,Bristol County,440202,1485,89,1299,18,5,16,0,4,54,1306,65,1167,16,5,10,0,0,43,373.3,184.7,360.7,167.3,331.7,137.3,387.8,372.3,131.5,473.8,212.7,500.9,174.1,184.7,373.3,145.4,363.1,193.4,487.4,167.9,400.1
44001440203,RI,Bristol County,440203,3108,86,2891,10,0,42,0,14,65,2715,61,2555,6,0,34,0,14,45,1199.1,833.7,1125,765.6,1044.9,662.5,1438.2,1271.1,581.5,1460.2,852.8,1564.4,711.6,833.7,1199.1,669.9,1219.8,782.2,1512.3,734.6,1300.4
44001440204,RI,Bristol County,440204,3040,115,2762,35,0,34,0,6,88,2664,86,2446,26,0,29,0,6,71,814.5,529.1,778.3,458.9,692.8,406.5,908.8,824.6,367.7,951.2,614.6,1043,484.6,529.1,814.5,411,801.1,549.6,997.1,476.9,859
44001440205,RI,Bristol County,440205,3062,79,2828,18,1,28,0,16,92,2469,51,2308,15,1,21,0,12,61,814.5,735.2,757.7,627.5,639.2,560,976,868.3,473.8,950.6,853.6,1084.7,660.8,735.2,814.5,553.8,810.3,757.2,1017.6,651.8,870.1
44001440206,RI,Bristol County,440206,2966,124,2683,50,7,22,0,9,71,2557,98,2329,49,7,18,0,9,47,723,493,683,406,561,373,828,732,328,833,632,980,458,493,723,369,701,545,906.5,448.3,762.9
44001440207,RI,Bristol County,440207,3566,304,2815,216,32,45,0,1,153,3437,280,2731,216,30,44,0,1,135,568.7,305.3,523.3,291.7,497.3,252.7,633.2,568.7,227.5,646.2,295.3,680.1,246.9,305.3,568.7,257.3,555.6,271.1,663.1,269.9,588.2
