GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
45001000001,SC,Abbeville County,000001,2348,47,1651,568,2,12,0,6,62,1890,31,1361,439,2,7,0,6,44,304.8,654.7,243.8,545.5,250.2,559,420.5,859.5
45001000002,SC,Abbeville County,000002,2160,22,682,1381,0,5,0,2,68,1617,15,561,997,0,4,0,2,38,534.6,322.1,462.6,334.4,398.4,241.6,742.8,390.1
45001000003,SC,Abbeville County,000003,2169,20,1217,834,5,5,0,7,81,1738,11,981,676,5,2,0,7,56,347.4,375.6,316,365,279.2,287.2,447,474.4
45001000004,SC,Abbeville County,000004,1188,18,770,370,0,3,0,0,27,925,15,606,284,0,3,0,0,17,175.9,362,192.5,349,123.8,299.5,211.5,437.5
45001000005,SC,Abbeville County,000005,1725,16,1467,158,2,2,5,4,71,1391,13,1179,140,2,2,0,4,51,163.3,640.8,161.5,638.3,139.2,506.6,189.2,777.5
45001000006,SC,Abbeville County,000006,730,13,588,94,0,0,0,2,33,602,9,499,71,0,0,0,0,23,88.3,258.8,101.3,274.6,75,189.7,88.7,311.9
45001000007,SC,Abbeville County,000007,2347,45,1058,1135,11,6,0,13,79,1909,30,912,897,11,1,0,10,48,669.5,471.9,769.2,516.7,565.3,380.3,674,518.8
45001000008,SC,Abbeville County,000008,1483,19,1254,163,1,4,0,6,36,1127,10,955,125,1,4,0,5,27,136.6,526.7,143.8,521.5,113.5,439,152.5,619.5
45001000009,SC,Abbeville County,000009,851,28,732,56,0,0,0,4,31,663,17,582,47,0,0,0,1,16,68.5,300.9,72.5,312.5,59,251.8,74,338.5
45001000010,SC,Abbeville County,000010,2698,84,1998,521,6,12,2,14,61,2228,62,1626,467,4,12,2,14,41,338,652.6,347.7,672.2,295,515.6,371.2,770
45001000011,SC,Abbeville County,000011,1021,20,749,209,7,4,0,0,32,842,13,610,191,7,4,0,0,17,160.1,305,189.8,326.7,140.8,271.9,149.7,316.3
45001000012,SC,Abbeville County,000012,1906,31,1603,195,1,2,0,9,65,1474,20,1234,166,1,2,0,6,45,161.4,586.2,176.7,581.3,124.3,471.5,183.1,705.8
45001000013,SC,Abbeville County,000013,1572,18,1376,103,7,8,0,1,59,1292,12,1140,86,7,8,0,1,38,123.5,598.8,127.7,615.6,112.8,474,129.9,706.8
45001000014,SC,Abbeville County,000014,1008,7,794,183,1,2,0,2,19,810,5,626,160,1,1,0,1,16,142.8,388.8,159.4,381.8,124.7,336.4,144.4,448.2
45001000015,SC,Abbeville County,000015,1089,35,805,214,1,6,0,0,28,861,21,631,185,1,5,0,0,18,167.8,364.2,188.1,296.1,126.8,328.6,188.8,468
45003000000,SC,Aiken County,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,17.2,14.9,18.4,11.5,13.1,15.2,19.9
45003000001,SC,Aiken County,000001,1505,31,1377,47,0,13,0,3,34,1314,21,1209,44,0,8,0,3,29,265.5,553.7,198.7,544.9,228.6,492,369.1,624.1
45003000002,SC,Aiken County,000002,1717,88,608,925,2,2,3,11,78,1349,65,498,722,2,2,2,7,51,499.6,154.1,518.5,164.2,387.3,113,592.9,185.2
45003000003,SC,Aiken County,000003,3160,115,507,2356,4,18,0,41,119,2198,80,447,1571,4,16,0,27,53,710.8,117.5,729.5,139.5,548.2,87.5,854.5,125.5
45003000004,SC,Aiken County,000004,1087,45,230,760,4,4,0,11,33,845,30,208,576,4,0,0,9,18,316.3,58.5,326.9,59.1,255.9,42.5,366,73.9
45003000005,SC,Aiken County,000005,1616,63,853,640,2,8,0,8,42,1359,45,784,494,1,5,0,8,22,413.9,284.3,341.4,293.1,359.6,225.2,540.6,334.5
45003000006,SC,Aiken County,000006,1387,38,1257,50,1,5,0,3,33,1215,30,1114,41,0,5,0,3,22,292.8,552,226,590.1,251.2,460.1,401.2,605.9
45003000007,SC,Aiken County,000007,1431,208,746,403,5,6,0,5,58,1099,130,620,303,5,6,0,1,34,231.8,262.9,264.5,294.5,185.5,203.2,245.5,291
45003000008,SC,Aiken County,000008,2354,164,1068,963,16,5,2,17,119,1876,106,886,775,11,3,0,16,79,537.4,456,586.9,510.9,439.3,359.1,586.1,498.1
45003000009,SC,Aiken County,000009,2621,176,1202,1112,3,13,3,11,101,1965,99,1017,768,2,10,3,4,62,468.3,486.9,527.5,564.5,376.5,365.2,501,531
45003000010,SC,Aiken County,000010,2099,429,676,877,3,13,0,12,89,1548,257,529,686,3,13,0,11,49,459,224.7,501.6,227.3,397.1,170.9,478.4,276
45003000011,SC,Aiken County,000011,2546,189,762,1414,14,4,1,10,152,1930,125,623,1078,11,3,0,6,84,586.7,274,612,266.2,471,202.8,677,353
45003000012,SC,Aiken County,000012,1424,261,559,526,9,4,1,1,63,1019,150,470,355,7,1,0,1,35,196,217.2,204,233.9,151.5,175,232.5,242.6
45003000013,SC,Aiken County,000013,2379,158,1730,324,11,38,1,12,105,1904,110,1438,240,10,32,1,11,62,343.8,745.5,308.9,778.7,268.7,620.7,454,837
45003000014,SC,Aiken County,000014,2614,221,1811,435,13,6,0,2,126,2014,134,1441,331,13,6,0,2,87,246,682.8,238.9,739.6,167.3,520.5,331.6,788.2
45003000015,SC,Aiken County,000015,1678,116,1193,249,15,5,0,2,98,1296,66,981,171,11,5,0,0,62,152.6,489.1,150.5,553,135.2,403.2,172,511
45003000016,SC,Aiken County,000016,1930,183,974,663,11,14,2,4,79,1380,101,770,438,10,9,2,1,49,236.1,408.1,266.5,442,173.2,327.2,268.5,455
45003000017,SC,Aiken County,000017,2182,54,1682,319,11,11,0,11,94,1721,40,1347,239,6,11,0,9,69,226.6,796.6,230.8,841.2,178.7,676.2,270.4,872.5
45003000018,SC,Aiken County,000018,2324,155,1682,370,12,9,2,3,91,1757,76,1339,266,10,4,0,1,61,178.1,527.2,190,570.5,147.8,422.5,196.5,588.5
45003000019,SC,Aiken County,000019,1463,150,1003,220,16,8,0,1,65,1128,87,803,161,16,6,0,1,54,138.7,426.1,161,457.2,119.4,358.5,135.8,462.6
45003000020,SC,Aiken County,000020,2408,91,1623,544,1,44,1,8,96,1991,73,1424,382,1,34,1,7,69,388.3,783.4,303.6,775.3,323.5,658,537.6,916.8
