GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18
460030VTD-1,SD,Aurora County,0VTD-1,571,18,534,1,2,8,0,0,8,428,10,406,0,2,3,0,0,7,69.4,214.9,61.8,245.8,77,184.1
460030VTD-2,SD,Aurora County,0VTD-2,217,7,202,1,0,0,0,0,7,168,3,161,0,0,0,0,0,4,33.7,111.9,28.8,123.2,38.6,100.6
460030VTD-3,SD,Aurora County,0VTD-3,772,21,732,2,6,0,0,0,11,593,13,566,1,6,0,0,0,7,132.7,252.1,107,307,158.4,197.1
460030VTD-5,SD,Aurora County,0VTD-5,413,10,370,4,21,1,0,0,7,269,6,254,2,1,1,0,0,5,64.4,114.5,60.2,136,68.5,93
460030VTD-7,SD,Aurora County,0VTD-7,774,163,571,6,9,4,0,0,21,579,117,436,2,3,4,0,0,17,96.6,199.7,88,232.2,105.1,167.1
460050VTD-1,SD,Beadle County,0VTD-1,2138,518,1328,16,32,189,2,0,53,1584,292,1121,13,17,111,1,0,29,115.5,244.5,108.4,276.1,122.5,212.9
46005VTD-01,SD,Beadle County,VTD-01,1712,81,1548,11,27,14,3,0,28,1250,48,1163,6,8,8,1,0,16,194.1,613.1,178.9,665.9,209.2,560.4
46005VTD-02,SD,Beadle County,VTD-02,1801,50,1694,4,4,5,0,1,43,1308,23,1260,2,3,5,0,1,14,251.5,536.6,206.9,638.6,296.1,434.6
46005VTD-04,SD,Beadle County,VTD-04,220,1,217,0,0,0,0,0,2,180,1,178,0,0,0,0,0,1,86.2,182.6,81,206.2,91.5,159
46005VTD-05,SD,Beadle County,VTD-05,1195,34,1140,1,2,1,0,0,17,900,20,869,1,2,1,0,0,7,416.5,928.5,361.9,1076.2,471.1,780.7
46005VTD-W2,SD,Beadle County,VTD-W2,2385,601,1304,34,61,290,8,7,80,1783,386,1067,25,54,195,7,5,44,220.3,341.9,236.3,386.1,204.2,297.7
46005VTD-W3,SD,Beadle County,VTD-W3,2276,446,1243,29,46,407,23,11,71,1554,226,993,19,26,246,11,1,32,191.1,357.7,195.5,415.2,186.8,300.1
46005VTDW01,SD,Beadle County,VTDW01,926,146,649,6,8,82,8,1,26,709,91,540,2,6,47,8,0,15,68,141.8,64.3,160.1,71.6,123.5
46005VTDW71,SD,Beadle County,VTDW71,1973,358,1135,14,16,384,1,5,60,1340,168,921,6,9,206,0,5,25,130.6,295.9,124.2,338.6,136.9,253.2
46005VTDW72,SD,Beadle County,VTDW72,1672,139,1033,14,19,403,6,0,58,1191,75,838,7,6,240,0,0,25,11.7,26.6,10.7,30.4,12.7,22.7
46005VTDW81,SD,Beadle County,VTDW81,1612,147,1228,7,12,182,1,1,34,1228,91,990,4,10,114,0,0,19,195.7,384.6,198.2,419,193.2,350.2
46005VTDW82,SD,Beadle County,VTDW82,1239,220,850,6,16,111,5,2,29,907,126,679,5,9,74,1,0,13,91.1,204.2,81.5,230.2,100.7,178.2
460070VTD-1,SD,Bennett County,0VTD-1,1097,20,103,2,955,0,0,1,16,687,8,88,2,579,0,0,1,9,165.9,72.6,169,90.2,162.9,54.9
460070VTD-4,SD,Bennett County,0VTD-4,278,5,196,0,63,0,0,1,13,230,3,169,0,47,0,0,1,10,13.6,138.2,11.6,151.6,15.6,124.8
46007VTD-02,SD,Bennett County,VTD-02,230,9,73,0,124,0,0,0,24,166,5,68,0,78,0,0,0,15,68.8,106.9,62.4,117.7,75.1,96.2
46007VTD-05,SD,Bennett County,VTD-05,385,27,115,4,197,7,0,0,35,268,14,106,4,117,5,0,0,22,51.1,79.5,46.4,87.4,55.8,71.6
46007VTD-06,SD,Bennett County,VTD-06,323,10,142,1,128,0,0,0,42,226,5,127,1,73,0,0,0,20,14,21.8,12.7,23.9,15.3,19.6
46007VTD-27,SD,Bennett County,VTD-27,1068,16,368,0,593,0,0,0,91,690,4,307,0,327,0,0,0,52,129.9,221.1,110,236.8,149.8,205.5
460090VTD-1,SD,Bon Homme County,0VTD-1,1160,13,1118,0,8,0,0,1,20,888,7,861,0,7,0,0,0,13,131,404.3,114.5,454.2,147.5,354.4
460090VTD-2,SD,Bon Homme County,0VTD-2,954,11,883,4,33,1,0,3,19,706,6,666,2,17,0,0,3,12,130,342.7,107.6,389.9,152.5,295.6
460090VTD-3,SD,Bon Homme County,0VTD-3,1345,24,1277,2,2,2,1,2,35,1087,12,1055,2,2,0,0,1,15,243.8,412.1,213.4,494.1,274.2,330.2
460090VTD-4,SD,Bon Homme County,0VTD-4,1174,9,1135,3,4,0,1,0,22,873,8,851,3,1,0,0,0,10,190.1,291.7,169.2,361.5,210.9,221.9
460090VTD-5,SD,Bon Homme County,0VTD-5,2370,60,1747,97,408,8,3,0,47,2153,57,1559,97,402,7,2,0,29,156.5,438.8,144.9,480,168,397.5
460110VTD-1,SD,Brookings County,0VTD-1,3377,105,2731,141,48,254,5,3,90,3187,82,2619,127,44,235,5,2,73,158.6,190.2,151.4,227.3,165.9,153.1
460110VTD-2,SD,Brookings County,0VTD-2,3667,137,3099,105,66,150,1,4,105,3331,112,2839,96,47,141,1,3,92,322.1,298.3,308.2,346,336,250.6
460110VTD-3,SD,Brookings County,0VTD-3,2770,273,2194,48,66,63,1,6,119,2306,180,1906,41,45,53,1,3,77,319.5,311.4,320,365.2,319,257.6
460110VTD-4,SD,Brookings County,0VTD-4,2943,98,2599,30,29,83,0,2,102,2431,55,2205,21,21,71,0,2,56,584.6,698.9,559.2,799.8,610,598
460110VTD-5,SD,Brookings County,0VTD-5,5795,210,4934,172,59,197,4,13,206,4387,133,3840,106,41,142,4,8,113,899,1307.1,838.8,1460,959.2,1154.2
