GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,avg_16_rep,avg_16_dem,avg_18_rep,avg_18_dem,avg_20_rep,avg_20_dem
47001000001,TN,Anderson County,000001,3234,47,3048,10,9,4,0,2,114,2572,29,2443,9,9,2,0,1,79,1070.1,201.7,1070.1,201.7,NA,NA,NA,NA
47001000002,TN,Anderson County,000002,1235,20,1158,0,7,0,0,0,50,967,15,904,0,7,0,0,0,41,242.2,41.9,242.2,41.9,NA,NA,NA,NA
47001000003,TN,Anderson County,000003,4913,160,4344,113,17,13,5,27,234,3857,103,3475,70,13,12,4,22,158,1335.7,410.5,1335.7,410.5,NA,NA,NA,NA
47001000004,TN,Anderson County,000004,5198,141,4701,68,15,11,2,20,240,4103,78,3764,57,9,10,1,15,169,1332.9,392.3,1332.9,392.3,NA,NA,NA,NA
47001000005,TN,Anderson County,000005,3848,75,3517,58,6,34,1,18,139,3109,51,2888,50,5,19,1,13,82,1393.7,575.3,1393.7,575.3,NA,NA,NA,NA
47001000006,TN,Anderson County,000006,2900,47,2555,114,8,18,1,15,142,2301,32,2053,91,6,17,0,8,94,788.8,280.2,788.8,280.2,NA,NA,NA,NA
47001000007,TN,Anderson County,000007,1809,12,1680,35,4,5,2,8,63,1495,4,1400,33,4,2,1,3,48,468.7,91.6,468.7,91.6,NA,NA,NA,NA
47001000008,TN,Anderson County,000008,841,15,780,6,0,10,0,1,29,665,9,634,2,0,6,0,1,13,278.8,75.7,278.8,75.7,NA,NA,NA,NA
47001000009,TN,Anderson County,000009,3760,141,3192,79,15,133,1,19,180,3101,98,2686,68,8,115,1,16,109,1015,877.6,1015,877.6,NA,NA,NA,NA
47001000010,TN,Anderson County,000010,1794,28,1639,6,5,10,0,10,96,1385,18,1271,4,5,2,0,7,78,543,117,543,117,NA,NA,NA,NA
