GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_18_dem_kai,uss_18_rep_ste,pre_20_dem_bid,pre_20_rep_tru,uss_20_dem_war,uss_20_rep_gad,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
51001000101,VA,Accomack County,000101,3345,96,3035,28,8,19,0,7,152,2917,66,2674,25,6,17,0,7,122,502,1285,556,994,838,1614,913,1561,1285,502,994,556,1587.5,875.5,1363.5,702.2
51001000201,VA,Accomack County,000201,1511,170,1056,211,6,10,0,3,55,1222,104,891,178,6,9,0,2,32,197.7,597,181.7,458.2,324,662,355,642,597,197.7,458.2,181.7,652,339.5,589.8,264.6
51001000202,VA,Accomack County,000202,2887,105,2489,148,11,20,0,13,101,2441,58,2165,109,11,16,0,13,69,342,753,316,577,514,1090,543,1050,753,342,577,316,1070,528.5,867.5,428.8
51001000301,VA,Accomack County,000301,3560,123,1562,1700,9,35,0,11,120,2786,70,1302,1310,9,27,0,6,62,808,640,588,477,1014,670,1004,640,640,808,477,588,655,1009,606.8,853.5
51001000401,VA,Accomack County,000401,1378,235,869,190,2,9,0,2,71,1090,149,732,154,2,8,0,1,44,155.2,359,117.4,268.8,295,446,295,431,359,155.2,268.8,117.4,438.5,295,376.2,215.7
51001000402,VA,Accomack County,000402,1725,190,1032,407,0,22,0,7,67,1386,125,898,297,0,21,0,0,45,251.9,535.1,274.4,391.7,382,595,464,557,535.1,251.9,391.7,274.4,576,423,519.7,343.1
51001000403,VA,Accomack County,000403,408,23,357,14,0,4,0,0,10,344,11,313,12,0,4,0,0,4,51.8,176,48.6,133.2,136,244,165,220,176,51.8,133.2,48.6,232,150.5,193.3,100.3
51001000501,VA,Accomack County,000501,1790,475,614,652,0,10,0,0,39,1347,285,515,514,0,5,0,0,28,449.4,264,342.3,192.8,482,223,453,227,264,449.4,192.8,342.3,225,467.5,226.7,431.7
51001000502,VA,Accomack County,000502,1906,553,395,909,4,5,0,2,38,1388,296,348,719,2,5,0,0,18,436,129,356,104,367,128,347,130,129,436,104,356,129,357,122.8,376.5
51001000601,VA,Accomack County,000601,2967,577,1503,739,10,23,0,7,108,2336,328,1312,592,10,21,0,1,72,541.6,678.5,490.4,520,403,558,437,549,678.5,541.6,520,490.4,553.5,420,576.4,468
51001000602,VA,Accomack County,000602,438,0,428,0,0,2,0,0,8,362,0,355,0,0,1,0,0,6,31,239,34,182,81,315,139,302,239,31,182,34,308.5,110,259.5,71.2
51001000701,VA,Accomack County,000701,3698,309,2361,827,4,44,1,9,143,3012,196,2086,598,4,30,1,4,93,915.6,1059.4,867.2,817.4,477,773,506,771,1059.4,915.6,817.4,867.2,772,491.5,855.2,691.5
51001000801,VA,Accomack County,000801,1148,89,892,109,2,4,0,3,49,934,43,778,87,2,2,0,2,20,243.3,406.9,257,338.2,275,349,301,333,406.9,243.3,338.2,257,341,288,356.8,269.1
51001000802,VA,Accomack County,000802,1898,115,886,852,3,18,0,4,20,1514,77,744,665,3,13,0,2,10,491.4,422.6,407.7,326.9,504,440,517,421,422.6,491.4,326.9,407.7,430.5,510.5,402.6,480
51001000803,VA,Accomack County,000803,1006,70,764,139,1,2,0,2,28,846,54,662,109,1,1,0,0,19,156.5,377.2,177.4,304.2,218,421,271,405,377.2,156.5,304.2,177.4,413,244.5,376.9,205.7
51001000901,VA,Accomack County,000901,3748,300,1582,1714,5,22,0,29,96,2947,198,1317,1324,5,12,0,25,66,1167.2,661.4,983.2,519.8,1237,669,1211,654,661.4,1167.2,519.8,983.2,661.5,1224,626,1149.6
51003000101,VA,Albemarle County,000101,4029,268,2651,591,3,305,3,32,176,3105,185,2161,394,3,233,1,27,101,1434.2,782.8,1478.8,663.5,1903,727,1920,710,782.8,1434.2,663.5,1478.8,718.5,1911.5,720.8,1684
51003000103,VA,Albemarle County,000103,2391,304,1449,334,2,140,0,14,148,2042,203,1352,253,1,119,0,11,103,294.9,106.5,280.6,85.7,747,206,718,204,106.5,294.9,85.7,280.6,205,732.5,150.6,510.1
51003000104,VA,Albemarle County,000104,4123,758,2086,770,7,269,0,25,208,3250,478,1819,603,7,206,0,14,123,1655.2,586,1608.3,483.1,1798,503,1815,487,586,1655.2,483.1,1608.3,495,1806.5,514.8,1719.1
51003000105,VA,Albemarle County,000105,4409,231,3224,451,2,239,1,19,242,3474,165,2673,310,2,180,1,12,131,2020.5,862.4,2124.6,654.7,1864,646,1872,666,862.4,2020.5,654.7,2124.6,656,1868,707.3,1970.3
51003000106,VA,Albemarle County,000106,5506,475,3726,597,5,386,3,33,281,4199,297,3005,437,5,294,2,20,139,1355.7,998,1544.8,869.4,2224,1297,2323,1237,998,1355.7,869.4,1544.8,1267,2273.5,1100.3,1861.9
51003000201,VA,Albemarle County,000201,4968,478,3706,402,3,134,5,38,202,3961,321,3093,285,3,101,4,24,130,1797.8,1035.6,1911.9,875.1,1824,863,1770,899,1035.6,1797.8,875.1,1911.9,881,1797,918.2,1825.9
51003000202,VA,Albemarle County,000202,7909,576,3010,905,2,3189,0,11,216,7614,485,2921,886,2,3115,0,10,195,2170.3,454,2195.4,337.5,1759,205,1600,263,454,2170.3,337.5,2195.4,234,1679.5,314.9,1931.2
51003000203,VA,Albemarle County,000203,5610,833,2611,1360,5,487,1,32,281,4583,560,2345,1063,5,384,1,19,206,1354.8,382,1328.7,272.5,2052,366,1996,365,382,1354.8,272.5,1328.7,365.5,2024,346.4,1682.9
51003000301,VA,Albemarle County,000301,4801,125,4190,106,3,168,0,18,191,3590,78,3197,85,2,121,0,12,95,1980.3,915.1,2099.2,867.9,2365,928,2361,936,915.1,1980.3,867.9,2099.2,932,2363,911.8,2201.4
51003000302,VA,Albemarle County,000302,4269,291,3417,216,5,72,0,40,228,3312,178,2736,179,5,43,0,34,137,1350.9,851.7,1424.1,728.4,2084,1105,2116,1071,851.7,1350.9,728.4,1424.1,1088,2100,939,1743.8
51003000304,VA,Albemarle County,000304,1322,77,1082,39,2,51,0,12,59,1086,47,919,28,1,41,0,11,39,372,217.8,384.9,181.6,490,165,477,174,217.8,372,181.6,384.9,169.5,483.5,184.6,431
51003000305,VA,Albemarle County,000305,3765,215,2882,283,1,222,1,27,134,2862,140,2262,205,1,175,1,12,66,1323.7,695.7,1471.8,529.4,1252,569,1308,551,695.7,1323.7,529.4,1471.8,560,1280,586.3,1338.9
51003000306,VA,Albemarle County,000306,2295,117,1597,462,2,6,0,11,100,1855,75,1309,402,2,3,0,6,58,771.6,527.5,769.7,447.9,1735,851,1727,809,527.5,771.6,447.9,769.7,830,1731,658.9,1250.8
51003000307,VA,Albemarle County,000307,933,18,833,22,0,6,0,4,50,719,5,666,13,0,3,0,4,28,479.5,333.1,830.3,443.8,1188,625,1179,613,333.1,479.5,443.8,830.3,619,1183.5,503.7,919.2
51003000401,VA,Albemarle County,000401,2402,113,2007,149,3,14,0,6,110,1887,67,1611,118,1,11,0,6,73,522.2,661.4,526,542.2,886,987,1005,939,661.4,522.2,542.2,526,963,945.5,782.4,734.8
51003000402,VA,Albemarle County,000402,2187,89,1878,97,2,21,3,5,92,1802,63,1575,85,2,18,3,3,53,511.6,595.7,525.4,469.9,641,664,784,627,595.7,511.6,469.9,525.4,645.5,712.5,589.1,615.5
51003000405,VA,Albemarle County,000405,4131,210,3184,353,0,195,3,14,172,3471,163,2720,298,0,156,3,12,119,381,144.5,1708.3,515.4,1415,534,1457,538,144.5,381,515.4,1708.3,536,1436,433,1240.3
51003000406,VA,Albemarle County,000406,3918,145,3263,221,5,105,2,29,148,3263,122,2762,188,5,89,0,16,81,1048.7,1092.3,1140.7,996.3,1085,1049,1225,1013,1092.3,1048.7,996.3,1140.7,1031,1155,1037.7,1124.8
51003000407,VA,Albemarle County,000407,4988,1326,2232,674,13,526,4,23,190,4004,850,1952,546,12,476,0,23,145,2060.7,711.7,1035.7,238.2,1004,285,941,298,711.7,2060.7,238.2,1035.7,291.5,972.5,383.2,1260.3
51003000501,VA,Albemarle County,000501,1923,92,1479,231,3,15,2,19,82,1577,69,1234,194,3,11,0,19,47,685.9,524,728.3,445,1259,734,1232,730,524,685.9,445,728.3,732,1245.5,608.2,976.3
51003000502,VA,Albemarle County,000502,2007,63,1742,67,3,25,0,13,94,1596,42,1416,57,1,23,0,12,45,620.6,584.2,616.8,492.7,1018,709,1017,721,584.2,620.6,492.7,616.8,715,1017.5,626.7,818.1
51003000503,VA,Albemarle County,000503,3492,153,2547,172,0,434,0,21,165,2530,93,1917,129,0,309,0,11,71,1064.7,680.7,1115.4,478.8,1949,665,1916,685,680.7,1064.7,478.8,1115.4,675,1932.5,627.4,1511.3
51003000504,VA,Albemarle County,000504,3557,277,2465,445,0,207,6,23,134,3037,188,2264,326,0,162,6,15,76,256.9,117.3,1209.4,440.9,1138,398,1077,400,117.3,256.9,440.9,1209.4,399,1107.5,339,920.3
51003000506,VA,Albemarle County,000506,4718,393,3585,196,7,261,1,30,245,3477,230,2758,147,7,188,1,14,132,1303,1038,1405,910,1624,1049,1693,1063,1038,1303,910,1405,1056,1658.5,1015,1506.2
51003000507,VA,Albemarle County,000507,2816,59,2336,104,0,166,1,19,131,2198,35,1882,79,0,119,1,11,71,1190,570.1,758.3,325,532,275,508,297,570.1,1190,325,758.3,286,520,366.8,747.1
51003000601,VA,Albemarle County,000601,4707,168,4119,110,4,98,2,17,189,3646,110,3243,90,0,67,2,8,126,1753.1,1137.9,1540.3,759.2,1512,1142,1620,1112,1137.9,1753.1,759.2,1540.3,1127,1566,1037.8,1606.3
51003000602,VA,Albemarle County,000602,2012,87,1753,48,3,22,0,6,93,1629,64,1452,37,2,17,0,2,55,591.8,508.3,603.1,435.3,1112,758,1101,747,508.3,591.8,435.3,603.1,752.5,1106.5,612.1,852
51003000603,VA,Albemarle County,000603,4042,127,3595,88,7,52,1,21,151,3189,70,2892,80,7,40,1,8,91,1148.2,1060.9,1210,901.4,1644,1286,1595,1300,1060.9,1148.2,901.4,1210,1293,1619.5,1137.1,1399.3
51003000604,VA,Albemarle County,000604,4053,106,3498,171,1,102,1,11,163,3018,57,2648,150,1,82,1,7,72,1659.4,1041.3,1237.2,621.1,1366,824,1426,820,1041.3,1659.4,621.1,1237.2,822,1396,826.6,1422.2
51003000606,VA,Albemarle County,000606,5112,279,4188,129,3,269,4,31,209,3569,162,2990,108,3,189,3,16,98,349.5,221.2,1081.2,508.4,1186,603,1174,619,221.2,349.5,508.4,1081.2,611,1180,487.9,947.7
51005005101,VA,Alleghany County,005101,1607,6,1541,8,1,2,0,4,45,1317,6,1273,8,1,2,0,0,27,148.4,545.9,142.6,339.9,150,702,220,622,545.9,148.4,339.9,142.6,662,185,552.5,165.2
51005005103,VA,Alleghany County,005103,610,1,587,1,0,0,0,0,21,474,0,462,0,0,0,0,0,12,59.5,219.2,57,139.1,61,294,107,248,219.2,59.5,139.1,57,271,84,225.1,71.1
51005005201,VA,Alleghany County,005201,886,12,806,34,3,3,0,1,27,686,9,644,13,0,3,0,0,17,111.4,307.7,94.6,230.5,99,376,133,337,307.7,111.4,230.5,94.6,356.5,116,312.8,109.5
51005005202,VA,Alleghany County,005202,1109,14,990,43,0,6,0,2,54,836,9,764,29,0,3,0,0,31,75.7,205.7,67.2,151.9,80,240,107,211,205.7,75.7,151.9,67.2,225.5,93.5,202.2,82.5
51005005301,VA,Alleghany County,005301,828,4,797,2,0,3,0,2,20,676,4,654,0,0,3,0,2,13,77,327.9,55.4,218.9,58,434,100,390,327.9,77,218.9,55.4,412,79,342.7,72.6
51005005302,VA,Alleghany County,005302,1438,26,1332,16,0,9,1,1,53,1191,20,1120,14,0,5,1,1,30,194,483,171,372,215,584,275,513,483,194,372,171,548.5,245,488,213.8
51005005401,VA,Alleghany County,005401,1134,9,1017,52,1,13,0,1,41,958,8,867,47,1,12,0,1,22,221,551.8,196.4,395,187,621,248,549,551.8,221,395,196.4,585,217.5,529.2,213.1
51005005402,VA,Alleghany County,005402,1271,18,1161,57,0,6,0,1,28,1056,6,982,50,0,1,0,0,17,156.1,497.2,154,340.6,143,461,198,391,497.2,156.1,340.6,154,426,170.5,422.4,162.8
51005005501,VA,Alleghany County,005501,532,6,470,27,1,1,2,0,25,426,5,383,25,1,0,0,0,12,115,166,104,131,138,218,162,193,166,115,131,104,205.5,150,177,129.8
51005005502,VA,Alleghany County,005502,1538,8,1480,7,9,3,1,5,25,1268,6,1224,6,7,1,1,4,19,207.1,592.3,175.1,451.2,275,772,345,680,592.3,207.1,451.2,175.1,726,310,623.9,250.6
51005005601,VA,Alleghany County,005601,2214,34,1920,167,2,7,2,2,80,1843,22,1636,133,2,6,0,2,42,439,565,405,402,444,687,492,609,565,439,402,405,648,468,565.8,445
51005005701,VA,Alleghany County,005701,2056,40,1653,262,5,6,1,5,84,1649,28,1338,223,5,5,0,4,46,358,398,327,251,372,453,420,382,398,358,251,327,417.5,396,371,369.2
51007000101,VA,Amelia County,000101,2535,92,1789,503,1,7,0,8,135,1950,51,1384,419,1,7,0,7,81,383.4,812.9,320.4,642.8,399,1074,459,1038,812.9,383.4,642.8,320.4,1056,429,891.9,390.4
