GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ndv,nrv,adv_16,arv_16,adv_18,arv_18,adv_20,arv_20
55001000001,WI,Adams County,000001,528,26,453,10,4,1,0,1,33,427,19,378,7,4,1,0,1,17,108.4,128.6,110.4,121.3,105.9,110.5,108.9,153.8
55001000002,WI,Adams County,000002,638,24,584,4,2,2,0,0,22,471,14,437,3,2,2,0,0,13,105.9,126,108,118.5,103.8,108.6,106,151
55001000003,WI,Adams County,000003,243,9,232,0,0,1,0,0,1,199,6,192,0,0,1,0,0,0,47.4,56.6,48,53.5,46.2,48.2,48,68
55001000004,WI,Adams County,000004,352,16,322,0,0,0,0,0,14,297,12,280,0,0,0,0,0,5,59.2,70.6,60.5,66.5,58,60.4,59,85
55001000005,WI,Adams County,000005,913,35,846,0,1,3,0,4,24,769,23,725,0,1,3,0,1,16,165.9,259.9,152.6,238.1,166,226.4,179,315.1
55001000006,WI,Adams County,000006,349,24,307,5,0,0,0,4,9,288,16,258,3,0,0,0,4,7,62.3,96.9,57.9,89,62.5,84.3,66.6,117.3
55001000007,WI,Adams County,000007,116,6,109,0,0,0,0,0,1,91,2,88,0,0,0,0,0,1,19.8,31.4,18.5,29,20,27.2,21,38
55001000008,WI,Adams County,000008,333,16,299,2,2,0,0,0,14,271,12,247,2,0,0,0,0,10,60.8,98,60.1,92.4,58.6,81.3,63.6,120.2
55001000009,WI,Adams County,000009,615,10,586,1,4,0,0,1,13,545,7,527,1,3,0,0,1,6,119,191.3,117.2,180.4,115.3,159.2,124.6,234.3
55001000010,WI,Adams County,000010,215,11,197,0,0,0,1,0,6,195,6,185,0,0,0,1,0,3,41.3,77.6,39.3,82.3,41.9,56.5,42.7,94.1
55001000011,WI,Adams County,000011,422,12,386,6,0,2,0,1,15,341,9,310,6,0,2,0,1,13,88.4,125.6,83,118.5,89.2,95.4,93,163
55001000012,WI,Adams County,000012,178,13,160,0,2,0,0,1,2,157,9,145,0,2,0,0,1,0,38.9,55.3,36.5,52,39.2,41.8,41,72
55001000013,WI,Adams County,000013,587,32,520,4,1,5,0,1,24,496,25,453,3,1,5,0,1,8,99,172.2,96.5,171.5,100.4,142,100,203
55001000014,WI,Adams County,000014,475,9,447,1,2,2,0,0,14,394,4,379,1,2,2,0,0,6,84,147.2,82.5,146.5,85.4,121,84,174
55001000015,WI,Adams County,000015,648,23,585,11,1,11,0,1,16,543,11,500,10,1,11,0,0,10,114.6,145.1,118,139.3,114.5,125.5,111.2,170.4
55001000016,WI,Adams County,000016,585,28,520,3,7,3,0,0,24,517,19,464,2,7,3,0,0,22,120.1,162.5,116.4,149.9,115.1,137.9,128.9,199.8
55001000017,WI,Adams County,000017,556,8,533,3,2,0,0,1,9,455,6,438,2,2,0,0,1,6,123.6,167.3,119.5,154,118.4,142,133,206
55001000018,WI,Adams County,000018,287,3,272,1,0,1,0,1,9,228,1,216,0,0,1,0,1,9,29.5,118.3,26.6,111.8,25.1,107.3,36.7,135.8
55001000019,WI,Adams County,000019,320,8,302,3,2,2,0,1,2,263,6,247,3,2,2,0,1,2,72.5,104.9,73,98,73.4,76.8,71,139.9
55001000020,WI,Adams County,000020,391,8,373,1,0,0,1,0,8,361,4,349,1,0,0,1,0,6,104.3,138.5,99.1,120.4,95.4,127.1,118.5,168.1
55001000021,WI,Adams County,000021,493,23,439,6,0,1,1,3,20,402,16,371,4,0,1,1,3,6,33.3,53,31.6,46.1,32.3,40.7,36.1,72.2
55001000022,WI,Adams County,000022,399,41,335,5,0,0,0,2,16,348,29,299,4,0,0,0,2,14,46.3,71.7,74,107,31,39,34,69
55001000023,WI,Adams County,000023,1068,108,404,450,87,16,0,0,3,1061,103,402,450,87,16,0,0,3,82.6,133.2,49.5,71.5,94.4,118.2,104,210
55001000024,WI,Adams County,000024,680,21,627,0,8,1,0,3,20,537,15,493,0,8,1,0,3,17,159.5,190.1,157.6,166.1,152.9,161.1,168.1,243.2
55001000025,WI,Adams County,000025,978,30,911,7,5,2,0,1,22,807,15,767,4,4,2,0,0,15,212.9,305.7,205.8,285.5,216.5,263,216.4,368.6
55001000026,WI,Adams County,000026,399,13,365,2,1,0,2,1,15,327,7,302,2,0,0,2,0,14,74.8,106.7,72.5,100,76,92.2,76,128
55001000027,WI,Adams County,000027,940,14,888,1,3,5,1,4,24,834,10,799,1,3,4,1,0,16,233.6,291,223.2,272,229.4,248.8,248.2,352.2
55001000028,WI,Adams County,000028,144,6,137,0,0,0,0,0,1,122,4,117,0,0,0,0,0,1,38.4,48.3,36.6,45.1,37.6,41.3,41,58.5
55001000029,WI,Adams County,000029,75,0,72,0,0,0,0,0,3,70,0,68,0,0,0,0,0,2,22,27.5,21.1,25.4,21.7,23.5,23.1,33.6
55001000030,WI,Adams County,000030,138,5,127,0,0,0,0,0,6,125,2,117,0,0,0,0,0,6,27.4,59.2,28,51.1,27.2,51.3,27,75.1
55001000031,WI,Adams County,000031,622,16,562,1,7,5,0,4,27,536,8,487,1,7,5,0,4,24,145.2,218.3,134.2,208.4,146,193.1,155.5,253.5
55001000032,WI,Adams County,000032,558,5,547,1,0,1,0,1,3,516,5,508,0,0,1,0,0,2,157.5,237.7,146,227,158.4,210,168,276
55001000033,WI,Adams County,000033,558,5,536,1,2,2,0,2,10,522,1,506,0,2,2,0,2,9,167.6,252.2,154.8,241.1,168.4,223.1,179.5,292.4
55001000034,WI,Adams County,000034,546,10,520,0,3,3,1,0,9,502,8,478,0,3,3,1,0,9,135.8,205,125.5,196,137,181,145,238
55001000035,WI,Adams County,000035,741,15,708,2,0,0,0,1,15,650,10,627,1,0,0,0,0,12,192.4,292,178.5,279.3,193.7,257.3,205,339.3
55001000036,WI,Adams County,000036,372,19,323,5,3,0,1,8,13,308,11,275,2,3,0,1,4,12,82.5,141.6,78.9,136.8,76.2,115.2,92.4,172.8
55001000037,WI,Adams County,000037,911,35,833,17,0,4,0,4,18,778,21,725,9,0,4,0,2,17,152.7,264.1,146.9,255.4,140.9,213.9,170.4,323
55001000038,WI,Adams County,000038,113,0,104,0,0,0,0,0,9,97,0,90,0,0,0,0,0,7,26.5,39.8,23.4,38.6,26.8,32.1,29.1,48.6
55001000039,WI,Adams County,000039,86,43,15,25,0,0,0,0,3,81,43,12,25,0,0,0,0,1,14.8,19.8,13.4,19.4,14.9,14.1,16.1,25.8
55001000040,WI,Adams County,000040,19,0,19,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,1.7,2.4,1.5,2.5,1.7,1.5,1.8,3.2
55001000041,WI,Adams County,000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,4.2,2.8,3.9,3,3.1,3,5.4
55001000042,WI,Adams County,000042,492,11,466,2,4,0,0,0,9,412,4,396,2,4,0,0,0,6,110.8,161.3,100.2,160.7,112.1,129,120.2,194.3
55001000043,WI,Adams County,000043,540,4,507,2,0,0,0,4,23,459,2,441,2,0,0,0,0,14,109.7,160.8,98.8,159.4,111.3,128.6,119,194.3
55001000044,WI,Adams County,000044,1031,52,894,11,12,11,0,5,46,826,28,729,10,10,6,0,5,38,201,285.1,188.7,268.9,203.3,216.2,211.1,370.1
55003000045,WI,Ashland County,000045,370,1,352,1,5,0,0,0,11,318,1,307,0,4,0,0,0,6,69.3,148,69.7,141.3,74.4,116,63.7,186.8
55003000046,WI,Ashland County,000046,750,8,650,1,38,7,0,5,41,600,4,533,0,31,7,0,4,21,230.5,200.9,219.1,247.1,204.8,196.2,267.7,159.3
55003000047,WI,Ashland County,000047,635,29,473,14,85,5,1,1,27,539,15,437,6,58,5,1,1,16,161.1,85.7,135.8,75.6,128.6,51,219.1,130.6
