GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two
54001000001,WV,Barbour County,000001,681,8,652,0,0,1,0,0,20,501,3,479,0,0,1,0,0,18
54001000002,WV,Barbour County,000002,1715,16,1648,1,0,1,0,0,49,1339,6,1294,1,0,1,0,0,37
54001000003,WV,Barbour County,000003,1327,10,1248,5,5,1,0,0,58,1037,6,978,4,5,1,0,0,43
54001000004,WV,Barbour County,000004,1607,9,1533,4,9,2,0,0,50,1280,5,1228,3,9,2,0,0,33
54001000007,WV,Barbour County,000007,1308,32,1171,16,8,7,0,3,71,1090,25,987,13,8,6,0,3,48
54001000008,WV,Barbour County,000008,1245,11,1185,2,4,0,0,0,43,975,8,927,2,4,0,0,0,34
54001000009,WV,Barbour County,000009,521,3,494,0,2,0,0,0,22,428,2,409,0,2,0,0,0,15
54001000010,WV,Barbour County,000010,532,1,507,0,0,2,0,0,22,436,1,415,0,0,0,0,0,20
54001000011,WV,Barbour County,000011,1182,68,844,204,0,9,0,3,54,1040,61,734,203,0,8,0,1,33
54001000012,WV,Barbour County,000012,998,4,968,2,0,1,0,1,22,839,3,817,0,0,1,0,1,17
54001000013,WV,Barbour County,000013,1164,9,1095,10,3,6,0,3,38,912,8,871,10,3,3,0,2,15
54001000014,WV,Barbour County,000014,504,2,495,1,0,0,0,0,6,387,2,381,0,0,0,0,0,4
54001000015,WV,Barbour County,000015,330,0,305,6,2,0,0,0,17,247,0,228,6,0,0,0,0,13
54001000016,WV,Barbour County,000016,532,3,511,1,1,1,0,0,15,397,0,387,1,0,1,0,0,8
5400100005a,WV,Barbour County,00005a,1385,11,1302,7,2,1,0,0,62,1076,6,1027,1,1,0,0,0,41
5400100006A,WV,Barbour County,00006A,434,5,421,0,1,0,0,0,7,346,5,337,0,0,0,0,0,4
54003000001,WV,Berkeley County,000001,1328,99,925,173,1,10,0,6,114,1046,55,798,132,1,4,0,4,52
54003000002,WV,Berkeley County,000002,2206,165,1330,414,6,125,0,11,155,1642,113,1024,308,4,99,0,9,85
54003000005,WV,Berkeley County,000005,1219,117,873,113,3,22,0,2,89,947,66,733,84,2,15,0,0,47
54003000006,WV,Berkeley County,000006,1072,111,674,212,6,8,0,3,58,836,61,578,154,6,4,0,2,31
54003000007,WV,Berkeley County,000007,2293,205,1549,357,15,8,2,17,140,1795,125,1275,279,15,6,2,10,83
54003000008,WV,Berkeley County,000008,822,49,675,66,0,2,0,2,28,649,33,557,49,0,1,0,1,8
54003000009,WV,Berkeley County,000009,1687,57,1286,166,5,43,0,12,118,1345,28,1072,130,5,36,0,7,67
54003000010,WV,Berkeley County,000010,1704,135,1089,292,6,34,1,4,143,1311,88,909,214,4,28,1,0,67
54003000012,WV,Berkeley County,000012,1492,86,1164,115,6,14,0,3,104,1084,35,888,88,2,9,0,2,60
54003000013,WV,Berkeley County,000013,1922,61,1629,111,7,12,0,13,89,1459,43,1264,82,6,12,0,3,49
54003000014,WV,Berkeley County,000014,1397,88,854,307,3,18,0,6,121,1035,53,674,232,0,17,0,3,56
54003000015,WV,Berkeley County,000015,1459,128,901,259,4,13,1,6,147,1144,84,745,223,4,12,1,6,69
