GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_18_rep_bar,uss_18_dem_tra,gov_18_rep_gor,gov_18_dem_thr,sos_18_rep_buc,sos_18_dem_byr,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_lum,uss_20_dem_dav,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
56001000103,WY,Albany County,000103,385,16,343,1,3,1,0,3,18,332,15,294,1,1,0,0,3,18,178,93,155,98,161,89,152,88,178,120,190,120,178,93,156,91.7,184,120,169,101.3
56001000104,WY,Albany County,000104,242,11,211,1,2,2,0,0,15,204,10,179,1,1,0,0,0,13,123,12,94,19,95,19,94,19,130,20,129,20,123,12,94.3,19,129.5,20,110.8,18.2
56001000111,WY,Albany County,000111,17,0,15,1,0,0,0,0,1,13,0,13,0,0,0,0,0,0,21.7,7.8,20.6,9.6,20,9,21.3,8.3,26.3,11.2,27.1,10.4,21.7,7.8,20.6,9,26.7,10.8,22.8,9.4
56001000112,WY,Albany County,000112,49,2,44,1,0,0,0,2,0,42,2,37,1,0,0,0,2,0,65.6,23.6,62.4,29,60.5,27.3,64.6,25.3,79.7,33.9,81.9,31.5,65.6,23.6,62.5,27.2,80.8,32.7,69.1,28.4
56001000113,WY,Albany County,000113,43,1,39,0,0,0,0,1,2,32,0,31,0,0,0,0,1,0,114.8,41.3,109.2,50.8,106,47.8,113,44.3,139.6,59.3,143.4,55.2,114.8,41.3,109.4,47.6,141.5,57.3,121,49.8
56001000114,WY,Albany County,000114,69,4,63,0,0,1,0,0,1,62,4,56,0,0,1,0,0,1,15.4,5.5,14.6,6.8,14.2,6.4,15.1,5.9,18.7,7.9,19.2,7.4,15.4,5.5,14.6,6.4,18.9,7.7,16.2,6.7
56001000115,WY,Albany County,000115,915,62,778,11,7,6,1,6,44,711,33,624,9,4,5,0,5,31,209.8,99.4,196.7,118.4,192.9,111.5,203.9,102.7,248.4,141.8,259.2,133.8,209.8,99.4,197.8,110.8,253.8,137.8,218.5,117.9
56001000121,WY,Albany County,000121,3302,338,2756,11,21,20,1,8,147,2651,234,2268,10,15,13,1,5,105,1270.5,610.9,1113.4,672.5,1092.3,645.1,1148.8,586.1,1583.7,810.3,1636.9,819.3,1270.5,610.9,1118.2,634.6,1610.3,814.8,1307.6,690.7
56001000122,WY,Albany County,000122,656,23,594,2,1,2,0,2,32,576,14,526,1,1,2,0,2,30,289.4,88.5,246,94.6,243.9,90.6,239.1,84.4,347.2,112.9,356.3,111.9,289.4,88.5,243,89.9,351.7,112.4,286.9,97.1
56001000301,WY,Albany County,000301,175,24,139,3,0,1,0,0,8,153,19,125,2,0,1,0,0,6,59.1,74.7,46.3,82.2,48.4,77,49.6,72.1,66.6,97.2,73.1,97.4,59.1,74.7,48.1,77.1,69.8,97.3,57.2,83.4
56001000312,WY,Albany County,000312,3926,416,3129,35,46,84,4,30,182,3298,319,2686,30,31,75,4,22,131,698.7,680,552.2,771.2,570.9,721.4,588.8,666.9,782.5,922.4,858.6,922.3,698.7,680,570.6,719.8,820.5,922.4,675.3,780.7
56001000313,WY,Albany County,000313,2184,194,1735,30,12,103,0,7,103,1942,149,1582,30,8,88,0,6,79,430.1,746.1,323,795,354.2,738.9,350.3,707.8,460.1,893.8,503.7,906.4,430.1,746.1,342.5,747.2,481.9,900.1,403.6,798
56001000314,WY,Albany County,000314,1210,105,1010,5,17,12,2,3,56,936,73,801,2,11,11,2,3,33,109.3,175.2,79.7,182.4,85.2,171.3,84.2,164.7,115.4,205.4,125.9,207,109.3,175.2,83,172.8,120.6,206.2,99.9,184.3
56001000402,WY,Albany County,000402,1822,134,1521,9,10,55,1,15,77,1386,86,1189,3,6,50,1,9,42,445.3,430,399,484.9,410.6,457,414.9,416.4,461,610.1,520.2,585.9,445.3,430,408.2,452.8,490.6,598,441.8,497.4
56001000501,WY,Albany County,000501,1974,193,1604,21,5,51,3,10,87,1710,152,1406,20,5,45,3,10,69,297.8,525.5,225.8,555.7,241.4,521.5,242.2,497.9,331.5,641.6,363.3,645.8,297.8,525.5,236.5,525,347.4,643.7,283.7,564.7
56001000511,WY,Albany County,000511,235,23,171,3,2,8,0,0,28,220,17,166,3,2,6,0,0,26,51.4,95,39.8,101.2,42.5,94.9,43,90.3,58.8,118.1,64.5,118.8,51.4,95,41.7,95.5,61.6,118.4,50,103
56001000512,WY,Albany County,000512,1180,72,915,17,15,108,0,8,45,1097,59,864,17,13,102,0,7,35,73.6,147.7,58.7,161.6,65.7,149.3,65.8,141.8,83.8,185.4,92.4,188.5,73.6,147.7,63.4,150.9,88.1,187,73.3,162.4
56001000514,WY,Albany County,000514,186,32,145,0,1,0,0,2,6,141,15,120,0,1,0,0,2,3,27.1,13.6,22.7,15.8,22.4,15.2,23.4,13.9,32,18.8,33,19,27.1,13.6,22.8,15,32.5,18.9,26.8,16.1
56001000515,WY,Albany County,000515,4380,762,3314,42,31,12,2,16,201,3427,500,2710,33,14,12,0,14,144,877.1,456.9,719.5,541.8,709,521.7,741.4,480.6,1010.1,651.2,1046.9,659.1,877.1,456.9,723.3,514.7,1028.5,655.2,850.7,551.9
56001000516,WY,Albany County,000516,914,250,560,12,21,13,2,11,45,747,195,481,8,17,8,0,5,33,86.3,159.5,66.7,169.8,71.3,159.3,72.1,151.6,98.6,198.2,108.3,199.4,86.3,159.5,70.1,160.3,103.5,198.8,83.9,173
56001000601,WY,Albany County,000601,2975,299,2347,43,38,93,1,15,139,2431,207,1965,41,32,76,1,12,97,414.2,477.3,338.8,510.1,351.9,482.1,367,448,469.2,636.6,514.4,636.5,414.2,477.3,352.6,480,491.8,636.5,409.3,531.8
56001000602,WY,Albany County,000602,2542,251,2069,28,17,65,4,5,103,2004,189,1645,22,17,52,4,5,70,530.8,709.9,410.1,748,430,700.5,449.1,650.8,571.9,886.4,631.5,884.8,530.8,709.9,429.7,699.7,601.7,885.6,503.9,763.4
56001000614,WY,Albany County,000614,787,108,587,8,7,30,4,11,32,614,69,475,6,4,25,4,5,26,240.8,277.8,200.6,298.9,208.2,283.4,216.1,264.7,279.4,377.4,305.2,378.2,240.8,277.8,208.3,282.3,292.3,377.8,241.7,313.4
560010041-1,WY,Albany County,0041-1,2818,217,2284,39,5,128,4,3,138,2417,169,2000,28,1,99,3,3,114,684.6,661,613.4,745.5,631.3,702.5,637.9,640.2,708.7,938,799.7,900.7,684.6,661,627.5,696.1,754.2,919.3,679.3,764.7
560010041-2,WY,Albany County,0041-2,869,78,671,5,3,72,0,8,32,622,47,487,0,3,57,0,8,20,124.2,119.9,111.3,135.2,114.5,127.4,115.7,116.2,128.6,170.2,145.1,163.4,124.2,119.9,113.8,126.3,136.8,166.8,123.2,138.7
560010041-4,WY,Albany County,0041-4,1884,165,1556,21,14,41,1,10,76,1862,162,1546,20,13,41,1,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
