GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
01001000201,01,001,000201,1773,24,1699,24,37,4,9,1259,11,1197,11,28,4,8,194.63,371.68,NA,62328,92628,NA,00240,3,2
01001000202,01,001,000202,2031,6,747,6,1260,7,11,1390,4,576,4,799,3,4,214.89,410.36,NA,62328,92628,NA,00240,3,2
01001000203,01,001,000203,2952,8,2521,8,405,2,16,2151,6,1820,6,302,2,15,332.53,635.02,NA,62328,92628,NA,00240,3,2
01001000204,01,001,000204,4401,24,4296,24,36,16,29,3329,18,3241,18,28,8,16,514.64,982.79,NA,62328,92628,NA,00240,3,2
01001000205,01,001,000205,3146,39,2953,39,124,4,26,2212,25,2051,25,85,3,23,341.96,653.03,NA,62328,92628,NA,00240,3,2
01001000206,01,001,000206,3420,29,2646,29,731,7,7,2349,18,1872,18,430,5,6,363.14,693.47,NA,62328,92628,NA,00240,3,2
01001000207,01,001,000207,2744,21,2544,21,153,14,12,2048,14,1905,14,97,9,9,316.61,604.61,NA,62328,92628,NA,00240,3,2
01001000208,01,001,000208,4900,23,4127,23,738,9,3,3375,14,2865,14,473,6,3,521.76,996.37,NA,62328,92628,NA,00240,3,2
01001000209,01,001,000209,3590,16,2812,16,757,3,2,2523,9,2006,9,494,3,2,390.04,744.84,NA,NA,92106,NA,00240,3,2
01001000210,01,001,000210,2282,14,1640,14,626,1,1,1571,8,1177,8,376,1,1,242.87,463.79,NA,6460,90315,NA,00240,3,2
01001000211,01,001,000211,2983,26,1012,26,1939,4,2,2063,19,788,19,1231,4,2,318.93,609.04,NA,3220,90171,NA,00240,3,2
01003000101,01,003,000101,3565,16,2453,16,1025,68,3,2550,11,1808,11,671,46,3,302.81,721.28,NA,NA,93024,NA,00270,1,1
01003000102,01,003,000102,2061,20,1909,20,95,37,0,1454,9,1351,9,54,31,0,172.66,411.27,NA,4660,90207,NA,00270,1,1
01003000103,01,003,000103,5407,25,4079,25,1250,44,9,3825,15,2956,15,797,34,8,454.21,1081.92,NA,4660,90207,NA,00270,1,1
01003000104,01,003,000104,3157,25,2908,25,184,33,7,2194,12,2035,12,108,23,4,260.53,620.58,NA,4660,90207,NA,00270,1,1
01003000105,01,003,000105,3966,26,3644,26,239,49,7,2994,19,2757,19,159,35,5,355.53,846.87,NA,4660,90207,NA,00270,1,1
01003000106,01,003,000106,3467,16,1800,16,1624,17,10,2192,13,1264,13,884,10,8,260.3,620.02,NA,4660,90207,NA,00270,1,1
01003000108,01,003,000108,5168,21,3418,21,1706,10,13,3765,13,2580,13,1144,10,5,447.09,1064.95,NA,19648,90846,NA,00270,1,1
01003000110,01,003,000110,2314,45,2039,45,198,31,1,1673,25,1470,25,131,22,0,198.67,473.22,NA,73872,93042,NA,00270,1,1
01003000111,01,003,000111,4237,53,3958,53,192,21,13,3142,33,2952,33,99,18,7,373.11,888.73,NA,25240,91053,NA,00270,1,1
01003000113,01,003,000113,2915,24,2641,24,225,20,4,2238,20,2026,20,152,17,3,265.76,633.03,NA,61488,91053,NA,00270,1,1
01003000115,01,003,000115,7325,124,5833,124,1317,28,18,5425,71,4460,71,793,18,12,644.21,1534.48,NA,26992,91152,NA,00270,1,1
01003000116,01,003,000116,6341,87,6049,87,164,25,15,5156,65,4889,65,104,20,13,574,1580,NA,23320,90963,NA,00270,1,1
01003010701,01,003,010701,3787,24,3516,24,213,26,8,2916,11,2738,11,130,20,6,346.27,824.8,NA,71976,90846,NA,00270,1,1
01003010702,01,003,010702,7644,92,6836,92,659,19,37,5880,63,5248,63,460,18,28,698.24,1663.18,NA,19648,90846,NA,00270,1,1
01003010703,01,003,010703,2536,33,1857,33,639,5,2,1785,22,1324,22,414,3,0,211.97,504.89,NA,19648,90846,NA,00270,1,1
01003010901,01,003,010901,5990,61,5337,61,526,58,8,4294,32,3865,32,327,31,7,524.41,1435.2,NA,44608,92754,NA,00270,1,1
01003010902,01,003,010902,5859,51,5649,51,93,48,16,4230,26,4082,26,50,35,11,516.59,1413.8,NA,65208,92754,NA,00270,1,1
01003011201,01,003,011201,3475,34,3394,34,30,7,10,2690,23,2607,23,25,7,5,319.43,760.88,NA,25240,91053,NA,00270,1,1
01003011202,01,003,011202,5704,48,4124,48,1506,14,10,4380,28,3312,28,997,7,8,520.12,1238.9,NA,25240,91053,NA,00270,1,1
01003011401,01,003,011401,4566,119,3713,119,689,27,7,3354,82,2758,82,402,24,6,398.28,948.69,NA,NA,91152,NA,00270,1,1
01003011402,01,003,011402,8796,78,8643,78,18,34,18,7251,61,7080,61,10,24,15,861.05,2050.98,NA,32272,91152,NA,00270,1,1
01005009501,01,005,009501,3522,16,1765,16,1734,4,3,2484,9,1316,9,1145,3,2,584.32,549.05,NA,24568,91017,NA,00300,2,2
01005009502,01,005,009502,3106,8,1028,8,2068,2,0,2135,4,813,4,1312,2,0,502.22,471.9,NA,15376,90630,NA,00300,2,2
01005009503,01,005,009503,2279,16,997,16,1261,5,0,1590,10,805,10,760,5,0,374.02,351.44,NA,44344,91989,NA,00300,2,2
01005009504,01,005,009504,3174,13,1817,13,1334,8,2,2324,9,1432,9,864,8,2,546.68,513.68,NA,15640,90648,NA,00300,2,2
01005009505,01,005,009505,2669,18,1800,18,843,5,3,1908,9,1378,9,507,4,1,448.82,421.73,NA,24568,90189,NA,00300,2,2
01005009506,01,005,009506,2391,12,1527,12,843,3,6,1608,8,1047,8,536,3,6,378.25,355.42,NA,24568,91017,NA,01410,2,2
01005009507,01,005,009507,1969,12,1086,12,870,1,0,1480,4,867,4,605,0,0,348.14,327.13,NA,24568,91017,NA,01410,2,2
01005009508,01,005,009508,2207,13,1509,13,669,10,6,1650,12,1182,12,432,6,6,388.13,364.7,NA,24568,91017,NA,01410,2,2
01005009509,01,005,009509,4100,16,2525,16,1534,2,23,2850,11,1865,11,949,2,12,670.41,629.94,NA,24568,91017,NA,01410,2,2
01007009513,01,007,009513,5967,13,5321,13,610,21,2,4234,8,3838,8,365,13,2,896.27,1030.72,NA,80928,93438,NA,00360,7,3
01007009514,01,007,009514,5910,22,3914,22,1964,3,7,4198,16,2948,16,1211,2,5,888.65,1021.95,NA,9136,90531,NA,00360,7,3
01007009515,01,007,009515,3635,4,3031,4,597,1,2,2639,3,2262,3,369,1,1,558.64,642.43,NA,13672,90531,NA,00360,7,3
01007009516,01,007,009516,1064,0,767,0,297,0,0,739,0,554,0,185,0,0,156.44,179.9,NA,NA,92601,NA,00360,7,6
01009000502,01,009,000502,2380,26,2342,26,0,12,0,1780,16,1740,16,0,8,0,242.74,516.54,NA,15472,90639,NA,00420,4,4
01009000503,01,009,000503,3975,37,3929,37,2,4,3,2983,22,2931,22,2,4,2,406.8,865.63,NA,74160,90612,NA,00420,4,4
01009000504,01,009,000504,3754,18,3708,18,2,22,3,2795,11,2754,11,2,16,1,381.16,811.08,NA,74160,90414,NA,00420,4,4
01009000505,01,009,000505,5385,51,5316,51,0,14,4,4058,31,3983,31,0,10,3,553.4,1177.59,NA,7456,90333,NA,00420,4,4
01009000506,01,009,000506,7063,16,6904,16,102,31,9,5210,12,5080,12,76,23,7,710.49,1511.88,NA,71201,91557,NA,00420,4,4
01009000507,01,009,000507,5932,8,5891,8,12,17,2,4355,8,4317,8,7,13,2,593.9,1263.77,NA,43888,91953,NA,00420,4,4
01009050101,01,009,050101,5098,76,4776,76,234,9,1,3885,59,3604,59,156,6,1,529.8,1127.38,NA,57000,92439,NA,00420,4,4
01009050102,01,009,050102,5661,54,5409,54,167,20,11,4339,38,4121,38,121,13,8,591.72,1259.13,NA,57000,92439,NA,00420,4,4
01011009521,01,011,009521,1873,1,199,1,1673,0,0,1259,0,172,0,1087,0,0,498.5,221.79,NA,48424,92133,NA,00480,2,2
01011009522,01,011,009522,6407,49,1620,49,4723,8,7,4475,30,1372,30,3029,7,7,1771.87,788.34,NA,77880,93249,NA,00480,2,2
01011009523,01,011,009523,974,7,339,7,625,0,3,689,4,271,4,409,0,1,272.81,121.38,NA,NA,91098,NA,00480,2,2
01011009524,01,011,009524,1788,8,853,8,927,0,0,1280,8,680,8,584,0,0,506.82,225.49,NA,NA,91701,NA,00480,2,2
01013009527,01,013,009527,1999,12,1141,12,839,3,4,1388,6,890,6,483,1,2,312.1,326.4,NA,31912,91422,NA,00510,2,2
01013009528,01,013,009528,1505,0,1460,0,40,2,3,1165,0,1133,0,29,2,1,261.96,273.96,NA,31912,91422,NA,00510,2,2
01013009529,01,013,009529,2396,9,1079,9,1306,1,1,1616,5,808,5,797,1,0,363.37,380.01,NA,31912,91422,NA,00510,2,2
01013009530,01,013,009530,1528,2,807,2,717,2,0,1073,2,616,2,451,2,0,241.27,252.32,NA,NA,91170,NA,00510,2,2
01013009531,01,013,009531,3298,8,1135,8,2146,6,3,2189,5,854,5,1322,2,1,492.21,514.76,NA,31912,91422,NA,00510,2,2
01013009532,01,013,009532,4224,13,2818,13,1387,1,5,2949,7,2130,7,801,1,3,663.11,693.48,NA,31912,91422,NA,00510,2,2
01013009533,01,013,009533,2048,2,1763,2,282,1,0,1470,2,1294,2,171,1,0,330.54,345.68,NA,NA,90540,NA,00510,2,2
01013009534,01,013,009534,3312,18,1614,18,1674,6,0,2342,14,1261,14,1050,3,0,526.62,550.74,NA,29560,91314,NA,00510,2,2
01013009535,01,013,009535,1582,1,1184,1,392,2,3,1151,1,899,1,246,2,2,258.81,270.66,NA,45496,91314,NA,00510,2,2
01015000001,01,015,000001,2253,72,1519,72,571,16,74,1699,48,1195,48,338,14,56,244.79,350.43,NA,1852,90099,NA,00090,3,3
01015000002,01,015,000002,3142,22,2653,22,440,5,21,2634,15,2322,15,263,4,15,379.5,543.27,NA,1852,90099,NA,00090,3,3
01015000003,01,015,000003,4148,27,1461,27,2642,8,10,2898,17,1275,17,1575,6,8,417.53,597.72,NA,1852,90099,NA,00090,3,3
01015000004,01,015,000004,3384,15,1487,15,1871,7,4,2520,10,1105,10,1385,6,4,363.07,519.76,NA,1852,90099,NA,00090,3,3
01015000005,01,015,000005,3364,9,239,9,3116,0,0,2396,5,165,5,2221,0,0,345.21,494.19,NA,1852,90099,NA,00090,3,3
01015000006,01,015,000006,2729,13,886,13,1826,4,0,1754,5,689,5,1051,4,0,252.71,361.77,NA,1852,90099,NA,00090,3,3
01015000007,01,015,000007,377,2,207,2,167,1,0,362,2,193,2,164,1,0,52.16,74.66,NA,1852,90099,NA,00090,3,3
01015000008,01,015,000008,1964,7,959,7,980,4,14,1549,3,824,3,706,2,11,223.17,319.49,NA,1852,90099,NA,00090,3,3
01015000009,01,015,000009,3300,16,2947,16,309,8,20,2632,9,2401,9,196,5,12,379.21,542.86,NA,1852,90099,NA,00090,3,3
01015000010,01,015,000010,5234,67,4845,67,274,14,34,3987,39,3692,39,185,11,21,574.43,822.34,NA,1852,90099,NA,00090,3,3
01015000011,01,015,000011,5338,21,4966,21,323,11,17,3909,16,3671,16,184,10,12,563.19,806.25,NA,57576,90099,NA,02635,3,3
