GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05001009801,1631,6,1262,6,358,2,3,1240,3,968,3,263,2,1,89,58,61940,92973,00001,2,1
05001009802,2050,5,1818,5,222,3,2,1481,4,1340,4,130,3,0,277.09,239.1,1030,92466,12960,2,1
05001009803,3810,11,2456,11,1322,10,10,2589,7,1776,7,782,9,8,484.4,417.98,67490,91563,12960,2,1
05001009804,3103,13,1395,13,1688,7,0,2093,7,1053,7,1024,2,0,391.59,337.9,67490,91563,12960,2,1
05001009805,4050,13,3804,13,209,12,12,3153,10,2986,10,129,8,10,589.92,509.03,67490,91563,12960,2,1
05001009806,1846,3,1777,3,61,4,1,1416,1,1360,1,49,4,1,268.13,239.23,18790,92085,00001,2,1
05001009807,3358,4,2640,4,702,6,6,2455,4,1988,4,449,5,5,464.87,414.77,18790,92085,00001,2,1
05001009808,1805,6,1627,6,162,9,1,1323,3,1208,3,102,6,1,21,17,26980,93483,06570,2,1
05003009602,2326,33,2031,33,251,11,0,1724,17,1495,17,187,8,0,101,118,24670,92469,06390,1,4
05003009603,4791,38,3574,38,1171,4,4,3526,23,2723,23,749,4,4,606.52,538.39,29500,90687,00042,1,4
05003009604,2565,12,1462,12,1082,7,2,1805,6,1086,6,702,4,1,310.48,275.61,75890,94077,00042,1,4
05003009605,3014,30,2837,30,137,8,2,2230,20,2094,20,88,6,2,628.73,499.77,50240,91212,04800,1,4
05003009606,6464,29,4638,29,1765,8,24,4753,16,3561,16,1139,8,13,1340.07,1065.22,16240,91212,04800,1,4
05003009607,2607,10,1484,10,1104,4,5,1767,5,1076,5,676,3,2,498.19,396.01,74270,91212,04800,1,4
05003960198,2552,68,1380,68,1097,0,7,1782,32,1017,32,695,0,6,30,30,46670,92964,00042,1,4
05005009501,3548,21,3508,21,0,10,6,2879,15,2836,15,0,8,5,707.51,950.94,47390,92616,00043,3,3
05005009502,3764,23,3724,23,0,8,8,3213,19,3163,19,0,7,5,789.59,1061.26,47390,92616,00043,3,3
05005009503,3656,27,3612,27,0,8,9,2938,12,2903,12,0,5,6,722.01,970.43,47390,92616,00043,3,3
05005009504,2356,10,2330,10,0,13,3,1969,7,1942,7,0,10,3,483.88,650.37,47390,92616,00043,3,3
05005009505,3813,23,3738,23,1,38,13,2917,14,2855,14,0,24,10,23,20,50000,92709,10560,3,3
05005009506,2786,4,2772,4,1,7,2,2259,1,2250,1,0,5,2,467,598,NA,93669,00043,3,3
05005009507,3060,7,3045,7,2,5,1,2553,5,2537,5,1,4,1,336,491,NA,92460,00043,3,3
05005009508,4001,30,3952,30,0,14,5,3286,25,3217,25,0,14,5,75,137,38050,91548,00043,3,3
05005009509,4202,26,4146,26,0,17,13,3213,12,3168,12,0,17,4,505,654,15490,94035,04680,3,3
05007000201,5950,47,5829,47,1,60,13,4324,28,4220,28,1,38,9,42,65,54200,92634,03030,3,3
05007000203,7668,136,7362,136,6,74,90,5662,94,5357,94,5,51,61,1184.25,1675.84,60410,91254,11970,3,3
05007000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,92766,11970,3,3
05007000207,3625,9,3590,9,0,16,10,3152,5,3117,5,0,16,9,659.26,932.93,4840,92766,03060,3,3
05007000208,6425,25,6362,25,7,28,3,5913,19,5854,19,2,16,3,336.14,515.51,4840,92766,03060,3,3
05007000209,3835,27,3743,27,1,46,15,2724,18,2651,18,1,29,7,154.86,237.49,28360,93837,06840,3,3
05007000211,3886,141,3500,141,2,232,9,2800,65,2513,65,2,148,7,392.68,695.13,64370,91710,12450,3,3
05007020201,3045,62,2931,62,1,36,14,2304,35,2197,35,1,26,10,481.9,681.94,60410,91254,11970,3,3
05007020202,5655,99,5461,99,2,50,43,4269,59,4070,59,2,43,36,892.89,1263.54,60410,91254,11970,3,3
05007020401,4520,39,4426,39,0,36,19,3325,24,3237,24,0,26,14,695.45,984.13,60410,91254,11970,3,3
05007020402,3863,61,3761,61,6,17,18,3143,32,3050,32,3,16,10,657.38,930.26,60410,91254,11970,3,3
05007020403,2435,81,2315,81,0,21,18,1898,69,1735,69,0,13,12,396.98,561.77,60410,91254,11970,3,3
05007020501,2518,31,2455,31,8,15,9,1869,26,1791,26,8,12,6,390.91,553.19,5320,92766,03060,3,3
05007020502,3257,49,3104,49,4,33,67,2339,30,2211,30,1,22,45,489.22,692.3,5320,92766,03060,3,3
05007020601,3730,46,3628,46,5,34,17,2776,33,2668,33,4,26,12,580.62,821.64,5320,92766,03060,3,3
05007020602,2345,45,2261,45,10,18,10,1662,30,1577,30,4,14,7,347.62,491.92,5320,92766,03060,3,3
05007021001,3437,46,3284,46,2,96,8,2499,25,2390,25,2,49,8,45,70,67760,93543,06840,3,3
