GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
06001004001,06,001,004001,2754,89,2364,89,115,7,178,2491,75,2103,75,85,5,148,1874.12,1211.33,NA,53000,92230,NA,NA,28050,42,11
06001004002,06,001,004002,2001,124,1656,124,81,8,128,1772,95,1403,95,60,7,112,1333.18,861.69,NA,53000,92230,NA,NA,28050,42,11
06001004003,06,001,004003,5008,346,3581,346,784,16,271,4570,286,3130,286,626,15,227,3438.27,2222.31,NA,53000,92230,NA,NA,28050,42,11
06001004004,06,001,004004,3857,219,2456,219,863,21,293,3479,189,2191,189,651,18,241,2617.45,1691.78,NA,53000,92230,NA,NA,28050,42,11
06001004005,06,001,004005,3365,180,1188,180,1738,12,235,3013,158,1077,158,1412,11,197,2266.85,1465.17,NA,53000,92230,NA,NA,28050,42,11
06001004006,06,001,004006,1665,61,305,61,1218,12,59,1311,46,273,46,895,6,45,986.34,637.52,NA,53000,92230,NA,NA,28050,42,11
06001004007,06,001,004007,4212,166,491,166,3375,13,158,3485,135,455,135,2624,11,125,2621.96,1694.7,NA,53000,92230,NA,NA,28050,42,11
06001004008,06,001,004008,3169,146,503,146,2327,14,171,2451,96,444,96,1695,9,111,1844.03,1191.88,NA,53000,92230,NA,NA,28050,42,11
06001004009,06,001,004009,2414,84,420,84,1736,8,160,1940,65,377,65,1322,5,106,1459.57,943.39,NA,53000,92230,NA,NA,28050,42,11
06001004010,06,001,004010,5496,272,460,272,4476,20,250,4278,205,418,205,3259,14,177,3218.58,2080.32,NA,53000,92230,NA,NA,28050,42,11
06001004011,06,001,004011,3922,352,1426,352,1636,37,454,3440,256,1319,256,1217,32,360,2588.11,1672.81,NA,53000,92230,NA,NA,28050,42,11
06001004012,06,001,004012,2474,153,1266,153,744,21,282,2178,119,1144,119,558,20,218,1638.63,1059.12,NA,53000,92230,NA,NA,28050,42,11
06001004013,06,001,004013,2472,184,689,184,1180,11,401,2234,144,652,144,990,8,296,1680.76,1086.36,NA,53000,92230,NA,NA,28050,42,11
