GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
09001000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,99998,1,4
09001000103,4036,125,3755,125,49,1,106,3245,98,2932,98,43,0,74,402.98,568.67,NA,NA,33620,NA,NA,01710,1,4
09001000104,5008,153,4738,153,24,2,81,4296,121,3980,121,18,2,54,533.5,752.85,NA,NA,33620,NA,NA,01710,1,4
09001000105,4945,515,3916,515,418,0,88,4496,395,3331,395,304,0,71,558.33,787.9,NA,NA,33620,NA,NA,01710,1,4
09001000106,2250,273,1777,273,61,1,136,2221,215,1628,215,50,1,112,275.81,389.22,NA,NA,33620,NA,NA,01710,1,4
09001000107,3534,260,2912,260,227,6,120,3172,190,2539,190,165,5,83,393.91,555.88,NA,NA,33620,NA,NA,01710,1,4
09001000108,4113,149,3748,149,14,0,201,3393,111,3034,111,12,0,125,421.36,594.61,NA,NA,33620,NA,NA,01710,1,4
09001000109,4810,174,4195,174,99,1,337,3958,118,3449,118,69,1,203,491.52,693.62,NA,NA,33620,NA,NA,01710,1,4
09001000110,4517,70,4186,70,33,5,223,3501,52,3233,52,24,5,135,434.77,613.53,NA,73000,33620,NA,NA,01710,1,4
09001000111,4537,94,4264,94,13,7,159,3455,63,3215,63,13,6,95,429.06,605.47,NA,NA,33620,NA,NA,01710,1,4
09001000112,1729,69,1599,69,18,2,39,1458,58,1297,58,16,1,28,181.06,255.51,NA,NA,33620,NA,NA,01710,1,4
09001000113,2979,186,2687,186,53,3,39,2601,142,2250,142,34,3,30,323,455.81,NA,NA,33620,NA,NA,01710,1,4
09001000201,2827,562,1136,562,1045,12,63,2961,470,1055,470,900,12,54,363.9,505.79,NA,73000,73070,NA,NA,04320,1,4
09001000202,3626,117,3317,117,100,5,86,2902,96,2571,96,73,3,63,356.65,495.71,NA,73000,73070,NA,NA,04320,1,4
09001000203,7090,137,6534,137,237,4,174,5550,108,5040,108,182,2,110,682.09,948.03,NA,73000,73070,NA,NA,04320,1,4
09001000204,3437,68,3199,68,93,1,73,2762,55,2530,55,72,1,49,339.45,471.79,NA,73000,73070,NA,NA,04320,1,4
09001000205,4546,84,4194,84,106,0,161,3652,69,3337,69,70,0,107,448.83,623.82,NA,73000,73070,NA,NA,04320,1,4
09001000206,4685,154,4215,154,98,4,210,3939,127,3461,127,79,3,142,484.1,672.84,NA,73000,73070,NA,NA,04320,1,4
09001000207,3787,52,3554,52,94,0,84,2992,40,2777,40,72,0,63,367.71,511.08,NA,73000,73070,NA,NA,04320,1,4
09001000208,2618,30,2446,30,47,0,95,2102,24,1953,24,35,0,66,258.33,359.05,NA,73000,73070,NA,NA,04320,1,4
09001000209,4331,177,3802,177,202,5,144,3696,128,3181,128,154,4,101,454.23,631.34,NA,73000,73070,NA,NA,04320,1,4
09001000210,2937,123,2633,123,102,2,76,2451,97,2125,97,77,2,53,301.23,418.67,NA,73000,73070,NA,NA,04320,1,4
09001000211,5211,286,4567,286,213,2,140,4541,218,3837,218,162,1,105,558.08,775.67,NA,73000,73070,NA,NA,04320,1,4
09001000212,3842,118,3411,118,177,4,130,3251,90,2840,90,138,4,89,399.54,555.32,NA,73000,73070,NA,NA,04320,1,4
09001000213,3705,245,2686,245,704,1,66,3268,196,2286,196,537,1,52,401.63,558.23,NA,73000,73070,NA,NA,04320,1,4
09001000214,5657,946,2341,946,2278,8,64,4682,656,1976,656,1342,6,46,575.41,799.76,NA,73000,73070,NA,NA,04320,1,4
09001000215,5717,1274,1252,1274,3113,5,62,5171,939,1045,939,2198,5,45,635.51,883.29,NA,73000,73070,NA,NA,04320,1,4
09001000216,5819,672,4074,672,851,12,199,5633,515,3728,515,695,11,169,692.29,962.21,NA,73000,73070,NA,NA,04320,1,4
09001000217,4589,825,2565,825,1034,10,150,4561,620,2411,620,773,7,130,560.54,779.09,NA,73000,73070,NA,NA,04320,1,4
09001000218,9188,950,6193,950,1688,9,328,8107,692,5379,692,1083,4,257,996.34,1384.8,NA,73000,73070,NA,NA,04320,1,4
09001000219,4951,304,4314,304,224,2,97,4424,240,3714,240,153,2,75,543.7,755.69,NA,73000,73070,NA,NA,04320,1,4
09001000220,2767,291,1802,291,627,1,42,2337,187,1549,187,378,1,35,287.21,399.2,NA,73000,73070,NA,NA,04320,1,4
09001000221,6011,1167,3704,1167,1003,0,129,5897,889,3266,889,746,0,107,724.73,1007.3,NA,73000,73070,NA,NA,04320,1,4
09001000222,2968,1070,570,1070,1300,2,20,2970,761,508,761,925,2,13,365.01,507.32,NA,73000,73070,NA,NA,04320,1,4
09001000223,5270,866,1482,866,2862,9,35,4126,525,1277,525,1764,4,31,507.08,704.79,NA,73000,73070,NA,NA,04320,1,4
09001000224,2471,44,2318,44,51,1,55,2021,40,1854,40,41,1,45,248.38,345.22,NA,73000,73070,NA,NA,04320,1,4
09001000301,2967,72,2833,72,12,0,50,2264,57,2111,57,9,0,30,276.52,1021.68,NA,18920,18850,NA,NA,01050,1,4
09001000302,3123,71,2970,71,21,1,60,2399,53,2233,53,18,1,41,293.01,1082.61,NA,18920,18850,NA,NA,01050,1,4
09001000303,3877,67,3752,67,8,4,45,3030,45,2899,45,7,4,30,370.08,1367.36,NA,18920,18850,NA,NA,01050,1,4
09001000304,3177,63,3001,63,12,1,96,2476,40,2326,40,11,1,58,302.41,1117.35,NA,18920,18850,NA,NA,01050,1,4
09001000305,5022,67,4819,67,17,1,118,3807,60,3605,60,8,1,73,464.98,1718,NA,18920,18850,NA,NA,01050,1,4
09001000351,6615,119,6202,119,145,8,138,5445,88,5051,88,118,7,93,731.33,2344.82,NA,NA,50580,NA,NA,02700,1,4
09001000352,2883,27,2808,27,19,0,26,2153,22,2076,22,16,0,17,289.17,927.16,NA,NA,50580,NA,NA,02700,1,4
09001000353,3653,49,3511,49,33,1,58,2733,33,2601,33,27,1,38,367.08,1176.93,NA,18920,50580,NA,NA,02700,1,4
09001000354,4743,52,4534,52,26,3,127,3495,35,3319,35,19,3,84,469.42,1505.08,NA,NA,50580,NA,NA,02700,1,4
09001000425,3385,56,3163,56,111,1,51,2764,38,2572,38,78,1,37,394.28,565.65,NA,55990,56060,NA,NA,03090,1,4
09001000426,3842,172,3420,172,172,1,73,3238,136,2778,136,132,1,55,461.89,662.66,NA,55990,56060,NA,NA,03090,1,4
