GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
10001000401,10,001,000401,4429,50,3923,50,395,36,19,3172,26,2803,26,280,23,14,476.89,798.23,39100,91480,01620,1,1
10001000402,10,001,000402,10449,193,8819,193,1343,40,41,7985,115,6722,115,977,28,28,1200.5,2009.4,67310,93700,01620,1,1
10001000403,10,001,000403,184,1,182,1,1,0,0,138,1,135,1,1,0,0,20.75,34.73,41700,93700,01620,1,1
10001000404,10,001,000404,1226,16,1115,16,86,4,5,952,13,859,13,58,4,5,143.13,239.57,41700,90740,00190,1,1
10001000405,10,001,000405,5076,201,3483,201,1202,62,124,3976,131,2712,131,856,46,100,597.77,1000.55,21200,90740,00190,1,1
10001000406,10,001,000406,1513,26,349,26,1107,11,15,1393,24,285,24,1040,9,11,209.43,350.54,21200,90740,00190,1,1
10001000407,10,001,000407,4206,92,3137,92,814,20,141,2924,56,2202,56,502,16,92,439.61,735.82,21200,90740,00190,1,1
10001000408,10,001,000408,2972,108,1676,108,1145,11,27,2324,69,1347,69,809,9,21,349.4,584.83,21200,90740,00190,1,1
10001000409,10,001,000409,2179,50,1885,50,211,6,27,1913,35,1653,35,158,6,26,287.61,481.4,21200,90740,00190,1,1
10001000410,10,001,000410,4613,155,3016,155,1308,21,112,3452,95,2345,95,820,17,80,518.99,868.69,21200,90740,00190,1,1
10001000411,10,001,000411,5473,266,3877,266,1154,25,146,3740,164,2553,164,743,18,98,562.29,941.16,21200,90740,00180,1,1
10001000412,10,001,000412,3077,119,1958,119,924,10,64,2231,71,1477,71,562,9,41,335.42,561.43,38710,90740,00180,1,1
10001000413,10,001,000413,2234,52,1368,52,769,14,31,1669,30,1148,30,435,8,18,250.92,420,21200,90740,00190,1,1
10001000414,10,001,000414,2848,63,1434,63,1293,16,39,2221,42,1188,42,905,10,34,333.91,558.91,21200,90740,00190,1,1
10001000415,10,001,000415,4259,110,3226,110,831,9,83,3198,64,2440,64,560,6,64,480.8,804.77,21200,90740,00180,1,1
10001000416,10,001,000416,2450,49,2190,49,144,4,61,1921,40,1700,40,94,1,46,288.81,483.41,34810,90740,00180,1,1
10001000417,10,001,000417,6080,172,4481,172,1315,14,95,4473,104,3300,104,879,12,74,672.49,1125.62,81350,90740,00180,1,1
10001000418,10,001,000418,6974,134,5717,134,860,141,67,4989,88,4045,88,606,108,54,750.07,1255.47,21200,90740,00190,1,1
10001000419,10,001,000419,4293,57,3942,57,253,23,16,3061,39,2785,39,167,17,14,460.2,770.29,33250,90740,00190,1,1
10001000420,10,001,000420,2863,23,2581,23,238,14,5,1958,15,1760,15,156,8,4,294.37,492.73,NA,90444,00180,1,1
10001000421,10,001,000421,3143,39,2625,39,432,15,29,2313,30,1922,30,297,9,25,347.75,582.06,74330,90444,00180,1,1
10001000422,10,001,000422,8940,266,7112,266,1427,30,103,6320,150,5120,150,809,21,70,950.18,1590.41,80895,90444,00180,1,1
10001000423,10,001,000423,892,17,853,17,15,2,5,695,9,663,9,10,2,2,104.49,174.89,7250,90444,00790,1,1
10001000424,10,001,000424,1298,5,1221,5,43,24,5,993,3,936,3,32,16,3,160.89,311.64,28440,92220,01080,1,1
10001000425,10,001,000425,2773,119,1697,119,907,16,34,2093,81,1323,81,571,13,24,314.67,526.7,47420,92220,01080,1,1
10001000426,10,001,000426,1516,14,1479,14,12,2,9,1195,8,1158,8,12,2,7,179.66,300.72,47420,92220,01080,1,1
10001000427,10,001,000427,1171,27,841,27,300,2,0,875,17,622,17,218,1,0,131.55,220.19,28440,92220,00790,1,1
10001000428,10,001,000428,4844,32,4258,32,529,9,16,3544,20,3125,20,360,6,13,532.82,891.84,26620,90888,00790,1,1
10001000429,10,001,000429,2952,33,2406,33,490,9,14,2143,22,1754,22,331,7,7,322.19,539.28,36760,91332,01080,1,1
10001000430,10,001,000430,3989,42,3265,42,667,2,13,2950,28,2473,28,407,2,12,443.52,742.36,33120,91332,00790,1,1
10001000431,10,001,000431,2077,9,1955,9,101,4,8,1522,4,1434,4,71,4,5,228.82,383.01,25840,91332,00790,1,1
10003000001,10,003,000001,621,84,203,84,327,2,4,570,63,183,63,257,2,2,117.02,167.98,77580,93996,00200,1,1
10003000002,10,003,000002,5680,66,2069,66,3471,5,51,4355,43,1724,43,2503,4,38,894.08,1283.45,77580,93996,01240,1,1
10003000003,10,003,000003,3425,82,1032,82,2288,7,10,2545,56,859,56,1559,7,8,522.49,750.03,77580,93996,01300,1,1
10003000004,10,003,000004,3275,74,1900,74,1265,10,20,2712,58,1610,58,962,8,16,556.78,799.25,77580,93996,01300,1,1
10003000005,10,003,000005,3760,115,620,115,3001,5,13,2806,81,545,81,2085,5,9,576.07,826.95,77580,93996,01300,1,1
10003000006,10,003,000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77580,93996,01300,1,1
10003000007,10,003,000007,1536,39,7,39,1489,1,0,832,18,7,18,788,1,0,170.81,245.2,77580,93996,00230,1,1
10003000008,10,003,000008,981,35,376,35,552,12,3,913,32,368,32,475,4,2,187.44,269.07,77580,93996,00200,1,1
10003000009,10,003,000009,2409,30,115,30,2255,5,0,1646,17,95,17,1513,4,0,337.92,485.09,77580,93996,00200,1,1
10003000010,10,003,000010,439,8,221,8,206,1,3,377,8,197,8,160,1,3,77.4,111.1,77580,93996,01300,1,1
10003000011,10,003,000011,3260,63,2954,63,212,4,25,3168,57,2836,57,191,4,23,650.39,933.64,77580,93996,01300,1,1
10003000012,10,003,000012,1710,29,1508,29,164,4,3,1512,22,1332,22,130,4,2,310.41,445.6,77580,93996,01300,1,1
10003000013,10,003,000013,3611,43,3522,43,30,0,14,2995,34,2895,34,21,0,11,614.88,882.65,77580,93996,01300,1,1
10003000014,10,003,000014,2264,148,1578,148,504,4,30,1989,106,1373,106,378,2,24,408.34,586.17,77580,93996,01300,1,1
10003000015,10,003,000015,2484,182,1155,182,1122,4,8,2076,133,1059,133,739,4,8,426.2,611.81,77580,93996,01300,1,1
10003000016,10,003,000016,2421,211,537,211,1652,5,2,1807,128,505,128,1039,5,2,370.98,532.54,77580,93996,00200,1,1
10003000017,10,003,000017,2975,143,114,143,2701,3,8,2153,93,105,93,1851,3,8,442.01,634.51,77580,93996,00200,1,1
10003000018,10,003,000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77580,93996,00230,1,1
10003000019,10,003,000019,1963,82,95,82,1780,1,1,1294,47,89,47,1109,1,1,265.66,381.35,77580,93996,00200,1,1
10003000020,10,003,000020,738,32,43,32,650,1,12,503,19,40,19,416,1,8,103.27,148.24,77580,93996,00200,1,1
10003000021,10,003,000021,2054,243,364,243,1424,10,5,1581,152,325,152,943,6,3,324.58,465.93,77580,93996,00200,1,1
10003000022,10,003,000022,3663,1605,206,1605,1837,6,6,3260,941,179,941,1191,4,4,669.28,960.75,77580,93996,01300,1,1
10003000023,10,003,000023,3486,951,576,951,1928,1,23,2880,535,507,535,1286,1,16,591.27,848.76,77580,93996,01300,1,1
10003000024,10,003,000024,4509,155,2991,155,1305,20,36,3659,101,2475,101,941,14,27,751.19,1078.34,77580,93996,01300,1,1
10003000025,10,003,000025,2824,171,2287,171,352,11,2,2294,109,1824,109,245,5,2,470.96,676.06,77580,93996,00200,1,1
10003000026,10,003,000026,3284,287,2530,287,462,1,4,2755,176,2092,176,308,0,3,565.6,811.92,77580,93996,00200,1,1
10003000027,10,003,000027,1625,66,1482,66,73,3,1,1262,31,1156,31,41,2,1,259.09,371.92,77580,93996,00200,1,1
10003000102,10,003,000102,2295,27,2149,27,97,3,17,1735,19,1615,19,68,2,12,356.2,511.32,NA,90148,01240,1,1
10003000103,10,003,000103,4292,66,3946,66,241,3,35,3288,39,3039,39,143,3,25,675.03,969,15310,90148,01240,1,1
10003000104,10,003,000104,4829,60,4419,60,274,5,71,3826,40,3521,40,167,5,53,785.48,1127.55,15310,90148,01240,1,1
10003000105,10,003,000105,3851,44,3226,44,531,12,29,3093,34,2631,34,363,11,20,634.99,911.53,23240,90148,01240,1,1
10003000106,10,003,000106,1265,2,1243,2,8,1,11,971,0,952,0,8,1,10,199.35,286.16,4650,90148,01240,1,1
