GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
12001000001,395,20,293,20,70,1,11,390,19,277,19,63,1,11,70.53,57.93,NA,25175,91248,00030,6,6
12001000002,4509,175,2419,175,1684,4,216,4132,168,2359,168,1221,3,213,747.23,613.77,NA,25175,91248,00030,6,4
12001000003,6016,211,4637,211,1069,15,81,5008,151,3890,151,736,14,66,905.64,743.89,NA,25175,91248,00030,6,6
12001000004,5426,136,3493,136,1729,14,43,3985,110,2735,110,989,8,33,720.64,591.94,NA,25175,91248,00030,6,4
12001000005,4327,103,3397,103,780,7,30,3647,88,2944,88,493,7,27,659.52,541.73,NA,25175,91248,00030,6,6
12001000006,4051,26,272,26,3734,7,9,2597,15,222,15,2335,3,7,469.64,385.76,NA,25175,91248,00030,6,4
12001000007,7747,60,1828,60,5831,13,5,5020,34,1393,34,3546,10,3,907.81,745.68,NA,25175,91248,00030,6,4
12001000008,7836,533,6046,533,674,11,563,7903,491,5783,491,612,9,517,1429.17,1173.92,NA,25175,91248,00030,6,6
12001000009,10242,759,6990,759,1224,12,1216,10015,625,6633,625,1131,10,991,1811.1,1487.64,NA,25175,91248,00030,6,6
12001000010,5898,286,5278,286,123,16,189,5397,248,4605,248,115,11,170,975.99,801.68,NA,25175,91248,00030,6,6
12001000011,7075,270,6386,270,138,10,269,5584,208,4882,208,95,9,182,1009.8,829.45,NA,25175,91248,00030,6,6
12001000012,10686,551,9107,551,717,12,284,8257,383,6811,383,456,10,214,1493.18,1226.5,NA,25175,91248,00030,6,6
12001000013,1469,48,780,48,634,5,1,1421,39,741,39,596,5,1,256.97,211.08,NA,25175,91248,00030,6,4
12001000014,3133,68,1699,68,1334,10,18,2201,52,1280,52,794,9,14,398.03,326.94,NA,25175,91248,00030,6,4
12001000015,16056,1033,12981,1033,1520,35,472,15635,968,12083,968,1153,27,436,2827.41,2322.44,NA,25175,91248,00030,6,6
12001000016,6015,338,5252,338,229,3,189,5580,289,4670,289,179,2,151,1009.08,828.86,NA,25175,91248,00030,6,6
12001000017,8769,353,7746,353,466,14,182,6856,258,5863,258,332,9,136,1239.83,1018.4,NA,25175,91248,00030,6,6
12001000020,5571,71,4357,71,1130,10,3,4136,53,3277,53,741,9,3,747.95,614.37,NA,29275,91469,00030,6,4
12001000021,2620,34,2061,34,516,7,2,2033,24,1590,24,387,6,2,367.64,301.98,NA,45225,92184,00030,6,6
12001001801,13858,223,10251,223,3299,30,52,9981,164,7497,164,2096,22,38,1804.95,1482.59,NA,30525,91495,00030,6,4
12001001803,4807,265,3780,265,628,9,119,3786,188,2943,188,376,8,83,684.66,562.38,NA,25175,91495,00030,6,6
12001001804,4341,123,3975,123,114,6,122,3284,95,2929,95,82,2,81,593.87,487.81,NA,375,91495,00030,6,6
12001001901,6624,63,5402,63,1141,4,13,4880,44,4045,44,734,4,9,882.49,724.88,NA,74925,93536,00030,6,6
12001001902,1189,32,627,32,520,1,4,840,21,527,21,268,1,2,151.9,124.77,NA,25175,91248,00030,6,4
12001002201,12977,257,10260,257,2382,29,43,9419,166,7526,166,1504,24,33,1703.32,1399.11,NA,48200,92314,00030,6,4
12001002203,4845,147,3820,147,830,9,32,3770,105,2999,105,528,8,25,681.76,560,NA,NA,91248,00030,6,6
12001002204,2649,54,2442,54,102,2,48,2063,34,1886,34,73,2,34,373.07,306.44,NA,NA,91248,00030,6,6
12001002205,12465,540,10111,540,1498,37,249,9560,369,7737,369,887,23,175,1728.82,1420.05,NA,NA,91248,00030,6,6
12003000401,10179,94,8955,94,1064,30,36,7137,73,6252,73,687,25,27,814.14,1433.65,NA,41950,92009,00060,7,7
12003000402,8307,106,6489,106,1674,28,8,5881,92,4445,92,1221,24,7,670.86,1181.35,NA,26075,93068,00060,7,3
12005000002,5371,50,5222,50,6,74,19,3913,28,3788,28,4,52,13,305.66,697.77,NA,41825,93172,00090,15,2
12005000003,3692,31,3566,31,24,46,24,2700,24,2589,24,18,30,15,332.78,611.84,NA,NA,93744,00090,7,3
12005000004,5038,53,4867,53,32,53,33,3647,25,3526,25,16,33,22,449.49,826.43,NA,NA,91989,00090,7,3
12005000005,2646,54,2359,54,176,20,37,1995,38,1744,38,137,14,24,245.88,452.08,NA,68275,92626,00090,7,3
12005000006,1012,20,980,20,7,2,3,864,14,826,14,5,2,3,67.49,154.07,NA,44300,92145,00090,15,3
12005000007,4321,263,3195,263,696,23,139,3004,176,2072,176,459,15,106,234.65,535.68,NA,72875,92145,00090,15,3
12005000008,14280,466,12002,466,1234,89,479,10606,301,8813,301,788,72,331,1307.19,2403.38,NA,9725,92626,00090,15,3
12005000009,4598,131,4049,131,277,33,101,3633,85,3180,85,182,25,76,447.77,823.26,NA,55075,92626,00090,15,3
12005000010,2533,16,1586,16,829,32,69,1866,10,1229,10,552,24,41,229.99,422.85,NA,68275,92626,00090,15,3
12005000011,5155,73,3761,73,1087,35,196,3478,50,2670,50,570,28,110,428.67,788.13,NA,68275,92626,00090,15,3
12005000012,1907,21,1701,21,120,25,40,1450,14,1320,14,65,15,22,178.71,328.58,NA,11150,92626,00090,15,3
12005000013,7526,93,6833,93,418,74,107,5458,66,4954,66,252,50,70,672.7,1236.81,NA,30575,92626,00090,15,3
12005000014,11358,111,10191,111,880,60,111,8396,78,7553,78,571,43,73,1034.81,1902.58,NA,41825,91989,00090,15,3
12005000015,8150,167,7577,167,248,45,111,6279,107,5766,107,198,30,71,773.89,1422.86,NA,54700,92626,00090,15,3
12005000016,4104,40,804,40,3184,11,64,2990,30,685,30,2206,5,34,368.52,677.55,NA,54700,92626,00090,15,3
12005000017,3110,5,1124,5,1891,11,74,2182,2,884,2,1240,8,46,268.93,494.45,NA,54700,92626,00090,15,3
12005000018,1797,24,1422,24,245,13,91,1305,13,1103,13,122,10,44,160.84,295.72,NA,54700,92626,00090,15,3
12005000019,4867,65,4625,65,129,18,30,3910,39,3724,39,67,14,27,481.91,886.03,NA,54700,92626,00090,15,3
12005000020,504,10,410,10,81,2,0,502,10,400,10,80,2,0,61.87,113.76,NA,54700,92626,00090,15,3
12005000021,1395,12,1267,12,95,10,8,1157,8,1059,8,68,6,8,142.6,262.18,NA,54700,92626,00090,15,3
