GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17001000001,4370,15,4299,15,36,11,9,3427,9,3380,9,18,6,5,348,733,62367,62380,NA,NA,33000,18,8
17001000003,595,0,572,0,21,1,1,594,0,572,0,20,1,1,148.45,280.8,62367,62380,NA,NA,33000,18,8
17001000004,4115,17,3610,17,440,15,4,2989,10,2684,10,270,12,3,746.99,1412.97,62367,62380,NA,NA,33000,18,8
17001000005,2708,11,2135,11,542,4,3,1972,6,1607,6,346,4,3,492.83,932.21,62367,62380,NA,NA,33000,18,8
17001000006,4054,15,3954,15,58,7,17,3034,6,2976,6,27,6,13,758.23,1434.24,62367,62380,NA,NA,33000,18,8
17001000007,1718,8,1580,8,106,6,17,1428,4,1332,4,74,5,9,356.87,675.05,62367,62380,NA,NA,33000,18,8
17001000008,3008,26,2842,26,106,7,20,2213,16,2116,16,48,7,10,553.05,1046.14,62367,62380,NA,NA,33000,18,8
17001000009,2918,17,2836,17,29,1,33,2155,9,2099,9,18,1,19,538.56,1018.72,62367,62380,NA,NA,33000,18,8
17001000011,5785,17,5657,17,44,3,60,4329,11,4240,11,29,2,36,253.95,669.73,62367,62380,NA,NA,33000,18,8
17001000101,4429,5,4420,5,0,3,0,3201,0,3200,0,0,1,0,174,368,48307,77057,NA,NA,25590,18,8
17001000102,3768,11,3752,11,0,2,3,2861,7,2843,7,0,2,2,36,89,10877,10890,NA,NA,08220,18,8
17001000103,5627,12,5594,12,9,8,4,3935,7,3910,7,3,6,2,163,291,58265,58278,NA,NA,22770,18,11
17001000104,3312,8,3279,8,17,3,2,2284,3,2267,3,9,2,0,116,267,15846,23412,NA,NA,33000,18,8
17001000105,2168,26,2119,26,13,2,8,1648,21,1589,21,9,2,6,138.89,358.12,62367,64408,NA,NA,33000,18,8
17001000106,5292,25,5230,25,17,6,14,3713,19,3656,19,8,4,7,217.82,574.43,62367,48203,NA,NA,30990,18,11
17001000201,1903,11,1823,11,63,2,2,1449,7,1380,7,51,2,2,122.11,314.88,62367,62380,NA,NA,33000,18,8
17001000202,3448,14,3244,14,156,5,26,2716,11,2550,11,120,5,19,678.76,1283.92,62367,62380,NA,NA,33000,18,8
17001001001,3599,21,3545,21,15,6,12,2678,11,2634,11,8,6,8,669.26,1265.95,62367,62380,NA,NA,33000,18,8
17001001002,3273,6,3238,6,12,5,12,2578,5,2550,5,8,1,9,151.23,398.84,62367,62380,NA,NA,33000,18,11
17003009576,2779,12,2551,12,208,5,3,2073,8,1929,8,120,5,3,92,150,74457,93402,NA,NA,13590,13,18
17003009577,2408,19,1988,19,397,2,2,1741,6,1480,6,245,2,2,27,53,74873,93420,NA,NA,13590,13,18
17003009578,2832,7,1612,7,1185,3,23,2021,7,1305,7,682,3,17,127,68,10383,90612,NA,NA,08070,13,18
17003009579,2607,16,874,16,1690,7,20,1756,9,731,9,990,4,13,956,867,10383,90612,NA,NA,08070,13,18
17005009512,3064,4,2868,4,187,3,2,2304,2,2171,2,125,3,1,236,272,51284,51297,NA,NA,27450,1,11
17005009513,4776,55,4493,55,203,10,9,3760,37,3542,37,130,7,7,701,1692,31589,12112,NA,NA,17730,1,11
17005009514,3185,13,3140,13,9,15,2,2396,6,2366,6,8,8,2,316,336,70525,69641,NA,NA,17730,1,11
17005009515,3966,8,3931,8,20,6,1,2901,8,2862,8,16,6,1,73,146,60872,9694,07010,04770,17730,1,11
17007000101,6382,699,5598,699,46,12,26,4942,395,4102,395,31,6,13,637.52,1503.95,5092,5105,NA,NA,05790,15,4
17007000102,5025,585,4385,585,15,4,33,4137,354,3392,354,7,4,26,533.67,1258.97,5092,5105,NA,NA,05790,15,4
17007000103,4809,482,4266,482,37,10,13,3766,284,3161,284,19,8,10,485.81,1146.07,5092,5105,NA,NA,05790,15,4
17007000104,3487,113,3353,113,7,6,7,2656,69,2502,69,5,6,5,83,223,5092,26441,NA,NA,05790,15,4
17007000105,4760,59,4636,59,12,3,50,3362,27,3278,27,6,1,23,162,491,NA,5105,NA,NA,05790,15,4
17007000106,6343,127,6183,127,4,10,18,4529,68,4372,68,2,7,12,187,386,11124,10435,NA,NA,28700,15,4
17009009704,2772,2,2758,2,1,8,3,2011,1,1998,1,1,7,3,53,122,77720,77733,NA,NA,27300,8,11
17009009705,3064,102,2416,102,539,4,2,2646,102,1899,102,538,4,1,436,769,51154,51167,NA,NA,27300,8,11
17011009647,3234,26,3201,26,1,6,0,2354,10,2330,10,1,3,0,142,341,12970,41807,29700,29730,21680,4,8
17011009648,3885,8,3870,8,0,6,1,2781,5,2768,5,0,2,1,98,215,78526,78539,40560,40590,24300,4,8
17011009649,2957,24,2917,24,0,8,6,2141,12,2107,12,0,6,4,53,186,61899,61912,32670,32700,NA,4,8
17011009650,4071,649,3304,649,12,13,93,3361,443,2409,443,8,10,48,466,384,19499,68562,22380,18030,12090,4,8
17011009651,3964,117,3828,117,0,1,18,3003,61,2869,61,0,1,11,914.75,865.09,40598,32265,21510,18030,NA,4,8
17011009652,3580,89,3455,89,18,3,15,2742,52,2617,52,9,3,9,835.25,789.91,72156,32265,37050,18030,12090,4,8
17011009653,3407,29,3351,29,9,7,11,2506,13,2465,13,2,4,9,416.3,1291.88,61899,61912,32670,32700,NA,4,8
17011009654,3353,29,3303,29,3,5,12,2683,19,2634,19,2,2,7,445.7,1383.12,61899,61912,32670,32700,NA,4,8
17011009655,3901,15,3851,15,5,12,18,2876,6,2839,6,3,10,12,77,212,75549,83635,43410,43440,39060,4,8
17011009656,3336,17,3309,17,2,0,8,2445,8,2421,8,2,0,6,80,225,69147,16028,43410,43440,07710,4,8
17013009512,2995,10,2962,10,1,8,14,2316,9,2283,9,1,8,6,93,123,38856,90360,NA,NA,18180,18,11
17013009513,2327,2,2324,2,0,0,1,1726,2,1721,2,0,0,1,196,238,4117,92988,NA,NA,18180,18,11
17015009601,3291,23,3252,23,5,2,9,2498,13,2464,13,2,1,5,100,418,41859,12996,NA,NA,00007,15,8
17015009602,2453,29,2382,29,31,5,4,1838,14,1781,14,20,5,4,45,109,67821,79020,NA,NA,35510,15,8
17015009603,3971,188,3678,188,64,12,29,3167,116,2867,116,45,6,17,606,816,67821,67834,NA,NA,35510,15,8
