GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
21001009701,21,001,009701,1343,3,1320,3,20,0,0,951,2,928,2,19,0,0,144.43,361.44,NA,90624,00030,4,1
21001009702,21,001,009702,1177,8,1128,8,41,0,0,906,6,862,6,32,0,0,137.59,344.33,NA,90552,00030,4,1
21001009703,21,001,009703,2514,7,2492,7,13,0,2,1883,5,1864,5,7,0,2,285.97,715.65,NA,93680,00030,4,1
21001009704,21,001,009704,6929,44,6518,44,342,7,15,5409,34,5061,34,261,7,12,821.46,2055.75,16750,90784,00030,4,1
21001009705,21,001,009705,2180,27,2114,27,34,2,2,1568,10,1514,10,30,2,2,238.13,595.93,NA,91432,00030,4,1
21001009706,21,001,009706,1217,0,1201,0,9,2,5,918,0,906,0,7,2,3,139.42,348.9,NA,91416,00030,4,1
21003009801,21,003,009801,2114,1,2102,1,7,3,1,1582,1,1571,1,6,3,0,227.17,496.94,NA,93136,00070,7,1
21003009802,21,003,009802,1584,2,1578,2,3,0,1,1086,2,1078,2,3,0,1,155.95,341.13,NA,91560,00070,7,1
21003009803,21,003,009803,3986,8,3892,8,80,1,4,2980,2,2910,2,63,0,3,427.93,936.07,69114,93112,00070,7,1
21003009804,21,003,009804,3406,0,3332,0,68,6,0,2536,0,2486,0,45,5,0,364.17,796.6,69114,93112,00070,7,1
21003009805,21,003,009805,1331,7,1314,7,7,1,0,988,4,973,4,6,1,0,141.88,310.35,NA,91760,00070,7,1
21003009806,21,003,009806,2207,6,2195,6,0,6,0,1601,3,1593,3,0,2,0,229.9,502.9,NA,90024,00070,7,1
21005009501,21,005,009501,4629,9,4234,9,376,1,9,3422,7,3125,7,278,0,5,617.41,1058.92,44146,91992,00120,6,6
21005009502,21,005,009502,5973,41,5893,41,31,1,7,4488,18,4427,18,22,0,3,809.74,1388.79,44146,91992,00120,6,6
21005009503,21,005,009503,1761,8,1739,8,8,2,4,1281,3,1267,3,4,2,2,231.12,396.4,NA,90064,00120,6,6
21005009504,21,005,009504,2208,10,2181,10,17,0,0,1567,10,1534,10,13,0,0,282.72,484.9,NA,90072,00120,6,6
21007009501,21,007,009501,3962,20,3767,20,162,10,3,3081,12,2929,12,117,8,3,1055.04,791.03,43336,91952,00210,3,1
21007009502,21,007,009502,1335,5,1313,5,16,1,0,1017,5,997,5,9,1,0,348.26,261.11,3718,90168,00210,3,1
21007009503,21,007,009503,2605,16,2522,16,62,2,3,1982,9,1921,9,39,2,2,678.7,508.87,83064,93696,00210,3,1
21009009501,21,009,009501,2794,14,2630,14,134,7,5,2080,10,1947,10,106,5,2,378.42,582.66,37234,91744,00300,7,2
21009009502,21,009,009502,3221,3,3012,3,201,1,3,2434,3,2283,3,142,1,2,442.82,681.82,13492,90640,01110,7,2
21009009503,21,009,009503,2047,9,1913,9,122,1,2,1521,6,1424,6,84,1,0,276.72,426.07,59232,90640,00300,7,2
21009009504,21,009,009504,5153,14,4365,14,761,3,10,3969,8,3401,8,545,2,5,722.09,1111.81,31114,91408,02220,7,2
21009009505,21,009,009505,3721,7,3570,7,114,7,21,2950,6,2831,6,88,6,13,536.7,826.36,31114,91408,02220,7,2
21009009506,21,009,009506,5335,14,5064,14,236,4,12,4002,9,3848,9,127,3,6,728.09,1121.05,31114,91408,02220,7,2
21009009507,21,009,009507,3864,5,3806,5,48,2,3,2861,5,2813,5,33,2,3,520.51,801.43,31114,91408,00300,7,2
21009009508,21,009,009508,2774,13,2735,13,24,2,0,2021,10,1981,10,18,2,0,367.68,566.13,NA,93464,00300,7,2
21009009509,21,009,009509,3022,9,2996,9,17,0,0,2239,5,2215,5,14,0,0,407.35,627.2,NA,93496,00300,7,2
21009009510,21,009,009510,2070,6,2037,6,21,4,2,1526,5,1492,5,19,3,2,277.63,427.47,NA,92944,00300,7,2
21011009701,21,011,009701,1780,8,1610,8,158,3,1,1326,6,1182,6,128,3,1,354.11,330.95,69852,93144,00330,1,6
21011009702,21,011,009702,5240,10,5106,10,115,3,3,3991,6,3895,6,78,3,3,1065.8,996.1,58710,92640,00330,1,6
21011009703,21,011,009703,2672,13,2653,13,1,1,3,1955,8,1936,8,1,0,2,522.09,487.94,68160,93056,00330,1,6
21013009601,21,013,009601,3323,8,3312,8,2,1,0,2302,8,2283,8,2,1,0,533.98,646.57,NA,92808,00390,4,5
21013009602,21,013,009602,5783,5,5666,5,105,0,7,4261,3,4167,3,84,0,4,988.39,1196.8,61248,92808,00390,4,5
21013009603,21,013,009603,2218,2,2214,2,0,2,0,1636,2,1630,2,0,2,0,379.49,459.51,NA,92808,00390,4,5
21013009604,21,013,009604,1959,5,1952,5,2,0,0,1415,3,1408,3,1,0,0,328.23,397.44,NA,93456,00390,4,5
21013009605,21,013,009605,2475,8,2398,8,54,3,12,1788,5,1735,5,34,3,6,414.75,502.2,51924,92304,04170,4,5
21013009606,21,013,009606,5286,22,4923,22,318,13,10,3994,10,3742,10,215,10,7,926.46,1121.81,51924,92304,04170,4,5
21013009607,21,013,009607,3238,6,2957,6,232,5,38,2422,4,2216,4,171,5,22,561.81,680.28,51924,92304,04170,4,5
21013009608,21,013,009608,3845,15,3785,15,30,4,11,2768,12,2714,12,18,3,9,642.07,777.46,51924,92304,00390,4,5
21013009609,21,013,009609,2053,2,2025,2,15,8,3,1419,2,1397,2,11,6,1,329.15,398.56,NA,91920,00390,4,5
21013009610,21,013,009610,1326,4,1273,4,46,1,2,1016,3,961,3,46,1,2,235.67,285.37,NA,92864,00390,4,5
21015000701,21,015,000701,6707,33,6550,33,57,5,59,5128,23,4996,23,38,5,43,641.6,1590.82,27982,91272,00510,2,4
21015000702,21,015,000702,7138,60,6930,60,64,6,72,5339,42,5157,42,44,5,49,668,1656.27,27982,91272,00510,2,4
21015000704,21,015,000704,5589,11,5557,11,10,3,8,3958,10,3925,10,9,2,2,495.21,1227.86,NA,91680,00510,2,4
21015070301,21,015,070301,3035,14,2988,14,14,5,14,2096,9,2057,9,10,4,7,262.24,650.22,27982,91272,00510,2,4
21015070304,21,015,070304,2972,10,2927,10,12,7,13,2252,7,2217,7,8,7,6,281.76,698.62,27982,91272,00510,2,4
21015070397,21,015,070397,5207,18,5130,18,18,2,38,3595,9,3538,9,10,2,27,449.79,1115.25,27982,91272,00510,2,4
21015070398,21,015,070398,9070,103,8782,103,67,16,102,6289,60,6041,60,45,10,73,786.86,1950.98,27982,91272,00510,2,4
21015070501,21,015,070501,5123,40,4995,40,50,9,27,3417,24,3304,24,41,6,18,427.52,1060.03,11170,90440,00510,2,4
21015070502,21,015,070502,3635,4,3617,4,8,4,2,2479,1,2467,1,5,3,2,310.16,769.04,NA,90440,00510,2,4
21015070601,21,015,070601,1813,12,1793,12,1,2,5,1221,8,1199,8,0,2,4,152.77,378.78,78384,93592,00510,2,4
21015070602,21,015,070602,7300,13,7196,13,55,26,9,5100,8,5013,8,48,18,5,638.09,1582.13,80490,93592,05700,2,4
21017000301,21,017,000301,4559,15,3634,15,905,4,1,3431,12,2730,12,673,4,0,656.42,859.32,59196,92680,04710,6,6
21017000302,21,017,000302,4971,17,4399,17,531,8,16,3629,9,3240,9,354,7,10,694.3,908.91,59196,92680,04710,6,6
21017000303,21,017,000303,2564,19,2486,19,50,3,4,1917,11,1855,11,35,2,3,366.76,480.13,59196,92680,00540,6,6
21017000304,21,017,000304,2349,18,2287,18,37,1,1,1754,16,1689,16,31,1,1,335.57,439.3,59196,92680,00540,6,6
21017000305,21,017,000305,2566,9,2474,9,79,1,0,1895,6,1819,6,63,1,0,362.55,474.62,52302,92328,00540,6,6
21017000306,21,017,000306,2227,3,2165,3,56,2,1,1612,1,1563,1,44,2,1,308.41,403.74,56820,92576,00540,6,6
21019000301,21,019,000301,138,5,129,5,4,0,0,132,5,118,5,4,0,0,31.37,32.9,2368,90104,00150,1,4
21019000302,21,019,000302,1342,4,1126,4,205,0,2,1147,4,970,4,167,0,2,272.57,285.88,2368,90104,00150,1,4
21019000303,21,019,000303,2868,2,2692,2,153,0,19,2251,2,2132,2,101,0,14,534.93,561.04,2368,90104,00150,1,4
21019000304,21,019,000304,2520,17,2473,17,26,1,3,1879,6,1851,6,13,1,2,446.53,468.33,2368,90104,00150,1,4
21019000305,21,019,000305,4581,3,4524,3,41,3,10,3645,3,3599,3,30,3,7,866.2,908.49,2368,90104,00150,1,4
21019000306,21,019,000306,4338,13,4264,13,45,5,11,3452,6,3396,6,32,3,9,820.33,860.38,2368,90104,00150,1,4
21019000307,21,019,000307,3588,2,3523,2,55,2,5,2824,2,2775,2,39,2,4,671.1,703.86,2368,90104,00150,1,4
21019000308,21,019,000308,4256,14,4153,14,61,7,19,3106,8,3036,8,38,5,11,738.11,774.14,2368,90104,00150,1,4
21019000309,21,019,000309,6203,13,6154,13,15,4,17,4787,8,4744,8,11,4,12,1137.58,1193.12,82146,90104,01800,1,4
21019000310,21,019,000310,7907,350,7147,350,353,25,31,6429,343,5349,343,347,23,24,1527.79,1602.38,2368,90112,00620,1,4
21019000311,21,019,000311,7073,16,7019,16,11,9,16,5196,12,5148,12,9,5,10,1234.78,1295.06,NA,90576,00620,1,4
21019000312,21,019,000312,3373,0,3363,0,5,0,5,2452,0,2445,0,2,0,5,582.69,611.14,13420,90632,00620,1,4
21019000313,21,019,000313,2963,4,2955,4,3,0,1,2264,1,2258,1,3,0,1,538.02,564.28,13420,90632,00620,1,4
