GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
23001000101,23,001,000101,1980,34,1917,34,17,2,7,1592,26,1522,26,12,2,4,374.28,434.51,NA,2060,2060,NA,NA,02610,2,2
23001000102,23,001,000102,4723,18,4591,18,28,14,68,3602,13,3510,13,13,8,45,846.83,983.1,NA,2060,2060,NA,NA,02610,2,2
23001000103,23,001,000103,2942,13,2880,13,23,4,18,2120,9,2068,9,15,4,15,498.41,578.62,NA,2060,2060,NA,NA,02610,2,2
23001000104,23,001,000104,2193,15,2161,15,4,3,9,1728,6,1703,6,3,3,7,406.25,471.63,NA,2060,2060,NA,NA,02610,2,2
23001000105,23,001,000105,2333,13,2292,13,15,11,1,1705,7,1673,7,7,10,1,400.85,465.35,NA,2060,2060,NA,NA,02610,2,2
23001000106,23,001,000106,2978,4,2961,4,4,3,6,2194,2,2185,2,1,3,1,515.81,598.81,NA,2060,2060,NA,NA,02610,2,2
23001000107,23,001,000107,2882,22,2823,22,11,6,20,2173,16,2117,16,5,5,14,510.87,593.08,NA,2060,2060,NA,NA,02610,2,2
23001000108,23,001,000108,4278,13,4214,13,10,7,34,3125,9,3077,9,2,7,21,734.69,852.91,NA,2060,2060,NA,NA,02610,2,2
23001000201,23,001,000201,1648,18,1594,18,25,5,4,1246,11,1207,11,10,3,4,344.42,238,NA,38740,38740,NA,NA,07320,2,2
23001000202,23,001,000202,1537,23,1487,23,9,1,15,1211,19,1157,19,6,0,10,334.74,231.32,NA,38740,38740,NA,NA,07320,2,2
23001000203,23,001,000203,7435,55,7218,55,64,23,71,6270,43,6052,43,48,20,64,1733.14,1197.65,NA,38740,38740,NA,NA,07320,2,2
23001000204,23,001,000204,4365,52,4160,52,78,30,29,2989,23,2867,23,34,23,19,826.21,570.94,NA,38740,38740,NA,NA,07320,2,2
23001000205,23,001,000205,4116,21,4072,21,4,4,15,3260,11,3222,11,2,4,10,901.12,622.7,NA,38740,38740,NA,NA,07320,2,2
23001000206,23,001,000206,2906,10,2883,10,4,1,8,2282,9,2256,9,1,1,6,630.79,435.89,NA,38740,38740,NA,NA,07320,2,2
23001000207,23,001,000207,5146,26,5069,26,17,6,26,4113,21,4036,21,13,6,16,1136.91,785.64,NA,38740,38740,NA,NA,07320,2,2
23001000208,23,001,000208,7704,50,7583,50,32,7,32,5673,27,5573,27,17,4,25,1568.12,1083.61,NA,38740,38740,NA,NA,07320,2,2
23001000209,23,001,000209,4900,29,4765,29,25,14,61,3844,22,3724,22,22,8,46,1062.55,734.25,NA,38740,38740,NA,NA,07320,2,2
23001000301,23,001,000301,4508,37,4427,37,15,12,13,3299,20,3224,20,12,10,13,700.62,759.01,NA,NA,40035,NA,NA,07530,2,2
23001000302,23,001,000302,4949,54,4818,54,16,21,35,3538,34,3427,34,11,15,17,751.38,813.99,NA,40105,40035,NA,NA,07530,2,2
23001000400,23,001,000400,2842,9,2817,9,9,3,4,2023,6,2000,6,6,2,3,470,539,NA,NA,19105,NA,NA,05190,2,2
23001000410,23,001,000410,4342,10,4297,10,13,8,13,3070,8,3040,8,3,5,6,580,861,NA,NA,60020,NA,NA,09870,2,2
23001000415,23,001,000415,4583,12,4564,12,1,4,2,3254,8,3233,8,0,3,2,182,394,NA,44620,44585,NA,NA,08100,2,2
23001000420,23,001,000420,4315,137,4145,137,14,8,11,3090,90,2892,90,8,3,7,514,849,NA,NA,77800,NA,NA,14160,2,2
23001000430,23,001,000430,1950,13,1925,13,5,3,4,1446,8,1423,8,3,2,2,444,410,NA,NA,40665,NA,NA,11400,2,2
23001000440,23,001,000440,3455,37,3395,37,3,14,6,2523,19,2470,19,1,9,5,755,455,NA,40805,40770,NA,NA,11400,2,2
23001000450,23,001,000450,1669,20,1630,20,6,5,8,1149,9,1122,9,2,3,4,257,310,NA,NA,38565,NA,NA,14160,2,2
23001000460,23,001,000460,3661,22,3622,22,8,2,7,2614,14,2580,14,2,1,3,536,731,NA,NA,29255,NA,NA,14160,2,2
23001000465,23,001,000465,4919,13,4882,13,3,8,12,3460,7,3432,7,1,5,8,583,602,NA,NA,64570,13410,07570,NA,2,2
23003009501,23,003,009501,2280,7,2248,7,12,10,3,1718,3,1700,3,6,5,1,70,63,NA,NA,11335,NA,NA,11010,2,2
23003009502,23,003,009502,3603,4,3575,4,3,11,7,2744,1,2729,1,2,6,5,191,38,NA,78535,78570,NA,NA,11010,2,2
23003009503,23,003,009503,4803,4,4777,4,3,8,11,3659,3,3638,3,1,5,9,1209,506,NA,42485,42520,NA,NA,07800,2,2
23003009504,23,003,009504,2257,2,2252,2,2,1,0,1620,1,1617,1,0,1,0,255,97,NA,NA,26735,NA,NA,11310,2,2
23003009505,23,003,009505,564,0,559,0,1,4,0,441,0,439,0,1,1,0,55,86,NA,NA,73472,NA,NA,82001,2,2
23003009506,23,003,009506,4268,10,4228,10,8,12,10,3121,5,3089,5,7,7,8,1050,601,NA,25720,25755,NA,NA,11100,2,2
23003009507,23,003,009507,2951,3,2931,3,1,11,5,2163,2,2144,2,0,10,5,137,63,NA,NA,79865,NA,NA,11100,2,2
23003009508,23,003,009508,404,0,403,0,0,1,0,312,0,311,0,0,1,0,71,158,NA,NA,53602,NA,NA,82001,2,2
23003009509,23,003,009509,2437,2,2414,2,3,14,4,1813,2,1797,2,2,8,2,255,296,NA,NA,1710,NA,NA,11280,2,2
23003009510,23,003,009510,3920,17,3886,17,5,11,1,2835,5,2815,5,2,7,1,33,104,NA,NA,80285,NA,NA,11700,2,2
23003009511,23,003,009511,2724,10,2691,10,0,22,1,2004,8,1974,8,0,13,1,164,483,NA,NA,43255,NA,NA,10860,2,2
23003009512,23,003,009512,2999,8,2903,8,15,44,29,2282,4,2207,4,15,33,19,317.58,559.52,NA,10565,10565,NA,NA,03960,2,2
23003009513,23,003,009513,3988,7,3876,7,21,53,31,2974,4,2899,4,15,31,21,413.88,729.2,NA,10565,10565,NA,NA,03960,2,2
23003009514,23,003,009514,2428,27,2357,27,14,22,8,1865,18,1800,18,8,14,7,259.54,457.28,NA,10565,10565,NA,NA,03960,2,2
23003009515,23,003,009515,7844,299,6662,299,668,49,159,6125,218,5038,218,493,39,119,208.85,376.41,NA,41260,39300,NA,NA,07380,2,2
23003009516,23,003,009516,2093,21,1978,21,50,18,23,1588,13,1496,13,41,11,14,54.15,97.59,NA,39265,39300,NA,NA,07380,2,2
23003009517,23,003,009517,5289,16,5219,16,4,47,3,3861,10,3818,10,1,21,1,686,971,NA,25650,25615,NA,NA,10890,2,2
23003009518,23,003,009518,4283,8,4214,8,5,31,22,3097,4,3053,4,4,18,14,440.66,863.5,NA,60825,60825,NA,NA,10860,2,2
23003009519,23,003,009519,2800,14,2757,14,13,10,3,2167,9,2134,9,6,7,2,308.33,604.2,NA,60825,60825,NA,NA,10860,2,2
23003009520,23,003,009520,3467,44,3312,44,39,39,33,2734,20,2620,20,26,26,22,389.01,762.29,NA,60825,60825,NA,NA,10860,2,2
23003009521,23,003,009521,3197,1,3160,1,6,27,3,2367,1,2340,1,2,20,3,59,125,NA,43745,43710,NA,NA,11610,2,2
23003009522,23,003,009522,122,0,119,0,0,3,0,95,0,93,0,0,2,0,638,1029,NA,NA,11785,NA,NA,82001,2,2
23003009523,23,003,009523,2475,13,2413,13,0,48,1,1820,4,1786,4,0,26,0,75,235,NA,NA,40595,NA,NA,11160,2,2
23003009524,23,003,009524,3995,4,3859,4,6,118,8,2995,1,2926,1,2,61,4,415.27,965.14,NA,33945,33980,NA,NA,11160,2,2
23003009525,23,003,009525,2618,4,2492,4,13,91,18,1967,1,1902,1,4,46,13,272.73,633.86,NA,33945,33980,NA,NA,11160,2,2
23003009526,23,003,009526,3081,16,3015,16,10,37,3,2222,5,2183,5,7,21,1,51,144,NA,NA,48960,NA,NA,14762,2,2
23003009527,23,003,009527,2873,6,2840,6,2,21,4,2062,3,2043,3,1,10,2,6,18,NA,NA,67790,NA,NA,12410,2,2
23003009528,23,003,009528,1131,3,1116,3,0,12,0,826,3,814,3,0,6,0,3,2,NA,NA,69930,NA,NA,82001,2,2
23003009529,23,003,009529,2042,4,2013,4,5,15,5,1452,3,1434,3,0,9,3,43,67,NA,NA,33385,NA,NA,14762,2,2
23005000000,23,005,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,60545,60545,NA,NA,03930,1,1
23005000001,23,005,000001,2561,25,2422,25,74,8,28,2040,13,1943,13,48,7,16,542.43,355.91,NA,60545,60545,NA,NA,09930,1,1
23005000002,23,005,000002,2762,39,2639,39,49,11,14,2225,27,2118,27,35,7,11,591.63,388.19,NA,60545,60545,NA,NA,09930,1,1
23005000003,23,005,000003,331,5,312,5,12,1,1,272,4,253,4,9,1,1,72.32,47.45,NA,60545,60545,NA,NA,09930,1,1
23005000004,23,005,000004,2918,35,2776,35,35,21,49,2798,32,2644,32,29,19,42,743.99,488.16,NA,60545,60545,NA,NA,09930,1,1
23005000005,23,005,000005,2289,34,2161,34,44,19,30,1543,17,1448,17,32,14,15,410.28,269.2,NA,60545,60545,NA,NA,09930,1,1
23005000006,23,005,000006,799,14,736,14,7,6,36,672,11,613,11,7,5,25,178.68,117.24,NA,60545,60545,NA,NA,09930,1,1
23005000009,23,005,000009,1645,14,1522,14,35,10,60,1416,13,1321,13,22,7,40,376.51,247.04,NA,60545,60545,NA,NA,09930,1,1
23005000010,23,005,000010,2644,38,2397,38,69,26,112,2308,31,2099,31,55,20,72,613.69,402.67,NA,60545,60545,NA,NA,09930,1,1
23005000011,23,005,000011,2441,30,2317,30,26,13,55,2200,25,2084,25,17,10,39,584.98,383.83,NA,60545,60545,NA,NA,09930,1,1
23005000012,23,005,000012,1656,11,1579,11,17,11,35,1275,6,1216,6,14,11,22,339.02,222.44,NA,60545,60545,NA,NA,09930,1,1
23005000013,23,005,000013,2053,16,1997,16,21,8,11,1796,16,1733,16,16,7,8,477.55,313.34,NA,60545,60545,NA,NA,09930,1,1
23005000014,23,005,000014,1304,18,1189,18,50,18,29,1098,12,995,12,44,15,20,291.96,191.56,NA,60545,60545,NA,NA,09930,1,1
23005000015,23,005,000015,3315,20,3186,20,18,8,74,2846,17,2730,17,18,6,58,756.75,496.53,NA,60545,60545,NA,NA,09930,1,1
23005000016,23,005,000016,1758,9,1690,9,24,9,26,1358,6,1304,6,15,8,19,361.09,236.93,NA,60545,60545,NA,NA,09930,1,1
23005000017,23,005,000017,4572,29,4417,29,17,10,94,3604,20,3483,20,14,7,60,958.3,628.78,NA,60545,60545,NA,NA,09930,1,1
23005000018,23,005,000018,3785,17,3718,17,19,6,25,3092,14,3034,14,10,4,16,822.16,539.45,NA,60545,60545,NA,NA,09930,1,1
23005000019,23,005,000019,4581,46,4448,46,21,21,44,3651,28,3528,28,17,17,33,970.8,636.98,NA,60545,60545,NA,NA,09930,1,1
23005000022,23,005,000022,4162,15,4078,15,23,4,37,3425,11,3357,11,13,4,29,910.7,597.55,NA,60545,60545,NA,NA,09930,1,1
23005000023,23,005,000023,3520,27,3343,27,38,18,94,2763,20,2634,20,26,11,52,734.68,482.05,NA,60545,60545,NA,NA,09930,1,1
23005000024,23,005,000024,1091,4,1078,4,3,2,3,846,2,839,2,2,0,1,224.95,147.6,NA,60545,60545,NA,NA,09930,1,1
23005000026,23,005,000026,3517,5,3464,5,28,10,10,2680,3,2646,3,13,7,8,694.37,691.3,NA,82105,82105,NA,NA,13560,1,1
23005000027,23,005,000027,3836,27,3763,27,23,10,13,2899,15,2843,15,13,3,10,751.11,747.79,NA,82105,82105,NA,NA,13560,1,1
23005000028,23,005,000028,2978,17,2897,17,16,3,45,2263,9,2205,9,8,2,30,586.33,583.74,NA,82105,82105,NA,NA,13560,1,1
23005000029,23,005,000029,5790,29,5684,29,30,17,22,4393,15,4315,15,17,14,17,1138.19,1133.17,NA,82105,82105,NA,NA,13560,1,1
23005000030,23,005,000030,6384,73,6173,73,31,26,81,4789,40,4615,40,24,13,57,1278.74,1245.69,NA,71990,71990,NA,NA,12330,1,1
23005000031,23,005,000031,3641,28,3536,28,12,14,48,2862,22,2770,22,7,11,30,764.2,744.45,NA,71990,71990,NA,NA,12330,1,1
23005000032,23,005,000032,3026,14,2980,14,6,2,24,2473,11,2428,11,4,2,17,660.33,643.26,NA,71990,71990,NA,NA,12330,1,1
23005000033,23,005,000033,2630,12,2557,12,7,8,44,2027,10,1969,10,4,6,28,541.24,527.25,NA,71990,71990,NA,NA,12330,1,1
23005000034,23,005,000034,3939,19,3888,19,1,6,24,3027,10,2993,10,1,4,9,808.26,787.37,NA,71990,71990,NA,NA,12330,1,1
23005000035,23,005,000035,2257,16,2197,16,7,6,26,1823,11,1774,11,7,6,14,486.77,474.19,NA,71990,71990,NA,NA,12330,1,1
23005000036,23,005,000036,1244,3,1233,3,1,0,7,942,1,936,1,1,0,3,251.53,245.03,NA,71990,71990,NA,NA,12330,1,1
23005000038,23,005,000038,5993,26,5898,26,11,4,52,4563,18,4487,18,6,3,31,923.19,1519.25,NA,NA,66145,NA,NA,10530,1,1
23005000039,23,005,000039,6525,15,6457,15,19,7,27,5006,12,4941,12,15,6,20,1012.81,1666.75,NA,66110,66145,NA,NA,10530,1,1
23005000041,23,005,000041,4295,14,4246,14,8,12,11,3066,8,3030,8,5,8,7,616.3,939.11,NA,40367,28240,NA,NA,06060,1,1
23005000042,23,005,000042,5867,28,5797,28,7,11,21,4285,18,4228,18,4,7,10,535.78,1215.07,NA,15500,15430,NA,NA,14240,1,1
23005000045,23,005,000045,6905,31,6821,31,19,21,13,5263,18,5199,18,10,10,8,1317,1611,NA,26490,26525,NA,NA,05820,1,1
23005000046,23,005,000046,2398,4,2379,4,3,4,8,1723,2,1711,2,2,3,3,399,605,NA,87810,53860,NA,NA,14240,1,1
23005000047,23,005,000047,5904,27,5828,27,15,8,26,4318,17,4255,17,10,5,14,818,1331,NA,NA,28870,NA,NA,10710,1,1
