GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school_elm,school,cd_1980,cd_1990
26001000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,02160,9,6
26001009801,2290,12,2248,12,8,16,6,1820,7,1784,7,8,11,3,108,123,NA,36860,37380,NA,02160,9,6
26001009802,1405,4,1398,4,0,2,1,1204,4,1193,4,0,2,1,152,233,NA,NA,1040,NA,02160,9,6
26001009803,882,7,864,7,0,9,2,705,2,691,2,0,8,2,49,77,NA,NA,54740,NA,02160,9,6
26001009804,2917,18,2872,18,3,18,6,2174,10,2140,10,1,11,2,94,128,NA,47560,53880,NA,02160,9,6
26001009805,1177,4,1165,4,0,5,3,964,1,956,1,0,4,2,202,163,NA,NA,19320,NA,26970,9,6
26001009806,1474,10,1440,10,12,6,5,1164,5,1135,5,11,4,4,192,264,NA,NA,34820,NA,26970,9,6
26003000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,03660,24810,9,1
26003009801,3591,28,3199,28,207,143,14,2770,18,2443,18,204,75,12,137,142,71757,56200,11960,NA,24810,9,1
26003009802,3530,4,3384,4,2,135,4,2614,2,2524,2,2,83,1,150.83,119.35,71757,56200,4460,03660,24810,9,1
26003009803,1851,11,1809,11,2,23,6,1372,5,1346,5,0,15,1,79.17,62.65,NA,14940,56220,03660,00019,9,1
26005000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,15510,14230,5,2
26005000301,5362,373,4822,373,73,11,78,4204,231,3662,231,36,10,34,293.13,1018.13,NA,38640,38640,NA,18420,5,2
26005000303,4966,115,4787,115,10,32,19,3384,62,3227,62,7,16,10,209,465,NA,NA,71100,NA,17400,8,2
26005000305,5388,78,5228,78,8,65,9,3837,44,3697,44,6,41,5,301,372,NA,84880,84900,NA,35550,8,2
