GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29001009501,3304,7,3282,7,6,3,6,2395,6,2372,6,3,3,5,352.71,719.97,8002,65540,NA,16740,5,9
29001009502,2742,14,2713,14,1,10,3,2066,7,2040,7,1,10,1,304.26,621.07,53534,52526,NA,22980,5,9
29001009503,2818,17,2729,17,28,4,38,2280,12,2192,12,25,3,36,335.77,685.4,39026,4546,NA,16740,5,9
29001009504,3796,22,3719,22,12,6,37,2838,14,2768,14,10,4,28,417.95,853.14,39026,4546,NA,16740,5,9
29001009505,6502,76,6313,76,44,15,54,5148,57,4949,57,29,8,48,758.14,1547.55,39026,4546,NA,16740,5,9
29001009506,980,5,935,5,15,0,24,959,5,910,5,15,0,24,141.23,288.29,39026,4546,NA,16740,5,9
29001009507,1373,11,1285,11,57,0,19,1379,11,1281,11,57,0,19,203.08,414.54,39026,4546,NA,16740,5,9
29001009508,647,6,631,6,7,0,2,652,6,631,6,7,0,2,96.02,196,39026,4546,NA,16740,5,9
29001009509,2415,24,2312,24,43,1,35,2036,11,1944,11,38,1,31,299.84,612.05,39026,4546,NA,16740,5,9
29003000101,4586,49,4488,49,28,16,5,3326,31,3229,31,20,10,5,60,188,16802,36710,04080,27570,6,6
29003000102,5446,33,5382,33,2,18,11,4041,21,3982,21,2,11,4,920,1356,66044,52688,NA,27570,6,6
29003000103,1685,7,1675,7,0,1,2,1233,5,1220,5,0,1,2,83,142,1018,42572,NA,27570,6,6
29003000104,2915,14,2892,14,0,4,5,2145,8,2121,8,0,4,4,355,671,6922,4564,04080,22710,6,6
29005009501,4395,90,4200,90,81,7,12,3512,78,3261,78,76,7,12,316,691,72340,72358,31770,29940,6,6
29005009502,3062,14,3038,14,1,7,2,2349,7,2327,7,1,5,2,761,1069,62696,14284,NA,26790,6,6
29007009501,2935,9,2584,9,326,0,15,2286,5,2050,5,216,0,10,850,916,75688,17686,NA,30780,5,9
29007009502,5139,16,5087,16,20,11,5,3782,13,3731,13,12,11,2,105,162,39602,59474,NA,10020,5,9
29007009503,2741,6,2733,6,1,0,1,1796,5,1784,5,1,0,1,497.35,710.21,12898,80152,NA,08400,5,9
29007009504,3011,7,2651,7,331,8,11,2302,5,2045,5,234,6,7,637.47,910.3,47648,68744,NA,20810,5,9
29007009505,3750,15,3578,15,128,1,28,2848,11,2719,11,90,1,16,788.67,1126.21,47648,65558,NA,20810,5,9
29007009506,2477,10,2296,10,148,7,16,1724,4,1630,4,73,5,8,477.41,681.74,47648,65558,NA,20810,5,9
29007009507,3546,18,3047,18,463,6,7,2687,6,2361,6,308,2,4,744.09,1062.54,47648,65558,NA,20810,5,9
29009009601,4651,38,4587,38,1,23,2,3483,17,3429,17,0,19,1,181,357,13000,67250,28200,08170,2,7
29009009602,5292,16,5193,16,2,66,14,3788,10,3718,10,1,38,11,595.21,1553,60176,60194,16260,25620,2,7
29009009603,5020,12,4932,12,0,48,28,3804,9,3737,9,0,35,14,468,1282,49196,49214,NA,21120,2,7
29009009604,5946,49,5819,49,20,54,4,4350,30,4232,30,18,38,2,137,228,66530,23140,NA,28710,2,7
29009009605,4749,28,4638,28,0,58,24,3588,16,3514,16,0,33,9,563.79,1471,11890,24436,NA,08170,2,7
29009009606,1889,9,1861,9,1,17,1,1645,8,1614,8,1,13,1,268,478,22250,79522,28200,08170,2,7
29011009601,2873,11,2820,11,0,34,7,2119,7,2077,7,0,24,4,108,414,27676,27694,NA,12930,4,7
29011009602,3633,10,3561,10,6,53,3,2619,5,2577,5,2,28,2,52,190,41906,55748,NA,18510,4,7
29011009603,4806,36,4732,36,5,15,18,3618,19,3551,19,5,13,11,529,1321,40376,13897,NA,17850,4,7
29013009701,4081,31,4034,31,2,12,1,2981,11,2946,11,2,10,1,149,182,244,18766,15240,02850,4,4
29013009702,3729,27,3678,27,2,21,1,2733,10,2692,10,2,18,1,493.22,681.99,25372,33310,NA,20820,4,4
29013009703,4361,19,4213,19,103,19,5,3318,9,3205,9,81,11,3,598.79,827.97,10054,50546,NA,06360,4,4
