GEOID,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
28001000001,5746,36,3795,36,1896,11,8,3963,24,2680,24,1224,9,2,1224.79,1374.84,NA,50440,91485,03030,4,5
28001000002,4677,11,1054,11,3606,3,3,3137,6,782,6,2338,2,3,969.51,1088.29,NA,50440,92223,03030,4,5
28001000003,3174,4,118,4,3046,3,3,2300,4,89,4,2198,3,2,710.83,797.91,NA,50440,92223,03030,4,5
28001000004,4269,18,119,18,4130,1,0,2758,13,108,13,2623,1,0,852.38,956.8,NA,50440,91485,03030,4,5
28001000005,4115,9,3342,9,745,9,10,2996,7,2516,7,451,7,8,925.93,1039.37,NA,50440,92961,03030,4,5
28001000006,2605,11,2272,11,305,7,10,2067,11,1827,11,205,6,7,638.82,717.08,NA,50440,90747,03030,4,5
28001000007,2318,19,1420,19,872,2,5,1806,14,1171,14,603,2,2,558.15,626.54,NA,50440,90009,03030,4,5
28001000008,3767,11,1387,11,2357,2,7,2557,6,1035,6,1504,2,4,790.26,887.07,NA,50440,90009,03030,4,5
28001000009,4683,32,4430,32,205,0,16,3635,24,3401,24,174,0,12,1123.42,1261.05,NA,50440,90009,03030,4,5
28001000899,2,1,1,1,0,0,0,3,1,1,1,0,0,0,0.93,1.04,NA,NA,90009,03030,4,5
28003009501,4773,23,4697,23,33,1,19,3476,11,3426,11,17,1,10,604.45,859.54,NA,15700,90018,00390,1,2
28003009502,6117,36,5502,36,562,4,12,4740,23,4306,23,379,3,6,824.25,1172.11,NA,15700,92970,01260,1,2
28003009503,3198,11,2887,11,295,2,3,2563,9,2359,9,183,1,2,445.69,633.78,NA,15700,92970,01260,1,2
28003009504,4248,2,4237,2,5,1,3,3168,2,3156,2,4,1,3,550.89,783.38,NA,38360,92970,00390,1,2
28003009505,6332,30,4117,30,2167,3,11,4643,18,3191,18,1406,3,7,807.38,1148.12,NA,15700,92232,01260,1,2
28003009506,3500,12,3476,12,0,10,2,2490,5,2474,5,0,4,2,432.99,615.73,NA,NA,90756,00390,1,2
28003009507,3554,13,3072,13,467,1,1,2630,10,2287,10,321,1,1,457.34,650.35,NA,62560,91494,00390,1,2
28005009501,4234,5,2823,5,1396,6,4,3115,3,2189,3,911,6,3,891.23,1121.95,NA,40640,92241,00420,4,5
28005009502,4136,9,2314,9,1810,2,1,2912,4,1776,4,1126,1,1,833.15,1048.84,NA,27820,91503,00420,4,5
28005009503,4958,19,2115,19,2820,3,1,3410,12,1567,12,1815,3,1,975.63,1228.21,NA,12740,92979,00420,4,5
28007009501,2795,3,2016,3,775,1,0,2083,2,1561,2,518,0,0,486.65,723.71,NA,23220,90774,00510,3,4
28007009502,2141,6,1672,6,459,4,0,1539,5,1231,5,297,1,0,359.56,534.71,NA,38320,91512,00510,3,3
28007009503,3787,14,1567,14,2197,7,2,2638,9,1208,9,1407,3,2,616.32,916.54,NA,64800,92250,00510,2,3
28007009504,2586,13,1700,13,863,9,1,1929,5,1328,5,587,3,1,450.67,670.21,47980,38320,92988,00510,3,4
28007009505,4072,12,2263,12,1777,4,14,3004,6,1809,6,1173,2,8,701.83,1043.71,NA,38320,92988,02340,3,4
28007009506,3100,10,1885,10,1189,7,9,2277,8,1494,8,758,3,6,531.98,791.12,NA,38320,91512,02340,3,4
28009009501,5915,22,3006,22,2882,4,1,4116,12,2355,12,1733,3,1,1246.7,1196.63,NA,2140,91521,00600,1,2
28009009502,2131,15,1843,15,271,1,1,1556,12,1371,12,159,1,1,471.3,452.37,NA,32020,92997,00600,1,2
28011009501,5221,87,982,87,4137,8,7,3339,52,795,52,2431,4,5,956.54,778.5,NA,67040,91530,00720,2,3
28011009502,4631,63,1048,63,3481,6,33,2966,37,797,37,2066,6,23,849.69,691.53,NA,63720,90054,00660,2,3
28011009503,4366,24,433,24,3900,1,8,2697,13,351,13,2316,1,3,772.63,628.81,NA,49320,91530,00810,2,3
28011009504,5817,59,1623,59,4125,0,10,3777,35,1255,35,2445,0,7,1082.02,880.62,NA,67000,93006,00690,2,3
28011009505,4470,26,2391,26,2031,5,17,3055,19,1815,19,1186,5,11,875.18,712.28,NA,8180,93006,00750,2,3
28011009506,7863,62,7393,62,358,3,47,6259,47,5804,47,318,2,41,1793.05,1459.31,NA,14260,90792,00750,2,3
28011009507,9507,56,1253,56,8182,2,14,5850,32,1025,32,4745,2,14,1675.88,1363.95,NA,14260,92268,00750,2,3
28013009501,3868,28,3334,28,501,2,0,2916,19,2547,19,329,2,0,505.98,918.48,NA,9180,91539,00870,1,2
28013009502,1941,17,1121,17,802,0,1,1404,14,851,14,524,0,1,243.62,442.23,NA,9180,90801,00870,1,2
28013009503,3265,7,2381,7,874,3,0,2411,7,1828,7,567,2,0,418.36,759.41,NA,58360,90063,00870,1,2
